IterType,VanillaAvgRet,AvgEpLen,ESSClassic,ESSRenyi,AvgVanillaIw,MaxNormIw,AvgDiscRet,Bound,VarDiscRet,eRenyi2,BatchSize,MinNormIw,AvgRet,AvgNormIw,VarRet,VarJ,VarVanillaIw,MinVanillaIw,Delta,EpsThisIter,VarNormIw,MaxVanillaIw,J
1,-123.056239525,38.29,95.0434566068,95.1279058942,0.964717,0.016714,-123.056239525,-195.158,2372.74114048,1.05122,100,0.00410361,-123.056239525,0.01,2372.74114048,33.182,0.0490257,0.395882,0.3,100,5.26774e-06,1.61243,-119.051
1,-123.843108612,44.71,91.850893393,92.9811522864,0.956319,0.0162931,-123.843108612,-195.051,3568.86386845,1.07549,100,0.00198757,-123.843108612,0.01,3568.86386845,28.7299,0.081959,0.190075,0.3,100,8.96171e-06,1.55814,-116.19
1,-118.810366427,32.78,94.9623284786,96.0390539671,0.992042,0.0180594,-118.810366427,-191.306,2652.23949237,1.04124,100,0.00544813,-118.810366427,0.01,2652.23949237,36.3021,0.0527356,0.540478,0.3,100,5.3585e-06,1.79157,-115.458
1,-111.163917819,22.82,98.1649880109,97.9946431609,0.997498,0.0125918,-111.163917819,-162.254,571.576526225,1.02046,100,0.00564582,-111.163917819,0.01,571.576526225,14.2082,0.0187879,0.56317,0.3,100,1.88823e-06,1.25603,-109.934
1,-116.776371133,27.93,95.5384884734,95.104017298,1.0344,0.0136543,-116.776371133,-187.721,2889.34361965,1.05148,100,0.0030468,-116.776371133,0.01,2889.34361965,25.472,0.0504718,0.315163,0.3,100,4.71702e-06,1.41241,-112.014
1,-109.007012317,18.56,97.0344774141,97.9920904107,1.01126,0.016241,-109.007012317,-132.055,48.974444248,1.02049,100,0.00243987,-109.007012317,0.01,48.974444248,4.80406,0.0315694,0.246734,0.3,100,3.08703e-06,1.64239,-108.35
1,-108.916401134,18.57,95.8258659051,97.0290758454,0.974541,0.0127232,-108.916401134,-129.915,44.9496043488,1.03062,100,0.00407629,-108.916401134,0.01,44.9496043488,5.73403,0.0417876,0.397251,0.3,100,4.39995e-06,1.23993,-108.297
1,-107.918273649,16.9,99.2851014207,99.3984507147,1.00208,0.0131243,-107.918273649,-126.045,10.2608096234,1.00605,100,0.00668892,-107.918273649,0.01,10.2608096234,3.04019,0.00730349,0.670283,0.3,100,7.27321e-07,1.31516,-107.801
1,-107.698534809,16.27,99.5447562331,99.5241505349,1.00448,0.0109481,-107.698534809,-125.365,9.59004032743,1.00478,100,0.0079008,-107.698534809,0.01,9.59004032743,2.97857,0.00466097,0.79362,0.3,100,4.61948e-07,1.09971,-107.613
1,-108.124124228,16.6,98.7522433678,99.0793539994,1.01972,0.0132437,-108.124124228,-127.989,15.6043955627,1.00929,100,0.00696547,-108.124124228,0.01,15.6043955627,3.56961,0.0132712,0.710283,0.3,100,1.27629e-06,1.35048,-107.939
