StdIW,EmpiricalD2,MaxIWNorm,ESSRenyi,ReturnStepMax,TimestepsSoFar,MeanIW,MeanEntropy,ReturnMeanIW,EntropyCoefficient,Iteration,MaxIW,EpLenMean,Bound,TimeElapsed,InitialReturnStd,MinIW,MinIWNorm,ReturnStepMaxmin,J_sample_variance,InitialReturnMax,EpThisIter,MeanIWNorm,InitialBound,InitialReturnMin,InitialReturnMean,Weights,ESSClassic,EpRewMean,EpisodesSoFar,StdIWNorm
1.3937668,3.343701,0.0982802,29.90698,9.999996,580,0.9249483,1.1775169,16.09519,,1,9.82802,5.8,-2.8453884,1.5756633281707764,28.3744,0.00034370917,3.4370917e-06,6.541336,9952.13,84.57342,100,0.009249482,-10.358088,-36.655582,-1.0681152e-06,[-0.718  0.851  0.951 -0.346  0.   ],30.5752,47.96986486071141,100,0.013937666
3.4552903,1.9667273,0.3311474,50.84589,9.999998,1356,1.2930206,1.0156287,90.39131,,2,33.114742,7.76,60.638653,7.648078203201294,47.682384,0.061177485,0.00061177486,7.411518,369753.94,173.224,100,0.012930205,-21.21552,-64.3473,-1.8310546e-06,[-0.779  0.507  0.884 -0.488 -0.242],12.283525,67.55667428954098,200,0.034552906
81.43082,251.8503,7.9946313,0.3970613,9.999996,2374,10.187169,0.5092779,959.98975,,3,799.46313,10.18,607.2137,14.164841890335083,58.424423,3.5476322e-09,3.547632e-11,8.024124,70641850.0,181.50235,100,0.1018717,-22.22942,-86.12429,-1.083374e-05,[-1.494  0.546  0.554 -0.579 -0.403],1.5409377,91.74279023430837,300,0.8143082
2.2431712,3.4083986,0.22220601,29.33929,9.999995,4051,0.99991876,0.53512603,56.6091,,4,22.220602,16.77,11.112713,21.928332567214966,75.17309,0.030291816,0.00030291817,8.797528,208189.23,201.21303,100,0.009999187,-24.64348,-133.08563,-1.800537e-05,[-1.761  0.966  0.142 -0.86  -0.91 ],16.576508,157.61719718685998,400,0.02243171
42.201836,224.45325,4.243498,0.44552708,9.999998,6189,4.5109005,0.27253318,852.028,,5,424.3498,21.38,467.0991,28.713836193084717,100.38233,3.3858203e-07,3.3858203e-09,9.055229,70144456.0,209.78381,100,0.045109,-25.693146,-178.97253,1.7700195e-05,[-1.595  0.915  0.188 -0.972 -0.884],1.129614,203.700369029886,500,0.42201832
0.68616915,1.5366992,0.044035714,65.07455,9.999999,9969,1.0324569,0.26641396,32.996014,,6,4.4035716,37.8,-19.293888,36.247368812561035,108.03612,0.13210075,0.0013210074,9.463208,22716.076,344.41162,100,0.0103245685,-42.18164,-290.31314,-4.8828124e-06,[-1.624  0.925  0.051 -1.238 -1.146],69.363,367.8544473769847,600,0.0068616914
1.1292583,1.9810553,0.091840796,50.47815,9.999999,14014,0.98627144,0.17653657,23.884928,,7,9.18408,40.45,-28.02913,41.95258116722107,89.01172,0.055118144,0.00055118144,9.498189,40292.65,244.46469,100,0.009862714,-36.883904,-301.15567,-1.5258789e-05,[-1.689  0.96  -0.035 -1.347 -1.153],43.271816,394.35067375506384,700,0.011292582
0.5706194,1.3374442,0.04008394,74.76948,10.0,18076,0.97245044,0.1939265,19.845703,,8,4.0083942,40.62,-25.751045,47.77485942840576,109.77692,0.26203346,0.0026203345,9.500565,26198.36,321.9218,100,0.009724505,-39.427208,-309.22696,6.1035157e-06,[-1.759  0.973 -0.109 -1.34  -1.242],74.38723,396.05627433290465,800,0.0057061943
42.6246,47.501484,4.286161,2.1051974,10.0,22310,5.1125636,0.18003742,540.44324,,9,428.6161,42.34,277.56332,54.14614772796631,102.8567,0.00079317455,7.931745e-06,9.520842,32181186.0,302.62552,100,0.051125627,-38.142067,-311.42838,-3.4179688e-05,[-1.827  1.011 -0.207 -1.425 -1.225],1.418252,413.25577734360763,900,0.42624602
29.683096,66.01132,2.9843156,1.5148916,9.999999,26720,3.5372088,-0.02905219,587.18805,,10,298.43158,44.1,240.89276,60.37036204338074,97.06934,6.019661e-05,6.0196606e-07,9.538552,33976044.0,348.01,100,0.03537209,-42.622322,-121.2807,2.822876e-05,[-1.842  1.141 -0.279 -1.382 -1.239],1.4001648,430.82479612116083,1000,0.29683098
