InitialReturnStd,ESSClassic,StdIWNorm,J_sample_variance,ReturnMeanIW,MeanIW,Weights,MeanIWNorm,InitialBound,EpisodesSoFar,ReturnStepMax,EpThisIter,ESSRenyi,StdIW,ReturnStepMaxmin,EntropyCoefficient,EmpiricalD2,TimeElapsed,InitialReturnMax,Bound,Iteration,MinIW,InitialReturnMean,InitialReturnMin,MeanEntropy,TimestepsSoFar,MinIWNorm,MaxIWNorm,EpLenMean,MaxIW,EpRewMean
85.76233,27.082315,0.016778048,238633.4,56.83096,1.0225108,[ 0.911 -0.288 -0.586 -0.882  0.   ],0.010225108,-36.072357,100,9.999993,100,52.191658,1.6778048,8.563781,,1.916015,1.7715365886688232,294.5295,6.89954,1,0.043884777,-3.0517579e-06,-108.28204,1.3026766,1404,0.00043884775,0.16307996,14.04,16.307997,130.31772219568902
103.360344,1.0069864,5.4560876,22166194000.0,14880.477,55.02891,[ 0.791 -0.029 -0.865 -1.136 -0.116],0.55028903,-33.2514,200,9.999995,100,0.015527061,545.6089,8.642192,,6440.3687,8.379358530044556,271.49652,12211.988,2,4.800413e-09,1.6021728e-06,-123.34456,1.1174695,2889,4.800413e-11,54.837673,14.85,5483.7676,138.4182126977885
112.247505,20.223587,0.028386198,168317.4,86.06906,1.42922,[ 1.154  0.417 -1.154 -2.328 -0.301],0.014292197,-31.671455,300,9.999996,100,28.901686,2.83862,9.264133,,3.4600058,18.44970989227295,258.59634,27.1567,3,0.08183591,3.0517577e-07,-226.11679,1.1511576,5646,0.0008183591,0.19071794,27.57,19.071795,265.55597552639216
133.4062,40.17211,0.012277067,115873.82,36.606598,1.0060165,[ 0.832  0.538 -1.356 -2.566 -0.268],0.010060165,-52.36695,400,10.0,100,58.53345,1.2277067,9.346809,,1.7084248,26.684133529663086,427.57434,-31.84053,4,0.054031484,1.9836425e-06,-247.85524,1.0856438,8756,0.0005403148,0.117224425,31.1,11.722443,300.842800725725
141.17337,55.714447,0.008254413,63237.1,24.833643,0.9258466,[ 0.723  0.683 -1.56  -2.702 -0.333],0.009258465,-48.420284,500,9.999999,100,62.421963,0.82544124,9.408601,,1.6020002,32.80339479446411,395.35,-36.45199,5,0.09910247,5.7983398e-06,-270.01913,1.0311772,12194,0.0009910247,0.04548122,34.38,4.548122,333.63377316696386
133.63332,83.5695,0.004388723,44319.67,13.846697,0.9897752,[ 0.658  0.698 -1.659 -2.829 -0.388],0.009897752,-52.607998,600,10.0,100,82.66693,0.43887234,9.476238,,1.2096735,38.524842500686646,429.5425,-44.014297,6,0.40008613,5.9509275e-06,-292.21368,1.0098251,16089,0.004000861,0.03773712,38.95,3.7737122,379.2996818499705
150.96425,81.92179,0.004741501,42916.88,17.964752,1.0093411,[ 0.533  0.735 -1.741 -2.827 -0.409],0.010093412,-47.21199,700,9.999999,100,81.312614,0.47415012,9.530881,,1.2298214,44.372668981552124,385.48395,-34.392033,7,0.29134226,-3.6621095e-05,-329.6551,1.034175,20445,0.0029134224,0.035414204,43.56,3.5414205,425.38242622390726
160.36728,5.774384,0.055225164,4256509.0,217.80846,1.3671161,[ 0.456  0.786 -1.821 -2.816 -0.385],0.013671161,-58.894127,800,10.0,100,21.07135,5.522517,9.550236,,4.7457805,49.936275482177734,480.86835,89.50876,8,0.017547818,-2.0141602e-05,-337.78668,0.9892733,24987,0.00017547817,0.5546717,45.42,55.467175,443.98547339281475
216.95815,1.5261707,0.40488473,394436900.0,2066.0706,5.0404882,[ 0.232  0.959 -1.894 -2.865 -0.43 ],0.050404888,-60.530727,900,10.0,100,1.0476313,40.48848,9.700806,,95.45344,58.357255697250366,494.23123,1474.6838,9,0.009228039,-4.8828124e-06,-424.48148,1.0452235,31873,9.228038e-05,4.07464,68.86,407.464,678.2980483545672
224.51353,1.5985659,0.3454058,316415800.0,1798.611,4.4024477,[ 0.107  1.193 -1.974 -3.026 -0.374],0.04402448,-62.60785,1000,9.999999,100,5.1490374,34.540585,9.746324,,19.421106,68.28306484222412,511.19098,1522.702,10,0.09429484,4.577637e-06,-471.95645,0.9980308,39972,0.0009429484,3.479555,80.99,347.9555,799.6272715745436
253.18289,32.551407,0.016593037,346476.03,87.75112,1.1527213,[ 0.024  1.107 -2.075 -3.023 -0.421],0.011527211,-68.775505,1100,10.0,100,38.5763,1.6593037,9.812489,,2.5922651,80.51116681098938,431.66357,-22.980927,11,0.061238527,-2.1972657e-05,-561.54944,0.943024,51020,0.0006123853,0.13502692,110.48,13.502692,1094.4421550387096
241.7098,37.16325,0.013829702,234850.1,77.6165,1.063562,[-0.004  1.105 -2.133 -2.986 -0.476],0.01063562,-77.9235,1200,9.999999,100,55.609474,1.3829702,9.848989,,1.7982547,91.75937676429749,356.8393,-26.87815,12,0.14671636,9.155274e-06,-636.24274,0.9362667,64768,0.0014671636,0.09106892,137.48,9.106893,1364.419451427172
265.92535,3.1561341,0.118687704,7190747.0,303.71057,2.1426308,[-0.03   1.052 -2.236 -2.984 -0.483],0.021426313,-88.27464,1300,10.0,100,11.14643,11.86877,9.89974,,8.971482,105.69612526893616,272.50897,39.306488,13,0.006099757,3.0517578e-05,-720.7596,0.93625,84879,6.0997565e-05,1.1954477,201.11,119.54477,2001.0023691723018
262.46783,52.569527,0.010659911,151305.23,60.157967,1.1222558,[-0.054  0.979 -2.257 -3.002 -0.483],0.011222557,-86.72069,1400,10.0,100,66.94641,1.0659912,9.895063,,1.493732,119.2045066356659,275.19836,-45.830673,14,0.09877518,5.4626464e-05,-708.07184,0.9420471,104548,0.0009877518,0.07045281,196.69,7.045281,1956.5645943520378
289.26727,80.12087,0.005029759,87699.516,28.04639,1.0097672,[-0.081  1.006 -2.307 -3.005 -0.477],0.010097671,-91.20158,1500,10.0,100,86.097565,0.5029759,9.91217,,1.161473,133.56913256645203,248.56744,-70.24313,15,0.23322454,7.080078e-05,-744.65826,0.92740554,127120,0.0023322455,0.03326764,225.72,3.326764,2247.262871311342
263.8418,75.416855,0.0059375134,82934.58,30.071999,1.0399686,[-0.09   1.008 -2.364 -2.999 -0.492],0.010399687,-94.47431,1600,10.0,100,81.159164,0.5937514,9.916861,,1.2321467,148.15271496772766,221.85406,-74.796524,16,0.31018838,4.0283205e-05,-771.3798,0.90855,150755,0.0031018837,0.037586782,236.35,3.7586782,2353.6461360730327
298.48962,87.951775,0.0039432724,101332.46,28.481903,1.0654126,[-0.083  1.009 -2.41  -3.015 -0.51 ],0.010654125,-95.31577,1700,10.0,100,88.350334,0.39432722,9.933022,,1.1318576,166.14788055419922,215.04315,-72.92338,17,0.42230695,-2.4414063e-05,-778.2498,0.8944599,177142,0.0042230696,0.02204083,263.87,2.2040832,2629.829149715299
