EmpiricalD2,ReturnStepMaxmin,InitialBound,StdIW,Iteration,EpThisIter,EntropyCoefficient,MaxIWNorm,J_sample_variance,ReturnStepMax,Bound,InitialReturnMax,MeanIW,MeanEntropy,ReturnMeanIW,Weights,ESSClassic,MinIWNorm,StdIWNorm,ESSRenyi,EpLenMean,InitialReturnMean,InitialReturnStd,MeanIWNorm,EpRewMean,TimestepsSoFar,EpisodesSoFar,MinIW,InitialReturnMin,MaxIW,TimeElapsed
1.7174832,6.8291874,-19.940783,0.89083445,1,100,,0.06007033,12513.039,9.999998,-6.8572044,162.8158,1.0374081,1.3691875,19.275743,[ 0.867 -0.5   -0.634  0.472  0.   ],57.55774,0.0004590258,0.008908344,58.224735,6.33,3.8146973e-07,36.31418,0.010374081,53.26437108963721,633,100,0.04590258,-51.400307,6.007033,1.4602904319763184
1.2525525,6.9852247,-30.524672,1.2126931,2,100,,0.12455751,98001.56,9.999951,0.48865128,249.23288,0.9872522,1.3212237,34.651096,[ 0.726 -0.643 -0.805  0.209 -0.05 ],39.858932,0.0012529341,0.01212693,79.836975,6.66,-1.2207031e-06,43.7547,0.009872522,56.56064478632652,1299,200,0.12529342,-54.161964,12.455751,7.027301549911499
6.372715,7.98592,-25.11406,4.0155883,3,100,,0.3896271,346020.53,9.999992,15.860577,205.05544,1.0714924,1.1210982,79.2591,[ 0.43  -0.3   -1.168 -0.168 -0.098],6.64675,3.5088235e-07,0.04015588,15.691899,9.98,-1.2207031e-06,58.96608,0.010714924,89.74971160713216,2297,300,3.5088236e-05,-84.25969,38.96271,12.702563762664795
201.8299,8.799943,-38.86567,81.442635,4,100,,8.1918745,675669900.0,9.999991,2072.9824,317.33694,8.913199,1.137471,2625.135,[ 0.205 -0.314 -1.388 -0.614 -0.298],1.1835667,0.00023598525,0.81442624,0.49546674,16.83,1.3427734e-05,99.68269,0.089131996,158.2014247546652,3980,400,0.023598526,-140.71622,819.1875,19.0528621673584
2.0320635,9.427757,-42.895523,1.0023819,5,100,,0.048534844,68192.99,10.0,1.6009598,350.24054,1.1023878,1.0819755,62.748737,[ 0.092 -0.036 -1.614 -1.257 -0.282],54.740692,0.0014650024,0.010023819,49.21106,35.6,7.3242186e-06,172.01027,0.011023878,345.8140432160402,7540,500,0.14650024,-272.33472,4.8534846,28.241337776184082
2.184223,9.528384,-43.117558,1.5998082,6,100,,0.14749596,339538.88,9.999997,48.393063,352.05338,1.1929263,1.0198401,112.117004,[ 0.144 -0.002 -1.761 -1.406 -0.337],35.73353,0.0014773955,0.01599808,45.78287,43.31,-1.2207031e-06,182.1198,0.011929262,422.8867364214971,11871,600,0.14773956,-320.0118,14.749597,34.991342306137085
2.1271725,9.617445,-56.814583,1.1711758,7,100,,0.069048174,254442.92,10.0,38.27536,463.88898,1.0616817,0.9609583,121.138435,[ 0.065  0.086 -1.836 -1.463 -0.399],45.108,0.0011760059,0.011711758,47.01076,53.52,-1.2207031e-05,202.94258,0.0106168175,524.9623951606106,17223,700,0.11760059,-372.06805,6.9048176,41.69389367103577
7.6965356,9.758245,-60.87755,8.179494,8,100,,0.7838124,10111084.0,10.0,247.49251,497.06262,2.2536383,1.0029944,416.3827,[ 0.007  0.163 -1.912 -1.521 -0.458],7.0556746,0.00018624651,0.08179493,12.992859,85.48,-6.011963e-05,240.36044,0.022536382,844.4669563340971,25771,800,0.018624652,-487.9729,78.38124,51.542179346084595
5.7648163,9.790278,-63.45908,5.251252,9,100,,0.52044034,5483789.5,9.999999,140.77504,452.09326,1.3542883,0.9475862,293.14044,[ 0.028  0.208 -2.    -1.681 -0.416],6.236359,0.00030203344,0.05251251,17.346607,99.11,-2.0751953e-05,239.29927,0.013542883,980.707277919161,35682,900,0.030203346,-518.14105,52.044037,62.20056772232056
3.6611576,9.825869,-72.69688,3.021148,10,100,,0.2602769,1064269.6,10.0,80.17999,399.55865,1.4903427,0.89552486,219.27934,[-0.012  0.249 -2.044 -1.649 -0.471],19.572016,4.8927785e-05,0.030211484,27.313765,118.81,1.953125e-05,258.24142,0.014903429,1177.7549416396807,47563,1000,0.0048927786,-593.5676,26.02769,72.36699104309082
