MinNormIw,VarVanillaIw,ESSClassic,VarRet,AvgVanillaIw,EpsThisIter,AvgEpLen,AvgRet,Bound,MaxVanillaIw,AvgDiscRet,eRenyi2,MinVanillaIw,MaxNormIw,Delta,VarJ,IterType,AvgNormIw,BatchSize,VarDiscRet,ESSRenyi,VarNormIw,J,VanillaAvgRet
8.68099e-06,191.164,3.87972886995,10464.2007747,2.76385,100,16.78,153.812071012,191.441,137.802,153.812071012,4.26547,0.00239929,0.498589,0.5,260.618,1,0.01,100,10464.2007747,23.4440856603,0.00250252,296.427,153.812071012
7.13356e-06,17.104,10.1614931273,18774.1646615,1.38393,100,26.98,248.995513136,298.735,39.5719,248.995513136,3.02496,0.000987236,0.285938,0.5,159.074,1,0.01,100,18774.1646615,33.0583061644,0.000893037,396.423,248.995513136
5.92362e-06,16459.2,10.0467110332,18774.1646615,42.6605,100,26.98,248.995513136,-inf,1012.93,288.482415423,nan,0.0252705,0.23744,0.5,139.42,,0.01,200,17288.1411421,nan,0.000904395,283.716,248.995513136
9.0572e-10,537.612,2.78480908383,19822.8172778,2.74836,100,23.0,211.752305476,370.884,325.54,211.752305476,16.5655,4.97849e-07,0.592244,0.5,1207.62,1,0.005,200,19822.8172778,12.0732985511,0.00177935,577.945,211.752305476
0.01,,100.0,23169.2262892,1.0,100,36.54,338.014542975,252.609,1.0,338.014542975,1.0,1.0,0.01,0.5,151.451,2,0.01,200,23169.2262892,200.0,3.50449e-18,338.015,338.014542975
9.63585e-10,2.21523e+10,2.27908592804,19822.8172778,15939.5,100,23.0,211.752305476,-inf,2.00864e+06,380.246547332,nan,0.00307182,0.630082,0.5,550.159,,0.005,300,41461.7495309,nan,0.00217976,286.202,211.752305476
3.08794e-11,804.207,2.49408995641,23110.0164623,2.59219,100,22.76,209.708361495,381.696,489.38,209.708361495,21.9094,2.40136e-08,0.6293,0.5,1399.23,1,0.00333333,300,23110.0164623,13.6927308382,0.00132981,592.954,209.708361495
0.01,,100.0,25310.5824633,1.0,100,36.04,333.440921339,240.075,1.0,333.440921339,1.0,1.0,0.01,0.5,158.296,2,0.01,300,25310.5824633,300.0,3.50449e-18,333.441,333.440921339
0.005,,200.000000102,31652.5164924,1.0,100,38.05,352.037671237,276.72,1.0,352.037671237,1.0,1.0,0.005,0.5,168.176,2,0.005,300,31652.5164924,300.0,2.1793e-19,342.739,352.037671237
3.20739e-11,6.0635e+12,2.22219060461,23110.0164623,212364.0,100,22.76,209.708361495,127.052,4.16431e+07,334.438838927,1.04912,0.0020434,0.653644,0.5,1394.85,,0.00333333,400,31802.8388228,381.271638285,0.00149389,182.265,209.708361495
4.16847e-11,4750.56,1.47586091487,25842.0162597,4.18913,100,24.33,224.279805732,585.781,1378.29,224.279805732,29.0397,6.98491e-08,0.822541,0.5,1511.19,1,0.0025,400,25842.0162597,13.7742643798,0.00169191,835.417,224.279805732
0.01,,100.0,27587.2931447,1.0,100,39.16,362.477796275,262.633,1.0,362.477796275,1.0,1.0,0.01,0.5,165.262,2,0.01,400,27587.2931447,400.0,3.50449e-18,362.478,362.477796275
0.005,,200.000000102,19449.206462,1.0,100,34.38,318.067376061,269.672,1.0,318.067376061,1.0,1.0,0.005,0.5,154.195,2,0.005,400,19449.206462,400.0,2.1793e-19,340.273,318.067376061
0.00333333,,299.999969474,24253.2887899,1.0,100,37.55,347.511441369,285.04,1.0,347.511441369,1.0,1.0,0.00333333,0.5,154.486,2,0.00333333,400,24253.2887899,400.0,5.43914e-20,342.686,347.511441369
2.58912e-11,5.77178e+11,3.38098831421,25842.0162597,70056.2,100,24.33,224.279805732,196.985,1.43166e+07,349.21045536,4.3741,0.000725535,0.510897,0.5,531.627,,0.0025,500,26438.6371222,114.309161578,0.000735016,301.395,224.279805732
3.07164e-10,3614.47,1.66949651936,23002.8158467,3.47633,100,27.27,251.774239039,585.907,1343.92,251.774239039,29.0251,5.33903e-07,0.773182,0.5,2043.44,1,0.002,500,23002.8158467,17.226486064,0.00119636,809.132,251.774239039
0.01,,100.0,33242.4079411,1.0,100,39.3,363.778478365,277.319,1.0,363.778478365,1.0,1.0,0.01,0.5,181.411,2,0.01,500,33242.4079411,500.0,3.50449e-18,363.778,363.778478365
0.005,,200.000000102,34814.2665531,1.0,100,37.13,343.514507955,258.258,1.0,343.514507955,1.0,1.0,0.005,0.5,183.822,2,0.005,500,34814.2665531,500.0,2.1793e-19,353.646,343.514507955
0.00333333,,299.999969474,23209.8993554,1.0,100,37.07,343.176186991,272.272,1.0,343.176186991,1.0,1.0,0.00333333,0.5,173.812,2,0.00333333,500,23209.8993554,500.0,5.43914e-20,350.156,343.176186991
0.0025,,400.0,22716.0058457,1.0,100,36.92,341.682395986,280.588,1.0,341.682395986,1.0,1.0,0.0025,0.5,168.207,2,0.0025,500,22716.0058457,500.0,5.4346e-20,348.038,341.682395986
1.42682e-11,454.389,3.4595659492,24775.886183,1.77751,100,41.08,380.13199594,424.166,475.1,380.13199594,12.6163,1.26809e-08,0.534568,0.5,1691.69,1,0.002,500,24775.886183,39.6312059161,0.000575258,638.451,380.13199594
0.01,,100.0,42329.4965027,1.0,100,52.76,489.057770848,347.315,1.0,489.057770848,1.0,1.0,0.01,0.5,204.71,2,0.01,500,42329.4965027,500.0,3.50449e-18,489.058,489.057770848
0.005,,200.000000102,21651.6018648,1.0,100,48.08,445.779534513,367.191,1.0,445.779534513,1.0,1.0,0.005,0.5,179.273,2,0.005,500,21651.6018648,500.0,2.1793e-19,467.419,445.779534513
0.00333333,,299.999969474,20614.1461374,1.0,100,47.72,442.176807136,377.169,1.0,442.176807136,1.0,1.0,0.00333333,0.5,168.435,2,0.00333333,500,20614.1461374,500.0,5.43914e-20,459.005,442.176807136
0.0025,,400.0,20324.9517373,1.0,100,47.74,442.43073337,383.99,1.0,442.43073337,1.0,1.0,0.0025,0.5,162.356,2,0.0025,500,20324.9517373,500.0,5.4346e-20,454.861,442.43073337
7.38692e-11,430.741,3.10250712641,23278.1990566,1.63831,100,47.26,438.093583672,752.652,461.61,438.093583672,18.0179,6.05104e-08,0.563519,0.5,5053.16,1,0.002,500,23278.1990566,27.7501927949,0.000641924,1021.72,438.093583672
0.01,,100.0,37945.0329546,1.0,100,53.2,493.022732162,374.627,1.0,493.022732162,1.0,1.0,0.01,0.5,193.818,2,0.01,500,37945.0329546,500.0,3.50449e-18,493.023,493.022732162
0.005,,200.000000102,48504.487111,1.0,100,57.45,532.265126553,416.43,1.0,532.265126553,1.0,1.0,0.005,0.5,207.792,2,0.005,500,48504.487111,500.0,2.1793e-19,512.644,532.265126553
0.00333333,,299.999969474,34906.7080967,1.0,100,56.85,526.41722025,438.676,1.0,526.41722025,1.0,1.0,0.00333333,0.5,200.864,2,0.00333333,500,34906.7080967,500.0,5.43914e-20,517.235,526.41722025
0.0025,,400.0,42408.9692705,1.0,100,56.23,521.091803465,450.165,1.0,521.091803465,1.0,1.0,0.0025,0.5,201.888,2,0.0025,500,42408.9692705,500.0,5.4346e-20,518.199,521.091803465
1.29879e-09,4012.0,1.85959083725,35331.1327838,3.86615,100,53.77,498.281921272,710.361,1416.12,498.281921272,12.2692,2.51065e-06,0.732573,0.5,1791.9,1,0.002,500,35331.1327838,40.7525725893,0.00107365,923.717,498.281921272
0.01,,100.0,60924.1047929,1.0,100,64.65,598.843700511,424.882,1.0,598.843700511,1.0,1.0,0.01,0.5,245.591,2,0.01,500,60924.1047929,500.0,3.50449e-18,598.844,598.843700511
0.005,,200.000000102,52295.3511849,1.0,100,67.12,621.954860062,487.39,1.0,621.954860062,1.0,1.0,0.005,0.5,237.017,2,0.005,500,52295.3511849,500.0,2.1793e-19,610.399,621.954860062
0.00333333,,299.999969474,48659.1025306,1.0,100,64.5,597.594823611,505.694,1.0,597.594823611,1.0,1.0,0.00333333,0.5,231.399,2,0.00333333,500,48659.1025306,500.0,5.43914e-20,606.131,597.594823611
0.0025,,400.0,41616.5409671,1.0,100,63.15,585.1827359,513.913,1.0,585.1827359,1.0,1.0,0.0025,0.5,224.814,2,0.0025,500,41616.5409671,500.0,5.4346e-20,600.894,585.1827359
2.29815e-08,2.59993,160.549392069,52201.0671474,1.1078,100,62.68,581.149926397,562.403,17.9071,581.149926397,2.57281,1.27295e-05,0.0323291,0.5,520.169,1,0.002,500,52201.0671474,194.340261706,8.47418e-06,687.191,581.149926397
0.01,,100.0,61711.6004068,1.0,100,71.56,663.691853694,526.106,1.0,663.691853694,1.0,1.0,0.01,0.5,247.173,2,0.01,500,61711.6004068,500.0,3.50449e-18,663.692,663.691853694
0.005,,200.000000102,56944.574261,1.0,100,67.79,628.19383438,545.827,1.0,628.19383438,1.0,1.0,0.005,0.5,243.002,2,0.005,500,56944.574261,500.0,2.1793e-19,645.943,628.19383438
0.00333333,,299.999969474,43478.7715491,1.0,100,64.4,596.990354579,547.881,1.0,596.990354579,1.0,1.0,0.00333333,0.5,232.91,2,0.00333333,500,43478.7715491,500.0,5.43914e-20,629.625,596.990354579
0.0025,,400.0,69828.8272714,1.0,100,71.46,661.787080525,563.195,1.0,661.787080525,1.0,1.0,0.0025,0.5,241.168,2,0.0025,500,69828.8272714,500.0,5.4346e-20,637.666,661.787080525
2.29608e-19,1903.99,1.62184288477,64791.6414502,2.48669,100,68.12,630.987927802,1063.42,975.291,630.987927802,31.6962,2.85483e-16,0.784408,0.5,3401.71,1,0.002,500,64791.6414502,15.7747771216,0.00123163,1485.8,630.987927802
0.01,,100.0,73825.5875744,1.0,100,79.02,731.576111681,553.847,1.0,731.576111681,1.0,1.0,0.01,0.5,270.347,2,0.01,500,73825.5875744,500.0,3.50449e-18,731.576,731.576111681
0.005,,200.000000102,89771.1107557,1.0,100,76.27,706.849018286,593.539,1.0,706.849018286,1.0,1.0,0.005,0.5,284.839,2,0.005,500,89771.1107557,500.0,2.1793e-19,719.213,706.849018286
0.00333333,,299.999969474,65808.359746,1.0,100,72.98,676.469721457,602.353,1.0,676.469721457,1.0,1.0,0.00333333,0.5,276.064,2,0.00333333,500,65808.359746,500.0,5.43914e-20,704.965,676.469721457
0.0025,,400.0,83438.607532,1.0,100,75.9,702.431482802,615.467,1.0,702.431482802,1.0,1.0,0.0025,0.5,278.946,2,0.0025,500,83438.607532,500.0,5.4346e-20,704.332,702.431482802
9.22275e-11,135.378,7.0965040042,69975.6539049,1.3947,100,78.29,724.956542581,798.873,227.42,724.956542581,13.2259,6.43147e-08,0.326121,0.5,2000.82,1,0.002,500,69975.6539049,37.8045706289,0.000278386,1087.93,724.956542581
0.01,,100.0,106927.530827,1.0,100,88.07,814.269039404,631.836,1.0,814.269039404,1.0,1.0,0.01,0.5,325.359,2,0.01,500,106927.530827,500.0,3.50449e-18,814.269,814.269039404
0.005,,200.000000102,79321.9406701,1.0,100,89.02,823.630253395,689.95,1.0,823.630253395,1.0,1.0,0.005,0.5,303.67,2,0.005,500,79321.9406701,500.0,2.1793e-19,818.95,823.630253395
0.00333333,,299.999969474,100304.007782,1.0,100,88.69,820.389893452,714.102,1.0,820.389893452,1.0,1.0,0.00333333,0.5,307.535,2,0.00333333,500,100304.007782,500.0,5.43914e-20,819.43,820.389893452
0.0025,,400.0,84556.6828921,1.0,100,86.01,795.217600306,719.32,1.0,795.217600306,1.0,1.0,0.0025,0.5,303.267,2,0.0025,500,84556.6828921,500.0,5.4346e-20,813.377,795.217600306
4.75362e-15,17.2784,41.1491266782,91477.3097132,1.24354,100,88.62,819.679695904,798.089,70.8363,819.679695904,5.91177,2.95567e-12,0.113926,0.5,1216.8,1,0.002,500,91477.3097132,84.5770747003,4.46931e-05,1015.56,819.679695904
0.01,,100.0,105743.896361,1.0,100,87.23,806.337364915,648.774,1.0,806.337364915,1.0,1.0,0.01,0.5,323.553,2,0.01,500,105743.896361,500.0,3.50449e-18,806.337,806.337364915
0.005,,200.000000102,98141.7868262,1.0,100,87.4,808.787683025,681.2,1.0,808.787683025,1.0,1.0,0.005,0.5,317.687,2,0.005,500,98141.7868262,500.0,2.1793e-19,807.562,808.787683025
0.00333333,,299.999969474,100802.563837,1.0,100,86.67,801.147618048,702.25,1.0,801.147618048,1.0,1.0,0.00333333,0.5,317.108,2,0.00333333,500,100802.563837,500.0,5.43914e-20,805.424,801.147618048
0.0025,,400.0,93333.4260705,1.0,100,85.68,791.511847977,712.594,1.0,791.511847977,1.0,1.0,0.0025,0.5,313.934,2,0.0025,500,93333.4260705,500.0,5.4346e-20,801.946,791.511847977
2.28387e-12,870.391,2.66140382888,84674.8999334,2.15601,100,84.34,780.594475017,970.954,657.213,780.594475017,18.3205,2.46203e-09,0.609655,0.5,3015.36,1,0.002,500,84674.8999334,27.2918238945,0.000748982,1313.02,780.594475017
0.01,,100.0,82237.6444844,1.0,100,88.73,821.164208538,650.711,1.0,821.164208538,1.0,1.0,0.01,0.5,285.334,2,0.01,500,82237.6444844,500.0,3.50449e-18,821.164,821.164208538
0.005,,200.000000102,72312.1124928,1.0,100,93.72,868.586647534,724.347,1.0,868.586647534,1.0,1.0,0.005,0.5,277.605,2,0.005,500,72312.1124928,500.0,2.1793e-19,844.875,868.586647534
0.00333333,,299.999969474,89046.2438821,1.0,100,94.72,875.773870531,740.502,1.0,875.773870531,1.0,1.0,0.00333333,0.5,284.559,2,0.00333333,500,89046.2438821,500.0,5.43914e-20,855.175,875.773870531
0.0025,,400.0,91056.8114725,1.0,100,101.51,938.587583041,776.718,1.0,938.587583041,1.0,1.0,0.0025,0.5,290.812,2,0.0025,500,91056.8114725,500.0,5.4346e-20,876.028,938.587583041
2.36787e-06,34.8639,28.8767030456,112191.255037,1.46036,100,92.29,854.365926116,876.743,79.516,854.365926116,4.94655,0.00172897,0.108899,0.5,1505.95,1,0.002,500,112191.255037,101.080611753,6.53908e-05,1074.3,854.365926116
0.01,,100.0,106268.224134,1.0,100,100.08,924.645836894,740.074,1.0,924.645836894,1.0,1.0,0.01,0.5,324.354,2,0.01,500,106268.224134,500.0,3.50449e-18,924.646,924.645836894
0.005,,200.000000102,101695.049753,1.0,100,104.91,970.92237784,774.259,1.0,970.92237784,1.0,1.0,0.005,0.5,321.679,2,0.005,500,101695.049753,500.0,2.1793e-19,947.784,970.92237784
0.00333333,,299.999969474,108483.990369,1.0,100,100.68,931.816975256,800.779,1.0,931.816975256,1.0,1.0,0.00333333,0.5,323.792,2,0.00333333,500,108483.990369,500.0,5.43914e-20,942.462,931.816975256
0.0025,,400.0,108456.550303,1.0,100,99.81,923.166926654,814.937,1.0,923.166926654,1.0,1.0,0.0025,0.5,324.875,2,0.0025,500,108456.550303,500.0,5.4346e-20,937.638,923.166926654
