IterType,MinNormIw,BatchSize,VarNormIw,VarVanillaIw,AvgNormIw,Bound,ESSClassic,EpsThisIter,VanillaAvgRet,MaxNormIw,AvgRet,MaxVanillaIw,eRenyi2,VarDiscRet,AvgVanillaIw,ESSRenyi,VarJ,AvgEpLen,J,MinVanillaIw,AvgDiscRet,VarRet,Delta
1,6.62337e-07,100,0.00666865,4150.87,0.01,368.969,1.49210069059,100,142.343569244,0.813342,142.343569244,641.687,10.2712,9329.5350167,7.88952,9.73598226945,154.961,15.55,427.539,0.000522552,142.343569244,9329.5350167,0.9
,3.90818e-07,200,0.00250323,39802.0,0.01,59.9684,3.87868488227,100,142.343569244,0.479919,142.343569244,1913.68,98.4188,10166.2248437,39.8752,2.03213174996,338.817,15.55,222.687,0.00155839,231.681483864,9329.5350167,0.9
1,1.40012e-08,200,0.00367578,7432.5,0.005,365.295,1.35781126171,100,140.945215867,0.856766,140.945215867,1218.3,14.7181,9364.47291499,7.10989,13.5887355279,220.618,15.4,423.414,1.99094e-05,140.945215867,9364.47291499,0.9
2,0.01,200,3.50449e-18,,0.01,220.085,100.0,100,239.80367845,0.01,239.80367845,1.0,1.0,15328.4402489,1.0,200.0,123.187,25.99,239.804,1.0,239.80367845,15328.4402489,0.9
,9.61514e-09,300,0.00181476,1.3225e+07,0.005,-999.217,2.73121869357,100,140.945215867,0.588373,140.945215867,50227.5,7502.24,8886.30525853,426.834,0.0399880374328,87.5727,15.4,208.455,0.000820814,228.027440348,9364.47291499,0.9
1,4.10033e-09,300,0.00225332,7098.01,0.00333333,357.182,1.47694060098,100,148.930486151,0.822272,148.930486151,1459.39,19.5069,12726.6143585,5.9161,15.3791488426,407.41,16.25,411.854,7.2774e-06,148.930486151,12726.6143585,0.9
2,0.01,300,3.50449e-18,,0.01,242.842,100.0,100,263.928496939,0.01,263.928496939,1.0,1.0,10105.8552973,1.0,300.0,100.024,28.56,263.928,1.0,263.928496939,10105.8552973,0.9
2,0.005,300,2.1793e-19,,0.005,242.7,200.000000102,100,251.292118209,0.005,251.292118209,1.0,1.0,7071.27897677,1.0,300.0,92.4262,27.22,257.61,1.0,251.292118209,7071.27897677,0.9
,2.25026e-09,400,0.00078267,7.25714e+07,0.00333333,-3755.25,4.21315992539,100,148.930486151,0.451264,148.930486151,137412.0,108752.0,8776.20022451,1015.01,0.00367810992276,350.037,16.25,259.478,0.000685216,258.245140222,12726.6143585,0.9
1,7.82143e-10,400,0.00165909,9020.78,0.0025,357.447,1.50494091461,100,141.652736397,0.814596,141.652736397,1899.45,24.9416,8498.45544001,5.82944,16.0374458307,478.84,15.48,410.986,1.82378e-06,141.652736397,8498.45544001,0.9
2,0.01,400,3.50449e-18,,0.01,239.565,100.0,100,256.5773656,0.01,256.5773656,1.0,1.0,8822.12168322,1.0,400.0,93.4553,27.78,256.577,1.0,256.5773656,8822.12168322,0.9
2,0.005,400,2.1793e-19,,0.005,249.81,200.000000102,100,276.834649506,0.005,276.834649506,1.0,1.0,13069.7569523,1.0,400.0,104.59,29.95,266.706,1.0,276.834649506,13069.7569523,0.9
2,0.00333333,400,5.43914e-20,,0.00333333,248.575,299.999969474,100,253.698672403,0.00333333,253.698672403,1.0,1.0,7241.10938684,1.0,400.0,98.5894,27.49,262.37,1.0,253.698672403,7241.10938684,0.9
