ReturnStepMax,InitialReturnMin,InitialReturnMax,TimestepsSoFar,LearnableVariance,Weights,EpThisIter,MinIWNorm,MeanEntropy,MaxIW,OptimizationReturnMax,Iteration,OptimizationReturnMean,MaxIWNorm,ESSClassic,StdIWNorm,MeanIW,MeanIWNorm,ReturnMeanIW,EpRewMean,InitialReturnStd,VarianceInit,J_sample_variance,TimeElapsed,EmpiricalD2,EpLenMean,Bound,OptimizationReturnMin,StdIW,EpisodesSoFar,MinIW,InitialReturnMean,InitialBound,ReturnStepMaxmin,ESSRenyi
9.999983,9.97996,139.95068,639,True,[ 0. -0. -0. -0.  0.],100,0.0022836046,1.3685442,2.5398254,129.97072,1,43.884975,0.025398254,86.40356,0.0039287196,0.99038506,0.00990385,59.14691,53.86493552445671,32.35669,-1,3060.9917,0.6613767147064209,1.1932423,6.39,40.4235,,0.3928719,100,0.22836047,53.864937,36.72455,9.999983,83.805275
9.999997,,269.90784,1396,True,[-0.144  0.04  -0.093 -0.22  -0.05 ],100,1.2218509e-05,1.2234042,29.696653,269.90784,2,65.6586,0.29696652,11.135714,0.030746292,1.088399,0.010883991,145.39676,65.65860020043915,51.305885,-1,660334.9,1.8788256645202637,5.398446,7.57,68.59069,,3.0746295,200,0.001221851,65.6586,32.601776,9.999997,18.52385
10.0,,549.7709,2656,True,[-0.333 -0.107 -0.253 -0.613 -0.196],100,0.0007397908,1.0819092,5.6591263,549.7709,3,115.929474,0.05659126,56.2437,0.010340534,1.1723561,0.011723561,149.86739,115.92947698259096,90.31125,-1,49638.258,2.8729567527770996,1.6559585,12.6,63.22068,,1.0340534,300,0.07397908,115.929474,48.596573,10.0,60.387985
9.999999,,499.72302,4108,True,[-0.603 -0.139 -0.444 -0.614 -0.337],100,0.0024642374,1.1298997,84.37074,499.72302,4,135.1161,0.8437074,5.0749807,0.09164961,2.1191294,0.021191292,688.70337,135.1161122305724,103.619385,-1,18925662.0,3.8084559440612793,13.909122,14.52,460.44598,,9.16496,400,0.24642374,135.1161,73.912796,9.999999,7.189526
9.999999,,619.6305,6149,True,[-1.022  0.264 -0.947 -0.884 -0.289],100,0.0019155535,1.0953188,6.208381,619.6305,5,193.99901,0.06208381,50.13726,0.009931335,0.99586374,0.009958637,257.7231,193.99899827804876,137.59203,-1,229978.69,5.055436372756958,1.586588,20.41,162.13354,,0.99313354,500,0.19155535,193.99901,118.11008,9.999999,63.028336
9.999996,,809.5424,8517,True,[-1.045  0.398 -1.046 -1.127 -0.324],100,6.2659135e-05,0.95478874,50.16488,809.5424,6,226.68025,0.5016488,6.1970263,0.05215183,1.340457,0.01340457,546.59503,226.6802599766027,188.03888,-1,7523384.0,6.496683120727539,8.011689,23.68,265.9565,,5.215183,600,0.0062659136,226.68025,127.53196,9.999996,12.481762
10.0,,909.77075,11942,True,[-1.029  0.397 -1.189 -1.385 -0.464],100,0.0024887356,0.91166466,2.6806269,909.77075,7,332.3299,0.026806269,85.83335,0.0043947324,1.0817503,0.010817503,367.26346,332.3298835812239,168.37881,-1,74879.72,7.497943878173828,1.2297323,34.25,243.70204,,0.4394732,700,0.24887358,332.3299,220.90616,10.0,81.31851
9.999999,9.986183,929.7688,15336,True,[-1.09   0.373 -1.242 -1.379 -0.507],100,0.0013299152,0.8223645,5.523403,919.7826,8,319.26077,0.05523403,58.709824,0.009529171,1.1362848,0.011362847,414.24976,329.24697167181563,179.07532,-1,244964.19,9.080776453018188,1.6872455,33.94,266.3356,,0.95291716,800,0.13299152,329.24695,215.37402,9.999999,59.2682
9.999996,,759.81714,18735,True,[-1.116  0.372 -1.264 -1.423 -0.597],100,0.0018737505,0.8151004,5.7730403,759.81714,9,329.73465,0.057730403,56.29441,0.008975087,1.0185982,0.010185982,384.70657,329.7346591473348,142.34285,-1,244112.83,10.135597467422485,1.6106087,33.99,266.60663,,0.89750874,900,0.18737505,329.73465,236.67642,9.999996,62.088326
9.999998,,739.8004,22462,True,[-1.146  0.475 -1.349 -1.502 -0.604],100,0.0010692602,0.7249691,7.7596025,739.8004,10,362.5352,0.07759602,45.843235,0.01186269,1.0914265,0.010914265,452.76175,362.5352291358932,147.29138,-1,502248.7,11.697303295135498,1.9891926,37.27,324.97122,,1.186269,1000,0.10692602,362.5352,271.92853,9.999998,50.271652
