Bound,TimestepsSoFar,InitialReturnMean,MeanIW,EpRewMean,ESSClassic,OptimizationReturnMax,MeanEntropy,StdIWNorm,TimeElapsed,InitialReturnStd,MinIW,ReturnMeanIW,ReturnStepMax,MaxIW,EpisodesSoFar,OptimizationReturnMean,InitialReturnMax,MinIWNorm,EpThisIter,EmpiricalD2,Iteration,J_sample_variance,InitialBound,OptimizationReturnMin,ReturnStepMaxmin,StdIW,EpLenMean,LearnableVariance,Weights,MaxIWNorm,InitialReturnMin,ESSRenyi,VarianceInit,MeanIWNorm
34.245174,671,57.06454,0.99063957,57.06454429966841,44.566334,399.81757,1.3169703,0.011048391,0.762885332107544,50.163006,0.07639702,97.64805,9.999998,9.510619,100,47.085297,409.7968,0.00076397014,100,1.5958406,1,151265.19,6.8748856,,9.999998,1.1048391,6.71,True,[ 0. -0.  0.  0.  0.],0.09510619,9.979244,62.662903,-1,0.009906395
44.35295,1470,69.855705,0.99533606,69.85570605870078,69.91404,269.96152,1.2123258,0.006529341,1.9520118236541748,61.468872,0.09681133,85.12974,9.999971,3.7459607,200,59.87592,279.9413,0.0009681133,100,1.4144926,2,18985.312,35.57004,,9.999971,0.65293413,7.99,True,[-0.116  0.099 -0.215 -0.36  -0.102],0.037459604,9.979789,70.69673,-1,0.009953362
57.522568,2460,88.944305,1.0039061,88.94430195905956,38.29895,519.7716,1.06148,0.012742246,2.9884612560272217,75.3975,0.015468448,145.07542,10.0,9.715862,300,88.944305,519.7716,0.00015468449,100,1.891578,3,292096.1,25.285542,,10.0,1.2742245,9.9,True,[-0.22   0.006 -0.32  -0.505 -0.207],0.09715862,,52.865913,-1,0.010039062
90.68839,3622,106.1258,1.0424695,106.12580530945422,57.601795,409.86783,0.98509127,0.008943738,3.773854970932007,80.16274,0.29504,148.64601,9.999999,6.9345684,400,106.1258,409.86783,0.0029504,100,1.3330369,4,86564.625,55.92745,,9.999999,0.8943739,11.62,True,[-0.365 -0.166 -0.393 -0.555 -0.357],0.06934568,,75.01668,-1,0.010424694
110.28628,5373,165.00311,1.063765,165.00309219869533,71.762634,829.67224,0.99010843,0.0066728084,5.155667066574097,138.69371,0.36967754,230.03247,9.999998,4.542187,500,165.00311,829.67224,0.0036967753,100,1.3887341,5,131682.86,63.389397,,9.999998,0.66728085,17.51,True,[-0.604  0.042 -0.584 -0.698 -0.434],0.045421872,,72.008026,-1,0.010637649
450.75903,7584,210.97963,2.5410352,210.97962687397688,2.5548348,669.7987,0.7263862,0.15693125,6.316375255584717,138.60844,1.1260421e-05,912.25354,9.999998,156.42595,600,210.97963,669.7987,1.1260421e-07,100,31.648506,6,41799450.0,128.94635,,9.999998,15.693125,22.11,True,[-0.624  0.149 -0.8   -0.873 -0.429],1.5642594,,3.1597068,-1,0.025410349
156.70094,10344,265.85028,1.067336,265.8502753366448,76.75584,1039.6738,0.66018873,0.0058735744,7.522913217544556,166.24597,0.11563303,299.4949,10.0,3.707474,700,265.85028,1039.6738,0.0011563303,100,1.2575759,7,75870.22,138.51675,,10.0,0.58735746,27.6,True,[-0.643  0.179 -0.843 -1.056 -0.693],0.037074737,,79.51807,-1,0.01067336
173.50859,13048,260.24954,1.0479712,260.2495693787124,88.65286,879.8734,0.6273272,0.0037492656,8.728231430053711,176.27866,0.05825324,291.7822,10.0,2.0941787,800,250.26604,889.85693,0.0005825324,100,1.1777252,8,66895.19,151.26477,,10.0,0.37492657,27.04,True,[-0.668  0.192 -0.839 -1.084 -0.759],0.020941786,9.983518,84.909454,-1,0.010479711
253.06543,16002,285.236,1.1360031,285.23600701614134,18.144133,929.7059,0.6835269,0.024128832,10.316821098327637,166.51012,0.071443535,456.99826,9.999998,22.939913,900,275.25247,939.6894,0.00071443536,100,3.1398895,9,4202068.0,170.14804,,9.999998,2.412883,29.54,True,[-0.792  0.207 -0.893 -1.087 -0.792],0.22939913,9.983546,31.848255,-1,0.011360032
303.63644,19206,310.23553,1.2560536,310.23553298838544,29.166613,909.8596,0.6150202,0.01957421,11.307931900024414,153.04074,0.08171217,481.5745,10.0,15.364014,1000,300.25555,919.8396,0.0008171217,100,2.4947224,10,718700.44,197.57864,,10.0,1.9574211,32.04,True,[-0.743  0.201 -0.979 -1.259 -0.735],0.15364014,9.979985,40.08462,-1,0.012560537
456.0088,23117,380.91208,1.5153039,380.91208172860877,11.462985,1029.6882,0.4727983,0.042112723,12.89889645576477,146.09286,0.013614558,753.2682,9.999998,31.08591,1100,350.95065,1059.6497,0.00013614558,100,5.2463264,11,7237092.0,251.13202,,9.999998,4.2112722,39.11,True,[-0.751  0.304 -1.003 -1.258 -0.804],0.3108591,29.9614,19.060957,-1,0.015153038
325.2514,27516,429.70618,1.076437,429.70615940407856,80.59445,1049.7432,0.5121228,0.0052820067,14.273841619491577,158.89006,0.40682566,470.1122,9.999999,3.439386,1200,409.7447,1069.7046,0.0040682564,100,1.2225957,12,112629.164,298.69464,,9.999999,0.5282006,43.99,True,[-0.863  0.415 -1.049 -1.3   -0.946],0.03439386,19.96148,81.79319,-1,0.01076437
375.71445,32161,454.32645,1.0966234,454.32644894153003,66.956856,1069.7942,0.44867843,0.0077037206,16.188924312591553,184.61028,0.1564289,536.177,10.0,4.4469543,1300,444.3435,1079.7771,0.001564289,100,1.4722713,13,320287.0,322.08127,,10.0,0.7703721,46.45,True,[-0.912  0.433 -1.086 -1.346 -0.907],0.044469543,9.982953,67.922264,-1,0.010966233
