Bound,J_sample_variance,InitialReturnMean,VarianceInit,ReturnStepMax,MeanEntropy,EpRewMean,EpLenMean,ESSRenyi,EmpiricalD2,LearnableVariance,OptimizationReturnMean,StdIW,InitialReturnStd,ReturnStepMaxmin,MaxIWNorm,OptimizationReturnMin,TimeElapsed,InitialBound,TimestepsSoFar,InitialReturnMax,MeanIW,MeanIWNorm,MinIWNorm,ReturnMeanIW,EpisodesSoFar,InitialReturnMin,MinIW,MaxIW,OptimizationReturnMax,StdIWNorm,EpThisIter,Weights,Iteration,ESSClassic
407.2339,23248958.0,57.961594,-1,9.999988,1.2596436,57.961592146291984,6.8,11.045508,9.053453,True,57.961594,12.974126,52.1235,9.999988,1.3043498,,1.217041254043579,12.677132,680,369.74603,2.011222,0.020112218,8.345071e-07,543.4901,100,,8.345071e-05,130.43498,369.74603,0.12974125,100,[ 0. -0. -0.  0.  0.],1,2.3466635
73.1189,49804.598,114.031296,-1,9.999995,1.341354,114.03130055033715,12.41,71.88771,1.3910583,True,114.031296,0.8348904,93.92932,9.999995,0.060421765,,3.6389403343200684,54.034523,1921,489.87164,1.1584573,0.0115845725,0.0012448025,143.88098,200,,0.124480255,6.0421767,489.87164,0.008348904,100,[-0.452  0.239 -0.375 -0.77  -0.159],2,65.815605
110.898674,375930.94,122.42434,-1,9.999996,1.1856699,122.42434242222704,13.25,44.399124,2.2522967,True,122.42434,1.478896,103.55366,9.999996,0.088583045,,5.510470390319824,55.089928,3246,549.7832,1.0728108,0.010728109,0.00029588188,211.95184,300,,0.029588189,8.858305,549.7832,0.01478896,100,[-0.679  0.26  -0.495 -0.848 -0.078],3,34.478836
597.02344,71031400.0,180.09514,-1,9.999992,1.004681,180.09514467099962,19.02,2.160354,46.28871,True,170.11563,20.438723,129.93106,9.999992,2.0587027,,7.534732341766357,122.546844,5148,469.87982,2.773142,0.02773142,4.3937957e-06,988.5579,400,9.979524,0.00043937957,205.87027,459.9003,0.20438725,100,[-0.908  0.253 -0.606 -1.007 -0.233],4,1.8076502
214.9146,523128.2,247.67511,-1,9.999999,0.9785777,247.67513477650726,25.78,44.86237,2.2290397,True,247.67511,1.41819,157.48788,9.999999,0.0962014,,10.283432960510254,148.5014,7726,809.75006,1.0578179,0.01057818,0.00087745115,362.98065,500,,0.087745115,9.62014,809.75006,0.014181901,100,[-1.139  0.732 -1.042 -1.099 -0.414],5,35.74736
393.23407,11103532.0,322.53995,-1,9.999999,1.0251316,322.539954589156,33.27,14.575733,6.8607183,True,312.5601,4.1621346,198.90767,9.999999,0.41683123,,13.598836183547974,220.93587,11053,829.5938,1.4157002,0.014157002,0.0003405979,659.36536,600,9.979861,0.034059793,41.683125,819.61395,0.04162135,100,[-1.039  0.709 -1.123 -1.263 -0.44 ],6,10.369678
4056.8813,5313937000.0,351.53357,-1,9.999999,0.74614847,351.5335007843795,36.17,0.07798702,1282.2646,True,341.55313,136.97682,187.16592,9.999999,13.74787,,16.849820375442505,236.45126,14670,939.64264,15.678563,0.15678564,1.6540787e-10,8177.8296,700,9.980402,1.6540787e-08,1374.7871,929.66223,1.3697681,100,[-1.091  0.614 -1.159 -1.376 -0.394],7,1.2931994
4262.039,2842436000.0,427.3283,-1,9.999999,0.4921342,427.3283099723226,43.75,0.13448687,743.567,True,407.36215,90.960945,167.69514,9.999999,8.816339,,21.17157506942749,313.45978,19045,929.73267,11.954772,0.11954772,3.485077e-08,7367.0547,800,19.966152,3.485077e-06,881.6339,909.76654,0.9096094,100,[-1.229  0.574 -1.188 -1.311 -0.673],8,1.6979895
371.00504,3660122.5,470.02228,-1,10.0,0.40325633,470.0222906789708,48.02,28.44449,3.5156193,True,470.02228,2.7006266,179.80067,10.0,0.24389182,,25.68888568878174,320.65344,23847,1219.5913,1.2340963,0.012340963,0.00012092871,651.07135,900,,0.012092871,24.389183,1219.5913,0.027006265,100,[-1.156  0.646 -1.259 -1.491 -0.927],9,17.274595
399.01843,678128.2,484.42618,-1,9.999999,0.38192427,484.426154448563,49.46,41.92522,2.385199,True,474.44443,1.8160015,163.74112,9.999999,0.10463365,,30.328495025634766,342.3847,28793,1159.7637,1.3411041,0.01341104,0.00058487017,618.38855,1000,9.981793,0.05848702,10.463366,1149.7819,0.018160015,100,[-1.214  0.713 -1.333 -1.414 -1.016],10,35.290646
502.09076,17393180.0,479.9173,-1,10.0,0.40112618,479.9173295445429,49.01,15.50444,6.449765,True,459.94897,7.9211187,161.91882,10.0,0.7916912,,35.205952167510986,340.33292,33694,1139.7017,1.6120331,0.016120331,0.0006507836,856.58466,1100,19.968334,0.06507836,79.16912,1119.7333,0.07921118,100,[-1.305  0.751 -1.335 -1.329 -1.037],11,3.9769518
484.5973,1996283.2,471.0992,-1,10.0,0.3683336,471.09920155120665,48.13,37.4539,2.669949,True,461.11728,2.257676,179.65857,10.0,0.20831698,,40.242496967315674,349.88235,38507,989.73126,1.3137178,0.013137178,0.0007394653,682.66534,1200,9.981953,0.07394653,20.8317,979.7493,0.022576759,100,[-1.369  0.849 -1.326 -1.234 -1.018],12,25.294827
415.47333,151879.73,518.80634,-1,10.0,0.33798143,518.8063188188253,52.9,82.058426,1.2186439,True,518.80634,0.46461904,217.56384,10.0,0.023350557,,45.41119194030762,386.57483,43797,1079.6656,1.0347899,0.010347899,0.0016096454,561.4466,1300,,0.16096455,2.3350558,1079.6656,0.00464619,100,[-1.266  0.86  -1.244 -1.215 -1.051],13,83.22242
610.0519,12007986.0,560.4929,-1,10.0,0.45232117,560.4928924956184,57.07,9.641294,10.372052,True,290.70935,9.684929,195.96335,10.0,0.9759588,,50.82074451446533,397.68472,49504,1329.3228,1.9582379,0.01958238,0.00020814675,1134.3864,1400,269.78354,0.020814676,97.59589,1059.5392,0.096849285,100,[-1.307  0.867 -1.307 -1.25  -1.081],14,3.927682
498.84277,2834263.2,527.39044,-1,10.0,0.39512134,527.3904398642984,53.76,39.401592,2.5379684,True,517.409,1.747806,229.04576,10.0,0.10865695,,56.3039984703064,352.2795,54880,1429.7747,1.2078153,0.012078153,0.00032193886,777.812,1500,9.981448,0.032193888,10.865695,1419.7932,0.01747806,100,[-1.32   0.889 -1.362 -1.27  -0.967],15,32.320183
466.04575,279666.1,551.9934,-1,10.0,0.40394938,551.9933793388793,56.22,73.37154,1.3629264,True,532.0276,0.6391538,194.37532,10.0,0.035517443,,61.967427015304565,396.50153,60502,1269.5853,1.1147585,0.011147585,0.0019554144,647.5738,1600,19.965736,0.19554144,3.5517445,1249.6196,0.0063915374,100,[-1.305  0.936 -1.317 -1.234 -1.024],16,75.25941
