VarJ,AvgEpLen,MaxVanillaIw,J,MinNormIw,ESSRenyi,VarRet,VarNormIw,eRenyi2,VanillaAvgRet,AvgDiscRet,AvgNormIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,Bound,ESSClassic,BatchSize,MaxNormIw,AvgRet,VarVanillaIw
3178.2732,12.19,61.33199,1458.1987,,2.367700840767548,38126.43863718084,0.0058239535,42.235065,111.84176680219848,111.84176680219848,0.01,38126.43863718084,0.8092847,,452.0869,1.7048229401654607,100,0.75785434,111.84176680219848,38.143494
1031.9904,27.45,27.64568,672.0212,1.3695689e-05,22.24026011900911,73794.19979584016,0.0008081029,4.4963503,264.3721266510679,264.3721266510679,0.010000002,73794.19979584016,1.233261,0.0016890359,334.81976,11.110841665742349,100,0.2241673,264.3721266510679,12.290703
3375.6,64.23,22.830547,1883.0823,9.691637e-13,10.942647256641841,382372.0884010314,0.00085883687,9.1385565,632.1226194812957,632.1226194812957,0.01,382372.0884010314,1.1072158,1.0730733e-10,1063.8458,10.523564384784377,100,0.20619783,632.1226194812957,10.528711
5990.2217,144.3,94.57541,4070.5938,4.4261636e-08,9.030497962493552,1300899.6135066992,0.003892138,11.073586,1433.114978259166,1433.114978259166,0.01,1300899.6135066992,1.5196936,6.7264123e-06,2670.2627,2.529586189081296,100,0.6223321,1433.114978259166,89.8877
510.07788,360.43,4.9531593,4847.4243,2.2057126e-08,37.66063760028079,2888866.164217337,0.00014252319,2.6552923,3599.2538077258905,3599.2538077258905,0.010000002,2888866.164217337,1.199237,2.6451721e-06,4161.711,41.476912041243196,100,0.04130259,3599.2538077258905,2.0497248
168.79472,472.35,2.2092395,4949.4277,0.0005756973,74.73193376422536,780761.4276126745,4.3372533e-05,1.338116,4721.972616656306,4721.972616656306,0.01,780761.4276126745,0.9654959,0.055583335,4462.647,69.96000545285597,100,0.022881914,4721.972616656306,0.40431112
76.124756,498.32,1.1522646,4989.53,0.005308968,98.64766766565474,17535.988181031622,1.0830448e-06,1.0137087,4982.936359431537,4982.936359431537,0.01,17535.988181031622,1.0005528,0.5311903,4565.8447,98.93913803307048,100,0.01151628,4982.936359431537,0.010842426
101.21545,495.81,1.4825879,4986.333,0.0012725492,187.7834119662283,120588.82120434601,1.7362754e-06,1.0650568,4957.736226488042,4957.736226488042,0.005,120588.82120434601,1.0005358,0.2546462,4679.2485,187.0725488823571,200,0.007408969,4957.736226488042,0.06952547
48.70878,499.175,1.1444654,4995.367,0.0025878148,197.95989596767362,8350.259141143842,2.6028758e-07,1.0103056,4991.586048450607,4991.586048450607,0.005,8350.259141143842,1.0015113,0.5183452,4696.28,197.94935064584246,200,0.005713692,4991.586048450607,0.010442997
42.77629,499.385,1.1323436,4995.67,0.003171138,198.7757269491488,3898.920627510285,1.565514e-07,1.0061591,4993.676715856864,4993.676715856864,0.005,3898.920627510285,0.9982466,0.63311553,4697.1973,198.7615514360254,200,0.0056716627,4993.676715856864,0.0062401155
92.93846,498.7633333333333,1.2192165,4994.5693,0.001441716,293.806552844921,46149.068219588495,2.1148726e-07,1.02108,4987.525520601684,4987.525520601684,0.0033333336,46149.068219588495,1.0070347,0.43555743,4749.067,294.4147792293805,300,0.004035665,4987.525520601684,0.01930259
53.455376,499.44666666666666,1.1331704,4996.8584,0.0018483301,297.4440037004061,9296.689481970458,8.9786774e-08,1.0085932,4994.378010139817,4994.378010139817,0.0033333334,9296.689481970458,1.0015798,0.55537504,4752.862,297.6031554253927,300,0.0037712767,4994.378010139817,0.008106363
93.56631,498.995,1.2297702,4995.2646,0.001160583,392.44995608182,40613.14672716359,1.205021e-07,1.0192382,4989.863303107409,4989.863303107409,0.0025,40613.14672716359,0.9998555,0.4641661,4782.845,392.452295336589,400,0.0030748697,4989.863303107409,0.019274764
83.82679,498.736,1.2595848,4994.589,0.0006405381,485.8792456327325,38213.16769639656,1.3374422e-07,1.0290623,4987.224859693022,4987.224859693022,0.002,38213.16769639656,0.9910022,0.31738734,4803.6816,483.8541838302761,500,0.0025420424,4987.224859693022,0.03283706
0.054933466,500.0,1.0,4999.9497,0.002,500.0,0.0030245535759198037,5.431875e-20,1.0,4999.949251514379,4999.949251514379,0.0020000003,0.0030245535759198037,1.0,1.0,4811.7573,500.00000664260017,500,0.002,4999.949251514379,
8.0574875,499.954,1.0263339,4999.5884,0.0015023755,499.6979869849665,115.16807730588255,2.6909144e-09,1.0006044,4999.468115490604,4999.468115490604,0.002,115.16807730588255,0.9999487,0.7511492,4811.3394,499.66452544306003,500,0.0020527733,4999.468115490604,0.00067265955
18.155296,499.898,1.0432317,4999.135,0.0014858537,499.40145227894635,540.800403500819,5.5740017e-09,1.0011985,4998.906512563491,4998.906512563491,0.002,540.800403500819,0.9982818,0.74165034,4810.8296,499.30560879992424,500,0.0020900546,4998.906512563491,0.0013887159
163.91472,498.978,1.345975,4992.341,0.0011030755,493.46529416235455,49833.16867070804,5.4397546e-08,1.0132425,4989.683962446062,4989.683962446062,0.002,49833.16867070804,0.9967566,0.54974884,4802.9067,493.30479517791406,500,0.0027007095,4989.683962446062,0.013511312
20.823143,499.892,1.0406835,4999.0146,0.0016941755,499.56026637471786,605.1158401678999,2.9361338e-09,1.0008802,4998.845920797944,4998.845920797944,0.002,605.1158401678999,1.002014,0.8487938,4810.7397,499.6339409733475,500,0.0020771835,4998.845920797944,0.00073699316
0.060042225,500.0,1.0,4999.945,0.002,500.0,0.0036105651242824216,5.431875e-20,1.0,4999.943616519598,4999.943616519598,0.0020000003,0.0036105651242824216,1.0,1.0,4811.7524,500.00000664260017,500,0.002,4999.943616519598,
18.776081,499.902,1.0386796,4999.1035,0.0016804346,499.6172142224541,500.05338857745306,3.423953e-09,1.0007662,4998.943430661971,4998.943430661971,0.002,500.05338857745306,0.99929875,0.8396281,4810.8394,499.57324056567217,500,0.002078817,4998.943430661971,0.0008547882
0.056384735,500.0,1.0,4999.949,0.002,500.0,0.0031857670102112814,5.431875e-20,1.0,4999.948804357291,4999.948804357291,0.0020000003,0.0031857670102112814,1.0,1.0,4811.757,500.00000664260017,500,0.002,4999.948804357291,
155.5721,499.004,1.2588222,4992.987,0.0008413803,492.56381198438095,49799.506711997106,6.632828e-08,1.0150969,4989.965548480959,4989.965548480959,0.0019999999,49799.506711997106,1.0028672,0.42189634,4803.3794,491.860278617797,500,0.0025104466,4989.965548480959,0.016677294
146.17697,498.966,1.2557539,4993.1855,0.00069633423,490.9666460687882,50063.604263607274,7.654043e-08,1.0183991,4989.570011150403,4989.570011150403,0.002,50063.604263607274,0.99994594,0.3481483,4803.27,490.6305069472843,500,0.0025116436,4989.570011150403,0.019133035
