AvgRet,VarRet,VarNormIw,Bound,AvgVanillaIw,MaxVanillaIw,AvgNormIw,AvgDiscRet,eRenyi2,VarDiscRet,VarJ,Delta,ESSRenyi,MinNormIw,AvgEpLen,J,MaxNormIw,IterType,ESSClassic,MinVanillaIw,BatchSize,VanillaAvgRet,VarVanillaIw,EpsThisIter
-1482.8334426,157164.457279,6.58393e-05,-1737.94,1.14708,3.1709,0.01,-1482.8334426,1.65759,157164.457279,209.512,0.2,60.3286956433,2.14255e-05,500.0,-1229.69,0.0276432,1,60.539670534,0.00245768,100,-1482.8334426,0.866316,100
-1199.33399931,53438.0110194,7.94633e-06,-1571.65,1.0291,1.54641,0.01,-1199.33399931,1.07691,53438.0110194,140.122,0.2,92.8585463245,0.00191681,500.0,-1162.36,0.0150268,1,92.7068712462,0.197259,100,-1199.33399931,0.0841552,100
-1162.96733722,20705.512821,3.43034e-06,-1545.73,1.01185,1.25147,0.01,-1162.96733722,1.03054,20705.512821,65.7366,0.2,97.036741847,0.00302761,500.0,-1147.74,0.0123681,1,96.7155025204,0.306349,100,-1162.96733722,0.0351212,100
-1153.82783085,24840.6342848,1.96361e-06,-1544.85,1.00239,1.40552,0.01,-1153.82783085,1.02039,24840.6342848,114.888,0.2,98.0014664106,0.00371898,500.0,-1143.55,0.0140217,1,98.0931053772,0.372785,100,-1153.82783085,0.01973,100
-1167.69459873,22817.0389275,3.83941e-06,-1558.02,0.998909,1.37678,0.01,-1167.69459873,1.03107,22817.0389275,86.7678,0.2,96.9868055246,0.00381677,500.0,-1152.96,0.0137828,1,96.3381734629,0.381261,100,-1167.69459873,0.0383104,100
-1140.40548125,8588.54324773,1.09047e-06,-1530.17,0.98786,1.11771,0.01,-1140.40548125,1.00866,8588.54324773,64.0862,0.2,99.1412517437,0.00620315,500.0,-1136.48,0.0113145,1,98.9319703738,0.612785,100,-1140.40548125,0.0106415,100
-1145.8602608,3814.07930486,8.0407e-07,-1473.08,1.00922,1.21684,0.01,-1145.8602608,1.00851,3814.07930486,44.7782,0.2,99.1563104611,0.00697341,500.0,-1142.83,0.0120572,1,99.2102763912,0.703771,100,-1145.8602608,0.00818968,100
-1144.9140528,6970.97835994,1.05536e-06,-1531.85,1.00032,1.13178,0.01,-1144.9140528,1.0099,6970.97835994,38.5611,0.2,99.0192282631,0.00434019,500.0,-1139.77,0.0113142,1,98.9659750691,0.434158,100,-1144.9140528,0.0105603,100
-1128.3355923,2301.4354058,1.32533e-06,-1356.81,0.993258,1.48453,0.01,-1128.3355923,1.01264,2301.4354058,70.4103,0.2,98.7518124671,0.00799568,500.0,-1125.75,0.0149461,1,98.7049305613,0.794177,100,-1128.3355923,0.0130752,100
-1134.72471327,713.415721881,2.94986e-07,-1409.93,1.00355,1.09415,0.01,-1134.72471327,1.00265,713.415721881,20.9821,0.2,99.7358641674,0.0072571,500.0,-1133.92,0.0109028,1,99.7088378907,0.728286,100,-1134.72471327,0.00297084,100
-1131.8601783,1103.48842108,1.94448e-07,-1378.18,0.992358,1.1733,0.01,-1131.8601783,1.00227,1103.48842108,38.6425,0.2,99.7739904682,0.00909768,500.0,-1131.34,0.0118234,1,99.8078661084,0.902816,100,-1131.8601783,0.00191487,100
-1134.67043391,50.4438361066,8.15738e-09,-1374.0,1.00042,1.02355,0.01,-1134.67043391,1.00008,50.4438361066,6.89015,0.2,99.9923354302,0.00972474,500.0,-1134.65,0.0102311,1,99.9919625173,0.972887,100,-1134.67043391,8.16432e-05,100
-1140.66414232,7577.55040074,4.73147e-07,-1495.8,1.00741,1.08999,0.01,-1140.66414232,1.00585,7577.55040074,71.9745,0.2,99.4182298106,0.0071582,500.0,-1138.46,0.0108198,1,99.5337882767,0.721122,100,-1140.66414232,0.00480182,100
-1135.72987345,640.958495725,7.48584e-08,-1388.27,0.997095,1.06935,0.01,-1135.72987345,1.00067,640.958495725,24.6248,0.2,99.9327158953,0.00928462,500.0,-1135.55,0.0107247,1,99.9259313673,0.925764,100,-1135.72987345,0.000744241,100
-1127.66951309,3137.5623402,8.33383e-05,-1352.79,0.992862,8.71954,0.01,-1127.66951309,1.34189,3137.5623402,441.839,0.2,74.5215195496,0.00336753,500.0,-1083.25,0.0878223,1,54.7930553205,0.334349,100,-1127.66951309,0.821528,100
-1126.03011694,7677.25969879,3.06066e-06,-1456.6,1.00926,2.09914,0.01,-1126.03011694,1.02058,7677.25969879,106.298,0.2,97.9830709953,0.00800593,500.0,-1119.76,0.0207989,1,97.0590643961,0.808003,100,-1126.03011694,0.0311758,100
