J,VarVanillaIw,VarDiscRet,BatchSize,Bound,MinNormIw,VarNormIw,ESSRenyi,AvgRet,AvgVanillaIw,VarJ,MaxNormIw,MinVanillaIw,ESSClassic,MaxVanillaIw,VanillaAvgRet,eRenyi2,AvgEpLen,VarRet,AvgNormIw,AvgDiscRet
1034.7523,18.414482,33684.99627460922,100,619.3367,,0.0044867857,5.713115075646296,131.33238907022968,0.64063704,717.3045,0.5101453,,2.201712763456372,32.681797,131.33238907022968,17.503586,14.14,33684.99627460922,0.01,131.33238907022968
1264.4346,49.634785,57779.493907425305,100,644.1549,,0.0068636965,3.556431060434935,248.97449241725968,0.85038203,1095.8132,0.8251995,,1.450313866875776,70.17348,248.97449241725968,28.118076,25.91,57779.493907425305,0.010000002,248.97449241725968
3199.5278,61.132385,232884.1285514049,100,1800.7158,,0.008232358,4.333356200444834,408.3459694888605,0.8617347,2546.5298,0.9074862,,1.2121166600094642,78.20123,408.3459694888605,23.076801,41.85,232884.1285514049,0.01,408.3459694888605
2096.9912,55.378227,106695.88511977461,100,1131.9526,1.6039565e-22,0.005780908,4.234047137498962,529.4113341919237,0.97874945,2075.558,0.750146,1.5698717e-20,1.7172996344477787,73.420494,529.4113341919237,23.618065,53.96,106695.88511977461,0.01,529.4113341919237
4510.5225,17.029383,1719812.164407723,100,2999.9385,,0.001682413,7.760386693096694,1631.3397003772452,1.0060816,2409.4465,0.28814414,,5.66383332383181,28.989649,1631.3397003772452,12.885956,164.09,1719812.164407723,0.01,1631.3397003772452
4541.9634,12.311124,1732457.4581909147,100,3487.1716,8.371848e-33,0.00071347214,15.916204109422385,3244.8455289705635,1.3135916,1624.4178,0.17756477,1.099719e-30,12.401756228437424,23.324759,3244.8455289705635,6.282905,325.37,1732457.4581909147,0.010000002,3244.8455289705635
4731.0903,11.059102,1913921.1649249278,100,3639.9429,1.26827864e-17,0.001411024,14.87326548769534,3631.9374076750287,0.8853046,1278.1525,0.26623505,1.1228129e-15,6.680409999236367,23.569912,3631.9374076750287,6.723473,363.98,1913921.1649249278,0.010000002,3631.9374076750287
4428.488,1.146727,1433870.5768652125,100,3805.8767,1.6836346e-05,0.00014155637,45.68141017898431,4085.735614882846,0.9000473,1339.1866,0.055629365,0.0015153508,41.642242951084725,5.006906,4085.735614882846,2.1890743,409.18,1433870.5768652125,0.01,4085.735614882846
4624.342,1.7998687,1675280.5227179816,100,3928.732,2.1960738e-12,0.0001522322,36.59665003504089,4071.3642125434894,1.0873444,802.85706,0.04747996,2.3878888e-10,39.88673646116279,5.1627073,4071.3642125434894,2.7324905,407.75,1675280.5227179816,0.01,4071.3642125434894
4606.077,2.190545,733689.5089399631,100,4095.9065,1.3437609e-05,0.00021369735,68.0364732766539,4464.291362311994,1.0124568,795.8009,0.14077403,0.0013604998,32.09650408553116,14.252762,4464.291362311994,1.4697999,447.01,733689.5089399631,0.01,4464.291362311994
4629.6626,23.419888,1231324.7126677847,100,3975.5444,6.966572e-06,0.0011921213,41.38671971360966,4120.63222121922,1.4016262,1530.1035,0.34078777,0.00097645307,7.811279306198058,47.76571,4120.63222121922,2.416234,412.7,1231324.7126677847,0.010000002,4120.63222121922
