IterType,MaxNormIw,AvgNormIw,AvgVanillaIw,AvgRet,VarDiscRet,MaxVanillaIw,VarRet,ESSClassic,MinNormIw,VarNormIw,VanillaAvgRet,MinVanillaIw,BatchSize,EpsThisIter,J,Bound,VarJ,AvgDiscRet,ESSRenyi,VarVanillaIw,AvgEpLen,eRenyi2,Delta
1,0.0683792,0.01,1.49036,-297.610369948,24805.661666,10.191,24805.661666,21.2487247717,3.51437e-32,0.00037436,-297.610369948,5.23767e-30,100,100,-84.1582,-138.571,50.0179,-297.610369948,14.6937719668,8.31517,366.19,6.8056,0.8
1,0.043424,0.01,1.03893,-101.449385693,9005.84428199,4.51146,9005.84428199,43.0777166268,5.41417e-07,0.000133473,-101.449385693,5.62495e-05,100,100,-79.1466,-111.313,45.2053,-101.449385693,42.0433891613,1.44069,138.28,2.3785,0.8
1,0.0292031,0.01,1.06665,-98.2120253314,7969.84885075,3.11493,7969.84885075,54.6819487499,4.06102e-07,8.37129e-05,-98.2120253314,4.33167e-05,100,100,-84.7335,-113.01,57.1517,-98.2120253314,54.4091325998,0.95243,134.68,1.83793,0.8
1,0.0341122,0.01,1.04782,-95.6120782861,8043.21755995,3.57436,8043.21755995,76.4698178944,0.00361982,3.10814e-05,-95.6120782861,0.379294,100,100,-90.5923,-113.896,74.2165,-95.6120782861,80.1024411904,0.341254,131.7,1.2484,0.8
1,0.02456,0.01,1.0408,-95.5050429952,8008.57488827,2.55622,8008.57488827,83.5966514227,0.000241088,1.98202e-05,-95.5050429952,0.0250926,100,100,-90.2119,-113.3,80.0004,-95.5050429952,81.6080960882,0.214707,131.52,1.22537,0.8
1,0.0506182,0.01,0.90627,-106.602968501,10995.7724734,4.58737,10995.7724734,33.955331893,8.02148e-08,0.000196469,-106.602968501,7.26962e-06,100,100,-77.9677,-112.753,41.048,-106.602968501,35.9514873528,1.61365,144.15,2.78153,0.8
1,0.0206878,0.01,1.04226,-94.5689760342,6907.31938048,2.15621,6907.31938048,69.8768368099,1.52434e-05,4.35444e-05,-94.5689760342,0.00158877,100,100,-83.8783,-109.081,56.2414,-94.5689760342,68.484979258,0.473027,131.1,1.46017,0.8
1,0.0192605,0.01,1.0421,-81.7280371617,2534.27314145,2.00714,2534.27314145,76.1420439435,2.86782e-06,3.165e-05,-81.7280371617,0.000298856,100,100,-76.7277,-101.0,26.7965,-81.7280371617,73.79960724,0.343712,115.88,1.35502,0.8
1,0.0296907,0.01,0.924047,-90.0635499932,5840.26447071,2.74356,5840.26447071,51.9598432327,7.0386e-07,9.33902e-05,-90.0635499932,6.504e-05,100,100,-80.5285,-107.82,57.8431,-90.0635499932,58.402873759,0.797425,125.84,1.71224,0.8
1,0.0193411,0.01,1.00229,-90.2082508753,5833.47216482,1.93854,5833.47216482,88.7592999555,0.000684422,1.27922e-05,-90.2082508753,0.0685987,100,100,-86.2796,-108.355,65.6311,-90.2082508753,89.2647355681,0.128507,126.12,1.12026,0.8
