WReturnMean,ReturnStepMaxmin,StdIW,LearnableVariance,OptimizationReturnMax,MinTargetPdf,Bound,EpisodesSoFar,MaxIW,TimestepsSoFar,MeanD2-0,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,InitialReturnStd,MeanIW,InitialReturnMin,OptimizationReturnMean,MinIW,EpLenMean,ReturnMeanIW,ReturnStepMax,OptimizationReturnMin,Penalization,Epsilon,EmpiricalD2Harmonic,EpThisIter,InitialBound,Iteration,InitialReturnMax,MinBehavPdf,ESSRenyiHarmonic,VarianceInitializer,EmpiricalD2Arithmetic,StdWReturnMean,TimeElapsed,Weights,EpRewMean,Inner Iteration,InitialReturnMean
4968.1455,0.864828,10020.374,,100.40404,-88.9777,-7440873.0,1500,100767.266,433666,1.0,100.0,0.4189424,384969700.0,19.918486,1074.912,-161.21973,67.61212,0.0062444317,131.9,847701.2,0.864828,,True,2.0,1.0,100,-5304.1787,15,-60.81569,-88.9777,100.0,-1.0,1.0,,130.26494789123535,[0.124 1.017],-93.60759935364128,1,-93.6076
2298.2185,0.85923713,222362350.0,,73.010315,-81.6022,-3.0223755e+18,1600,2235385300.0,446105,1.0,100.0,0.4189424,2.89336e+32,18.104494,23240404.0,-132.43886,44.389706,0.4855203,124.39,17661430000.0,0.85923713,,True,2.0,1.0,100,-2475.9019,16,-59.428543,-81.6022,100.0,-1.0,1.0,,136.71031045913696,[0.142 1.077],-88.0491523873806,1,-88.04915
3702.883,0.85635257,86.90612,,95.48653,-103.961395,-2897469.5,1700,452.50876,460095,1.0,100.0,0.4189424,82632710.0,21.289333,45.529297,-156.20262,57.005672,0.105344556,139.9,134735.98,0.85635257,,True,2.0,1.0,100,-4006.8064,17,-60.71609,-103.961395,100.0,-1.0,1.0,,144.354008436203,[0.087 0.965],-99.1969419695437,1,-99.196945
7191.5244,0.8693659,177.08122,,125.42462,-103.82959,-9251915.0,1800,1602.5702,474931,1.0,100.0,0.4189424,291546600.0,22.15147,52.58499,-187.40765,81.85864,0.07096497,148.36,298301.8,0.8693659,,True,2.0,1.0,100,-7715.9033,18,-61.983036,-103.82959,100.0,-1.0,1.0,,153.2890603542328,[0.058 0.91 ],-105.54901388779282,1,-105.549
5089.649,0.8567494,733.2797,,104.41232,-110.625305,-26518626.0,1900,5442.021,490154,1.0,100.0,0.4189424,4856683500.0,24.524124,279.81042,-175.23033,66.99415,0.12154815,152.23,1193465.4,0.8567494,,True,2.0,1.0,100,-5453.048,19,-70.81801,-110.625305,100.0,-1.0,1.0,,162.23357605934143,[0.02 0.86],-108.23617785543203,1,-108.23618
6333.272,0.8613372,668.003,,115.266464,-104.17139,-26789492.0,2000,4790.6006,504301,1.0,100.0,0.4189424,3446862800.0,23.369816,153.07968,-177.00162,76.07315,0.02034546,141.47,788096.94,0.8613372,,True,2.0,1.0,100,-6776.152,20,-61.73515,-104.17139,100.0,-1.0,1.0,,170.64146423339844,[0.016 0.923],-100.92846656128764,1,-100.92847
11060.476,0.86580586,727.1019,,140.68967,-127.90304,-40934650.0,2100,4798.355,519997,1.0,100.0,0.4189424,3446719700.0,31.416817,234.20723,-213.2457,100.36664,0.026345659,156.96,2199415.2,0.86580586,,True,2.0,1.0,100,-11720.264,21,-72.55602,-127.90304,100.0,-1.0,1.0,,179.7321035861969,[0.01 0.86],-112.87906817302108,1,-112.879074
9856.215,0.8579309,19344774.0,,137.68759,-104.97931,-4423446400000000.0,2200,191276220.0,534324,1.0,100.0,0.4189424,4.8998587e+25,23.982695,2472896.0,-198.33452,96.33818,0.074181944,143.27,6174966300.0,0.8579309,,True,2.0,1.0,100,-10488.146,22,-60.646935,-104.97931,100.0,-1.0,1.0,,188.03071808815002,[0.008 0.923],-101.99633187934757,1,-101.99634
23362.562,0.8578235,1447.1526,,205.25719,-145.40785,-761696640.0,2300,12413.175,550681,1.0,100.0,0.4189424,289067470000.0,31.943048,365.2412,-267.1031,149.4731,0.013343082,163.57,6647699.5,0.8578235,,True,2.0,1.0,100,-24766.92,23,-61.8459,-145.40785,100.0,-1.0,1.0,,198.54320907592773,[0.082 0.822],-117.63000202253461,1,-117.63001
16148.254,0.86494195,744.87616,,169.59157,-124.422386,-19146578.0,2400,5337.9443,565641,1.0,100.0,0.4189424,287006600.0,28.130535,228.43152,-230.73573,123.923065,0.019980887,149.6,2904814.5,0.86494195,,True,2.0,1.0,100,-17106.969,24,-61.14417,-124.422386,100.0,-1.0,1.0,,209.29583621025085,[0.078 0.884],-106.81266747683287,1,-106.81267
