MeanEntropy,Inner Iteration,EpThisIter,TimeElapsed,EpLenMean,MinIW,ReturnStepMaxmin,MeanIW,Epsilon,EpRewMean,ReturnStepMax,LearnableVariance,OptimizationReturnMax,MaxIW,InitialReturnStd,StdWReturnMean,OptimizationReturnMean,InitialReturnMin,EpisodesSoFar,DivergenceHarmonic,Weights,InitialBound,TimestepsSoFar,ReturnMeanIW,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,Penalization,MeanD2-0,InitialReturnMean,InitialReturnMax,MinTargetPdf,Bound,VarianceInitializer,ESSRenyiHarmonic,MinBehavPdf,WReturnMean,OptimizationReturnMin,ESSRenyiArithmetic,StdIW,Iteration
0.4189424,1,100,16.578089952468872,500.0,0.061400075,0.8419927,70.130486,2.0,-416.1634341660142,0.8419927,,1.3797607,1570.4231,0.28396663,,0.49867553,-416.6621,100,5.126959e+18,[0. 0.],-0.39277422,50000,17.150007,1.0,1.0,True,1.0,-416.16345,-415.28235,-251.33458,-143686600.0,-1.0,100.0,-251.33458,0.32931435,,100.0,177.9316,1
0.4189424,1,100,36.863359451293945,500.0,1.5265871,0.84331656,2427.783,2.0,-412.4929263086617,0.84331656,,10.5763855,121056.18,2.7407556,,3.8888137,-416.38174,200,2.7068073e+28,[-0.001  0.25 ],-26.363386,100000,76411.05,1.0,1.0,True,1.0,-412.49292,-405.80536,-243.59082,-613454000000000.0,-1.0,100.0,-243.59082,22.634613,,100.0,12469.317,2
0.4189424,1,100,60.457247734069824,500.0,0.065067485,0.8487487,1560.3556,2.0,-401.1565854741633,0.8487487,,28.537354,75443.56,5.743495,,14.660127,-415.8167,300,716240360000000.0,[-0.01   0.375],-275.0538,150000,333720.38,1.0,1.0,True,1.0,-401.15656,-387.27936,-237.70619,-726833600.0,-1.0,100.0,-237.70619,247.90704,,100.0,7890.917,3
0.4189424,1,100,81.94217300415039,499.37,0.0050650034,0.85135627,88775.48,2.0,-390.6444028109312,0.85135627,,94.409515,4535120.0,11.07564,,23.731514,-414.37592,400,1.2596641e+20,[-0.015  0.437],-982.96747,199937,36805690.0,1.0,1.0,True,1.0,-390.6444,-319.9664,-240.72296,-3334590000000.0,-1.0,100.0,-240.72296,685.85455,,100.0,567990.94,4
0.4189424,1,100,101.33017253875732,469.94,0.030624285,0.8651416,488422.3,2.0,-346.3407251280546,0.8651416,,213.07117,11727362.0,46.287323,,51.876015,-398.21674,500,3.1921275e+28,[-0.011  0.499],-6346.981,246931,1194706000.0,1.0,1.0,True,1.0,-346.3407,-185.14557,-241.88376,-2.7037606e+17,-1.0,100.0,-241.88376,4833.6367,,100.0,1751072.0,5
0.4189424,1,100,120.65180277824402,340.95,0.17728516,0.86593616,19375650.0,2.0,-245.48467103525996,0.86593616,,257.71048,528380450.0,59.748386,,150.83209,-396.31677,600,6.401807e+27,[-0.01   0.562],-28534.047,281026,143540490000.0,1.0,1.0,True,1.0,-245.48466,-138.6063,-244.62285,-1.7713098e+17,-1.0,100.0,-244.62285,26320.191,,100.0,81279840.0,6
0.4189424,1,100,134.81122541427612,261.06,0.25795233,0.8631815,1139.5958,2.0,-188.09307097136974,0.8631815,,233.51114,38003.77,43.0496,,150.05505,-338.14813,700,4.7166854e+19,[-0.018  0.624],-26187.389,307132,23951448.0,1.0,1.0,True,1.0,-188.09308,-104.636986,-202.33652,-12482836000000.0,-1.0,100.0,-202.33652,24369.787,,100.0,4430.015,7
0.4189424,1,100,159.99415826797485,342.67,0.20851085,0.86248136,5907767.5,2.0,-246.87024339988827,0.86248136,,250.20096,420016450.0,56.40553,,141.85883,-388.72906,800,2.0516112e+27,[-0.031  0.563],-25392.225,341399,28259254000.0,1.0,1.0,True,1.0,-246.87024,-138.5281,-243.43245,-9.451578e+16,-1.0,100.0,-243.43245,23305.508,,100.0,44640384.0,8
0.4189424,1,100,179.28352618217468,243.22,0.061882585,0.86253595,74729.43,2.0,-174.01416857287288,0.86253595,,235.39761,5858144.5,44.589466,,155.78357,-329.79773,900,7.354126e+20,[-0.019  0.624],-28103.822,365721,698821600.0,1.0,1.0,True,1.0,-174.01416,-94.400116,-218.17531,-50090396000000.0,-1.0,100.0,-218.17531,26256.738,,100.0,589794.0,9
0.4189424,1,100,196.18076157569885,215.49,0.14495228,0.85966706,4887.9546,2.0,-155.82704799979925,0.85966706,,188.78058,426517.8,41.400658,,126.62475,-282.45178,1000,25698040000000.0,[-0.028  0.686],-18935.785,387270,70560290.0,1.0,1.0,True,1.0,-155.82704,-93.671196,-150.61716,-6092596700.0,-1.0,100.0,-150.61716,17747.838,,100.0,42425.258,10
0.4189424,1,100,210.9343466758728,187.28,0.19135198,0.8647084,3698.306,2.0,-134.02933984205126,0.8647084,,196.51242,188735.48,36.027805,,144.2259,-278.25525,1100,17510555000000.0,[-0.02   0.748],-23386.361,405998,50575276.0,1.0,1.0,True,1.0,-134.02934,-81.74283,-151.67679,-5437101000.0,-1.0,100.0,-151.67679,22099.113,,100.0,23274.459,11
0.4189424,1,100,223.1142611503601,167.58,0.3345826,0.86666155,1023.1445,2.0,-120.31450043767691,0.86666155,,171.02295,57470.676,30.016075,,123.08102,-243.39551,1200,11926995000.0,[0.005 0.805],-17024.865,422756,7634154.0,1.0,1.0,True,1.0,-120.31449,-72.37256,-122.750534,-114110480.0,-1.0,100.0,-122.750534,16049.899,,100.0,6121.998,12
0.4189424,1,100,233.6877043247223,149.61,0.11436439,0.8593151,470.481,2.0,-106.59859487578272,0.8593151,,118.75051,20323.648,23.540045,,73.575294,-180.17389,1300,6759018000.0,[-0.001  0.867],-6437.515,437717,1444239.2,1.0,1.0,True,1.0,-106.59859,-61.423378,-95.081116,-40089080.0,-1.0,100.0,-95.081116,5967.458,,100.0,2315.7405,13
0.4189424,1,100,244.8664481639862,141.72,0.10487223,0.8644331,169.93805,2.0,-101.08705314412713,0.8644331,,120.27801,7271.653,23.128077,,79.441635,-180.52869,1400,1792356400.0,[-0.005  0.93 ],-7328.1094,451889,800553.5,1.0,1.0,True,1.0,-101.08705,-60.25068,-104.054886,-21216212.0,-1.0,100.0,-104.054886,6845.8813,,100.0,808.0292,14
0.4189424,1,100,254.54851937294006,134.32,0.5161047,0.8653444,1175722.6,2.0,-95.4130010047555,0.8653444,,114.3146,97231820.0,23.021633,,80.1616,-175.5746,1500,4.5435352e+30,[-0.019  0.991],-7391.4727,465321,2815260000.0,1.0,1.0,True,1.0,-95.412994,-61.260002,-108.03337,-9.28494e+17,-1.0,100.0,-108.03337,6955.878,,100.0,9696388.0,15
0.4189424,1,100,267.135879278183,152.97,0.05037087,0.8666263,1365.7858,2.0,-109.0130202190578,0.8666263,,119.490906,94275.77,25.569698,,81.92951,-190.94254,1600,68866380000.0,[-0.088  0.886],-7842.1924,480618,5176017.0,1.0,1.0,True,1.0,-109.01303,-71.45163,-122.42883,-130073040.0,-1.0,100.0,-122.42883,7366.255,,100.0,9540.45,16
0.4189424,1,100,280.6723470687866,168.12,0.03240547,0.86585,1293.011,2.0,-120.54366755068303,0.86585,,166.05606,105116.06,30.05428,,117.150116,-237.69379,1700,517038740000.0,[-0.087  0.823],-15546.568,497430,13103109.0,1.0,1.0,True,1.0,-120.54367,-71.637726,-118.326935,-674024400.0,-1.0,100.0,-118.326935,14627.409,,100.0,10453.673,17
0.4189424,1,100,293.05558252334595,150.76,0.018600661,0.8651131,623.2375,2.0,-107.08761297389864,0.8651131,,137.44075,36262.344,27.23416,,90.42212,-197.50974,1800,287647360.0,[-0.091  0.886],-9547.525,512506,3856355.2,1.0,1.0,True,1.0,-107.087616,-60.068985,-124.76581,-14535585.0,-1.0,100.0,-124.76581,8917.859,,100.0,3782.7295,18
0.4189424,1,100,301.9679386615753,139.74,0.008394664,0.8558271,883.81714,2.0,-99.43087113544345,0.8558271,,97.67038,45019.863,21.51111,,59.63416,-159.06503,1900,1963324400.0,[-0.114  0.944],-4336.945,526480,1809928.4,1.0,1.0,True,1.0,-99.43088,-61.394653,-108.652176,-15899589.0,-1.0,100.0,-108.652176,4018.9607,,100.0,4906.0654,19
0.4189424,1,100,313.9982295036316,137.88,0.10331962,0.8640147,12137.631,2.0,-97.93413880333304,0.8640147,,116.59706,827912.94,23.659313,,78.98526,-176.91939,2000,2074555200000000.0,[-0.108  1.006],-7251.596,540268,38947750.0,1.0,1.0,True,1.0,-97.93413,-60.322327,-100.97183,-20679268000.0,-1.0,100.0,-100.97183,6798.4326,,100.0,86857.63,20
0.4189424,1,100,322.70836997032166,125.06,0.19888805,0.86288387,3634.3,2.0,-88.4162312272191,0.86288387,,74.939316,70527.45,18.11712,,46.76628,-135.18251,2100,5.6816516e+18,[-5.623e-04  1.070e+00],-2702.5115,552774,8524472.0,1.0,1.0,True,1.0,-88.41624,-60.243195,-90.55232,-446214640000.0,-1.0,100.0,-90.55232,2515.315,,100.0,10717.46,21
0.4189424,1,100,332.5603096485138,133.08,0.051996585,0.8625714,937769.2,2.0,-94.18962663128973,0.8625714,,83.713295,57837390.0,19.719944,,50.385998,-144.57562,2200,5.429118e+30,[-0.094  0.987],-3161.2227,566082,2916381700.0,1.0,1.0,True,1.0,-94.18963,-60.862328,-95.560074,-5.4429237e+17,-1.0,100.0,-95.560074,2927.625,,100.0,6052664.5,22
0.4189424,1,100,341.70718789100647,125.86,0.016477639,0.8595886,314.27924,2.0,-89.04929150447249,0.8595886,,108.315636,8653.504,21.483084,,69.72201,-158.7713,2300,2330747600.0,[-0.157  1.095],-5713.757,578668,1444844.8,1.0,1.0,True,1.0,-89.04929,-50.455666,-101.920074,-20325136.0,-1.0,100.0,-101.920074,5322.6816,,100.0,1184.0414,23
0.4189424,1,100,351.0253920555115,122.84,0.07211937,0.86926067,99280.31,2.0,-86.54256296262145,0.86926067,,74.03116,4216856.5,17.216051,,48.497982,-135.04054,2400,5.0157353e+20,[-0.145  1.156],-2831.1333,590952,97545016.0,1.0,1.0,True,1.0,-86.54257,-61.009388,-87.92284,-4091527800000.0,-1.0,100.0,-87.92284,2648.4463,,100.0,486546.9,24
