MinBehavPdf,ReturnStepMax,MeanD2-0,Penalization,VarianceInitializer,ReturnStepMaxmin,EpRewMean,ESSRenyiHarmonic,TimestepsSoFar,LearnableVariance,InitialBound,Bound,WReturnMean,StdIW,InitialReturnMax,MeanEntropy,Epsilon,InitialReturnMean,MaxIW,MinIW,Weights,ReturnMeanIW,EpThisIter,Inner Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,Iteration,InitialReturnMin,MeanIW,EmpiricalD2Harmonic,InitialReturnStd,EpLenMean,MinTargetPdf,EpisodesSoFar,DivergenceHarmonic,TimeElapsed,ESSRenyiArithmetic,OptimizationReturnMax,StdWReturnMean,OptimizationReturnMean
-251.77083,0.8420697,1.0,True,-1.0,0.8420697,-416.23742107138037,100.0,50000,,-0.2721063,-31410592.0,0.21090263,118.54371,-415.2864,0.4189424,2.0,-416.23743,779.7443,2.620536,[-0. -0.],11.460187,100,1,,1.0,1,-416.64142,66.40891,1.0,0.21837959,500.0,-251.77083,100,2.6340442e+17,13.676524877548218,100.0,1.355011,,0.4039963
-246.19241,0.84294176,1.0,True,-1.0,0.84294176,-412.63413073331117,100.0,100000,,-23.397753,-449256360000000.0,20.03222,5772.1187,-406.28973,0.4189424,2.0,-412.6341,35447.2,0.16211359,[0.005 0.25 ],65759.46,100,1,,1.0,2,-416.33777,1962.1434,1.0,2.513024,500.0,-246.19241,200,1.7819951e+28,30.0834219455719,100.0,10.048035,,3.7036374
-258.24246,0.8513653,1.0,True,-1.0,0.8513653,-401.6397593832016,100.0,150000,,-264.0186,-1.3432404e+19,246.09193,577937200.0,-393.16376,0.4189424,2.0,-401.63977,5799564300.0,4.340754,[0.009 0.375],14589200000.0,100,1,,1.0,3,-416.35394,66104212.0,1.0,5.4391885,500.0,-258.24246,300,5.614784e+35,48.067272424697876,100.0,23.190186,,14.714184
-245.52623,0.85568434,1.0,True,-1.0,0.85568434,-380.5083671019971,100.0,199702,,-1528.2258,-7090166400000000.0,1074.1014,673151.56,-290.91864,0.4189424,2.0,-380.50836,6272991.5,0.1018265,[-0.224  0.466],69087400.0,100,1,,1.0,4,-407.63794,126858.91,1.0,18.387165,497.02,-245.52623,400,2.437725e+26,69.50318503379822,100.0,116.7193,,27.12957
-246.06384,0.858858,1.0,True,-1.0,0.858858,-309.7050317363441,100.0,242455,,-15536.011,-6.5496407e+18,13851.801,155034640.0,-190.40033,0.4189424,2.0,-309.70505,1557125400.0,0.060040005,[-0.225  0.529],102059860000.0,100,1,,1.0,5,-415.17874,17294654.0,1.0,52.221615,427.53,-246.06384,500,1.5123735e+31,88.40622401237488,100.0,224.77841,,105.47371
-202.33508,0.86276704,1.0,True,-1.0,0.86276704,-217.3801322685182,100.0,272586,,-33073.336,-3540094600000000.0,30816.69,9133828.0,-125.88698,0.4189424,2.0,-217.38014,88425280.0,0.013198905,[-0.23   0.591],20237398000.0,100,1,,1.0,6,-386.07635,1375984.0,1.0,48.56205,301.31,-202.33508,600,2.4609845e+24,104.48684358596802,100.0,260.1894,,168.69623
-184.4732,0.8637881,1.0,True,-1.0,0.8637881,-170.36098380997777,100.0,296264,,-12782.32,-322281180000.0,11698.155,70439.01,-91.207184,0.4189424,2.0,-170.36098,624989.1,0.06342553,[-0.224  0.653],35114830.0,100,1,,1.0,7,-271.55304,12138.151,1.0,38.18799,236.78,-184.4732,700,8.8347245e+16,115.6911129951477,100.0,180.34586,,101.19205
-153.31586,0.86478853,1.0,True,-1.0,0.86478853,-145.62125767439605,100.0,316432,,-19067.738,-4997942300.0,17943.955,2126.939,-91.35318,0.4189424,2.0,-145.62126,20223.111,0.029913737,[-0.239  0.714],5063088.5,100,1,,1.0,8,-274.96478,483.73398,1.0,34.845474,201.68,-153.31586,800,19739865000000.0,126.6056900024414,100.0,183.6116,,129.34352
-138.45714,0.86311674,1.0,True,-1.0,0.86311674,-127.97139120727778,100.0,334273,,-17760.094,-127551220.0,16780.455,182.19823,-81.65207,0.4189424,2.0,-127.97139,1169.1871,0.051955536,[-0.262  0.772],1331460.9,100,1,,1.0,9,-253.08426,74.91055,1.0,33.57417,178.41,-138.45714,900,16600747000.0,134.74051547050476,100.0,171.43219,,125.11286
-134.41139,0.85843635,1.0,True,-1.0,0.85843635,-140.9302049343288,100.0,353846,,-11540.962,-115659014000.0,10732.513,53314.203,-81.82478,0.4189424,2.0,-140.93022,536068.1,0.059656914,[-0.238  0.714],23730228.0,100,1,,1.0,10,-237.55948,5893.0005,1.0,37.353653,195.73,-134.41139,1000,2.0458875e+16,145.558935880661,100.0,155.7347,,96.62928
