InitialBound,OptimizationReturnMin,WReturnMean,VarianceInitializer,ESSRenyiArithmetic,MeanD2-0,TimestepsSoFar,MinTargetPdf,ReturnMeanIW,ReturnStepMax,InitialReturnMean,EpLenMean,DivergenceHarmonic,InitialReturnStd,InitialReturnMin,MeanEntropy,EpisodesSoFar,EpThisIter,Weights,EmpiricalD2Arithmetic,MeanIW,Inner Iteration,StdWReturnMean,StdIW,OptimizationReturnMean,ESSRenyiHarmonic,EpRewMean,TimeElapsed,OptimizationReturnMax,MaxIW,InitialReturnMax,LearnableVariance,Iteration,ReturnStepMaxmin,Epsilon,MinIW,EmpiricalD2Harmonic,MinBehavPdf,Bound,Penalization
-0.29983175,,0.2249607,-1.0,100.0,1.0,50000,-251.52248,9.9147,0.8419534,-416.22824,500.0,5.931266e+18,0.25235885,-416.62982,0.4189424,100,100,[ 0. -0.],1.0,68.10203,1,,145.01111,0.40159148,100.0,-416.22822964921596,15.268727540969849,1.4986877,914.03705,-415.13113,,1,0.8419534,2.0,0.27069497,1.0,-251.52248,-182337000.0,True
-28.916769,,23.433937,-1.0,100.0,1.0,100000,-251.67047,41228.492,0.84424984,-412.5078,500.0,2.2226286e+33,2.9153285,-416.37238,0.4189424,200,100,[0.016 0.25 ],1.0,1038.9114,1,,2927.6147,3.8645566,100.0,-412.5078161025047,34.575613498687744,12.824982,23120.2,-403.5474,,2,0.84424984,2.0,0.21077885,1.0,-251.67047,-2.5847926e+17,True
-305.85382,,279.0597,-1.0,100.0,1.0,150000,-248.15001,156075.25,0.84890354,-401.2411,500.0,1253119100000000.0,7.056359,-416.38266,0.4189424,300,100,[0.014 0.375],1.0,574.54846,1,,2153.0652,15.1415825,100.0,-401.24107890620826,57.86601400375366,28.35141,19971.652,-388.03125,,3,0.84890354,2.0,0.105941,1.0,-248.15001,-948627500.0,True
-602.7495,,539.52545,-1.0,100.0,1.0,200000,-255.00012,4361604.5,0.8544165,-390.20364,500.0,2.6945847e+21,8.41385,-411.85388,0.4189424,400,100,[0.019 0.437],1.0,7022.82,1,,41687.285,21.650234,100.0,-390.2036502249539,82.73722386360168,43.55081,396165.5,-368.30307,,4,0.8544165,2.0,0.08635576,1.0,-255.00012,-3281842600000.0,True
-6594.865,,5247.1396,-1.0,100.0,1.0,246858,-243.54688,621829500.0,0.8576923,-345.6145,468.58,4.7913447e+28,48.658257,-399.2756,0.4189424,500,100,[0.019 0.499],1.0,405602.62,1,,1939633.4,53.66111,100.0,-345.6144999155402,116.57895398139954,201.07433,16679137.0,-198.20128,,5,0.8576923,2.0,0.40155962,1.0,-243.54688,-2.949991e+17,True
-26378.027,,24131.174,-1.0,100.0,1.0,280348,-222.24756,8234958000.0,0.8618293,-240.76093,334.9,5.3440093e+25,56.31883,-385.5344,0.4189424,600,100,[0.021 0.562],1.0,969145.44,1,,5234044.0,144.77348,100.0,-240.76091366574167,148.06684684753418,259.62396,39061656.0,-125.910416,,6,0.8618293,2.0,0.77183276,1.0,-222.24756,-1.6424877e+16,True
-15443.416,,14153.8955,-1.0,100.0,1.0,304865,-180.68027,184059280.0,0.86130786,-177.62172,245.17,7.197382e+18,40.95898,-289.3189,0.4189424,700,100,[0.025 0.624],1.0,26794.36,1,,163693.5,111.69717,100.0,-177.62173932105304,173.52655220031738,196.68568,1227053.6,-92.633224,,7,0.86130786,2.0,0.0027925125,1.0,-180.68027,-3459669600000.0,True
-16682.0,,15480.733,-1.0,100.0,1.0,326461,-147.47606,20947468.0,0.8644915,-155.42197,215.96,8498312000000000.0,39.692833,-273.34235,0.4189424,800,100,[0.022 0.687],1.0,5684.0117,1,,34786.133,117.920364,100.0,-155.42198027074338,202.4508752822876,189.83597,305274.7,-83.50638,,8,0.8644915,2.0,0.12016233,1.0,-147.47606,-110760340000.0,True
-22481.373,,21223.34,-1.0,100.0,1.0,345600,-174.60461,6188522.0,0.869457,-137.7514,191.39,337223480000.0,41.463455,-277.40857,0.4189424,900,100,[0.023 0.749],1.0,406.68683,1,,1264.476,139.65717,100.0,-137.75141135320067,224.4553279876709,194.26985,10472.419,-83.13872,,9,0.869457,2.0,0.04053346,1.0,-174.60461,-736736060.0,True
-7368.8003,,6831.7617,-1.0,100.0,1.0,362529,-115.26358,1142364.4,0.86061764,-122.00642,169.29,83470500000.0,31.61877,-198.37404,0.4189424,1000,100,[0.024 0.812],1.0,358.09363,1,,1648.7333,76.36763,100.0,-122.00640682682395,244.4154772758484,126.929375,15226.587,-71.444664,,10,0.86061764,2.0,0.030690715,1.0,-115.26358,-156298720.0,True
