InitialReturnMin,StdIW,MinBehavPdf,MinIW,EpRewMean,Bound,OptimizationReturnMean,VarianceInitializer,EpThisIter,InitialBound,OptimizationReturnMin,Iteration,Weights,LearnableVariance,EpisodesSoFar,Penalization,EmpiricalD2Arithmetic,WReturnMean,ESSRenyiArithmetic,ReturnStepMaxmin,MeanEntropy,TimeElapsed,DivergenceHarmonic,InitialReturnStd,EpLenMean,ReturnStepMax,InitialReturnMean,ReturnMeanIW,Inner Iteration,MeanIW,EmpiricalD2Harmonic,MaxIW,InitialReturnMax,MeanD2-0,Epsilon,OptimizationReturnMax,MinTargetPdf,StdWReturnMean,ESSRenyiHarmonic,TimestepsSoFar
-416.5238,734.0438,-263.0848,0.09974735,-416.1773861196637,-261433900.0,0.34641814,-1.0,100,-0.24615508,,1,[ 0. -0.],,100,True,1.0,0.19269297,100.0,0.84200704,0.4189424,21.482257604599,2.3914283e+19,0.26960605,500.0,0.84200704,-416.17737,14.540426,1,153.8964,1.0,6550.6724,-415.2574,1.0,2.0,1.2664185,-263.0848,,100.0,50000
-416.58212,2657.0369,-253.78949,0.016002998,-412.20470326527953,-8951143000000000.0,4.37742,-1.0,100,-30.7692,,2,[-0.012  0.25 ],,200,True,1.0,26.591766,100.0,0.8430215,0.4189424,45.88025212287903,4.5915946e+30,2.725795,500.0,0.8430215,-412.20468,49488.85,1,1268.492,1.0,15806.593,-405.3875,1.0,2.0,11.194611,-253.78949,,100.0,100000
-415.78998,5605.3296,-257.53552,0.041373298,-400.08868205353616,-8843620000.0,15.7013,-1.0,100,-318.3189,,3,[-0.008  0.375],,300,True,1.0,284.69513,100.0,0.8488655,0.4189424,74.13668417930603,6.9176083e+16,6.177729,500.0,0.8488655,-400.08868,347677.12,1,1417.2083,1.0,41810.37,-384.03015,1.0,2.0,31.759827,-257.53552,,100.0,150000
-407.57468,427299.28,-249.17566,0.097573586,-389.55715221732856,-220614970000000.0,18.017525,-1.0,100,-484.56577,,4,[-0.006  0.437],,400,True,1.0,397.0742,100.0,0.8517156,0.4189424,114.09595990180969,6.358574e+24,8.511347,500.0,0.8517156,-389.55716,12024891.0,1,47130.594,1.0,4297304.5,-356.34305,1.0,2.0,51.23163,-249.17566,,100.0,200000
-403.96405,1526536200.0,-255.19861,0.1252755,-343.8257979081571,-1.1791561e+18,60.138256,-1.0,100,-7044.079,,5,[-0.002  0.499],,500,True,1.0,5732.5874,100.0,0.86275905,0.4189424,168.2898347377777,8.084067e+29,45.99976,468.86,0.86275905,-343.8258,259276240000.0,1,162820160.0,1.0,15327454000.0,-205.61107,1.0,2.0,198.35298,-255.19861,,100.0,246886
-373.15015,3543585.5,-213.06596,0.030038375,-233.51221875309943,-1.0762035e+16,139.63794,-1.0,100,-23765.582,,6,[-1.789e-04  5.619e-01],,600,True,1.0,22102.004,100.0,0.8600438,0.4189424,214.78758597373962,4.185181e+25,51.022095,324.89,0.8600438,-233.5122,1052693570.0,1,473879.56,1.0,35028536.0,-149.75217,1.0,2.0,223.39798,-213.06596,,100.0,279375
-359.45288,173770.14,-206.0628,0.057109036,-185.63662794575094,-12659410000000.0,173.81625,-1.0,100,-34134.26,,7,[0.005 0.624],,700,True,1.0,32142.158,100.0,0.8646608,0.4189424,250.31490182876587,4.0380185e+19,43.93255,257.94,0.8646608,-185.63663,648542700.0,1,36798.926,1.0,1255290.0,-114.9893,1.0,2.0,244.46358,-206.0628,,100.0,305169
-265.4054,822782.9,-185.79417,0.014049732,-151.29714265137912,-13848734000.0,114.10826,-1.0,100,-15510.351,,8,[0.007 0.687],,800,True,1.0,14521.668,100.0,0.8630165,0.4189424,274.5039291381836,167931000000000.0,38.742428,210.55,0.8630165,-151.29713,1036666400.0,1,93836.92,1.0,8250348.0,-93.18384,1.0,2.0,172.22156,-185.79417,,100.0,326224
-215.44568,5171637.0,-118.891205,0.044150647,-129.14647763475776,-2.5400179e+16,86.2992,-1.0,100,-8984.755,,9,[0.002 0.749],,900,True,1.0,8297.643,100.0,0.8569214,0.4189424,297.8968858718872,1.3665434e+27,29.15631,180.31,0.8569214,-129.14647,6635996700.0,1,1168070.2,1.0,34343160.0,-71.872574,1.0,2.0,143.5731,-118.891205,,100.0,344255
-202.83528,287.54767,-141.7575,0.044990536,-113.78811735689641,-6417659.0,89.047165,-1.0,100,-9186.755,,10,[0.096 0.831],,1000,True,1.0,8633.188,100.0,0.8662559,0.4189424,318.50298523902893,107325144.0,26.529066,159.15,0.8662559,-113.78812,682852.94,1,91.67759,1.0,1850.2129,-73.96742,1.0,2.0,128.86786,-141.7575,,100.0,360170
