InitialReturnMax,OptimizationReturnMin,InitialReturnMean,StdWReturnMean,TimeElapsed,VarianceInitializer,EmpiricalD2Arithmetic,ReturnStepMax,MinBehavPdf,TimestepsSoFar,WReturnMean,MinTargetPdf,DivergenceHarmonic,EmpiricalD2Harmonic,MaxIW,Iteration,InitialReturnMin,Bound,EpisodesSoFar,LearnableVariance,Epsilon,ESSRenyiHarmonic,MeanIW,EpLenMean,MeanEntropy,EpThisIter,ESSRenyiArithmetic,StdIW,ReturnStepMaxmin,Penalization,InitialBound,OptimizationReturnMax,MeanD2-0,MinIW,InitialReturnStd,ReturnMeanIW,Weights,OptimizationReturnMean,EpRewMean,Inner Iteration
-415.46753,,-416.18582,,9.42129135131836,-1.0,1.0,0.84202474,-259.62247,50000,0.2119063,-259.62247,7.844917e+16,1.0,1592.0411,1,-416.57593,-11470054.0,100,,2.0,100.0,91.678604,500.0,0.4189424,100,100.0,184.15378,0.84202474,True,-0.2528591,1.1083984,1.0,0.57628816,0.24441496,19.360228,[-0.  0.],0.39008668,-416.1858410158753,1
-404.44983,,-412.38898,,19.854617834091187,-1.0,1.0,0.84416664,-251.99771,100000,23.443567,-251.99771,1.657064e+32,1.0,35496.996,2,-416.2751,-6.0002527e+16,200,,2.0,100.0,1474.3806,500.0,0.4189424,100,100.0,4904.4707,0.84416664,True,-28.104927,11.825256,1.0,0.90064436,2.888216,75863.27,[0.013 0.25 ],3.8861005,-412.38898391470315,1
-384.92786,,-400.2759,,33.441608905792236,-1.0,1.0,0.84887207,-249.19202,150000,263.93314,-249.19202,3.3949848e+16,1.0,81823.266,3,-415.30048,-5666238500.0,300,,2.0,100.0,1451.1167,500.0,0.4189424,100,100.0,8604.257,0.84887207,True,-294.68384,30.37262,1.0,0.13633847,6.1802974,426602.38,[0.012 0.375],15.024549,-400.27592880412936,1
-372.78986,,-390.92456,,46.85367822647095,-1.0,1.0,0.8561107,-254.95831,200000,586.46844,-254.95831,2.6590667e+20,1.0,350341.12,4,-413.6892,-909242140000.0,400,,2.0,100.0,12076.5,500.0,0.4189424,100,100.0,42024.56,0.8561107,True,-642.22845,40.899353,1.0,0.59307736,8.260774,6943655.0,[0.012 0.437],22.764624,-390.92458399161694,1
-172.88443,,-345.26617,,62.87598633766174,-1.0,1.0,0.85878396,-238.80191,246852,7498.3184,-238.80191,1.4297064e+30,1.0,94493740.0,5,-416.23865,-2.3603692e+18,500,,2.0,100.0,1230495.5,468.52,0.4189424,100,100.0,9458928.0,0.85878396,True,-9472.404,243.35422,1.0,0.009501158,49.61074,2996314000.0,[0.023 0.499],70.97249,-345.2661661796272,1
-127.36124,,-239.16833,,74.34184408187866,-1.0,1.0,0.8658934,-218.91104,280268,20282.064,-218.91104,2.0986896e+28,1.0,60159270.0,6,-371.05203,-2.8676827e+17,600,,2.0,100.0,1222707.4,334.16,0.4189424,100,100.0,7198720.5,0.8658934,True,-22261.6,243.6908,1.0,0.021515338,53.747116,3543791600.0,[0.025 0.561],131.8837,-239.1683263504505,1
-103.78732,,-182.31311,,83.05959916114807,-1.0,1.0,0.86193585,-184.33467,305510,15028.724,-184.33467,220640520000000.0,1.0,21649.27,7,-295.9032,-18286047000.0,700,,2.0,100.0,716.1881,252.42,0.4189424,100,100.0,2628.264,0.86193585,True,-16259.02,192.11588,1.0,0.017130766,46.108696,11446427.0,[0.023 0.624],113.590096,-182.31309233814477,1
-128.78171,,-235.94069,,96.1509838104248,-1.0,1.0,0.8603437,-240.75543,338243,25587.18,-240.75543,6.6016124e+25,1.0,342566900.0,8,-386.518,-1.7991027e+16,800,,2.0,100.0,5049162.0,327.33,0.4189424,100,100.0,36525890.0,0.8603437,True,-27801.477,257.7363,1.0,0.07497225,53.978283,43049850000.0,[-0.003  0.567],150.5773,-235.94070153728129,1
-104.52614,,-170.97127,,104.74113512039185,-1.0,1.0,0.863388,-209.83612,362104,41499.387,-209.83612,3.0004079e+16,1.0,1340865.2,9,-371.1288,-411616100000.0,900,,2.0,100.0,43950.477,238.61,0.4189424,100,100.0,200438.97,0.863388,True,-43868.64,266.60266,1.0,0.018982872,37.899036,1225070600.0,[0.002 0.629],200.15756,-170.9712600493431,1
-84.86514,,-148.189,,112.95267796516418,-1.0,1.0,0.8610738,-143.54141,382749,9564.686,-143.54141,214778670.0,1.0,5509.0693,10,-239.13112,-13421038.0,1000,,2.0,100.0,193.32681,206.45,0.4189424,100,100.0,811.14667,0.8610738,True,-10357.957,154.26598,1.0,0.046535704,35.9752,1795457.4,[-0.011  0.69 ],90.94213,-148.1889871326089,1
