WReturnMean,DivergenceHarmonic,OptimizationReturnMin,Penalization,MaxIW,ReturnStepMax,ESSRenyiArithmetic,OptimizationReturnMax,ReturnStepMaxmin,EpThisIter,EpisodesSoFar,EmpiricalD2Arithmetic,MinIW,MinTargetPdf,OptimizationReturnMean,EpLenMean,EmpiricalD2Harmonic,InitialReturnStd,Inner Iteration,InitialReturnMean,InitialBound,StdWReturnMean,ReturnMeanIW,Weights,MinBehavPdf,ESSRenyiHarmonic,Iteration,TimestepsSoFar,MeanIW,StdIW,Bound,MeanEntropy,EpRewMean,TimeElapsed,MeanD2-0,Epsilon,InitialReturnMax,VarianceInitializer,LearnableVariance,InitialReturnMin
0.2304872,4.2781946e+17,,True,3761.5051,0.8418396,100.0,1.2835388,0.8418396,100,100,1.0,0.32667992,-255.37688,0.40082154,500.0,1.0,0.26425233,1,-416.1971,-0.28540456,,21.247623,[0. 0.],-255.37688,100.0,1,50000,122.334816,439.16943,-35919252.0,0.4189424,-416.1971074965596,17.73475980758667,1.0,2.0,-415.3144,-1.0,,-416.59793
25.407057,1.9503574e+31,,True,36392.05,0.8428356,100.0,11.20636,0.8428356,100,200,1.0,0.9674306,-258.95447,4.2672353,500.0,1.0,2.6828642,1,-412.25525,-29.593262,,58373.184,[0.004 0.25 ],-258.95447,100.0,2,100000,1554.6669,4627.6826,-1.8486937e+16,0.4189424,-412.2552281104028,34.05988144874573,1.0,2.0,-405.3161,-1.0,,-416.52246
266.96542,2.0288491e+16,,True,26710.447,0.8517447,100.0,31.084015,0.8517447,100,300,1.0,0.06514696,-241.60411,15.020134,500.0,1.0,6.4312515,1,-400.69373,-299.1735,,183525.67,[-0.002  0.375],-241.60411,100.0,3,150000,731.4291,3075.359,-4587702000.0,0.4189424,-400.6936730697751,50.62890076637268,1.0,2.0,-384.6298,-1.0,,-415.7138
816.0928,3.646185e+22,,True,477181.94,0.8527743,100.0,51.114594,0.8527743,100,400,1.0,0.017284367,-246.68759,26.797073,500.0,1.0,9.899982,1,-389.57397,-903.18506,,8230073.5,[-3.830e-04  4.373e-01],-246.68759,100.0,4,200000,9512.59,49734.64,-16629843000000.0,0.4189424,-389.573992395103,66.83351111412048,1.0,2.0,-365.25647,-1.0,,-416.37106
5857.992,2.073367e+29,,True,20213654.0,0.86076343,100.0,209.5249,0.86076343,100,500,1.0,0.07089571,-244.42262,56.36839,462.45,1.0,51.774483,1,-339.3844,-7321.38,,314485900.0,[7.344e-05 4.998e-01],-244.42262,100.0,5,246245,301408.34,2029122.8,-6.663281e+17,0.4189424,-339.3844173000753,81.66359853744507,1.0,2.0,-186.2279,-1.0,,-395.7528
22907.08,7.58795e+27,,True,1809773200.0,0.857749,100.0,260.17847,0.857749,100,600,1.0,0.037593868,-227.48425,140.12756,332.54,1.0,57.19573,1,-239.09933,-25163.541,,22610370000.0,[0.003 0.562],-227.48425,100.0,6,279499,18442364.0,180043140.0,-1.9655483e+17,0.4189424,-239.09934952065348,91.62688326835632,1.0,2.0,-119.048416,-1.0,,-379.2269
23832.0,7.627418e+21,,True,4824075.5,0.8582809,100.0,237.98784,0.8582809,100,700,1.0,0.020967605,-199.15,145.5717,259.66,1.0,51.38952,1,-187.3384,-25719.959,,824048300.0,[0.013 0.624],-199.15,100.0,7,305465,94222.82,513139.03,-164884260000000.0,0.4189424,-187.338404173553,100.4336633682251,1.0,2.0,-94.92226,-1.0,,-332.9101
20436.363,335815400000000.0,,True,121263.24,0.8595655,100.0,196.69371,0.8595655,100,800,1.0,0.033866458,-179.43062,137.14612,212.4,1.0,40.33987,1,-153.88387,-21725.986,,59118424.0,[0.014 0.686],-179.43062,100.0,8,326705,3847.1785,16604.473,-23691635000.0,0.4189424,-153.88387471884488,107.52481007575989,1.0,2.0,-94.33629,-1.0,,-291.03
16173.48,2.1379226e+16,,True,112508.39,0.85867715,100.0,185.48595,0.85867715,100,900,1.0,0.4168175,-134.67801,122.15694,186.92,1.0,35.371796,1,-135.52876,-17320.322,,19464432.0,[0.029 0.747],-134.67801,100.0,9,345397,2169.1794,11773.271,-167705440000.0,0.4189424,-135.52876493439078,114.17837381362915,1.0,2.0,-72.19975,-1.0,,-257.6857
10819.5,130465540000.0,,True,7695.6465,0.8683876,100.0,153.23763,0.8683876,100,1000,1.0,0.048306853,-112.83923,100.63103,172.1,1.0,26.322931,1,-123.426056,-11602.2295,,3772528.5,[-0.219  0.781],-112.83923,100.0,10,362607,332.78372,1099.2399,-286493150.0,0.4189424,-123.42606646180153,120.38280653953552,1.0,2.0,-70.81947,-1.0,,-224.0571
7410.4067,8875101000000000.0,,True,17776.71,0.8633537,100.0,138.36191,0.8633537,100,1100,1.0,0.044963084,-127.66365,81.46142,193.32,1.0,27.828852,1,-138.69145,-8048.545,,3131787.5,[-0.226  0.719],-127.66365,100.0,11,381939,756.8804,2666.2756,-60120297000.0,0.4189424,-138.6914472401142,126.07188868522644,1.0,2.0,-81.790955,-1.0,,-220.15286
6816.195,45796270000.0,,True,196161.05,0.86049896,100.0,119.53974,0.86049896,100,1200,1.0,0.014540244,-119.262085,78.057175,171.64,1.0,26.893734,1,-122.98198,-7292.522,,9728094.0,[-0.222  0.782],-119.262085,100.0,12,399103,2569.2803,19863.094,-111661950.0,0.4189424,-122.98197983175515,134.1401219367981,1.0,2.0,-81.49941,-1.0,,-201.03915
10864.735,19474350000.0,,True,12465.752,0.86268663,100.0,142.36452,0.86268663,100,1300,1.0,0.14411423,-159.50989,100.42222,158.78,1.0,27.93048,1,-113.45533,-11540.326,,6094087.5,[-0.227  0.844],-159.50989,100.0,13,414981,560.52075,2065.9873,-100372824.0,0.4189424,-113.4553343707323,140.5683889389038,1.0,2.0,-71.51305,-1.0,,-213.87756
9744.211,4.246541e+34,,True,81328290.0,0.85803163,100.0,143.03523,0.85803163,100,1400,1.0,0.81622607,-103.971725,95.01015,151.44,1.0,26.782164,1,-108.199486,-10426.182,,26622943000.0,[-0.221  0.906],-103.971725,100.0,14,430125,3292130.5,13056006.0,-1.4053434e+20,0.4189424,-108.19948345199228,145.2335386276245,1.0,2.0,-60.174393,-1.0,,-203.20963
10979.676,5954697700.0,,True,250587.72,0.8590304,100.0,150.37363,0.8590304,100,1500,1.0,0.09241889,-128.0963,101.07074,169.63,1.0,27.647493,1,-120.848694,-11733.42,,21427664.0,[-0.282  0.797],-128.0963,100.0,15,447088,2834.4688,24960.707,-79591360.0,0.4189424,-120.84870225444436,151.42502117156982,1.0,2.0,-71.54581,-1.0,,-221.91943
9237.838,1.1816393e+16,,True,28252.78,0.8640531,100.0,143.07959,0.8640531,100,1600,1.0,0.011740424,-125.708916,91.4126,185.68,1.0,29.691368,1,-133.535,-9920.234,,2246527.8,[-0.265  0.737],-125.708916,100.0,16,465656,575.3031,2934.6335,-74180500000.0,0.4189424,-133.53501260638237,157.51467847824097,1.0,2.0,-81.86801,-1.0,,-224.9476
15177.969,2369118500000.0,,True,37259.613,0.85795677,100.0,168.35437,0.85795677,100,1700,1.0,0.16694601,-147.25366,117.51263,172.79,1.0,36.99663,1,-124.56271,-16122.747,,9639805.0,[-0.259  0.799],-147.25366,100.0,17,482935,795.9699,4631.2476,-1463829100.0,0.4189424,-124.56271905988454,163.91017961502075,1.0,2.0,-73.72098,-1.0,,-242.07535
