EpThisIter,InitialReturnMean,InitialReturnMin,ESSRenyiArithmetic,DivergenceHarmonic,ESSRenyiHarmonic,Iteration,StdIW,InitialReturnStd,LearnableVariance,StdWReturnMean,TimeElapsed,ReturnStepMaxmin,OptimizationReturnMean,MinBehavPdf,Penalization,InitialBound,MinIW,EmpiricalD2Harmonic,MeanEntropy,OptimizationReturnMin,EpRewMean,ReturnStepMax,MeanIW,EpLenMean,TimestepsSoFar,MinTargetPdf,EpisodesSoFar,Epsilon,Inner Iteration,InitialReturnMax,VarianceInitializer,MeanD2-0,WReturnMean,Weights,Bound,MaxIW,ReturnMeanIW,EmpiricalD2Arithmetic,OptimizationReturnMax
100,-416.13876,-416.61084,100.0,8.682717e+20,100.0,1,124.6667,0.31363815,,,10.19025731086731,0.84220344,0.47210053,-254.70433,True,-0.3902793,0.5037224,1.0,0.4189424,,-416.1387383913994,0.84220344,62.048756,500.0,50000,-254.70433,100,2.0,1,-415.17178,-1.0,1.0,0.3212478,[ 0. -0.],-2034052700.0,973.7894,13.812633,1.0,1.4390564
100,-412.41718,-416.45844,100.0,2.4438097e+33,100.0,2,8015.159,2.922208,,,22.64362645149231,0.84363973,4.0412464,-252.76367,True,-29.77477,1.6010219,1.0,0.4189424,,-412.41718593597415,0.84363973,2081.7654,500.0,100000,-252.76367,200,2.0,1,-404.32956,-1.0,1.0,24.870974,[-0.003  0.25 ],-2.4241167e+17,67445.8,115787.5,1.0,12.128876
100,-401.0421,-415.79495,100.0,1338971800000000.0,100.0,3,964.8175,5.8615284,,,36.05189275741577,0.85116786,14.752855,-242.47433,True,-278.44913,0.34507436,1.0,0.4189424,,-401.0420973548293,0.85116786,294.7948,500.0,150000,-242.47433,300,2.0,1,-387.6289,-1.0,1.0,252.00421,[-0.013  0.375],-967720960.0,8855.067,75540.92,1.0,28.166046
100,-388.72168,-413.0084,100.0,1.0337557e+25,100.0,4,61864.77,8.620222,,,52.58422303199768,0.852402,24.286694,-250.17474,True,-781.4071,0.10603156,1.0,0.4189424,,-388.7216983066499,0.852402,13391.062,500.0,200000,-250.17474,400,2.0,1,-353.69928,-1.0,1.0,664.15173,[-0.008  0.437],-376990620000000.0,597006.06,9996058.0,1.0,59.309113
100,-338.29697,-406.15134,100.0,9.6578497e+30,100.0,5,20235560.0,54.74552,,,69.93985414505005,0.85833627,67.85438,-251.58014,True,-9575.966,0.047430377,1.0,0.4189424,,-338.2969561262429,0.85833627,2903952.2,460.37,246037,-251.58014,500,2.0,1,-162.76071,-1.0,1.0,7601.288,[-0.006  0.499],-6.1365833e+18,201200420.0,9596886000.0,1.0,243.39062
100,-236.18971,-391.4776,100.0,1.0571999e+23,100.0,6,374943.72,59.224056,,,85.52719211578369,0.8625745,155.28789,-210.40022,True,-29944.44,0.032227457,1.0,0.4189424,,-236.18971928179263,0.8625745,76244.81,327.5,278787,-210.40022,600,2.0,1,-127.51199,-1.0,1.0,27621.812,[-0.007  0.562],-755183600000000.0,3205104.0,928138400.0,1.0,263.9656
100,-180.21242,-302.07706,100.0,3.9044465e+16,100.0,7,9361087.0,41.702953,,,97.68033862113953,0.8600247,121.86465,-174.53336,True,-17870.715,0.048464112,1.0,0.4189424,,-180.2124120208621,0.8600247,987584.94,250.41,303828,-174.53336,700,2.0,1,-106.07386,-1.0,1.0,16590.129,[0.003 0.624],-260652100000.0,94024860.0,7614628000.0,1.0,196.0032
100,-151.03986,-245.9621,100.0,205611160000000.0,100.0,8,17610.861,37.77465,,,108.37421584129333,0.85979044,94.922226,-142.64597,True,-11434.457,0.10471313,1.0,0.4189424,,-151.0398709318042,0.85979044,4289.0103,210.78,324906,-142.64597,800,2.0,1,-72.99142,-1.0,1.0,10437.154,[0.025 0.682],-14315188000.0,124004.49,14826191.0,1.0,172.97067
100,-135.18134,-294.13516,100.0,413272200000.0,100.0,9,19187.197,37.849747,,,118.82530689239502,0.8575653,158.95384,-146.9241,True,-28329.578,0.059444282,1.0,0.4189424,,-135.18132532835006,0.8575653,4108.3115,187.34,343640,-146.9241,900,2.0,1,-72.958115,-1.0,1.0,26698.926,[0.036 0.744],-1138895900.0,166215.73,90616824.0,1.0,221.17705
100,-123.70009,-245.7449,100.0,8529194500.0,100.0,10,185.5412,30.942654,,,127.11305809020996,0.8661617,122.04481,-137.73102,True,-16829.531,0.005038333,1.0,0.4189424,,-123.70009436324239,0.8661617,81.23413,171.4,360780,-137.73102,1000,2.0,1,-74.530685,-1.0,1.0,15852.383,[0.047 0.805],-91587130.0,1159.8318,1344349.1,1.0,171.21422
