VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
2593.03996542,0.0145671,0.805738,1.00979,46.7062,1.01292,1.58895,100,-69.5575213192,100,98.6054084081,2593.03996542,0.0157354,98.66,98.7240941591,0.01,-132.861,0.00797923,1,0.3,-69.5575213192,-68.7323,1.42859e-06,-69.5575213192
4937.37191048,0.0333456,0.480181,0.993764,58.6014,1.04001,1.42246,100,-78.5169965373,100,96.7653431324,4937.37191048,0.0143138,109.92,96.1526483447,0.01,-140.627,0.00483195,1,0.3,-78.5169965373,-75.6446,3.37654e-06,-78.5169965373
10456.9582793,0.213318,0.0234227,0.980299,71.3349,1.20717,1.7447,100,-94.9215111616,100,81.9834445935,10456.9582793,0.0177976,128.15,82.8382834047,0.01,-152.291,0.000238934,1,0.3,-94.9215111616,-82.2817,2.21979e-05,-94.9215111616
7211.54299838,0.0272913,0.869846,1.02358,80.3728,1.01832,1.78473,100,-85.1562838194,100,97.4860290553,7211.54299838,0.0174362,117.47,98.2006514862,0.01,-148.322,0.00849809,1,0.3,-85.1562838194,-84.0215,2.60485e-06,-85.1562838194
2598.93832033,0.00617814,0.928776,0.9959,47.8722,1.00608,1.27564,100,-70.6966586433,100,99.3870945001,2598.93832033,0.0128089,100.69,99.3958949674,0.01,-134.189,0.00932601,1,0.3,-70.6966586433,-70.2802,6.22912e-07,-70.6966586433
7261.34143596,0.0923714,0.0746724,1.00792,65.9741,1.08577,1.40752,100,-83.3447000527,100,91.7417369266,7261.34143596,0.0139646,114.61,92.1005259055,0.01,-143.617,0.000740855,1,0.3,-83.3447000527,-77.2214,9.09252e-06,-83.3447000527
95.3872454217,0.00758693,0.713425,1.00023,9.68937,1.0089,1.11825,100,-61.6622677994,100,99.2548381901,95.3872454217,0.01118,89.69,99.1178231485,0.01,-74.8927,0.00713262,1,0.3,-61.6622677994,-61.5462,7.58347e-07,-61.6622677994
95.3872454217,0.00979223,0.894253,1.00823,81.3019,1.01061,1.40169,200,-61.6622677994,100,99.0553378471,5010.52830842,0.0139025,89.69,197.899557448,0.01,-142.801,0.00886955,,0.3,-76.6895466658,-78.7441,9.63306e-07,-61.6622677994
2591.65148796,0.00404098,0.869381,0.992402,34.6027,1.00579,1.21782,200,-67.6664444077,100,199.186788221,2591.65148796,0.00613574,96.11,198.848808582,0.005,-109.579,0.00438019,1,0.3,-67.6664444077,-64.3936,1.02578e-07,-67.6664444077
2603.99042061,,1.0,1.0,50.7735,1.0,1.0,200,-70.2406106488,100,100.0,2603.99042061,0.01,99.99,200.0,0.01,-133.96,0.01,2,0.3,-70.2406106488,-70.2406,3.50449e-18,-70.2406106488
4956.33288374,0.01469,0.533782,0.995982,58.8194,1.01334,1.3143,200,-77.5605701552,100,197.0958809,4956.33288374,0.00659802,108.58,197.366403534,0.005,-118.651,0.00267968,1,0.3,-77.5605701552,-73.2951,3.70219e-07,-77.5605701552
3793.9848584,,1.0,1.0,61.2866,1.0,1.0,200,-75.0489716148,100,100.0,3793.9848584,0.01,105.89,200.0,0.01,-138.768,0.01,2,0.3,-75.0489716148,-75.049,3.50449e-18,-75.0489716148
1351.90663405,0.0673784,0.186766,0.993575,36.0415,1.06439,1.36079,200,-64.6673964997,100,187.281451695,1351.90663405,0.00684795,92.99,187.900913867,0.005,-113.378,0.000939868,1,0.3,-64.6673964997,-66.8945,1.70632e-06,-64.6673964997
2583.31473225,,1.0,1.0,50.5715,1.0,1.0,200,-70.5742131713,100,100.0,2583.31473225,0.01,100.59,200.0,0.01,-134.293,0.01,2,0.3,-70.5742131713,-70.5742,3.50449e-18,-70.5742131713
7197.68975155,0.0339496,0.396292,0.998084,63.5778,1.03432,1.44524,200,-85.369589439,100,193.440526097,7197.68975155,0.00724007,117.69,193.364113065,0.005,-122.293,0.00198526,1,0.3,-85.369589439,-76.4699,8.52002e-07,-85.369589439
105.1376304,,1.0,1.0,10.2023,1.0,1.0,200,-61.8895534818,100,100.0,105.1376304,0.01,89.65,200.0,0.01,-76.6207,0.01,2,0.3,-61.8895534818,-61.8896,3.50449e-18,-61.8895534818
3834.24024121,0.0159293,0.519227,0.991847,41.2107,1.01712,1.14341,200,-74.0979847947,100,196.828850914,3834.24024121,0.00576403,103.89,196.632917077,0.005,-112.779,0.00261747,1,0.3,-74.0979847947,-67.3385,4.04805e-07,-74.0979847947
6182.28693909,,1.0,1.0,78.2334,1.0,1.0,200,-79.6308004108,100,100.0,6182.28693909,0.01,110.24,200.0,0.01,-143.35,0.01,2,0.3,-79.6308004108,-79.6308,3.50449e-18,-79.6308004108
6123.51155461,0.0315793,0.716479,1.01001,73.4216,1.02698,1.95435,200,-80.2615291195,100,194.023778328,6123.51155461,0.00967488,111.87,194.74575136,0.005,-124.312,0.00354689,1,0.3,-80.2615291195,-78.6516,7.7391e-07,-80.2615291195
7262.71350114,,1.0,1.0,84.7944,1.0,1.0,200,-83.8843147048,100,100.0,7262.71350114,0.01,115.27,200.0,0.01,-147.604,0.01,2,0.3,-83.8843147048,-83.8843,3.50449e-18,-83.8843147048
6130.55300235,0.00911143,0.623838,1.00175,80.1838,1.00917,1.10834,200,-80.6184864837,100,198.209411216,6130.55300235,0.005532,112.2,198.18188154,0.005,-127.188,0.00311375,1,0.3,-80.6184864837,-81.9256,2.26991e-07,-80.6184864837
9415.53680722,,1.0,1.0,96.5473,1.0,1.0,200,-91.4762037192,100,100.0,9415.53680722,0.01,123.61,200.0,0.01,-155.196,0.01,2,0.3,-91.4762037192,-91.4762,3.50449e-18,-91.4762037192
2588.08303213,0.123778,0.035441,1.04219,60.8824,1.13818,1.50619,200,-68.5325259474,100,179.631481536,2588.08303213,0.00722613,97.69,175.719845613,0.005,-122.476,0.000170032,1,0.3,-68.5325259474,-74.4072,2.84901e-06,-68.5325259474
