VarNormIw,ESSRenyi,ESSClassic,AvgDiscRet,AvgRet,VarRet,Bound,AvgNormIw,MinVanillaIw,AvgEpLen,J,BatchSize,MinNormIw,AvgVanillaIw,MaxVanillaIw,MaxNormIw,VarVanillaIw,VarDiscRet,eRenyi2,VarJ
0.00012025468,50.10186581282265,45.65123385894739,351.36962250631933,489.7134844812192,147242.931113693,193.59662,0.01,0.005499509,49.97,495.44998,100,5.5121174e-05,0.9977126,4.9693527,0.049807455,1.1970516,35191.85106687147,1.9959337,224.45708
7.403483e-05,64.89956344513101,57.70524907230187,480.0908687575743,713.512225157572,144650.5767013104,339.45013,0.01,0.16124405,72.36,575.7214,100,0.0014225061,1.1335211,4.9434876,0.043611787,0.95125127,27963.984111505277,1.5408424,211.15446
0.00015294367,41.78360629346602,39.77499194021363,550.1314711255466,871.9760368897801,171875.72542255136,411.5929,0.01,0.00046881614,88.2,695.9884,100,4.308256e-06,1.0881809,6.1238093,0.05627566,1.8110635,27134.277794942023,2.3932831,176.99112
0.00010915078,50.79115968496263,48.06322649875652,686.6759563407911,1263.9881227625428,228573.98239383346,565.1665,0.01,0.0024481362,127.31,768.3979,100,2.1888507e-05,1.1184573,5.4831166,0.049023923,1.3654182,20873.58876242236,1.9688466,133.72733
9.790458e-05,43.978012587452916,50.780615630470564,761.4470150648776,1522.1147098629467,186603.79924361533,669.0094,0.01,0.0265663,152.96,818.87244,100,0.00027079473,0.9810494,6.0051823,0.06121182,0.94229054,12080.217544251893,2.2738636,78.1076
0.0039522313,0.24620942452829833,2.4920807894512467,795.5439174141582,1664.486470098255,158022.19055153147,718.72034,0.01,5.080126e-18,167.05,866.00476,100,5.815548e-20,0.8735421,51.693893,0.59177333,30.15854,8343.83127942882,406.1583,0.08670986
0.01,0.0021610082859473178,1.0000001418216875,866.005453261517,1999.9660587978362,0.0025955787873867893,865.9915,0.01,,200.0,866.0042,100,,2.0521427e-06,0.00020521425,0.99999994,4.211288e-10,0.000274824237095706,46274.695,5.4576366e-09
0.00019697481,28.889059244383382,33.8977273212207,866.0158446722646,1999.9932314872742,0.0003295390308561066,866.01154,0.01,3.58846e-08,200.0,866.01685,100,4.1804182e-10,0.85839736,5.4663377,0.06368074,1.4514011,2.5727522742191106e-05,3.461518,0.0052647456
8.8165325e-05,56.891061039724754,53.39494385538868,866.0157240980933,1999.994245901108,2.906367516130338e-05,866.01227,0.009999999,0.005604556,200.0,866.01636,100,5.05743e-05,1.1081825,7.0717945,0.06381435,1.0827305,1.658224542912195e-05,1.7577454,0.0041561974
3.7993977e-05,71.56998124794224,72.66699949208997,866.0168069530445,1999.9957632350922,1.7447185214452947e-05,866.0138,0.01,0.08473145,200.0,866.01715,100,0.00086971285,0.97424626,2.511473,0.025778625,0.36062205,1.218796784294657e-05,1.3972338,0.0034127198
