VarVanillaIw,IterType,AvgNormIw,VanillaAvgRet,AvgDiscRet,ESSRenyi,MinNormIw,BatchSize,VarDiscRet,MinVanillaIw,AvgEpLen,AvgVanillaIw,EpsThisIter,AvgRet,MaxVanillaIw,VarJ,Bound,VarRet,eRenyi2,VarNormIw,Delta,MaxNormIw,ESSClassic,J
1.7437849,1,0.01,-2329.9978008527473,-2329.9978008527473,30.142364559632856,4.8614246e-14,100,5156160.471291107,3.5053928e-12,200.0,0.72106284,100,-2329.9978008527473,4.701742,68.48103,-381.2481,5156160.471291107,3.3175898,0.0003353874,0.9,0.065205716,23.146350943627546,-31.613857
0.09668265,1,0.01,-68.47716866167778,-68.47716866167778,91.77396009631848,0.00021340395,100,169720.43936209724,0.020852603,200.0,0.97714233,100,-68.47716866167778,1.2880858,15.684561,-117.27939,169720.43936209724,1.0896337,1.0125881e-05,0.9,0.013182172,90.88872959642154,-11.601145
5.2664704,1,0.01,-10.334903539279656,-10.334903539279656,19.99087749969139,,100,96.5862652601908,,200.0,1.2695576,100,-10.334903539279656,7.0153837,13.470013,-8.15765,96.5862652601908,5.0022817,0.00032674934,0.9,0.05525849,23.613761697906863,-5.8660383
nan,,nan,-10.334903539279656,-9.629422595565535,nan,nan,200,67.16617457104707,0.14254387,200.0,inf,100,-10.334903539279656,inf,nan,nan,96.5862652601908,nan,nan,0.9,nan,nan,nan
10.220471,1,0.005,-10.564588456904705,-10.564588456904705,17.724501260909243,,200,81.64462412161443,,200.0,1.0251145,100,-10.564588456904705,15.481222,18.354935,-7.692002,81.64462412161443,11.283815,0.00024314543,0.9,0.07550972,18.731520775189164,-5.2582855
,2,0.009999998,-8.619469000526012,-8.619469000526012,200.0,0.01,200,55.483925666897186,1.0,200.0,1.0,100,-8.619469000526012,1.0,7.411416,-9.475755,55.483925666897186,1.0,3.5044917e-18,0.9,0.01,100.0,-8.619469
nan,,nan,-10.564588456904705,-9.531670177588348,nan,nan,300,63.02697312771941,0.06459438,200.0,inf,100,-10.564588456904705,inf,nan,nan,81.64462412161443,nan,nan,0.9,nan,nan,nan
1.990758,1,0.0033333336,-9.606206391331007,-9.606206391331007,106.9704354703965,1.0864989e-06,300,89.86695939485917,0.00033292727,200.0,1.021407,100,-9.606206391331007,7.7352867,13.556893,-9.631342,89.86695939485917,2.8045132,2.120207e-05,0.9,0.025243891,103.38319328455302,-8.640681
,2,0.009999998,-7.813170242184522,-7.813170242184522,300.0,0.01,300,54.48123034569036,1.0,200.0,1.0,100,-7.813170242184522,1.0,7.344141,-8.7686405,54.48123034569036,1.0,3.5044917e-18,0.9,0.01,100.0,-7.8131704
,2,0.0049999994,-10.666830556353741,-10.666830556353741,300.0,0.005,300,395.2642183617529,1.0,200.0,1.0,100,-10.666830556353741,1.0,14.988656,-13.319339,395.2642183617529,1.0,2.179301e-19,0.9,0.005,200.00000010221265,-9.24
