MaxNormIw,ESSRenyi,eRenyi2,AvgEpLen,VarRet,AvgDiscRet,MinNormIw,EpsThisIter,Delta,AvgNormIw,J,VarJ,AvgRet,VarVanillaIw,BatchSize,MaxVanillaIw,IterType,VanillaAvgRet,AvgVanillaIw,Bound,VarNormIw,VarDiscRet,ESSClassic,MinVanillaIw
0.823845,5.70857840514,17.5175,17.6,10740.5379436,161.420861883,5.08358e-16,100,0.8,0.01,509.074,486.136,161.420861883,500.137,100,223.616,1,161.420861883,2.7143,390.726,0.0067885,10740.5379436,1.46614331859,1.37983e-13
0.999994,9381.63255017,0.0213183,17.6,10740.5379436,217.724643179,6.17051e-16,100,0.8,0.01,608.827,0.0262413,161.420861883,5.25226e+23,200,7.24725e+12,,161.420861883,7.24729e+10,-inf,0.00999988,14534.0965242,1.00001171961,0.00447195
0.795968,24.6624331578,8.1095,18.17,20053.3908609,166.701975102,4.65112e-06,100,0.8,0.005,463.104,647.041,166.701975102,3163.16,200,795.914,1,166.701975102,4.99966,361.174,0.0031636,20053.3908609,1.57590413361,0.0046508
0.01,200.0,1.0,22.01,12569.2145708,202.751780862,0.01,100,0.8,0.01,202.752,111.551,202.751780862,,200,1.0,2,202.751780862,1.0,177.308,3.50449e-18,12569.2145708,100.0,1.0
0.118673,11.7565295491,25.5177,18.17,20053.3908609,223.763232961,6.93449e-07,100,0.8,0.005,238.146,257.485,166.701975102,482.033,300,215.017,,166.701975102,9.05919,87.2326,0.000146838,19912.8086161,29.2220284762,0.00125642
0.794619,24.9218964525,12.0376,16.85,9350.46724872,154.310424969,2.16774e-09,100,0.8,0.00333333,463.78,780.758,154.310424969,4552.86,300,1169.05,1,154.310424969,4.90403,362.383,0.00210347,9350.46724872,1.58160384809,3.18921e-06
0.01,300.0,1.0,25.28,16781.0493615,233.01248672,0.01,100,0.8,0.01,233.012,128.892,233.01248672,,300,1.0,2,233.01248672,1.0,196.35,3.50449e-18,16781.0493615,100.0,1.0
0.005,300.0,1.0,24.06,13650.8005768,221.799943572,0.005,100,0.8,0.005,227.406,122.863,221.799943572,,300,1.0,2,221.799943572,1.0,201.482,2.1793e-19,13650.8005768,200.000000102,1.0
0.961274,nan,nan,16.85,9350.46724872,242.057978216,2.62238e-09,100,0.8,0.00333333,101.835,47.5215,154.310424969,3.27751e+08,400,313558.0,,154.310424969,1087.3,-inf,0.00308037,21084.7447711,1.08182368954,0.000855395
0.789581,25.0955914777,15.9391,16.01,10234.7884542,146.657256328,9.12221e-11,100,0.8,0.0025,465.791,863.968,146.657256328,5156.47,400,1436.29,1,146.657256328,4.54762,364.745,0.00155834,10234.7884542,1.60184913099,1.65938e-07
0.01,400.0,1.0,28.46,12784.5234539,262.792157471,0.01,100,0.8,0.01,262.792,112.502,262.792157471,,400,1.0,2,262.792157471,1.0,233.587,3.50449e-18,12784.5234539,100.0,1.0
0.005,400.0,1.0,30.11,25312.2696567,278.208455835,0.005,100,0.8,0.005,270.5,137.54,278.208455835,,400,1.0,2,278.208455835,1.0,238.515,2.1793e-19,25312.2696567,200.000000102,1.0
0.00333333,400.0,1.0,26.14,14325.6250792,241.412193365,0.00333333,100,0.8,0.00333333,260.804,132.39,241.412193365,,400,1.0,2,241.412193365,1.0,234.689,5.43914e-20,14325.6250792,299.999969474,1.0
0.987785,nan,nan,16.01,10234.7884542,272.038820794,1.14121e-10,100,0.8,0.0025,82.4961,24.4148,146.657256328,9.07909e+10,500,6.02636e+06,,146.657256328,15252.2,-inf,0.00243925,20326.3026575,1.02484053238,0.000696239
0.758606,26.2524608177,19.0458,16.14,12052.6222108,147.778616575,1.60349e-09,100,0.8,0.002,460.676,1014.21,147.778616575,5280.42,500,1624.68,1,147.778616575,4.28333,361.882,0.00115124,12052.6222108,1.73470105849,3.43413e-06
0.01,500.0,1.0,30.08,25492.4095597,277.976369937,0.01,100,0.8,0.01,277.976,158.863,277.976369937,,500,1.0,2,277.976369937,1.0,228.885,3.50449e-18,25492.4095597,100.0,1.0
0.005,500.0,1.0,31.13,35464.2125932,287.685700672,0.005,100,0.8,0.005,282.831,173.773,287.685700672,,500,1.0,2,287.685700672,1.0,247.359,2.1793e-19,35464.2125932,200.000000102,1.0
0.00333333,500.0,1.0,30.96,33205.9168237,286.338543387,0.00333333,100,0.8,0.00333333,284.0,176.329,286.338543387,,500,1.0,2,286.338543387,1.0,245.309,5.43914e-20,33205.9168237,299.999969474,1.0
0.0025,500.0,1.0,28.88,15194.7482783,266.634143304,0.0025,100,0.8,0.0025,279.659,164.731,266.634143304,,500,1.0,2,266.634143304,1.0,246.151,5.4346e-20,15194.7482783,400.0,1.0
0.38038,15.8954869791,31.4555,29.71,28951.3712441,274.468349036,1.58942e-20,100,0.8,0.002,717.55,1772.81,274.468349036,403.661,500,405.266,1,274.468349036,2.13085,549.463,0.000355608,28951.3712441,5.57263593419,1.6934e-17
