MinNormIw,VanillaAvgRet,Delta,AvgVanillaIw,VarDiscRet,VarJ,MaxNormIw,IterType,ESSClassic,J,AvgNormIw,VarNormIw,MinVanillaIw,ESSRenyi,eRenyi2,EpsThisIter,VarVanillaIw,MaxVanillaIw,AvgRet,VarRet,Bound,AvgEpLen,AvgDiscRet,BatchSize
0.0040737,-124.317717803,0.1,1.03479,4143.16953978,48.0801,0.0143992,1,97.6894926218,-120.038,0.01,2.38902e-06,0.421541,97.7547975097,1.02297,100,0.0255811,1.49001,-124.317717803,4143.16953978,-271.608,45.33,-124.317717803,100
0.00490915,-126.634317634,0.1,0.996271,3971.55053619,44.4781,0.013807,1,97.1828017167,-121.486,0.01,2.92814e-06,0.489084,96.8557977352,1.03246,100,0.0290634,1.37555,-126.634317634,3971.55053619,-266.916,52.08,-126.634317634,100
0.0078937,-117.831856154,0.1,0.998661,2050.16545089,37.7395,0.0134452,1,98.8629711207,-116.251,0.01,1.16171e-06,0.788313,98.9868740977,1.01023,100,0.011586,1.34272,-117.831856154,2050.16545089,-265.803,35.03,-117.831856154,100
0.00567158,-113.300398438,0.1,0.999739,484.186331071,18.2598,0.0123597,1,98.7966458111,-112.211,0.01,1.23031e-06,0.56701,98.6788601747,1.01339,100,0.0122967,1.23565,-113.300398438,484.186331071,-188.38,31.31,-113.300398438,100
0.0073776,-115.974437557,0.1,1.00485,2090.25328738,39.7177,0.012193,1,99.3544665113,-114.788,0.01,6.56286e-07,0.741337,99.2589956115,1.00747,100,0.00662666,1.22521,-115.974437557,2090.25328738,-265.258,29.13,-115.974437557,100
0.00707959,-117.331426845,0.1,0.99327,2935.15193243,44.7474,0.015426,1,98.7635125282,-115.593,0.01,1.26459e-06,0.703194,98.8876185006,1.01125,100,0.0124762,1.53222,-117.331426845,2935.15193243,-264.555,30.55,-117.331426845,100
0.00833363,-109.158079794,0.1,0.999093,32.9961434621,5.37645,0.0112605,1,99.5075540053,-108.948,0.01,4.9984e-07,0.832607,99.4852356134,1.00517,100,0.00498934,1.12503,-109.158079794,32.9961434621,-149.8,18.53,-109.158079794,100
0.00715981,-108.630049638,0.1,0.993746,30.9271411113,5.59626,0.0110591,1,99.4917471304,-108.451,0.01,5.16024e-07,0.711503,99.5246228471,1.00478,100,0.00509589,1.09899,-108.630049638,30.9271411113,-146.908,17.83,-108.630049638,100
0.00446061,-116.831343592,0.1,0.996774,2898.13427797,31.4206,0.0121785,1,97.9121095028,-113.246,0.01,2.15394e-06,0.444623,97.9676113682,1.02075,100,0.0214007,1.21392,-116.831343592,2898.13427797,-261.19,29.47,-116.831343592,100
0.00747035,-112.29042267,0.1,0.986035,743.896334254,22.2507,0.0116404,1,99.3410920342,-111.429,0.01,6.69996e-07,0.736603,99.2473107975,1.00758,100,0.00651415,1.14778,-112.29042267,743.896334254,-218.988,24.05,-112.29042267,100
0.00722865,-110.463216173,0.1,1.00271,250.915916112,12.5344,0.0114324,1,99.2201484089,-109.888,0.01,7.93934e-07,0.724826,99.278613495,1.00727,100,0.00798249,1.14634,-110.463216173,250.915916112,-186.121,19.4,-110.463216173,100
0.00839718,-109.169513373,0.1,1.00005,46.3561527096,6.13728,0.0114338,1,99.4098333168,-108.933,0.01,5.997e-07,0.839763,99.4683901862,1.00534,100,0.00599763,1.14344,-109.169513373,46.3561527096,-152.737,17.96,-109.169513373,100
0.00752748,-110.962464125,0.1,1.00071,580.481196082,18.3591,0.0124261,1,99.3143409529,-110.218,0.01,6.97338e-07,0.753281,99.3365491033,1.00668,100,0.00698327,1.24349,-110.962464125,580.481196082,-213.323,23.04,-110.962464125,100
0.00642211,-108.427676902,0.1,0.996972,12.4176524241,3.23423,0.0107259,1,99.6818519392,-108.329,0.01,3.22368e-07,0.640266,99.7478540843,1.00253,100,0.00320419,1.06934,-108.427676902,12.4176524241,-145.115,16.55,-108.427676902,100
0.00790018,-107.901656009,0.1,0.99679,9.85349627448,3.07635,0.010726,1,99.7361706979,-107.835,0.01,2.67187e-07,0.787482,99.811611504,1.00189,100,0.00265474,1.06916,-107.901656009,9.85349627448,-142.728,17.09,-107.901656009,100
0.00733542,-109.172535481,0.1,0.99614,156.131775299,9.45811,0.0110373,1,99.3531623443,-108.765,0.01,6.57625e-07,0.730711,99.4257476955,1.00578,100,0.00652558,1.09947,-109.172535481,156.131775299,-176.876,19.14,-109.172535481,100
0.00857645,-107.27903691,0.1,0.998693,18.40832254,4.01849,0.0104949,1,99.9006437749,-107.225,0.01,1.00442e-07,0.856524,99.8687680447,1.00131,100,0.0010018,1.04811,-107.27903691,18.40832254,-148.178,18.14,-107.27903691,100
0.0076394,-107.758282546,0.1,0.998839,13.276613403,3.35688,0.0107555,1,99.7733462238,-107.671,0.01,2.29474e-07,0.763053,99.7893132535,1.00211,100,0.00228941,1.0743,-107.758282546,13.276613403,-145.924,16.86,-107.758282546,100
0.00860841,-108.436936085,0.1,1.00202,96.010435331,8.64741,0.0115217,1,99.7408187416,-108.297,0.01,2.6248e-07,0.862584,99.77609099,1.00224,100,0.00263544,1.1545,-108.436936085,96.010435331,-168.476,18.94,-108.436936085,100
0.00862606,-107.335599477,0.1,1.00349,20.7146994566,6.24844,0.0164579,1,98.9806370607,-107.074,0.01,1.04027e-06,0.865613,99.1373383979,1.0087,100,0.0104753,1.65153,-107.335599477,20.7146994566,-141.642,17.95,-107.335599477,100
0.00858092,-107.968535282,0.1,0.998571,10.1715238037,3.08346,0.0105192,1,99.8126023562,-107.911,0.01,1.89664e-07,0.856865,99.8323157633,1.00168,100,0.00189122,1.05041,-107.968535282,10.1715238037,-144.759,17.47,-107.968535282,100
0.00924354,-107.975702186,0.1,1.00146,28.9395676935,5.2839,0.0104057,1,99.970573259,-107.955,0.01,2.97243e-08,0.925703,99.9532084168,1.00047,100,0.000298111,1.04209,-107.975702186,28.9395676935,-153.738,19.37,-107.975702186,100
0.00770746,-107.963104518,0.1,1.00069,24.9260673027,4.53029,0.0106299,1,99.7151320902,-107.85,0.01,2.88547e-07,0.771278,99.7297220824,1.00271,100,0.00288945,1.06372,-107.963104518,24.9260673027,-149.148,19.47,-107.963104518,100
0.00854386,-107.275095874,0.1,0.997741,18.8251990874,4.56061,0.0126001,1,99.6814231241,-107.183,0.01,3.22854e-07,0.852456,99.735413564,1.00265,100,0.00321397,1.25716,-107.275095874,18.8251990874,-141.912,16.83,-107.275095874,100
0.00829484,-107.991732735,0.1,0.999495,15.5532747855,3.77642,0.0106578,1,99.7819927913,-107.92,0.01,2.20678e-07,0.829066,99.8104595398,1.0019,100,0.00220455,1.06525,-107.991732735,15.5532747855,-147.195,18.06,-107.991732735,100
0.00812629,-107.780540049,0.1,1.01215,14.677025176,3.7132,0.0108417,1,99.8475495089,-107.72,0.01,1.54227e-07,0.822505,99.8393735664,1.00161,100,0.00157998,1.09735,-107.780540049,14.677025176,-143.744,19.19,-107.780540049,100
0.00710849,-111.322237513,0.1,0.991747,1477.33741186,27.3274,0.011261,1,99.1988780665,-110.159,0.01,8.15752e-07,0.704983,99.2745483146,1.00731,100,0.00802344,1.11681,-111.322237513,1477.33741186,-257.995,21.2,-111.322237513,100
0.00811341,-107.382615298,0.1,1.00406,23.2912335469,4.83503,0.0112521,1,99.6802590297,-107.27,0.01,3.24021e-07,0.814637,99.7092144225,1.00292,100,0.00326659,1.12978,-107.382615298,23.2912335469,-147.122,16.93,-107.382615298,100
0.00838003,-107.735122232,0.1,0.997117,8.1003426151,2.75201,0.0105527,1,99.8599115585,-107.697,0.01,1.41675e-07,0.835587,99.8991910634,1.00101,100,0.00140859,1.05222,-107.735122232,8.1003426151,-142.948,17.58,-107.735122232,100
