MaxNormIw,Bound,ESSRenyi,ESSClassic,eRenyi2,BatchSize,MinVanillaIw,VarVanillaIw,VarRet,IterType,Delta,AvgRet,VanillaAvgRet,MinNormIw,J,VarDiscRet,VarNormIw,AvgVanillaIw,AvgNormIw,EpsThisIter,VarJ,AvgDiscRet,MaxVanillaIw,AvgEpLen
0.0386319,-76.8511,79.9190730364,69.7464170241,1.25127,100,0.261552,0.478622,15914.0851957,1,0.1,150.948814568,150.948814568,0.00250249,206.729,15914.0851957,4.38147e-05,1.04517,0.01,100,235.546,150.948814568,4.03768,16.48
0.557645,101.667,31.2299586922,3.17239784156,3.20205,100,0.0113607,63.9488,12033.3613817,1,0.1,182.375270101,182.375270101,7.88817e-05,481.015,12033.3613817,0.00308302,1.44022,0.01,100,1272.03,182.375270101,80.313,19.85
0.234265,53.0083,39.671246248,13.2973772155,2.52072,100,0.00067094,10.5178,14752.7463649,1,0.1,182.34522125,182.34522125,5.3093e-06,345.239,14752.7463649,0.000658614,1.26371,0.01,100,655.484,182.34522125,29.6042,19.84
0.0452132,102.134,67.9023711088,60.6082207598,1.4727,100,0.0578675,0.753951,19951.7166948,1,0.1,255.556790985,255.556790985,0.000539986,327.927,19951.7166948,6.56506e-05,1.07165,0.01,100,202.313,255.556790985,4.84526,27.66
0.0183811,-30.6533,92.082631256,91.3232602822,1.08598,100,0.178293,0.0912617,19918.2571004,1,0.1,298.451421494,298.451421494,0.00182835,324.366,19918.2571004,9.59709e-06,0.975157,0.01,100,179.372,298.451421494,1.79244,32.27
0.112449,108.076,66.3720545481,42.6450598855,1.50666,100,0.0415772,1.86515,13970.3812734,1,0.1,319.338540933,319.338540933,0.00035484,385.442,13970.3812734,0.000135852,1.17172,0.01,100,428.704,319.338540933,13.1759,34.51
0.38333,144.745,36.5467736478,6.41290987361,2.73622,100,0.00367268,29.2058,20042.5592396,1,0.1,338.141269948,338.141269948,2.60922e-05,568.858,20042.5592396,0.0014741,1.40757,0.01,100,1116.24,338.141269948,53.9566,36.55
0.0167767,30.308,93.4166107819,92.1158639812,1.07047,100,0.250178,0.0864599,25741.9807525,1,0.1,369.955913281,369.955913281,0.0025017,394.966,25741.9807525,8.64537e-06,1.00004,0.01,100,177.237,369.955913281,1.67773,39.93
0.0285575,95.9155,85.2727167008,80.4644111712,1.17271,100,0.0985186,0.256432,32700.8431532,1,0.1,392.784197742,392.784197742,0.000963442,442.188,32700.8431532,2.45238e-05,1.02257,0.01,100,254.387,392.784197742,2.9202,42.44
0.046971,128.845,76.6649893227,65.3887725039,1.30438,100,0.10797,0.58447,26292.3933372,1,0.1,432.874895106,432.874895106,0.00103267,497.395,26292.3933372,5.34661e-05,1.04554,0.01,100,304.54,432.874895106,4.91102,46.71
0.0236797,101.201,86.9496915158,83.7377912658,1.15009,100,0.0766949,0.170255,39553.7467844,1,0.1,458.490751065,458.490751065,0.000823243,504.435,39553.7467844,1.96166e-05,0.931619,0.01,100,284.709,458.490751065,2.20605,49.46
0.066503,130.044,77.848074365,55.7557598463,1.28455,100,0.149211,0.865881,50944.7886519,1,0.1,507.785795596,507.785795596,0.00143562,594.346,50944.7886519,8.01552e-05,1.03935,0.01,100,372.632,507.785795596,6.91202,54.81
0.0286042,125.62,79.8702364589,72.9146679338,1.25203,100,0.09341,0.318719,43076.7588344,1,0.1,472.34434072,472.34434072,0.00101352,541.716,43076.7588344,3.75219e-05,0.921641,0.01,100,305.888,472.34434072,2.63628,50.97
0.10945,206.048,55.1899678911,35.9908046543,1.81192,100,0.0159385,1.71629,60354.8080591,1,0.1,541.206305905,541.206305905,0.000163065,753.366,60354.8080591,0.000179645,0.977434,0.01,100,745.356,541.206305905,10.698,58.44
0.0611757,167.041,65.8516661352,52.6806192449,1.51856,100,0.0181941,1.00674,71697.2690487,1,0.1,567.695400554,567.695400554,0.000172722,729.29,71697.2690487,9.07304e-05,1.05337,0.01,100,625.585,567.695400554,6.44407,61.35
0.237565,266.21,53.4003050752,14.8391673625,1.87265,100,0.0655953,9.47725,83119.5850877,1,0.1,632.841347376,632.841347376,0.000513013,864.096,83119.5850877,0.000579689,1.27863,0.01,100,908.628,632.841347376,30.3757,68.5
0.0221908,251.99,86.6867467452,83.3920623455,1.15358,100,0.175487,0.196201,104608.650272,1,0.1,735.94383816,735.94383816,0.00177694,809.446,104608.650272,2.01167e-05,0.98758,0.01,100,380.855,735.94383816,2.19152,79.52
0.0741865,274.498,71.2690856978,52.2596868036,1.40313,100,0.077349,0.807085,89371.7202463,1,0.1,730.819188463,730.819188463,0.000827059,872.455,89371.7202463,9.22749e-05,0.935229,0.01,100,580.929,730.819188463,6.93814,79.02
0.0265485,219.662,89.3033554996,84.2297310119,1.11978,100,0.167129,0.186264,92798.970276,1,0.1,799.399974594,799.399974594,0.00168405,864.114,92798.970276,1.89121e-05,0.99242,0.01,100,378.228,799.399974594,2.63473,86.41
0.0308573,281.375,84.6794758813,79.2615381164,1.18092,100,0.0529418,0.264952,107005.154164,1,0.1,838.771730116,838.771730116,0.000528755,933.209,107005.154164,2.64288e-05,1.00125,0.01,100,423.177,838.771730116,3.0896,90.71
0.0225737,278.616,89.0169833113,87.7817767331,1.12338,100,0.339461,0.13637,128014.854072,1,0.1,876.06131851,876.06131851,0.00344679,938.047,128014.854072,1.40595e-05,0.984861,0.01,100,422.869,876.06131851,2.22319,94.8
0.324883,385.079,56.123448722,8.85529118211,1.78179,100,0.110907,21.3551,88989.6131445,1,0.1,883.711224937,883.711224937,0.000773848,1144.1,88989.6131445,0.00103966,1.43319,0.01,100,1691.4,883.711224937,46.5619,95.54
0.01879,438.865,90.0908532837,89.4815951645,1.10999,100,0.220915,0.134713,91280.0951404,1,0.1,912.002593417,912.002593417,0.002074,967.91,91280.0951404,1.18735e-05,1.06516,0.01,100,296.15,912.002593417,2.00143,98.66
0.0243352,473.877,91.7709982873,90.1190588188,1.08967,100,0.289891,0.106239,92438.5367733,1,0.1,963.42713269,963.42713269,0.00295983,1001.32,92438.5367733,1.10751e-05,0.979418,0.01,100,331.517,963.42713269,2.38343,104.27
