VanillaAvgRet,Bound,VarDiscRet,AvgDiscRet,eRenyi2,AvgRet,MaxNormIw,MinNormIw,AvgNormIw,Delta,J,AvgEpLen,MinVanillaIw,BatchSize,VarJ,ESSRenyi,VarNormIw,MaxVanillaIw,ESSClassic,EpsThisIter,IterType,AvgVanillaIw,VarVanillaIw,VarRet
161.420861883,354.389,10740.5379436,161.420861883,14.7856,161.420861883,0.788291,1.89153e-15,0.01,0.7,496.749,17.6,4.65092e-13,100,564.948,6.7633413606,0.00622193,193.826,1.59751769104,100,1,2.45881,376.164,10740.5379436
161.420861883,-inf,13925.135532,225.972812267,0.00212116,161.420861883,0.999999,2.39953e-15,0.01,0.7,241.238,17.6,0.00515926,200,0.001844,94287.9465169,0.00999999,2.15011e+12,1.00000158497,100,,2.15011e+10,4.62299e+22,10740.5379436
161.106928537,628.877,18908.7796318,161.106928537,32.8382,161.106928537,0.856367,3.77417e-12,0.005,0.7,897.431,17.58,5.20069e-09,200,1430.28,6.09046505012,0.00366584,1180.05,1.36146648074,100,1,6.88984,6960.69,18908.7796318
218.662796306,181.496,13247.7292544,218.662796306,1.0,218.662796306,0.01,0.01,0.01,0.7,218.663,23.71,1.0,200,114.522,200.0,3.50449e-18,1.0,100.0,100,2,1.0,,13247.7292544
161.106928537,-inf,43912.5650867,227.892489599,0.00585868,161.106928537,0.582745,2.56827e-12,0.005,0.7,131.741,17.58,0.000847424,300,798.251,51206.0554036,0.00247111,1.92282e+08,2.01308338919,100,,1.6498e+06,2.69037e+14,18908.7796318
159.273509533,647.449,10694.7454761,159.273509533,43.8235,159.273509533,0.854004,2.35396e-21,0.00333333,0.7,900.758,17.37,4.39728e-18,300,1697.47,6.84564193039,0.00243204,1595.31,1.36889990697,100,1,6.22679,8486.77,10694.7454761
285.874216374,173.128,78867.4976955,285.874216374,1.0,285.874216374,0.01,0.01,0.01,0.7,285.874,30.95,1.0,300,279.426,300.0,3.50449e-18,1.0,100.0,100,2,1.0,,78867.4976955
222.700830243,174.564,14728.849821,222.700830243,1.0,222.700830243,0.005,0.005,0.005,0.7,254.288,24.16,1.0,300,217.55,300.0,2.1793e-19,1.0,200.000000102,100,2,1.0,,14728.849821
159.273509533,-inf,16291.9498597,220.406884941,nan,159.273509533,0.999805,2.75584e-21,0.00333333,0.7,445.272,17.37,0.000626837,400,1.73252,nan,0.00333203,2.27413e+17,1.0003910575,100,,7.58193e+14,1.72389e+32,10694.7454761
137.790448289,637.992,11108.2452751,137.790448289,42.2858,137.790448289,0.793542,3.53042e-23,0.0025,0.7,853.482,15.07,5.90532e-20,400,2592.21,9.4594383693,0.00157781,1327.35,1.58216147404,100,1,4.18174,4414.57,11108.2452751
272.309706185,164.02,44917.3053529,272.309706185,1.0,272.309706185,0.01,0.01,0.01,0.7,272.31,29.48,1.0,400,210.875,400.0,3.50449e-18,1.0,100.0,100,2,1.0,,44917.3053529
268.37240321,190.719,43968.7991643,268.37240321,1.0,268.37240321,0.005,0.005,0.005,0.7,270.341,29.06,1.0,400,209.768,400.0,2.1793e-19,1.0,200.000000102,100,2,1.0,,43968.7991643
253.124184286,199.591,23273.3158728,253.124184286,1.0,253.124184286,0.00333333,0.00333333,0.00333333,0.7,264.602,27.42,1.0,400,192.564,400.0,5.43914e-20,1.0,299.999969474,100,2,1.0,,23273.3158728
137.790448289,-1359.67,29041.8980708,274.429949169,646.831,137.790448289,0.999932,4.44864e-23,0.0025,0.7,72.2367,15.07,0.000753379,500,0.373233,0.772999884031,0.00249966,1.69339e+19,1.00013518814,100,,4.23376e+16,7.16891e+35,11108.2452751
138.146773971,658.315,8119.55940111,138.146773971,59.4836,138.146773971,0.83386,2.3177e-24,0.002,0.7,886.912,15.1,6.51212e-21,500,2396.48,8.40567919474,0.00139219,2342.93,1.43533611445,100,1,5.61947,10990.8,8119.55940111
243.092401593,185.869,25163.9413106,243.092401593,1.0,243.092401593,0.01,0.01,0.01,0.7,243.092,26.36,1.0,500,157.836,500.0,3.50449e-18,1.0,100.0,100,2,1.0,,25163.9413106
