AvgRet,VarVanillaIw,VarJ,MaxNormIw,EpsThisIter,IterType,Bound,ESSRenyi,MinNormIw,BatchSize,eRenyi2,VarRet,VarNormIw,VarDiscRet,J,AvgVanillaIw,MinVanillaIw,AvgNormIw,AvgEpLen,Delta,MaxVanillaIw,VanillaAvgRet,ESSClassic,AvgDiscRet
966.718312813,106.872,8207.03,0.620714,100,1,478.93,23.7421855719,1.53087e-07,100,4.21191,486118.756916,0.00383153,486118.756916,3334.26,1.67011,2.55672e-05,0.01,104.81,0.1,103.666,966.718312813,2.5685742325,966.718312813
1442.57927883,3.30808,3275.78,0.119069,100,1,366.025,45.3440721301,5.18545e-06,100,2.20536,1033715.36851,0.000215912,1033715.36851,2444.39,1.2378,0.000641854,0.01,156.7,0.1,14.7384,1442.57927883,31.8722286531,1442.57927883
1670.51230787,142.049,4833.33,0.588416,100,1,1007.75,38.4538562874,0.000178719,100,2.60052,1135804.15598,0.00342838,1135804.15598,3248.88,2.03551,0.0363785,0.01,181.91,0.1,119.773,1670.51230787,2.86196742494,1670.51230787
2087.95840774,5.87795,2338.83,0.178161,100,1,1512.6,41.8076751095,9.1217e-06,100,2.39191,1926498.78467,0.000418274,1926498.78467,3680.19,1.18545,0.00108133,0.01,226.57,0.1,21.1201,2087.95840774,19.4518144152,2087.95840774
2905.9094803,2.05581,1451.57,0.0866426,100,1,2033.94,57.9429558823,0.000275957,100,1.72584,2158981.09444,0.000161003,2158981.09444,3878.37,1.12999,0.0311829,0.01,315.05,0.1,9.79054,2905.9094803,38.5516053805,2905.9094803
3609.31212898,0.554685,947.59,0.0304493,100,1,2526.64,73.3743335626,0.000240132,100,1.36287,1872001.31737,5.06841e-05,1872001.31737,4164.93,1.04613,0.025121,0.01,390.51,0.1,3.18541,3609.31212898,66.5879428144,3609.31212898
4010.64504607,0.316523,567.384,0.0236778,100,1,2826.48,81.7663367788,0.000628995,100,1.223,1282080.17083,3.27326e-05,1282080.17083,4379.0,0.983358,0.0618528,0.01,433.22,0.1,2.32837,4010.64504607,75.525684443,4010.64504607
4343.64984706,0.114656,441.635,0.0159458,100,1,3035.66,91.7528199806,0.00255532,100,1.08988,654987.41314,1.09157e-05,654987.41314,4501.07,1.02488,0.26189,0.01,468.44,0.1,1.63425,4343.64984706,90.2473891319,4343.64984706
4442.26257994,0.0587664,343.405,0.0153429,100,1,3090.22,95.5301985877,0.00319344,100,1.04679,346904.160163,6.15224e-06,346904.160163,4526.5,0.977345,0.312109,0.01,479.44,0.1,1.49953,4442.26257994,94.2589585457,4442.26257994
4464.86516761,0.0469673,365.621,0.0143088,100,1,3094.43,96.2995659142,0.00432873,100,1.03843,305486.511972,5.12713e-06,305486.511972,4524.51,0.957107,0.414306,0.01,481.76,0.1,1.3695,4464.86516761,95.1693245639,4464.86516761
4424.70575746,0.0713512,426.754,0.0145968,100,1,3078.38,94.8514158725,0.00214617,100,1.05428,497179.982639,6.89163e-06,497179.982639,4519.47,1.01751,0.218376,0.01,476.44,0.1,1.48525,4424.70575746,93.6130219335,4424.70575746
