AvgNormIw,MinNormIw,J,Bound,MaxNormIw,AvgDiscRet,VarJ,VarDiscRet,MinVanillaIw,VarNormIw,eRenyi2,AvgVanillaIw,ESSClassic,ESSRenyi,AvgRet,VanillaAvgRet,AvgEpLen,VarRet,VarVanillaIw,MaxVanillaIw,BatchSize
0.010000002,6.540431e-15,-74.641975,-859.68146,0.036671102,-2260.8528730792736,217.1986,5385107.989677966,6.5431644e-13,0.0001679578,2.6242268,1.000418,37.55470323098706,38.106462320355455,-2260.8528730792736,-2260.8528730792736,200.0,5385107.989677966,1.6809822,3.668643,100
0.01,0.00043709052,-17.314585,-305.52405,0.012908645,-92.88698142136067,50.089195,234351.07620095316,0.044164963,9.242372e-06,1.0970439,1.0104306,91.61707386386941,91.15405733835318,-92.88698142136067,-92.88698142136067,200.0,234351.07620095316,0.09436186,1.304329,100
0.01,0.0047345925,-7.7316027,-10.252549,0.028418869,-8.170370905218466,7.579871,55.663413180008504,0.49683842,1.7028418e-05,1.195299,1.0493795,85.57384617448206,83.66107354270689,-8.170370905218466,-8.170370905218466,200.0,55.663413180008504,0.1875165,2.9822178,100
0.002,0.00023566077,-11.144559,-123.808266,0.002427972,-21.78820527118922,31.185701,33086.231989680105,0.11581146,2.2860357e-07,1.0473683,0.98286587,473.02054171878433,477.3869953000024,-21.78820527118922,-21.78820527118922,200.0,33086.231989680105,0.055209205,1.1931853,500
0.0019999999,1.7212431e-10,-8.187307,-9.6549015,0.00514867,-9.248029918354831,9.712931,71.00388975335831,9.020923e-08,3.2489177e-06,1.8647393,1.0481869,276.1508079609396,268.1339961657188,-9.248029918354831,-9.248029918354831,200.0,71.00388975335831,0.89239293,2.6983843,500
0.002,5.2032005e-06,-8.182321,-9.251615,0.0030904443,-8.49412470603122,7.8904886,53.72055062852364,0.0025928563,9.024819e-07,1.2257692,0.99663895,408.10691066985925,407.9071455114453,-8.49412470603122,-8.49412470603122,200.0,53.72055062852364,0.22410637,1.5400286,500
0.0020000003,0.0010443276,-8.170405,-9.110161,0.0034570254,-8.225066234962641,7.488372,53.37330063389908,0.522816,2.410175e-07,1.0621998,1.0012491,471.63855044893654,470.7212196833849,-8.225066234962641,-8.225066234962641,200.0,53.37330063389908,0.060404986,1.7306716,500
0.002,3.5012564e-14,-6.9869614,-8.154145,0.004220315,-7.5137916643515466,8.000412,48.91487171037103,1.7730624e-11,2.3044975e-06,1.6007301,1.012815,317.46594704349724,312.3574748897761,-7.5137916643515466,-7.5137916643515466,200.0,48.91487171037103,0.59098506,2.137199,500
0.002,6.230399e-11,-7.0784674,-8.320858,0.0052005057,-7.7680844245945515,8.8929,48.70886293881287,3.0871682e-08,3.6455835e-06,1.869129,0.99100184,261.8386348483232,267.5042842865698,-7.7680844245945515,-7.7680844245945515,200.0,48.70886293881287,0.8950679,2.5768554,500
0.002,0.0011134802,-8.3684635,-9.268052,0.0035892755,-8.407458688655668,7.175403,50.40992315525911,0.5594834,1.5617634e-07,1.0382673,1.0049275,481.24769483854834,481.57157771690765,-8.407458688655668,-8.407458688655668,200.0,50.40992315525911,0.039429814,1.8034809,500
0.0019999999,6.384142e-05,-6.8526936,-8.186083,0.023205379,-7.724157949593005,10.315666,47.24950037026335,0.0320171,6.1461715e-06,2.311012,1.0030197,197.3577924079436,216.3554293900385,-7.724157949593005,-7.724157949593005,200.0,47.24950037026335,1.5458364,11.637726,500
0.002,0.00015723819,-7.068521,-8.265236,0.016349992,-7.721677947840961,8.57329,46.17841881521051,0.084395036,3.5090786e-06,1.8470112,1.0734674,266.5934087620097,270.7076154653074,-7.721677947840961,-7.721677947840961,200.0,46.17841881521051,1.0109062,8.775592,500
0.002,8.869294e-11,-6.961406,-8.09348,0.004441649,-7.434100960498317,8.730002,48.22542007283851,4.6256368e-08,2.5319414e-06,1.6846026,1.0430676,306.42523986325085,296.80590223056043,-7.434100960498317,-7.434100960498317,200.0,48.22542007283851,0.68868166,2.3164701,500
0.002,0.0009458814,-7.2937427,-8.413077,0.36191037,-7.868167289627192,7.3289213,48.026284724814275,0.7430265,0.00026130877,1.638719,1.5710775,7.553264282080519,305.11638138703825,-7.868167289627192,-7.868167289627192,200.0,48.026284724814275,161.24614,284.29462,500
0.0019999999,2.008416e-17,-6.7832136,-8.0302,0.005770153,-7.468514366233518,9.623252,49.350471172668165,9.694038e-15,4.3656796e-06,2.0338504,0.9653416,239.32181554805337,245.83911986361548,-7.468514366233518,-7.468514366233518,200.0,49.350471172668165,1.0170772,2.7850842,500
0.0019999999,3.125701e-16,-6.566706,-7.9508295,0.006430142,-7.505020259993129,9.4284315,44.73107453663436,1.6989384e-13,5.2783525e-06,2.4849577,1.0870767,215.80106814836304,201.21066889974813,-7.505020259993129,-7.505020259993129,200.0,44.73107453663436,1.5594043,3.4950287,500
0.0019999999,0.0010011962,-7.002752,-7.992579,0.011572454,-7.2256170824150425,7.631696,49.88061250660689,0.49839017,1.2193514e-06,1.2893146,0.9955894,383.36853016611474,387.80293752840237,-7.2256170824150425,-7.2256170824150425,200.0,49.88061250660689,0.30215472,5.760706,500
0.0019999999,7.54362e-06,-7.610099,-8.568538,0.0030680131,-7.80048334034417,7.8198805,49.636623892904154,0.0037088338,8.441679e-07,1.2046053,0.9833035,413.01159096016045,415.0737033944314,-7.80048334034417,-7.80048334034417,200.0,49.636623892904154,0.20405348,1.508394,500
0.0019999999,0.0015859068,-7.411113,-8.347069,0.011691843,-7.523109286956787,7.6691184,49.22636502649981,0.80914724,6.4049374e-07,1.1450393,1.0204222,431.1076418112693,436.6662273252457,-7.523109286956787,-7.523109286956787,200.0,49.22636502649981,0.16673036,5.965308,500
0.002,0.0018485104,-7.807342,-8.692455,0.003555061,-7.82125772616464,7.0782137,49.94635800006867,0.9226042,5.5381104e-08,1.015124,0.99821377,493.1853497833614,492.5506815413863,-7.82125772616464,-7.82125772616464,200.0,49.94635800006867,0.013795858,1.7743554,500
0.002,1.2376588e-06,-6.8659706,-8.156822,0.011448843,-7.732534266825396,9.934493,49.2594081043513,0.0006454579,4.9149185e-06,2.1897233,1.0430304,224.5906906134952,228.33935715751716,-7.732534266825396,-7.732534266825396,200.0,49.2594081043513,1.3367504,5.970746,500
0.002,0.0004008884,-7.7043667,-8.632907,0.0035949613,-7.833433906607408,7.487486,49.84620411192717,0.19922654,5.239186e-07,1.1283045,0.99392515,442.1970767523647,443.1427936300252,-7.833433906607408,-7.833433906607408,200.0,49.84620411192717,0.12939312,1.7865613,500
0.002,0.0015129857,-7.381373,-8.399363,0.01878269,-7.7668244777341044,7.092994,45.82757293337515,0.772529,1.6443487e-06,1.3563569,1.021198,354.54324536983563,368.6345496805838,-7.7668244777341044,-7.7668244777341044,200.0,45.82757293337515,0.42870042,9.590424,500
