ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
500.0,2,0.005,100,0.005,252.279,527.28662264,540.274,,1.0,66556.3210835,527.28662264,527.28662264,0.6,1.0,57.04,500,1.0,0.005,1.0,2.1793e-19,66556.3210835,465.084,200.000000102
500.0,2,0.00333333,100,0.00333333,254.917,563.074473553,547.874,,1.0,67991.9117788,563.074473553,563.074473553,0.6,1.0,60.8,500,1.0,0.00333333,1.0,5.43914e-20,67991.9117788,460.746,299.999969474
500.0,2,0.0025,100,0.0025,252.303,602.637667179,561.565,,1.0,58009.4619326,602.637667179,602.637667179,0.6,1.0,65.08,500,1.0,0.0025,1.0,5.4346e-20,58009.4619326,486.11,400.0
48.2020180587,1,0.535292,100,5.32681e-10,1899.94,543.974944414,975.457,561.508,10.373,65181.7717096,543.974944414,543.974944414,0.6,5.25666e-07,58.78,500,528.244,0.002,1.97366,0.000576593,65181.7717096,758.093,3.45161191823
500.0,2,0.01,100,0.01,326.743,768.184685363,768.185,,1.0,107839.200208,768.184685363,768.184685363,0.6,1.0,83.08,500,1.0,0.01,1.0,3.50449e-18,107839.200208,619.359,100.0
500.0,2,0.005,100,0.005,319.01,741.034194275,754.609,,1.0,97379.264083,741.034194275,741.034194275,0.6,1.0,80.03,500,1.0,0.005,1.0,2.1793e-19,97379.264083,647.387,200.000000102
500.0,2,0.00333333,100,0.00333333,309.445,725.403120028,744.874,,1.0,84004.5234465,725.403120028,725.403120028,0.6,1.0,78.36,500,1.0,0.00333333,1.0,5.43914e-20,84004.5234465,657.327,299.999969474
500.0,2,0.0025,100,0.0025,307.309,753.917876444,747.135,,1.0,91339.1320462,753.917876444,753.917876444,0.6,1.0,81.46,500,1.0,0.0025,1.0,5.4346e-20,91339.1320462,671.317,400.0
14.1782076258,1,0.609952,100,2.06173e-19,3881.42,791.399712985,1516.09,1040.13,35.2654,94586.8747953,791.399712985,791.399712985,0.6,2.40484e-16,85.58,500,711.459,0.002,2.33284,0.000764505,94586.8747953,1113.38,2.60764426684
500.0,2,0.01,100,0.01,326.992,970.319702322,970.32,,1.0,108003.786795,970.319702322,970.319702322,0.6,1.0,105.08,500,1.0,0.01,1.0,3.50449e-18,108003.786795,818.152,100.0
