IterType,EpsThisIter,VarNormIw,BatchSize,AvgEpLen,eRenyi2,J,AvgNormIw,Delta,AvgDiscRet,Bound,MinVanillaIw,VanillaAvgRet,VarJ,ESSClassic,MaxNormIw,VarVanillaIw,MaxVanillaIw,VarDiscRet,AvgVanillaIw,VarRet,AvgRet,MinNormIw,ESSRenyi
1,100,0.008680799,100,11.89,44.810577,637.90027,0.01,0.95,108.8423725164873,505.85358,5.6252273e-36,108.8423725164873,328.46048,1.1502200029146246,0.9319936,422.2321,205.54588,27085.56038992746,2.2054431,27085.56038992746,108.8423725164873,2.550611e-38,2.2316159670052094
,100,0.01,200,11.89,nan,259.8849,0.01,0.95,345.2902071890566,-inf,0.0048650936,108.8423725164873,0.00035670458,,0.9999999,inf,1.777706e+35,325135.1870225746,1.7777062e+33,27085.56038992746,108.8423725164873,2.7367253e-38,nan
1,100,0.004339484,200,14.81,158.72021,1362.0912,0.005,0.95,138.03988776071748,1043.3278,,138.03988776071748,939.0379,1.1513342164405194,0.9315929,2093.3594,647.03674,52705.64778791455,3.4727442,52705.64778791455,138.03988776071748,,1.2600789395155956
2,100,3.5044917e-18,200,79.26,1.0,782.71326,0.009999998,0.95,782.7132471540922,668.00555,1.0,782.7132471540922,1031.6691,100.0,0.01,,1.0,1075092.1047223601,1.0,1075092.1047223601,782.7132471540922,0.01,200.0
,100,nan,300,14.81,nan,nan,nan,0.95,821.693447808352,nan,0.0015455073,138.03988776071748,nan,nan,nan,nan,inf,1106845.659186765,inf,52705.64778791455,138.03988776071748,nan,nan
1,100,0.0025619655,300,14.08,161.3625,1308.761,0.0033333327,0.95,130.7339065131898,1046.3342,,130.7339065131898,1959.9694,1.2997799853481058,0.87594014,1151.2815,587.1898,39978.34815467336,2.2345128,39978.34815467336,130.7339065131898,,1.8591679871486224
2,100,3.5044917e-18,300,109.27,1.0,1083.0656,0.009999998,0.95,1083.0656175141332,968.3619,1.0,1083.0656175141332,1249.5887,100.0,0.01,,1.0,1577244.496396478,1.0,1577244.496396478,1083.0656175141332,0.01,300.0
2,100,2.179301e-19,300,76.59,1.0,919.49097,0.0049999994,0.95,755.9164265161529,838.3816,1.0,755.9164265161529,1095.7906,200.00000010221265,0.005,,1.0,794474.082774195,1.0,794474.082774195,755.9164265161529,0.005,300.0
,100,nan,400,14.08,nan,nan,nan,0.95,930.9598868658895,nan,0.0017030269,130.7339065131898,nan,nan,nan,nan,inf,1400600.9858515598,inf,39978.34815467336,130.7339065131898,nan,nan
1,100,0.0014288566,400,17.73,219.65192,2492.302,0.0024999997,0.95,167.23209473193802,1963.5944,2.2731503e-23,167.23209473193802,9748.37,1.746377741112064,0.7522958,3756.5186,1219.7957,124849.62714676822,4.0535774,124849.62714676822,167.23209473193802,1.401941e-26,1.8210631000475994
2,100,3.5044917e-18,400,69.23,1.0,682.20374,0.009999998,0.95,682.2038273069334,567.49603,1.0,682.2038273069334,782.72107,100.0,0.01,,1.0,618840.6539787446,1.0,618840.6539787446,682.2038273069334,0.01,400.0
2,100,2.179301e-19,400,74.3,1.0,707.5592,0.0049999994,0.95,732.9146143059436,626.4486,1.0,732.9146143059436,762.0231,200.00000010221265,0.005,,1.0,552949.6472719084,1.0,552949.6472719084,732.9146143059436,0.005,400.0
2,100,5.4391416e-20,400,59.1,1.0,665.3136,0.0033333336,0.95,580.8222206578278,599.0871,1.0,580.8222206578278,701.75244,299.999969473632,0.0033333334,,1.0,308386.7229054801,1.0,308386.7229054801,580.8222206578278,0.0033333334,400.0
,100,0.0024478333,500,17.73,9.718885e-11,507.5924,0.0025,0.95,619.2930712164903,-inf,0.00081980944,167.23209473193802,51.27364,,0.9895085,inf,4.399181e+22,221021.5742065275,1.1114561e+20,124849.62714676822,167.23209473193802,1.8439987e-26,5144623217156.68
1,100,0.0013900001,500,11.92,488.00735,2795.9875,0.0019999999,0.95,109.14431310278022,2091.122,3.0619807e-27,109.14431310278022,6181.17,1.4375869885647397,0.8298291,15619.535,2781.732,44903.78789778857,6.704349,44903.78789778857,109.14431310278022,9.134311e-31,1.0245747223833368
2,100,3.5044917e-18,500,84.15,1.0,831.2694,0.009999998,0.95,831.2694308538127,739.50665,1.0,831.2694308538127,743.5173,100.0,0.01,,1.0,558401.8894517674,1.0,558401.8894517674,831.2694308538127,0.01,500.0
2,100,2.179301e-19,500,85.86,1.0,839.9187,0.0049999994,0.95,848.5680027564762,758.8246,1.0,848.5680027564762,864.1272,200.00000010221265,0.005,,1.0,949963.7486962952,1.0,949963.7486962952,848.5680027564762,0.005,500.0
2,100,5.4391416e-20,500,71.35,1.0,794.3718,0.0033333336,0.95,703.2782580309627,728.15875,1.0,703.2782580309627,800.9446,299.999969473632,0.0033333334,,1.0,422886.8758234854,1.0,422886.8758234854,703.2782580309627,0.0033333334,500.0
2,100,5.434597e-20,500,84.79,1.0,805.2251,0.0024999997,0.95,837.784630010047,747.87134,1.0,837.784630010047,789.0252,400.0,0.0025,,1.0,569993.3551048208,1.0,569993.3551048208,837.784630010047,0.0025,500.0
1,100,0.0006179637,500,88.39,189.55586,4461.522,0.002,0.95,873.9242549930489,3755.2441,,873.9242549930489,7455.983,3.2220231115432902,0.487518,1407.0299,735.6323,1101365.3657435563,3.017867,1101365.3657435563,873.9242549930489,,2.637744850509143
2,100,3.5044917e-18,500,375.4,1.0,3747.848,0.009999998,0.95,3747.8477610892955,3633.1401,1.0,3747.8477610892955,1369.0574,100.0,0.01,,1.0,1893250.1827160202,1.0,1893250.1827160202,3747.8477610892955,0.01,500.0
2,100,2.179301e-19,500,327.3,1.0,3506.7188,0.0049999994,0.95,3265.5898064825747,3425.6082,1.0,3265.5898064825747,1507.3987,200.00000010221265,0.005,,1.0,2579694.761419083,1.0,2579694.761419083,3265.5898064825747,0.005,500.0
2,100,5.4391416e-20,500,341.22,1.0,3472.9844,0.0033333336,0.95,3405.5148859143314,3406.7578,1.0,3405.5148859143314,1536.1409,299.999969473632,0.0033333334,,1.0,2553390.2410144163,1.0,2553390.2410144163,3405.5148859143314,0.0033333334,500.0
