VarRet,J,AvgNormIw,AvgRet,MaxNormIw,AvgVanillaIw,MaxVanillaIw,VarNormIw,BatchSize,VarDiscRet,ESSRenyi,ESSClassic,AvgDiscRet,MinNormIw,MinVanillaIw,Bound,VarVanillaIw,AvgEpLen,VarJ,eRenyi2
278879.6132693077,648.60834,0.01,767.6510452428844,0.047390293,1.1607324,5.500745,0.00010691767,100,48060.716549030214,47.43202044517956,48.579412283222155,480.2043922670448,5.766537e-06,0.0006693406,295.82742,1.4405016,77.72,215.95525,2.1082804
272252.7830335061,865.971,0.01,1111.7456872267253,1.0,9.195471e-36,9.195471e-34,0.0100000035,100,28530.01397625595,0.0026201245214178804,inf,630.1470886879916,,,488.09015,,112.08,,38166.125
11432.109688987297,861.24146,0.01,1971.8310108820535,0.015059275,0.9985739,1.5037799,6.577498e-07,100,402.75994120447234,99.4703835000223,99.35303251584247,861.1750155014156,0.009519334,0.9505759,844.2964,0.0065587508,197.32,19.372562,1.0053244
26935.44824966077,855.9846,0.01,1944.2392206691206,0.011308177,0.9965983,1.126971,5.1850627e-08,100,986.1579356761415,99.93650179450933,99.9486785799572,855.946698684065,0.0096840635,0.96511215,829.5357,0.0005149847,194.62,31.144133,1.0006354
31663.890185543463,856.34955,0.01,1948.1167555322497,0.016313436,0.99866074,1.6291587,1.5333112e-06,100,1485.9037641357763,97.85173387283976,98.50473173381354,855.8718200230054,0.008165812,0.81548756,823.4522,0.015292066,194.98,36.20733,1.0219543
30046.058272184102,857.5347,0.01,1952.2432512948476,0.022812136,1.0549572,2.4065826,8.516812e-06,100,1511.7007999352734,92.63383586602107,92.22399828882263,856.5523602513413,0.007969665,0.84076554,823.8526,0.09478655,195.38,32.984592,1.0795192
60228.61233015191,866.01196,0.01,1897.6264772268385,1.0,5.4840925e-14,5.4840923e-12,0.010000003,100,2716.9763955941835,0.06435279408331361,1.0,845.8547339853549,,,802.01636,3.007526e-25,190.0,,1553.9341
36119.616357931445,855.06537,0.01,1946.531436715871,0.01578734,1.0013587,1.5808791,8.038747e-07,100,1955.521645192853,99.36349430916343,99.21046297527363,855.074829767279,0.009467613,0.9480477,817.8834,0.008060608,194.8,42.571617,1.0064058
42834.20706192728,853.05756,0.010000002,1935.2273610733077,0.01630212,1.0127844,1.6510532,1.5947735e-06,100,2163.416119553202,98.65074194375387,98.44570385535029,852.8911632226805,0.009153045,0.927006,813.77264,0.016358104,193.72,44.522846,1.0136771
49563.89657580512,848.3866,0.01,1904.7794780650363,0.02315778,1.0060118,2.3297,3.1857032e-06,100,2370.622957383956,97.30729581303876,96.94257188148194,847.8470334601589,0.008960993,0.9014865,806.8981,0.03224122,190.76,47.49067,1.0276722
11830.348904233568,865.9335,0.01,1965.7671607494726,1.0,1.2026506e-20,1.2026506e-18,0.010000002,100,341.72824215684005,0.1734016991546138,1.0,860.3618103300267,,,844.8145,1.4463687e-38,196.71,4.9435233e-18,576.6956
8839.008595645693,861.78217,0.009999998,1974.3412650747225,0.01,1.0,1.0,3.5044917e-18,100,260.3273766313862,inf,100.0,861.7821908990893,0.01,1.0,861.78217,,197.56,16.05379,
36871.800528000764,854.4182,0.009999998,1942.3526530438849,0.01,1.0,1.0,3.5044917e-18,100,1968.0797518231554,inf,100.0,854.4182442906967,0.01,1.0,854.4182,,194.42,44.14067,
42783.621676301365,852.6416,0.009999998,1934.7527941795065,0.01,1.0,1.0,3.5044917e-18,100,2526.4943026229435,inf,100.0,852.6416258597358,0.01,1.0,852.6416,,193.67,50.012295,
18021.88324395642,859.0744,0.009999998,1960.9594017651677,0.01,1.0,1.0,3.5044917e-18,100,674.5913105741923,inf,100.0,859.0744626491028,0.01,1.0,859.0744,,196.26,25.842703,
43585.35383235435,850.9374,0.009999998,1922.7075591026992,0.01,1.0,1.0,3.5044917e-18,100,2352.946955689835,inf,100.0,850.9373548396993,0.01,1.0,850.9374,,192.51,48.264038,
26582.068775863823,856.8053,0.009999998,1951.339966111444,0.01,1.0,1.0,3.5044917e-18,100,1275.0796789078133,inf,100.0,856.8053698854113,0.01,1.0,856.8053,,195.31,35.529266,
24859.441734845248,857.8842,0.009999998,1957.449966526553,0.01,1.0,1.0,3.5044917e-18,100,1081.1178891953452,inf,100.0,857.8842592076295,0.01,1.0,857.8842,,195.9,32.71554,
25836.156104590074,857.0873,0.009999998,1952.0618205162139,0.01,1.0,1.0,3.5044917e-18,100,1049.9645032710691,inf,100.0,857.0873158106125,0.01,1.0,857.0873,,195.36,32.24073,
16863.209582639,859.4586,0.009999998,1963.5211987499706,0.01,1.0,1.0,3.5044917e-18,100,750.7512061720553,inf,100.0,859.4586086082777,0.01,1.0,859.4586,,196.53,27.262495,
45125.95205005261,852.35583,0.009999998,1932.0607887243107,0.01,1.0,1.0,3.5044917e-18,100,2020.9466229629538,inf,100.0,852.3558612057495,0.01,1.0,852.35583,,193.36,44.729607,
17022.60882386031,858.5804,0.009999998,1956.412425779011,0.01,1.0,1.0,3.5044917e-18,100,555.2550501668097,inf,100.0,858.580373473398,0.01,1.0,858.5804,,195.82,23.445732,
51942.55735565854,848.9033,0.009999998,1913.5105441939459,0.01,1.0,1.0,3.5044917e-18,100,2517.6536226722696,inf,100.0,848.9033564905981,0.01,1.0,848.9033,,191.57,49.924713,
24442.19689186414,856.42596,0.009999998,1946.4200227344036,0.01,1.0,1.0,3.5044917e-18,100,968.6060053502667,inf,100.0,856.4260428219349,0.01,1.0,856.42596,,194.85,30.966433,
44088.94871934252,850.9529,0.009999998,1921.6101770055852,0.01,1.0,1.0,3.5044917e-18,100,1939.3158836520674,inf,100.0,850.9528599810703,0.01,1.0,850.9529,,192.38,43.81692,
48339.78218464533,850.2641,0.009999998,1921.6217451839707,0.01,1.0,1.0,3.5044917e-18,100,2667.587670015904,inf,100.0,850.2641429715401,0.01,1.0,850.2641,,192.38,51.3898,
17574.507038351006,858.30334,0.009999998,1954.894956502281,0.01,1.0,1.0,3.5044917e-18,100,591.5630831813786,inf,100.0,858.3033665883231,0.01,1.0,858.30334,,195.67,24.200153,
19622.23714998782,858.8435,0.009999998,1960.7154692141712,0.01,1.0,1.0,3.5044917e-18,100,809.7626517801522,inf,100.0,858.8435423865998,0.01,1.0,858.8435,,196.27,28.313688,
32907.67002777902,855.78076,0.009999998,1948.774034283925,0.01,1.0,1.0,3.5044917e-18,100,1660.3389294576211,inf,100.0,855.7807670269809,0.01,1.0,855.78076,,195.05,40.54301,
54128.943574138306,850.62164,0.009999998,1927.7494895015657,0.01,1.0,1.0,3.5044917e-18,100,2864.0287084656666,inf,100.0,850.6216527643057,0.01,1.0,850.62164,,192.95,53.248363,
27173.36187601855,857.3401,0.009999998,1955.2362232825906,0.01,1.0,1.0,3.5044917e-18,100,1221.0345953624878,inf,100.0,857.3401549208321,0.01,1.0,857.3401,,195.65,34.76815,
32923.146699157805,855.39655,0.009999998,1945.601251331661,0.01,1.0,1.0,3.5044917e-18,100,1548.2126130748634,inf,100.0,855.3966140648835,0.01,1.0,855.39655,,194.73,39.1501,
28549.381395889563,856.19836,0.009999998,1948.712907595057,0.01,1.0,1.0,3.5044917e-18,100,1448.8472823183783,inf,100.0,856.1983644243704,0.01,1.0,856.19836,,195.06,37.872932,
11036.399324274158,860.8733,0.009999998,1969.1630888162554,0.01,1.0,1.0,3.5044917e-18,100,348.1494947413051,inf,100.0,860.873263032044,0.01,1.0,860.8733,,197.08,18.565235,
39927.7491936142,852.55725,0.009999998,1930.6234716600366,0.01,1.0,1.0,3.5044917e-18,100,1926.1447306644343,inf,100.0,852.557211313908,0.01,1.0,852.55725,,193.26,43.667877,
19118.802345055945,859.57776,0.009999998,1965.8537545148283,0.01,1.0,1.0,3.5044917e-18,100,852.4174730459875,inf,100.0,859.5777921739613,0.01,1.0,859.57776,,196.71,29.04984,
34075.93682305621,854.4648,0.009999998,1939.3624815727771,0.01,1.0,1.0,3.5044917e-18,100,1498.2791121484543,inf,100.0,854.4647776585413,0.01,1.0,854.4648,,194.12,38.513584,
51273.717167351744,850.3886,0.009999998,1925.9381935054437,0.01,1.0,1.0,3.5044917e-18,100,3201.44779190159,inf,100.0,850.3886440170351,0.01,1.0,850.3886,,192.81,56.297718,
32357.149380163733,855.9956,0.009999998,1950.134631869979,0.01,1.0,1.0,3.5044917e-18,100,1663.3813060515076,inf,100.0,855.9955940866466,0.01,1.0,855.9956,,195.22,40.58013,
25417.328490467422,857.03107,0.009999998,1951.7733785682917,0.01,1.0,1.0,3.5044917e-18,100,1120.0280979626307,inf,100.0,857.0311122319654,0.01,1.0,857.03107,,195.36,33.299065,
26177.591306234888,857.12744,0.009999998,1952.8408657552302,0.01,1.0,1.0,3.5044917e-18,100,1120.278822674659,inf,100.0,857.1274101419144,0.01,1.0,857.12744,,195.43,33.30279,
42359.193310072216,851.6333,0.009999998,1925.3501738584227,0.01,1.0,1.0,3.5044917e-18,100,1919.7173906004402,inf,100.0,851.6332589903193,0.01,1.0,851.6333,,192.73,43.594955,
26563.97437468011,856.70447,0.009999998,1950.3286457164213,0.01,1.0,1.0,3.5044917e-18,100,1187.048043161647,inf,100.0,856.7045750466984,0.01,1.0,856.70447,,195.22,34.280865,
7967.836342296615,861.32654,0.009999998,1970.4214211869798,0.01,1.0,1.0,3.5044917e-18,100,210.45384822290032,inf,100.0,861.3265190928629,0.01,1.0,861.32654,,197.21,14.434311,
34650.31672137079,852.5818,0.009999998,1925.90653995106,0.01,1.0,1.0,3.5044917e-18,100,1335.3340028147834,inf,100.0,852.5817735286394,0.01,1.0,852.5818,,192.84,36.35905,
46060.151088408486,850.7185,0.009999998,1922.7150714501738,0.01,1.0,1.0,3.5044917e-18,100,2393.4442542845895,inf,100.0,850.7185499928538,0.01,1.0,850.7185,,192.5,48.677612,
