AvgEpLen,MinVanillaIw,VanillaAvgRet,MinNormIw,ESSRenyi,VarJ,Bound,AvgDiscRet,AvgNormIw,eRenyi2,VarDiscRet,VarNormIw,BatchSize,VarRet,ESSClassic,VarVanillaIw,J,AvgVanillaIw,MaxVanillaIw,MaxNormIw,AvgRet
200.0,1.0,-12.764257457881392,0.01,nan,9.9114685,-1.0739295,1.7763568394002505e-17,0.009999998,nan,99.2295090127074,3.5044917e-18,100,99.2295090127074,100.0,,,1.0,1.0,0.01,1.7763568394002505e-17
200.0,1.0,-11.793127670305573,0.01,nan,9.750759,-0.99248284,1.1723955140041654e-15,0.009999998,nan,96.0376923752664,3.5044917e-18,100,96.0376923752664,100.0,,-2.9802322e-08,1.0,1.0,0.01,1.1723955140041654e-15
200.0,1.0,-14.423909097937868,0.01,nan,10.303895,-1.2095182,1.9539925233402757e-15,0.009999998,nan,107.24267643440358,3.5044917e-18,100,107.24267643440358,100.0,,1.4901161e-07,1.0,1.0,0.01,1.9539925233402757e-15
200.0,1.0,-12.347508452152196,0.01,nan,10.467449,-1.0387506,-4.227729277772596e-15,0.009999998,nan,110.6742405219051,3.5044917e-18,100,110.6742405219051,100.0,,5.9604645e-08,1.0,1.0,0.01,-4.227729277772596e-15
200.0,1.0,-12.871721462939052,0.01,nan,10.536611,-1.0826927,8.437694987151189e-16,0.009999998,nan,112.14157258812095,3.5044917e-18,100,112.14157258812095,100.0,,-1.4901161e-08,1.0,1.0,0.01,8.437694987151189e-16
200.0,1.0,-12.751012726583824,0.01,nan,9.624398,-1.07279,3.4106051316484808e-15,0.009999998,nan,93.56467972323776,3.5044917e-18,100,93.56467972323776,100.0,,,1.0,1.0,0.01,3.4106051316484808e-15
200.0,1.0,-14.20819804105994,0.01,nan,10.392498,-1.1956165,-1.0480505352461477e-15,0.009999998,nan,109.09495405937355,3.5044917e-18,100,109.09495405937355,100.0,,-7.4505806e-08,1.0,1.0,0.01,-1.0480505352461477e-15
200.0,1.0,-15.784913661967432,0.01,nan,10.379204,-1.3284874,9.237055564881303e-16,0.009999998,nan,108.81603335304098,3.5044917e-18,100,108.81603335304098,100.0,,-7.8231096e-08,1.0,1.0,0.01,9.237055564881303e-16
200.0,1.0,-14.77408687366188,0.01,nan,10.716551,-1.2425891,1.4210854715202004e-16,0.009999998,nan,116.00451100876795,3.5044917e-18,100,116.00451100876795,100.0,,-5.9604645e-08,1.0,1.0,0.01,1.4210854715202004e-16
200.0,1.0,-12.595881562900786,0.01,nan,10.460522,-1.0561781,-2.5224267119483555e-15,0.009999998,nan,110.52778692210937,3.5044917e-18,100,110.52778692210937,100.0,,-5.9604645e-08,1.0,1.0,0.01,-2.5224267119483555e-15
200.0,1.0,-13.038844458311255,0.01,nan,10.664035,-1.0971332,6.750155989720952e-16,0.009999998,nan,114.87034843647578,3.5044917e-18,100,114.87034843647578,100.0,,-1.4901161e-07,1.0,1.0,0.01,6.750155989720952e-16
200.0,1.0,-12.251391447565792,0.01,nan,10.24441,-1.0309051,-8.171241461241152e-16,0.009999998,nan,106.0080224160982,3.5044917e-18,100,106.0080224160982,100.0,,-4.4703484e-08,1.0,1.0,0.01,-8.171241461241152e-16
200.0,1.0,-12.259554533263165,0.01,nan,10.5896,-1.0312642,1.5720758028692217e-15,0.009999998,nan,113.2723462807602,3.5044917e-18,100,113.2723462807602,100.0,,5.2154064e-08,1.0,1.0,0.01,1.5720758028692217e-15
200.0,1.0,-11.979903513374575,0.01,nan,9.975899,-1.0079117,1.9184653865522706e-15,0.009999998,nan,100.523797982313,3.5044917e-18,100,100.523797982313,100.0,,-2.9802322e-08,1.0,1.0,0.01,1.9184653865522706e-15
200.0,1.0,-14.653532970146493,0.01,nan,10.385617,-1.2332662,3.1974423109204507e-16,0.009999998,nan,108.95055549021859,3.5044917e-18,100,108.95055549021859,100.0,,2.0861626e-07,1.0,1.0,0.01,3.1974423109204507e-16
200.0,1.0,-13.221407215482984,0.01,nan,10.356515,-1.1122206,-1.1013412404281553e-15,0.009999998,nan,108.34079777604568,3.5044917e-18,100,108.34079777604568,100.0,,-5.9604645e-08,1.0,1.0,0.01,-1.1013412404281553e-15
200.0,1.0,-15.964227862953612,0.01,nan,10.564454,-1.3435788,-5.329070518200751e-16,0.009999998,nan,112.73504402132907,3.5044917e-18,100,112.73504402132907,100.0,,,1.0,1.0,0.01,-5.329070518200751e-16
200.0,1.0,-13.636269510590399,0.01,nan,10.775024,-1.1474208,3.907985046680551e-16,0.009999998,nan,117.2738880462785,3.5044917e-18,100,117.2738880462785,100.0,,-7.4505806e-08,1.0,1.0,0.01,3.907985046680551e-16
200.0,1.0,-12.276197265433034,0.01,nan,10.932581,-1.0330143,4.440892098500626e-16,0.009999998,nan,120.72860980542139,3.5044917e-18,100,120.72860980542139,100.0,,-5.9604645e-08,1.0,1.0,0.01,4.440892098500626e-16
200.0,1.0,-13.340879444684324,0.01,nan,10.946931,-1.1227925,1.6697754290362353e-15,0.009999998,nan,121.04574883884526,3.5044917e-18,100,121.04574883884526,100.0,,2.9802322e-08,1.0,1.0,0.01,1.6697754290362353e-15
200.0,1.0,-14.042925186011532,0.01,nan,10.330399,-1.1815184,-3.304023721284466e-15,0.009999998,nan,107.79507706654965,3.5044917e-18,100,107.79507706654965,100.0,,-2.9802322e-08,1.0,1.0,0.01,-3.304023721284466e-15
200.0,1.0,-12.601910778864246,0.01,nan,10.444764,-1.0606029,-1.1723955140041654e-15,0.009999998,nan,110.19503983253898,3.5044917e-18,100,110.19503983253898,100.0,,-1.7881393e-07,1.0,1.0,0.01,-1.1723955140041654e-15
200.0,1.0,-13.241110162305509,0.01,nan,10.165058,-1.1142666,3.68594044175552e-15,0.009999998,nan,104.3721360679459,3.5044917e-18,100,104.3721360679459,100.0,,1.4901161e-08,1.0,1.0,0.01,3.68594044175552e-15
200.0,1.0,-14.721444291348623,0.01,nan,10.939964,-1.238936,-1.1723955140041654e-15,0.009999998,nan,120.89173078518846,3.5044917e-18,100,120.89173078518846,100.0,,-2.9802322e-08,1.0,1.0,0.01,-1.1723955140041654e-15
200.0,1.0,-15.621150793653133,0.01,nan,10.11826,-1.3134972,2.930988785010413e-15,0.009999998,nan,103.41332689177851,3.5044917e-18,100,103.41332689177851,100.0,,-1.4901161e-08,1.0,1.0,0.01,2.930988785010413e-15
200.0,1.0,-13.95697215821464,0.01,nan,10.191535,-1.1746143,6.927791673660977e-16,0.009999998,nan,104.91653508921623,3.5044917e-18,100,104.91653508921623,100.0,,1.4901161e-08,1.0,1.0,0.01,6.927791673660977e-16
200.0,1.0,-14.54404851666458,0.01,nan,10.332515,-1.2239888,-2.3625545964023332e-15,0.009999998,nan,107.8392612615218,3.5044917e-18,100,107.8392612615218,100.0,,-2.9802322e-08,1.0,1.0,0.01,-2.3625545964023332e-15
200.0,1.0,-12.973232569704626,0.01,nan,10.188443,-1.0917151,3.730349362740526e-16,0.009999998,nan,104.85289775889014,3.5044917e-18,100,104.85289775889014,100.0,,-7.450581e-09,1.0,1.0,0.01,3.730349362740526e-16
200.0,1.0,-12.572974552322135,0.01,nan,10.455914,-1.056403,-1.6875389974302379e-15,0.009999998,nan,110.43043530697794,3.5044917e-18,100,110.43043530697794,100.0,,-1.1175871e-07,1.0,1.0,0.01,-1.6875389974302379e-15
200.0,1.0,-13.192694346000719,0.01,nan,9.953865,-1.1102068,4.973799150320702e-16,0.009999998,nan,100.08022897133647,3.5044917e-18,100,100.08022897133647,100.0,,5.9604645e-08,1.0,1.0,0.01,4.973799150320702e-16
200.0,1.0,-12.839202143695404,0.01,nan,10.5727625,-1.0805482,1.3322676295501878e-15,0.009999998,nan,112.91244148398091,3.5044917e-18,100,112.91244148398091,100.0,,-4.0978193e-08,1.0,1.0,0.01,1.3322676295501878e-15
200.0,1.0,-12.331249859626293,0.01,nan,10.653504,-1.0377712,1.0480505352461477e-15,0.009999998,nan,114.64358742484421,3.5044917e-18,100,114.64358742484421,100.0,,-5.9604645e-08,1.0,1.0,0.01,1.0480505352461477e-15
200.0,1.0,-13.70939204167181,0.01,nan,10.352601,-1.1529489,6.572520305780927e-16,0.009999998,nan,108.25895243809207,3.5044917e-18,100,108.25895243809207,100.0,,-1.1920929e-07,1.0,1.0,0.01,6.572520305780927e-16
200.0,1.0,-13.994475019880715,0.01,nan,10.378898,-1.1775215,-3.3395508580724707e-15,0.009999998,nan,108.80961969480441,3.5044917e-18,100,108.80961969480441,100.0,,-2.3841858e-07,1.0,1.0,0.01,-3.3395508580724707e-15
200.0,1.0,-13.362049167153666,0.01,nan,9.961316,-1.1242162,-5.3645976549887564e-15,0.009999998,nan,100.23011280933441,3.5044917e-18,100,100.23011280933441,100.0,,-7.4505806e-08,1.0,1.0,0.01,-5.3645976549887564e-15
200.0,1.0,-13.996847449896192,0.01,nan,10.253002,-1.1780005,-4.085620730620576e-15,0.009999998,nan,106.18591522135233,3.5044917e-18,100,106.18591522135233,100.0,,8.940697e-08,1.0,1.0,0.01,-4.085620730620576e-15
200.0,1.0,-13.981265028466161,0.01,nan,10.575853,-1.1761715,-1.5987211554602254e-16,0.009999998,nan,112.9784584005588,3.5044917e-18,100,112.9784584005588,100.0,,8.940697e-08,1.0,1.0,0.01,-1.5987211554602254e-16
200.0,1.0,-14.860151579415133,0.01,nan,10.04476,-1.249972,3.019806626980426e-16,0.009999998,nan,101.9163666811028,3.5044917e-18,100,101.9163666811028,100.0,,-2.0861626e-07,1.0,1.0,0.01,3.019806626980426e-16
200.0,1.0,-11.424191662147004,0.01,nan,10.163812,-0.96011114,4.440892098500626e-16,0.009999998,nan,104.34652516313707,3.5044917e-18,100,104.34652516313707,100.0,,4.4703484e-08,1.0,1.0,0.01,4.440892098500626e-16
200.0,1.0,-14.584526813740656,0.01,nan,10.709768,-1.2273821,-2.842170943040401e-16,0.009999998,nan,115.8577270005245,3.5044917e-18,100,115.8577270005245,100.0,,-5.9604645e-08,1.0,1.0,0.01,-2.842170943040401e-16
200.0,1.0,-14.066384225646324,0.01,nan,10.622175,-1.1838499,-2.042810365310288e-15,0.009999998,nan,113.97030180233587,3.5044917e-18,100,113.97030180233587,100.0,,5.9604645e-08,1.0,1.0,0.01,-2.042810365310288e-15
200.0,1.0,-12.89592497295348,0.01,nan,10.0386715,-1.0851254,1.6697754290362353e-15,0.009999998,nan,101.79285184109585,3.5044917e-18,100,101.79285184109585,100.0,,,1.0,1.0,0.01,1.6697754290362353e-15
200.0,1.0,-14.554903650183975,0.01,nan,10.581743,-1.2238739,6.750155989720952e-16,0.009999998,nan,113.10431875092819,3.5044917e-18,100,113.10431875092819,100.0,,-1.7881393e-07,1.0,1.0,0.01,6.750155989720952e-16
200.0,1.0,-13.486768051574508,0.01,nan,10.494485,-1.1350037,-2.5934809855243656e-15,0.009999998,nan,111.24669428812672,3.5044917e-18,100,111.24669428812672,100.0,,-8.381903e-08,1.0,1.0,0.01,-2.5934809855243656e-15
200.0,1.0,-14.44371659661301,0.01,nan,9.79491,-1.2129571,-3.375077994860476e-16,0.009999998,nan,96.9093523095888,3.5044917e-18,100,96.9093523095888,100.0,,-1.1920929e-07,1.0,1.0,0.01,-3.375077994860476e-16
200.0,1.0,-14.063745487373923,0.01,nan,10.361177,-1.1832092,-3.5349501104064984e-15,0.009999998,nan,108.43839327667155,3.5044917e-18,100,108.43839327667155,100.0,,5.9604645e-08,1.0,1.0,0.01,-3.5349501104064984e-15
200.0,1.0,-15.007232870360571,0.01,nan,10.411357,-1.2614084,-1.0658141036401502e-15,0.009999998,nan,109.4912893027961,3.5044917e-18,100,109.4912893027961,100.0,,-9.685755e-08,1.0,1.0,0.01,-1.0658141036401502e-15
200.0,1.0,-14.077465267954524,0.01,nan,9.897264,-1.1845863,-2.6645352591003757e-15,0.009999998,nan,98.94527103794633,3.5044917e-18,100,98.94527103794633,100.0,,-3.7252903e-08,1.0,1.0,0.01,-2.6645352591003757e-15
200.0,1.0,-14.394246603835182,0.01,nan,9.653502,-1.2112999,2.842170943040401e-15,0.009999998,nan,94.13142941449094,3.5044917e-18,100,94.13142941449094,100.0,,-5.9604645e-08,1.0,1.0,0.01,2.842170943040401e-15
200.0,1.0,-14.028073358811257,0.01,nan,10.716446,-1.1788732,5.151434834260726e-16,0.009999998,nan,116.00222844501405,3.5044917e-18,100,116.00222844501405,100.0,,8.568168e-08,1.0,1.0,0.01,5.151434834260726e-16
200.0,1.0,-15.220466666686937,0.01,nan,10.729333,-1.279361,-2.5224267119483555e-15,0.009999998,nan,116.28139648713552,3.5044917e-18,100,116.28139648713552,100.0,,8.940697e-08,1.0,1.0,0.01,-2.5224267119483555e-15
200.0,1.0,-13.753043021059826,0.01,nan,10.462737,-1.1573901,8.526512829121202e-16,0.009999998,nan,110.5746140577641,3.5044917e-18,100,110.5746140577641,100.0,,-1.1920929e-07,1.0,1.0,0.01,8.526512829121202e-16
200.0,1.0,-14.38142458709968,0.01,nan,10.211887,-1.209138,,0.009999998,nan,105.33601374736696,3.5044917e-18,100,105.33601374736696,100.0,,-8.940697e-08,1.0,1.0,0.01,
200.0,1.0,-13.998389080674738,0.01,nan,10.182783,-1.1774087,2.504663143554353e-15,0.009999998,nan,104.73642762968582,3.5044917e-18,100,104.73642762968582,100.0,,5.2154064e-08,1.0,1.0,0.01,2.504663143554353e-15
200.0,1.0,-12.166336139209657,0.01,nan,10.038115,-1.0239438,-4.103384299014579e-15,0.009999998,nan,101.78156287087566,3.5044917e-18,100,101.78156287087566,100.0,,-2.9802322e-08,1.0,1.0,0.01,-4.103384299014579e-15
200.0,1.0,-13.52927824471647,0.01,nan,10.132968,-1.1381873,2.2026824808563106e-15,0.009999998,nan,103.71419814661036,3.5044917e-18,100,103.71419814661036,100.0,,1.1175871e-07,1.0,1.0,0.01,2.2026824808563106e-15
200.0,1.0,-15.006298464937394,0.01,nan,10.717508,-1.262906,8.348877145181177e-16,0.009999998,nan,116.02523410077589,3.5044917e-18,100,116.02523410077589,100.0,,-5.2154064e-08,1.0,1.0,0.01,8.348877145181177e-16
200.0,1.0,-15.40611654708955,0.01,nan,10.14871,-1.2965837,-2.1316282072803005e-16,0.009999998,nan,104.0366959873803,3.5044917e-18,100,104.0366959873803,100.0,,-1.7881393e-07,1.0,1.0,0.01,-2.1316282072803005e-16
200.0,1.0,-15.225514157411707,0.01,nan,10.436432,-1.2807636,1.2434497875801752e-15,0.009999998,nan,110.01931309701868,3.5044917e-18,100,110.01931309701868,100.0,,4.4703484e-08,1.0,1.0,0.01,1.2434497875801752e-15
200.0,1.0,-12.343885481792526,0.01,nan,10.034797,-1.0384179,-1.7763568394002505e-15,0.009999998,nan,101.7142909182852,3.5044917e-18,100,101.7142909182852,100.0,,-1.4901161e-08,1.0,1.0,0.01,-1.7763568394002505e-15
200.0,1.0,-14.594936279303143,0.01,nan,10.2082,-1.2281337,-7.105427357601002e-16,0.009999998,nan,105.25996838847628,3.5044917e-18,100,105.25996838847628,100.0,,1.4901161e-08,1.0,1.0,0.01,-7.105427357601002e-16
200.0,1.0,-14.83045046866838,0.01,nan,9.905652,-1.2481328,-3.801403636316536e-15,0.009999998,nan,99.11308202749763,3.5044917e-18,100,99.11308202749763,100.0,,8.940697e-08,1.0,1.0,0.01,-3.801403636316536e-15
200.0,1.0,-13.617237845393912,0.01,nan,11.105692,-1.145737,-8.881784197001252e-16,0.009999998,nan,124.58221907077413,3.5044917e-18,100,124.58221907077413,100.0,,-1.1920929e-07,1.0,1.0,0.01,-8.881784197001252e-16
200.0,1.0,-12.47406692781788,0.01,nan,10.548002,-1.0486801,2.842170943040401e-16,0.009999998,nan,112.38420198531861,3.5044917e-18,100,112.38420198531861,100.0,,2.9802322e-08,1.0,1.0,0.01,2.842170943040401e-16
200.0,1.0,-14.457259114844337,0.01,nan,10.56391,-1.2167532,2.3803181647963358e-15,0.009999998,nan,112.72341763316967,3.5044917e-18,100,112.72341763316967,100.0,,3.7252903e-08,1.0,1.0,0.01,2.3803181647963358e-15
200.0,1.0,-13.418449057447988,0.01,nan,10.778099,-1.1290439,2.078337502098293e-15,0.009999998,nan,117.34083515557516,3.5044917e-18,100,117.34083515557516,100.0,,5.9604645e-08,1.0,1.0,0.01,2.078337502098293e-15
200.0,1.0,-13.508762977617641,0.01,nan,10.540071,-1.1368601,-7.638334409421077e-16,0.009999998,nan,112.21523810203776,3.5044917e-18,100,112.21523810203776,100.0,,-5.9604645e-08,1.0,1.0,0.01,-7.638334409421077e-16
200.0,1.0,-14.973038277054734,0.01,nan,10.286138,-1.2586272,-3.641531520770513e-15,0.009999998,nan,106.87334423993418,3.5044917e-18,100,106.87334423993418,100.0,,-1.1920929e-07,1.0,1.0,0.01,-3.641531520770513e-15
200.0,1.0,-14.528658385251184,0.01,nan,11.042503,-1.2220485,-5.151434834260726e-16,0.009999998,nan,123.16857297681021,3.5044917e-18,100,123.16857297681021,100.0,,5.9604645e-08,1.0,1.0,0.01,-5.151434834260726e-16
200.0,1.0,-13.009070095151012,0.01,nan,10.3747015,-1.0935668,-1.6697754290362353e-15,0.009999998,nan,108.7216435766505,3.5044917e-18,100,108.7216435766505,100.0,,-8.940697e-08,1.0,1.0,0.01,-1.6697754290362353e-15
200.0,1.0,-14.732566848448833,0.01,nan,9.939799,-1.2397009,1.7408297026122454e-15,0.009999998,nan,99.79759348861383,3.5044917e-18,100,99.79759348861383,100.0,,1.7881393e-07,1.0,1.0,0.01,1.7408297026122454e-15
200.0,1.0,-14.32519176487802,0.01,nan,10.682072,-1.2055995,-2.1316282072803005e-16,0.009999998,nan,115.25923943054947,3.5044917e-18,100,115.25923943054947,100.0,,-5.9604645e-08,1.0,1.0,0.01,-2.1316282072803005e-16
200.0,1.0,-12.263656204305553,0.01,nan,10.62639,-1.0318762,2.895461648222408e-15,0.009999998,nan,114.06078558869483,3.5044917e-18,100,114.06078558869483,100.0,,7.4505806e-08,1.0,1.0,0.01,2.895461648222408e-15
200.0,1.0,-14.783196721432503,0.01,nan,10.463366,-1.2433405,6.394884621840901e-16,0.009999998,nan,110.58789231223506,3.5044917e-18,100,110.58789231223506,100.0,,8.940697e-08,1.0,1.0,0.01,6.394884621840901e-16
200.0,1.0,-14.84792388133638,0.01,nan,10.43376,-1.2494774,1.0658141036401502e-15,0.009999998,nan,109.96297683391978,3.5044917e-18,100,109.96297683391978,100.0,,7.4505806e-08,1.0,1.0,0.01,1.0658141036401502e-15
200.0,1.0,-15.03533631773084,0.01,nan,10.639345,-1.265308,,0.009999998,nan,114.33906108086991,3.5044917e-18,100,114.33906108086991,100.0,,1.4156103e-07,1.0,1.0,0.01,
200.0,1.0,-12.48084834396278,0.01,nan,9.86961,-1.050195,-3.375077994860476e-16,0.009999998,nan,98.39313368013285,3.5044917e-18,100,98.39313368013285,100.0,,-8.195639e-08,1.0,1.0,0.01,-3.375077994860476e-16
200.0,1.0,-13.99610002428129,0.01,nan,10.493175,-1.1761674,-1.7408297026122454e-15,0.009999998,nan,111.21891420833639,3.5044917e-18,100,111.21891420833639,100.0,,1.4901161e-08,1.0,1.0,0.01,-1.7408297026122454e-15
