VanillaAvgRet,MinNormIw,IterType,VarJ,VarRet,Delta,Bound,VarVanillaIw,AvgDiscRet,ESSRenyi,AvgNormIw,EpsThisIter,MaxVanillaIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,eRenyi2,J,AvgRet,VarNormIw,BatchSize,AvgEpLen,ESSClassic
566.578042693,0.0025,2,361.325,100341.407351,0.2,293.295,,566.578042693,500.0,0.0025,100,1.0,100341.407351,1.0,1.0,0.0025,1.0,554.399,566.578042693,5.4346e-20,500,61.16,400.0
534.632535686,7.34158e-11,1,2101.65,87789.443406,0.2,492.012,26.9761,534.632535686,110.487711254,0.002,100,107.07,87789.443406,1.29803,4.76478e-08,0.164974,4.52539,988.819,534.632535686,6.4043e-05,500,57.8,29.4486328929
741.097755635,0.01,2,514.834,267731.381268,0.2,-34.3234,,741.097755635,500.0,0.01,100,1.0,267731.381268,1.0,1.0,0.01,1.0,741.098,741.097755635,3.50449e-18,500,80.42,100.0
820.929573316,0.005,2,527.477,291134.030363,0.2,232.708,,820.929573316,500.0,0.005,100,1.0,291134.030363,1.0,1.0,0.005,1.0,781.014,820.929573316,2.1793e-19,500,89.04,200.000000102
1018.15096394,0.00333333,2,642.807,652169.666765,0.2,322.085,,1018.15096394,500.0,0.00333333,100,1.0,652169.666765,1.0,1.0,0.00333333,1.0,860.059,1018.15096394,5.43914e-20,500,110.06,299.999969474
771.945434813,0.0025,2,616.23,276297.426228,0.2,372.131,,771.945434813,500.0,0.0025,100,1.0,276297.426228,1.0,1.0,0.0025,1.0,838.031,771.945434813,5.4346e-20,500,83.48,400.0
795.061158422,1.95367e-10,1,15670.6,424946.788171,0.2,1821.48,1501.96,795.061158422,28.6540173655,0.002,100,864.867,424946.788171,2.7159,2.65298e-07,0.636892,17.4496,3562.2,795.061158422,0.000814499,500,86.26,2.44837108723
1404.85543945,0.01,2,1189.72,1429737.36606,0.2,469.737,,1404.85543945,500.0,0.01,100,1.0,1429737.36606,1.0,1.0,0.01,1.0,1404.86,1404.85543945,3.50449e-18,500,152.03,100.0
1349.28967934,0.005,2,1150.4,1242256.78716,0.2,715.844,,1349.28967934,500.0,0.005,100,1.0,1242256.78716,1.0,1.0,0.005,1.0,1377.07,1349.28967934,2.1793e-19,500,146.08,200.000000102
1449.11708693,0.00333333,2,1111.91,1069422.94505,0.2,861.197,,1449.11708693,500.0,0.00333333,100,1.0,1069422.94505,1.0,1.0,0.00333333,1.0,1401.09,1449.11708693,5.43914e-20,500,156.9,299.999969474
1588.98069998,0.0025,2,1139.92,1476972.47201,0.2,980.189,,1588.98069998,500.0,0.0025,100,1.0,1476972.47201,1.0,1.0,0.0025,1.0,1448.06,1588.98069998,5.4346e-20,500,171.94,400.0
1579.96346681,1.37751e-14,1,4638.64,1324179.73806,0.2,2404.55,51.9466,1579.96346681,45.1238062746,0.002,100,134.244,1324179.73806,1.32974,9.15868e-12,0.201909,11.0806,3797.78,1579.96346681,0.000117512,500,171.36,16.4912080767
2871.10768149,0.01,2,1580.67,2523753.81844,0.2,1935.41,,2871.10768149,500.0,0.01,100,1.0,2523753.81844,1.0,1.0,0.01,1.0,2871.11,2871.10768149,3.50449e-18,500,310.68,100.0
2660.46102752,0.005,2,1529.18,2177835.43521,0.2,2104.05,,2660.46102752,500.0,0.005,100,1.0,2177835.43521,1.0,1.0,0.005,1.0,2765.78,2660.46102752,2.1793e-19,500,288.49,200.000000102
2888.40797526,0.00333333,2,1524.94,2312674.99791,0.2,2266.36,,2888.40797526,500.0,0.00333333,100,1.0,2312674.99791,1.0,1.0,0.00333333,1.0,2806.66,2888.40797526,5.43914e-20,500,313.5,299.999969474
2686.97770001,0.0025,2,1543.76,2571457.08454,0.2,2308.78,,2686.97770001,500.0,0.0025,100,1.0,2571457.08454,1.0,1.0,0.0025,1.0,2776.74,2686.97770001,5.4346e-20,500,291.72,400.0
2796.9421466,7.7981e-17,1,1240.49,2397721.39046,0.2,3296.4,3.2682,2796.9421466,119.491537399,0.002,100,11.479,2397721.39046,0.994381,3.87714e-14,0.0230877,4.1844,4152.64,2796.9421466,1.32209e-05,500,302.79,116.316255066
3982.45968157,0.01,2,1145.04,1324352.41947,0.2,3046.88,,3982.45968157,500.0,0.01,100,1.0,1324352.41947,1.0,1.0,0.01,1.0,3982.46,3982.45968157,3.50449e-18,500,431.35,100.0
