MaxVanillaIw,ESSClassic,eRenyi2,VarVanillaIw,AvgEpLen,AvgRet,Delta,EpsThisIter,MinNormIw,AvgNormIw,VarNormIw,VarDiscRet,VanillaAvgRet,MinVanillaIw,ESSRenyi,MaxNormIw,AvgVanillaIw,J,Bound,VarJ,VarRet,BatchSize,AvgDiscRet,IterType
47.0442,22.3431285232,2.75773,381.934,500.0,-5.06895375081,0.8,100,6.30165e-05,0.01,0.000351076,302.594969884,-5.06895375081,0.0657277,36.2617674696,0.0451037,10.4302,24.0717,22.0448,0.661607,302.594969884,100,-5.06895375081,1
15.2143,71.3396237112,7.94778,28.3143,500.0,-5.06895375081,0.8,100,2.54477e-05,0.01,4.05804e-05,54.3919302031,-5.06895375081,0.0212566,25.1642592864,0.0182141,8.35305,6.2966,2.71838,6.36913,302.594969884,200,4.87074244093,
168.34,22.737308592,4.1731,2777.04,500.0,3.30485156696,0.8,100,1.56871e-06,0.005,0.000195883,110.905221603,3.30485156696,0.00590657,47.9260242188,0.0447089,18.8262,24.0979,22.3347,0.800048,110.905221603,200,3.30485156696,1
1.0,100.0,1.0,,500.0,-2.59199766035,0.8,100,0.01,0.01,3.50449e-18,103.211109435,-2.59199766035,1.0,200.0,0.01,1.0,-2.592,-3.97949,10.1084,103.211109435,200,-2.59199766035,2
169.303,29.9124812575,48.3311,1528.9,500.0,3.30485156696,0.8,100,1.8159e-06,0.005,0.000142869,119.69461058,3.30485156696,0.00594036,6.20717987737,0.051754,16.3565,5.32836,-1.49235,15.144,110.905221603,300,-5.44615725743,
204.059,23.2000907139,4.02223,2827.32,500.0,-12.8581152277,0.8,100,6.83463e-06,0.00333333,0.00013301,218.084382008,-12.8581152277,0.0315109,74.5855414357,0.0442598,15.3682,23.7972,21.4278,2.07942,218.084382008,300,-12.8581152277,1
1.0,100.0,1.0,,500.0,-3.59394959653,0.8,100,0.01,0.01,3.50449e-18,61.7267372666,-3.59394959653,1.0,300.0,0.01,1.0,-3.59395,-4.4018,7.81725,61.7267372666,300,-3.59394959653,2
1.0,200.000000102,1.0,,500.0,-8.87977803317,0.8,100,0.005,0.005,2.1793e-19,179.962858056,-8.87977803317,1.0,300.0,0.005,1.0,-6.23686,-7.60198,11.2526,179.962858056,300,-8.87977803317,2
31.7351,129.761944047,7226.51,35.9858,500.0,-12.8581152277,0.8,100,3.12419e-06,0.00333333,1.46257e-05,191.703918887,-12.8581152277,0.00490055,0.0553517590096,0.0202317,5.22861,-10.111,-104.863,19.2099,218.084382008,400,-11.5808395893,
266.396,23.0423371206,4.58162,3687.9,500.0,-9.20020346999,0.8,100,1.54467e-06,0.0025,0.000102502,93.2436376442,-9.20020346999,0.00926526,87.305268618,0.0444125,14.9956,23.8476,21.6576,2.16617,93.2436376442,400,-9.20020346999,1
1.0,100.0,1.0,,500.0,-0.0485607812965,0.8,100,0.01,0.01,3.50449e-18,33.9340688286,-0.0485607812965,1.0,400.0,0.01,1.0,-0.0485608,-0.699745,5.7961,33.9340688286,400,-0.0485607812965,2
1.0,200.000000102,1.0,,500.0,-3.48065151106,0.8,100,0.005,0.005,2.1793e-19,59.4465276185,-3.48065151106,1.0,400.0,0.005,1.0,-1.76461,-2.55964,7.012,59.4465276185,400,-3.48065151106,2
1.0,299.999969474,1.0,,500.0,-0.408601827872,0.8,100,0.00333333,0.00333333,5.43914e-20,34.0023332812,-0.408601827872,1.0,400.0,0.00333333,1.0,-1.3126,-1.96175,6.66395,34.0023332812,400,-0.408601827872,2
107.93,93.3737928324,nan,388.949,500.0,-9.20020346999,0.8,100,8.6338e-07,0.0025,2.05756e-05,102.372318144,-9.20020346999,0.00375381,nan,0.024824,10.8695,-6.68842,-inf,16.6509,93.2436376442,500,-5.64754424727,
477.709,22.7447115245,5.90114,9603.96,500.0,-7.43881290889,0.8,100,4.47773e-07,0.002,8.4101e-05,46.5606394119,-7.43881290889,0.00478501,84.7293539792,0.0447032,21.3725,23.9975,21.7744,1.69669,46.5606394119,500,-7.43881290889,1
1.0,100.0,1.0,,500.0,-0.153651691681,0.8,100,0.01,0.01,3.50449e-18,118.355377828,-0.153651691681,1.0,500.0,0.01,1.0,-0.153651,-0.994931,10.8246,118.355377828,500,-0.153651691681,2
1.0,200.000000102,1.0,,500.0,-0.224887738905,0.8,100,0.005,0.005,2.1793e-19,63.2092826812,-0.224887738905,1.0,500.0,0.005,1.0,-0.189269,-0.784144,9.48028,63.2092826812,500,-0.224887738905,2
1.0,299.999969474,1.0,,500.0,6.20773291815,0.8,100,0.00333333,0.00333333,5.43914e-20,860.945298042,6.20773291815,1.0,500.0,0.00333333,1.0,1.94306,-0.439333,18.7916,860.945298042,500,6.20773291815,2
1.0,400.0,1.0,,500.0,-3.13554364086,0.8,100,0.0025,0.0025,5.4346e-20,71.3840867064,-3.13554364086,1.0,500.0,0.0025,1.0,0.673413,-1.3898,16.9513,71.3840867064,500,-3.13554364086,2
1631.44,12.3239063363,5.58339,62429.4,500.0,-1.29209189813,0.8,100,2.19873e-08,0.002,0.000158604,27.5937714101,-1.29209189813,0.000436225,89.5514026226,0.0822306,39.6797,81.4335,77.073,7.15361,27.5937714101,500,-1.29209189813,1
1.0,100.0,1.0,,500.0,-5.51195425474,0.8,100,0.01,0.01,3.50449e-18,127.597001477,-5.51195425474,1.0,500.0,0.01,1.0,-5.51195,-6.9761,11.2393,127.597001477,500,-5.51195425474,2
1.0,200.000000102,1.0,,500.0,-6.0319307965,0.8,100,0.005,0.005,2.1793e-19,157.421715131,-6.0319307965,1.0,500.0,0.005,1.0,-5.77194,-6.80725,11.8807,157.421715131,500,-6.0319307965,2
1.0,299.999969474,1.0,,500.0,-4.09182518303,0.8,100,0.00333333,0.00333333,5.43914e-20,25.6071455067,-4.09182518303,1.0,500.0,0.00333333,1.0,-5.2119,-6.05723,10.1577,25.6071455067,500,-4.09182518303,2
