MinNormIw,AvgEpLen,eRenyi2,ESSRenyi,VarRet,Bound,VanillaAvgRet,AvgRet,MaxNormIw,VarNormIw,MaxVanillaIw,VarVanillaIw,VarDiscRet,VarJ,AvgVanillaIw,ESSClassic,J,AvgNormIw,MinVanillaIw,AvgDiscRet,BatchSize
4.3295037e-20,12.37,28.392807,3.522018797786485,10750.081092304059,268.92224,113.6349957747497,113.6349957747497,0.82359797,0.0067840586,96.48724,93.11052,10750.081092304059,535.392,1.1715332,1.4670894651741393,537.91736,0.010000002,5.0721578e-18,113.6349957747497,100
,49.53,14.579445,6.858971708939552,137398.82212368958,808.83,485.1039130534272,485.1039130534272,0.6727726,0.0047109956,35.142326,12.853966,137398.82212368958,1203.9783,0.5223507,2.099126105397688,1493.2728,0.01,,485.1039130534272,100
,100.27,37.886215,2.6394824462093083,889171.0566388763,1934.977,992.4565339869915,992.4565339869915,0.8682019,0.0075320913,78.81374,62.069466,889171.0566388763,4132.182,0.9077813,1.323316776710088,4498.9985,0.01,,992.4565339869915,100
,193.16,11.763991,8.50051627672108,1188604.8150022682,2305.2812,1921.3621240699574,1921.3621240699574,0.22816972,0.0009968523,23.117672,10.232999,1188604.8150022682,3789.5908,1.0131788,9.200616014737392,3748.5972,0.01,,1921.3621240699574,100
3.7257783e-07,273.22,3.9173431,25.527505871996322,1833836.4610433956,3629.1328,2722.573392762296,2722.573392762296,0.7891086,0.0061983727,334.40735,1113.1553,1833836.4610433956,4317.141,4.2377863,1.603492118435655,4462.011,0.010000002,0.00015789052,2722.573392762296,100
1.6933813e-22,258.66,4.8633842,20.561813528359323,1964205.3024127842,2793.042,2576.5132463420027,2576.5132463420027,0.1956845,0.00065913895,20.742641,7.4061465,1964205.3024127842,2971.2856,1.0600044,13.28819615351056,3721.0557,0.01,1.7949916e-20,2576.5132463420027,100
2.8521673e-33,275.95,10.958169,9.125612148429399,1832906.597519532,3228.237,2749.735194330461,2749.735194330461,0.47506887,0.0026903537,54.122517,34.918232,1832906.597519532,2159.4932,1.1392562,3.618664795298483,4621.2505,0.009999998,3.2493494e-31,2749.735194330461,100
1.75519e-10,258.76,6.984223,14.317985206094063,2169489.1533993427,2914.2637,2577.572927846118,2577.572927846118,0.28359315,0.0011385212,47.58381,32.052944,2169489.1533993427,3225.6624,1.6778898,8.14905646298056,4026.368,0.010000002,2.9450156e-08,2577.572927846118,100
1.0708267e-16,306.63,6.643099,15.053215756882848,2077212.3325642853,3146.793,3056.9917649881363,3056.9917649881363,0.3177366,0.0013116151,24.56593,7.8404016,2077212.3325642853,2357.8997,0.7731539,7.1505249347953095,4231.3984,0.010000002,8.279139e-15,3056.9917649881363,100
1.1148122e-28,293.43,5.419986,18.45023293820262,1929482.5342652204,3055.02,2924.7989069932814,2924.7989069932814,0.5322102,0.0028587035,68.03078,46.710403,1929482.5342652204,2562.7788,1.278269,3.412833768959898,4034.7031,0.01,1.42503e-26,2924.7989069932814,100
,283.77,12.103351,8.262174911709083,2154569.532293789,3186.3723,2827.886482031392,2827.886482031392,0.65954435,0.004463185,86.57953,76.910805,2154569.532293789,2530.7432,1.3127173,2.2130974635654135,4650.3667,0.010000002,,2827.886482031392,100
9.582811e-06,297.38,2.5314233,39.50346779330353,1959827.5115077887,2753.683,2964.5396290932586,2964.5396290932586,0.06286786,0.00017078311,7.1812925,2.2283986,1959827.5115077887,1503.8359,1.1422837,37.16432172316664,3423.2112,0.01,0.0010946288,2964.5396290932586,100
6.5801655e-06,278.39,2.788331,35.8637474745851,1719069.707246609,2492.1655,2774.0842744783477,2774.0842744783477,0.09219457,0.0002108544,8.653133,1.8574568,1719069.707246609,2383.2883,0.938573,32.38910683347802,3194.8474,0.009999999,0.00061759655,2774.0842744783477,100
,280.74,13.583473,7.36188738230961,1783337.6121955628,3185.329,2797.4717846395,2797.4717846395,0.54165894,0.0034182882,27.271376,8.665047,1783337.6121955628,1747.4504,0.50347877,2.870177241432219,4736.2476,0.010000002,,2797.4717846395,100
3.325796e-10,290.21,5.8771787,17.014966811860802,1657298.0423688805,2863.1223,2891.7658775676114,2891.7658775676114,0.23051625,0.0007521821,26.258898,9.760518,1657298.0423688805,3095.7678,1.1391343,11.83907963171029,3883.2837,0.010000002,3.7885282e-08,2891.7658775676114,100
7.7732876e-10,294.96,5.053991,19.786343732660487,1731585.1344968032,2690.3262,2939.282989440048,2939.282989440048,0.11698038,0.0004995185,14.054069,7.209906,1731585.1344968032,2368.6367,1.2014039,16.82019773505362,3636.3506,0.010000003,9.338858e-08,2939.282989440048,100
