J,VarRet,MinVanillaIw,MinNormIw,AvgDiscRet,Bound,MaxNormIw,ESSRenyi,IterType,renyi2,VarDiscRet,AvgNormIw,BatchSize,VanillaAvgRet,EpsThisIter,delta,VarNormIw,MaxVanillaIw,VarJ,AvgRet,VarVanillaIw,ESSClassic,AvgVanillaIw,AvgEpLen,SamplesThisIter
70702.4,5628.4699416,,,130.949829239,352.736,0.499648,nan,1,nan,5628.4699416,1.59368e-06,100,130.949829239,3486,0.5,7.95716e-07,2.30623e+15,39198.0,130.949829239,1.69525e+25,1.99999906006,7.35594e+09,14.3430866322,50000
49174.9,4811.90958054,,,130.542928892,312.863,0.00314978,nan,1,nan,4811.90958054,1.58912e-06,100,130.542928892,3496,0.5,8.17096e-10,2795.06,19056.7,130.542928892,643.419,3.337183198,1.41015,14.3020594966,50000
44295.6,4768.08081919,,,131.731371588,263.275,0.0125939,nan,1,nan,4768.08081919,1.60287e-06,100,131.731371588,3466,0.5,1.42208e-09,10039.8,18538.8,131.731371588,903.754,8.10715677871,1.2778,14.4258511252,50000
52336.8,4832.17618403,,,131.807153816,297.524,0.237012,nan,1,nan,4832.17618403,1.6038e-06,100,131.807153816,3464,0.5,1.83643e-07,628945.0,26210.5,131.807153816,1.29318e+06,2.01290233579,4.2559,14.4341801386,50000
49180.8,5151.77513685,,,139.272695925,283.628,0.02289,nan,1,nan,5151.77513685,1.69273e-06,100,139.272695925,3282,0.5,4.46046e-09,22062.5,17747.6,139.272695925,4143.78,3.44128865281,1.63154,15.2346130408,50000
53243.3,6060.01188323,,,156.688961224,284.641,0.00351002,nan,1,nan,6060.01188323,1.89999e-06,100,156.688961224,2924,0.5,6.09228e-10,2666.0,12654.1,156.688961224,351.464,9.8172148559,1.44311,17.0998632011,50000
71574.4,7434.79084414,,,198.573003612,364.342,0.0101191,nan,1,nan,7434.79084414,2.39877e-06,100,198.573003612,2316,0.5,2.88746e-09,8433.01,17936.4,198.573003612,2005.36,2.95259090616,1.99907,21.5889464594,50000
96153.4,8867.43913693,,,238.634778491,442.996,0.149246,nan,1,nan,8867.43913693,2.87555e-06,100,238.634778491,1932,0.5,2.50185e-07,962435.0,30428.3,238.634778491,1.0404e+07,2.71269841051,18.5434,25.8799171843,50000
76517.2,6977.79706675,,,243.57995648,401.344,0.00875227,nan,1,nan,6977.79706675,2.93324e-06,100,243.57995648,1894,0.5,2.30544e-09,5236.86,13607.2,243.57995648,825.377,2.5020982305,1.75508,26.399155227,50000
106082.0,8055.3281687,,,266.333312448,517.897,0.110735,nan,1,nan,8055.3281687,3.2039e-06,100,266.333312448,1734,0.5,1.70412e-07,240933.0,28183.3,266.333312448,806719.0,1.0130912744,6.97091,28.8350634371,50000
