IterType,BatchSize,eRenyi2,Delta,VarVanillaIw,VarNormIw,VanillaAvgRet,AvgRet,J,VarRet,AvgDiscRet,MaxVanillaIw,MaxNormIw,ESSClassic,MinNormIw,AvgNormIw,Bound,VarJ,EpsThisIter,AvgVanillaIw,ESSRenyi,MinVanillaIw,AvgEpLen,VarDiscRet
1,100,2.2051637,0.3,1.2141756,9.538911e-05,-1743.3246030328082,-1743.3246030328082,-144.17738,4510235.975432037,-1743.3246030328082,3.0760055,0.027264388,51.43101261739983,3.5159918e-08,0.010000002,-1450.5188,333.51535,100,1.1282136,45.34810690781951,3.96679e-06,200.0,4510235.975432037
1,100,1.22227,0.3,0.2667661,3.403925e-05,-338.76177223205906,-338.76177223205906,-30.968836,855760.3202423435,-338.76177223205906,1.5366688,0.01735821,74.79495616904917,0.00012344337,0.01,-600.94305,77.14602,100,0.88526917,81.81498279942231,0.010928062,200.0,855760.3202423435
1,100,1.029606,0.3,0.02667525,2.563762e-06,-38.18334280518216,-38.18334280518216,-16.811888,82406.25991408656,-38.18334280518216,1.14605,0.01123539,97.52471725331849,0.0025870241,0.01,-463.04938,74.86441,100,1.0200357,97.12453257575206,0.2638857,200.0,82406.25991408656
1,100,1.1669452,0.3,0.15894024,1.5443702e-05,-9.883174659705414,-9.883174659705414,-8.766642,84.3400740130307,-9.883174659705414,1.4409173,0.01420358,86.73834391245403,0.00021461403,0.01,-15.936902,8.210764,100,1.0144747,85.69382552702275,0.021772051,200.0,84.3400740130307
1,100,1.0040141,0.3,0.0038246093,3.8412855e-07,-9.2446240618053,-9.2446240618053,-9.225233,66.49150093658899,-9.2446240618053,1.2751416,0.0127791865,99.62116103745737,0.009459769,0.01,-13.537239,8.140941,100,0.99782693,99.60019144457422,0.9439212,200.0,66.49150093658899
1,100,1.0934777,0.3,0.07484354,7.0287438e-06,-7.630500424780251,-7.630500424780251,-7.2708364,55.5135555900978,-7.630500424780251,1.2964008,0.01256322,93.49424715573065,0.0025604654,0.01,-11.351648,7.141025,100,1.0319016,91.45133698094662,0.26421484,200.0,55.5135555900978
1,100,1.0016869,0.3,0.0006789984,6.882737e-08,-7.320994162314646,-7.320994162314646,-7.314623,45.00757308972597,-7.320994162314646,1.0813359,0.010886965,99.93192828237146,0.009787095,0.009999999,-11.008402,6.6523724,100,0.99323905,99.83159102861335,0.97209245,200.0,45.00757308972597
1,100,1.1283298,0.3,0.12741031,1.2885938e-05,-9.21512875248704,-9.21512875248704,-8.643622,69.55966245504321,-9.21512875248704,1.4051846,0.014131528,88.68623303624317,0.0008342543,0.01,-13.251871,8.075369,100,0.9943614,88.62657362043952,0.08295503,200.0,69.55966245504321
1,100,1.0509096,0.3,0.049956188,5.2710216e-06,-9.502490652875329,-9.502490652875329,-9.226297,61.35875174039839,-9.502490652875329,1.2375724,0.0127122775,95.04050045774596,0.0033740911,0.01,-13.691081,7.4436245,100,0.9735253,95.15565976898634,0.3284763,200.0,61.35875174039839
1,100,1.0380548,0.3,0.03164944,3.2081794e-06,-7.459306026961831,-7.459306026961831,-7.3020353,56.51797045825193,-7.459306026961831,1.6257374,0.016368043,96.92168220492833,0.007651302,0.009999999,-11.462141,7.3786883,100,0.99323875,96.33402562175328,0.75995696,200.0,56.51797045825193
1,100,1.1439949,0.3,0.11956345,1.0349213e-05,-8.141056844922684,-8.141056844922684,-7.590191,57.79365344099006,-8.141056844922684,1.394927,0.012977946,90.70646076420937,0.0010832613,0.01,-11.783731,7.485459,100,1.0748442,87.41297500918301,0.116433725,200.0,57.79365344099006
1,100,1.1173431,0.3,0.10591453,1.0976633e-05,-7.89879779834817,-7.89879779834817,-7.4362717,51.00217546731153,-7.89879779834817,1.4137444,0.014392217,90.19827464961699,0.002145745,0.01,-11.459862,7.552067,100,0.9822979,89.49802692918657,0.21077609,200.0,51.00217546731153
1,100,1.0434961,0.3,0.048893746,4.6131736e-06,-8.441602904977259,-8.441602904977259,-8.277507,55.54293976773241,-8.441602904977259,1.6585773,0.016110497,95.63241218688198,0.0072190086,0.010000002,-12.144299,7.4063745,100,1.0295011,95.8316920813208,0.7431977,200.0,55.54293976773241
