EpRewMean,Var_J,EpLenMean,entloss,TimeElapsed,meankl,optimgain,SampleRenyi2,EpThisIter,DiscEpRewMean,ev_tdlam_before,surrgain,J_hat,Step_size,entropy,TimestepsSoFar,EpisodesSoFar
-309.245525833,187.8680419921875,500.0,,82.20895433425903,0.00775554,0.00971302,inf,100,-107.637648064,-0.00394988059998,0.00971302,-73.90894317626953,1.0,8.39819,50000,100
-292.328299802,31.0664119720459,500.0,,165.17746305465698,0.00788294,0.0100643,inf,100,-103.523062439,0.321919023991,0.0100643,-95.59477233886719,1.0,8.29328,100000,200
-277.34382457,22.18487548828125,500.0,,250.4027020931244,0.00792142,0.0104988,inf,100,-97.2614010989,0.345880925655,0.0104988,-75.97834014892578,1.0,8.20195,150000,300
-247.508787314,9.248437881469727,500.0,,420.1215167045593,0.00731937,0.00912758,inf,100,-84.0766291192,0.391523659229,0.00912758,-81.1519775390625,1.0,8.08493,200000,400
-239.44268404,24.453378677368164,500.0,,599.1059474945068,0.00784449,0.0101665,inf,100,-82.0656386165,0.439083099365,0.0101665,-72.66973114013672,1.0,7.95313,250000,500
-225.178909142,40.362335205078125,500.0,,757.3269193172455,0.0074069,0.00988886,inf,100,-74.65413259,0.43797981739,0.00988886,-55.293087005615234,1.0,7.83073,300000,600
-196.344013412,43.512020111083984,500.0,,921.3447060585022,0.00790456,0.0110589,inf,100,-65.0886938567,0.484816670418,0.0110589,-32.88667297363281,1.0,7.71453,350000,700
-176.729031055,30.118896484375,500.0,,1091.9756317138672,0.00723207,0.0102499,inf,100,-58.0506601111,0.499408245087,0.0102499,-30.921619415283203,1.0,7.60148,400000,800
-158.818488004,28.71843910217285,500.0,,1268.9559967517853,0.00735796,0.0103482,inf,100,-51.1825704961,0.589827865362,0.0103482,-39.74667739868164,1.0,7.48151,450000,900
-138.373023538,17.615673065185547,500.0,,1430.99676156044,0.00745032,0.0112642,inf,100,-44.9645978859,0.616554766893,0.0112642,-25.307340621948242,1.0,7.37116,500000,1000
