renyi2,VanillaAvgRet,MinVanillaIw,MaxNormIw,VarNormIw,AvgNormIw,SamplesThisIter,VarDiscRet,VarJ,BatchSize,AvgRet,Bound,delta,ESSClassic,VarRet,MinNormIw,IterType,AvgDiscRet,AvgEpLen,EpsThisIter,ESSRenyi,AvgVanillaIw,VarVanillaIw,MaxVanillaIw,J
nan,-5.5568023567,,0.168124,4.76318e-06,5.52486e-05,50000,33.8438840162,54.1311,100,-5.5568023567,1.5443,0.8,2.95552539431,33.8438840162,,1,-5.5568023567,500.0,100,nan,53.5476,4.4744e+06,162947.0,838.516
nan,-4.6890140816,,0.0018249,2.53028e-08,5.52486e-05,50000,48.8928001476,38.031,100,-4.6890140816,0.222116,0.8,0.856337394018,48.8928001476,,1,-4.6890140816,500.0,100,nan,4.52814,169.967,149.568,513.779
nan,-4.08081983836,2.71767e-27,0.0331744,2.50607e-07,5.52486e-05,50000,38.8297088244,39.6788,100,-4.08081983836,2.07492,0.8,2.41226139638,38.8297088244,1.25626e-32,1,-4.08081983836,500.0,100,nan,11.952,11728.2,7176.66,847.512
nan,-4.2198730038,,0.0984336,1.75386e-06,5.52486e-05,50000,22.014502959,22.9218,100,-4.2198730038,1.0605,0.8,2.99370154103,22.014502959,,1,-4.2198730038,500.0,100,nan,19.9237,228083.0,35497.0,550.096
nan,-3.65730729114,6.68171e-27,0.00642983,4.82123e-08,5.52486e-05,50000,29.1357723131,49.925,100,-3.65730729114,1.48066,0.8,0.656643657093,29.1357723131,5.30806e-32,1,-3.65730729114,500.0,100,nan,6.95461,763.942,809.377,681.034
nan,-4.21128236569,,0.0264196,2.29727e-07,5.52486e-05,50000,35.3885287186,89.0312,100,-4.21128236569,1.23283,0.8,2.09780874916,35.3885287186,,1,-4.21128236569,500.0,100,nan,9.06602,6185.88,4335.32,748.842
nan,-3.86230471975,,0.999949,5.5243e-05,5.52486e-05,50000,40.0621392845,116.559,100,-3.86230471975,7.15692,0.8,1.0,40.0621392845,,1,-3.86230471975,500.0,100,nan,1.93635e+15,inf,3.50461e+19,2098.7
nan,-3.72993626828,,0.333222,1.84019e-05,5.52486e-05,50000,23.2752215403,24.6483,100,-3.72993626828,4.81522,0.8,2.99999987771,23.2752215403,,1,-3.72993626828,500.0,100,nan,9.34574e+17,inf,5.63671e+21,1482.56
nan,-2.5002950424,,0.332907,1.83671e-05,5.52486e-05,50000,52.1033494389,nan,100,-2.5002950424,nan,0.8,2.99999695742,52.1033494389,,1,-2.5002950424,500.0,100,nan,1.03404e+14,6.4339e+31,6.23074e+17,nan
nan,-2.92183848679,,0.1008,2.89361e-06,5.52486e-05,50000,49.5960102897,42.3646,100,-2.92183848679,8.71687,0.8,5.27010061183,49.5960102897,,1,-2.92183848679,500.0,100,nan,2245.58,4.7803e+09,4.09701e+06,2599.4
nan,-3.60662240527,,0.990899,5.42516e-05,5.52486e-05,50000,62.5667603207,165.622,100,-3.60662240527,10.0016,0.8,0.999924546753,62.5667603207,,1,-3.60662240527,500.0,100,nan,7.86439e+15,inf,1.4105e+20,3125.06
nan,-2.83926456317,,0.493087,2.68692e-05,5.52486e-05,50000,41.4285936757,49.2175,100,-2.83926456317,11.4087,0.8,1.99962203996,41.4285936757,,1,-2.83926456317,500.0,100,nan,9.71918e+18,inf,8.67424e+22,2766.28
nan,-5.69377789324,6.39052e-25,0.0205123,1.42511e-07,5.52486e-05,50000,65.0487962823,55.8801,100,-5.69377789324,2.08222,0.8,1.98040038698,65.0487962823,2.75042e-30,1,-5.69377789324,500.0,100,nan,12.8369,7693.52,4765.97,1207.29
