ESSRenyi,AvgEpLen,ESSClassic,Bound,MinVanillaIw,MinNormIw,EpsThisIter,VarNormIw,VarJ,J,AvgDiscRet,AvgVanillaIw,VarDiscRet,AvgNormIw,VarVanillaIw,Delta,IterType,MaxNormIw,MaxVanillaIw,AvgRet,VanillaAvgRet,VarRet,BatchSize,eRenyi2
82.6887306425,46.09,81.0740577312,-139.825,0.0623155,0.000627642,100,2.35798e-05,16.731,-112.982,-119.975974872,0.992851,1735.98398748,0.01,0.232439,0.7,1,0.0245459,2.43704,-119.975974872,-119.975974872,1735.98398748,100,1.20935
91.3863994037,25.23,92.5917147686,-144.372,0.196202,0.00191645,100,8.08185e-06,16.9173,-110.663,-113.99433082,1.02378,1575.88729463,0.01,0.0847081,0.7,1,0.0142265,1.45648,-113.99433082,-113.99433082,1575.88729463,100,1.09425
92.1553551091,25.95,91.119055776,-139.382,0.118406,0.00118586,100,9.84497e-06,8.88249,-110.081,-114.086121181,0.998487,1193.18595193,0.01,0.0981521,0.7,1,0.0151329,1.511,-114.086121181,-114.086121181,1193.18595193,100,1.08512
96.8767034189,17.98,96.5684892639,-117.74,0.648956,0.00631167,100,3.58934e-06,3.91382,-108.452,-108.759603077,1.02818,20.7906086482,0.01,0.0379452,0.7,1,0.0166618,1.71314,-108.759603077,-108.759603077,20.7906086482,100,1.03224
90.1661719065,18.4,88.7736332998,-118.849,0.069508,0.000724346,100,1.27738e-05,6.11291,-108.148,-109.561896658,0.959596,72.0767551447,0.01,0.117624,0.7,1,0.01599,1.53439,-109.561896658,-109.561896658,72.0767551447,100,1.10906
95.8636266188,16.73,95.3698746003,-116.088,0.376653,0.00377388,100,4.90395e-06,2.9506,-107.382,-107.772285726,0.998053,15.3175745067,0.01,0.0488487,0.7,1,0.0162832,1.62515,-107.772285726,-107.772285726,15.3175745067,100,1.04315
96.0642947407,18.66,95.3197309503,-114.893,0.452287,0.00450533,100,4.95971e-06,3.62945,-107.183,-107.46394646,1.00389,11.1625421818,0.01,0.0499842,0.7,1,0.0181848,1.82556,-107.46394646,-107.46394646,11.1625421818,100,1.04097
94.8939596137,19.13,94.8920828588,-114.995,0.295748,0.00302498,100,5.43721e-06,5.64972,-107.261,-107.626905715,0.977685,21.1298982924,0.01,0.0519726,0.7,1,0.0174592,1.70696,-107.626905715,-107.626905715,21.1298982924,100,1.05381
94.321976687,21.6,93.3008243909,-141.878,0.2126,0.0021449,100,7.25275e-06,9.95764,-108.522,-111.587917487,0.991189,1505.93519158,0.01,0.071255,0.7,1,0.0142329,1.41075,-111.587917487,-111.587917487,1505.93519158,100,1.0602
94.5321914113,17.3,95.0958271172,-115.338,0.376273,0.00376503,100,5.2092e-06,4.81036,-107.274,-107.701863522,0.99939,18.1857926872,0.01,0.0520284,0.7,1,0.0150717,1.50625,-107.701863522,-107.701863522,18.1857926872,100,1.05784
96.9280383432,17.62,95.479767794,-114.169,0.341451,0.00358074,100,4.78202e-06,3.69211,-106.451,-106.66982641,0.953577,9.37964983872,0.01,0.0434834,0.7,1,0.0164477,1.56841,-106.66982641,-106.66982641,9.37964983872,100,1.03169
98.2101249314,17.49,97.7916574121,-114.648,0.610394,0.00603996,100,2.28102e-06,2.79417,-106.959,-107.098064101,1.01059,7.67875441551,0.01,0.023296,0.7,1,0.0130863,1.32249,-107.098064101,-107.098064101,7.67875441551,100,1.01822
96.3453553775,17.08,95.5498370126,-115.195,0.403718,0.00414427,100,4.7045e-06,3.06591,-106.655,-107.010167771,0.974159,13.3621473639,0.01,0.0446451,0.7,1,0.0161198,1.57032,-107.010167771,-107.010167771,13.3621473639,100,1.03793
94.261256229,19.6,91.5604678961,-114.495,0.341607,0.00351969,100,9.31055e-06,5.52691,-106.141,-106.636270454,0.970559,21.1962807182,0.01,0.0877039,0.7,1,0.0240882,2.3379,-106.636270454,-106.636270454,21.1962807182,100,1.06088
99.2420271116,18.62,98.8849606603,-114.781,0.779922,0.00776786,100,1.13903e-06,2.52621,-106.972,-107.02912998,1.00404,7.03243824348,0.01,0.0114824,0.7,1,0.0158773,1.59414,-107.02912998,-107.02912998,7.03243824348,100,1.00764
98.2268458821,20.27,98.1501063982,-114.538,0.543319,0.00535344,100,1.9038e-06,3.23947,-106.754,-106.902368488,1.0149,11.2925067321,0.01,0.0196095,0.7,1,0.0125964,1.2784,-106.902368488,-106.902368488,11.2925067321,100,1.01805
97.0632286157,19.89,97.4087267749,-115.101,0.45993,0.00453183,100,2.68705e-06,2.89188,-106.914,-107.174372757,1.01489,11.4008567284,0.01,0.0276765,0.7,1,0.0131824,1.33787,-107.174372757,-107.174372757,11.4008567284,100,1.03026
98.3040384,18.02,98.6096899484,-114.126,0.823774,0.00815871,100,1.42417e-06,3.06044,-106.573,-106.692308782,1.00969,7.97980858315,0.01,0.014519,0.7,1,0.0159122,1.60663,-106.692308782,-106.692308782,7.97980858315,100,1.01725
