J,AvgRet,VanillaAvgRet,VarVanillaIw,AvgEpLen,MinVanillaIw,MinNormIw,AvgDiscRet,VarNormIw,AvgNormIw,Bound,ESSRenyi,AvgVanillaIw,ESSClassic,VarJ,VarDiscRet,MaxNormIw,BatchSize,MaxVanillaIw,eRenyi2,VarRet
1594.1832,-1.0913936421275138e-13,-1608.5544895009277,3.5356832,200.0,,,-1.0913936421275138e-13,0.00027967987,0.01,1440.6293,24.178734885494837,1.1243618,26.53342778343824,19.705952,4230828.776786032,0.051648997,100,5.8072157,4.1358657,4230828.776786032
11.446342,2.7977620220553944e-15,-13.078041458398674,1501246100000.0,200.0,,,2.7977620220553944e-15,0.010000002,0.01,1399575.0,9.475941579304012e-06,122525.34,1.0,,112.04544393394038,1.0,100,12252534.0,10553041.0,112.04544393394038
7.983294,1.4210854715202004e-16,-8.533613438097598,2.0678224e+25,200.0,,,1.4210854715202004e-16,0.010000003,0.01,3630265500000.0,3.1099952349502113e-12,454733200000.0,1.0,,47.10016565482975,1.0,100,45473320000000.0,32154390000000.0,47.10016565482975
-8.940697e-08,1.9539925233402755e-16,-8.689744520484572,,200.0,1.0,0.01,1.9539925233402755e-16,3.5044917e-18,0.009999998,-0.6252154,100.0,1.0,100.0,7.3966603,55.26321884633134,0.01,100,1.0,1.0,55.26321884633134
-2.9802322e-08,1.9539925233402755e-16,-7.775805684756409,,200.0,1.0,0.01,1.9539925233402755e-16,3.5044917e-18,0.009999998,-0.5994858,100.0,1.0,100.0,7.092263,50.80828252671457,0.01,100,1.0,1.0,50.80828252671457
,9.414691248821328e-16,-7.355371054142104,,200.0,1.0,0.01,9.414691248821328e-16,3.5044917e-18,0.009999998,-0.5913842,100.0,1.0,100.0,6.996418,49.444312482361774,0.01,100,1.0,1.0,49.444312482361774
-1.4901161e-08,-1.8207657603852566e-16,-7.27109183581619,,200.0,1.0,0.01,-1.8207657603852566e-16,3.5044917e-18,0.009999998,-0.55675995,100.0,1.0,100.0,6.586793,43.8240832060585,0.01,100,1.0,1.0,43.8240832060585
1.4901161e-08,-7.105427357601002e-17,-7.621453611154046,,200.0,1.0,0.01,-7.105427357601002e-17,3.5044917e-18,0.009999998,-0.5913444,100.0,1.0,100.0,6.995947,49.43765256723287,0.01,100,1.0,1.0,49.43765256723287
-9.685755e-08,-4.707345624410664e-16,-7.843223863233879,,200.0,1.0,0.01,-4.707345624410664e-16,3.5044917e-18,0.009999998,-0.6181232,100.0,1.0,100.0,7.312757,54.01658173752427,0.01,100,1.0,1.0,54.01658173752427
1.1920929e-07,1.3677947663381929e-15,-8.418247930401087,,200.0,1.0,0.01,1.3677947663381929e-15,3.5044917e-18,0.009999998,-0.6390424,100.0,1.0,100.0,7.5602427,57.734619946441875,0.01,100,1.0,1.0,57.734619946441875
1.4901161e-08,7.01660951563099e-16,-7.863996448828913,,200.0,1.0,0.01,7.01660951563099e-16,3.5044917e-18,0.009999998,-0.5742915,100.0,1.0,100.0,6.794203,46.627468248152645,0.01,100,1.0,1.0,46.627468248152645
,3.1974423109204507e-16,-7.79382602424591,,200.0,1.0,0.01,3.1974423109204507e-16,3.5044917e-18,0.009999998,-0.5963334,100.0,1.0,100.0,7.0549703,50.27535907655779,0.01,100,1.0,1.0,50.27535907655779
-5.401671e-08,1.3411494137471891e-15,-7.847051737478848,,200.0,1.0,0.01,1.3411494137471891e-15,3.5044917e-18,0.009999998,-0.5976882,100.0,1.0,100.0,7.0709963,50.50403147416282,0.01,100,1.0,1.0,50.50403147416282
2.2351742e-08,3.8635761256955447e-16,-7.4720218090308865,,200.0,1.0,0.01,3.8635761256955447e-16,3.5044917e-18,0.009999998,-0.6038338,100.0,1.0,100.0,7.143704,51.54798461128055,0.01,100,1.0,1.0,51.54798461128055
6.7055225e-08,-1.0036416142611414e-15,-7.953102546158835,,200.0,1.0,0.01,-1.0036416142611414e-15,3.5044917e-18,0.009999998,-0.604697,100.0,1.0,100.0,7.1539154,51.69546884474659,0.01,100,1.0,1.0,51.69546884474659
-7.450581e-09,-8.881784197001253e-17,-8.314502653835321,,200.0,1.0,0.01,-8.881784197001253e-17,3.5044917e-18,0.009999998,-0.5685529,100.0,1.0,100.0,6.726311,45.70026644644061,0.01,100,1.0,1.0,45.70026644644061
-4.4703484e-08,5.329070518200751e-17,-6.809962591649281,,200.0,1.0,0.01,5.329070518200751e-17,3.5044917e-18,0.009999998,-0.5589829,100.0,1.0,100.0,6.613092,44.1747351177558,0.01,100,1.0,1.0,44.1747351177558
-2.9802322e-08,-1.483257960899209e-15,-7.899905868906145,,200.0,1.0,0.01,-1.483257960899209e-15,3.5044917e-18,0.009999998,-0.56534266,100.0,1.0,100.0,6.6883326,45.18564437484372,0.01,100,1.0,1.0,45.18564437484372
-7.4505806e-08,8.704148513061227e-16,-7.935386834312928,,200.0,1.0,0.01,8.704148513061227e-16,3.5044917e-18,0.009999998,-0.6177463,100.0,1.0,100.0,7.3082976,53.95072471749346,0.01,100,1.0,1.0,53.95072471749346
-5.2154064e-08,-7.815970093361102e-16,-7.753883434872251,,200.0,1.0,0.01,-7.815970093361102e-16,3.5044917e-18,0.009999998,-0.6159067,100.0,1.0,100.0,7.2865324,53.629853032234124,0.01,100,1.0,1.0,53.629853032234124
2.9802322e-08,1.4210854715202004e-16,-8.34106902940511,,200.0,1.0,0.01,1.4210854715202004e-16,3.5044917e-18,0.009999998,-0.590873,100.0,1.0,100.0,6.9903717,49.35888169445244,0.01,100,1.0,1.0,49.35888169445244
7.450581e-09,5.684341886080802e-16,-7.621624370988143,,200.0,1.0,0.01,5.684341886080802e-16,3.5044917e-18,0.009999998,-0.6042321,100.0,1.0,100.0,7.148416,51.6160162367295,0.01,100,1.0,1.0,51.6160162367295
-7.450581e-09,-1.3855583347321954e-15,-7.467307273952077,,200.0,1.0,0.01,-1.3855583347321954e-15,3.5044917e-18,0.009999998,-0.59456336,100.0,1.0,100.0,7.0340304,49.97735626930419,0.01,100,1.0,1.0,49.97735626930419
9.49949e-08,-9.37028232783632e-16,-6.516037531367704,,200.0,1.0,0.01,-9.37028232783632e-16,3.5044917e-18,0.009999998,-0.48919547,100.0,1.0,100.0,5.7874675,33.83311003975195,0.01,100,1.0,1.0,33.83311003975195
7.450581e-09,1.9539925233402755e-16,-7.536844697993375,,200.0,1.0,0.01,1.9539925233402755e-16,3.5044917e-18,0.009999998,-0.5914806,100.0,1.0,100.0,6.9975586,49.46042958298444,0.01,100,1.0,1.0,49.46042958298444
2.9802322e-08,3.1974423109204507e-16,-7.580896021261085,,200.0,1.0,0.01,3.1974423109204507e-16,3.5044917e-18,0.009999998,-0.60517865,100.0,1.0,100.0,7.1596165,51.777886690612945,0.01,100,1.0,1.0,51.777886690612945
-8.940697e-08,-7.993605777301127e-16,-8.328945271429932,,200.0,1.0,0.01,-7.993605777301127e-16,3.5044917e-18,0.009999998,-0.63953364,100.0,1.0,100.0,7.566054,57.82340969025067,0.01,100,1.0,1.0,57.82340969025067
5.5879354e-08,-9.14823772291129e-16,-7.660247096747486,,200.0,1.0,0.01,-9.14823772291129e-16,3.5044917e-18,0.009999998,-0.55762655,100.0,1.0,100.0,6.5970454,43.960618046725,0.01,100,1.0,1.0,43.960618046725
-5.9604645e-08,-1.9984014443252818e-15,-8.118690666568861,,200.0,1.0,0.01,-1.9984014443252818e-15,3.5044917e-18,0.009999998,-0.58846825,100.0,1.0,100.0,6.9619217,48.95793134409879,0.01,100,1.0,1.0,48.95793134409879
1.7881393e-07,-2.1316282072803005e-16,-9.21814715867248,,200.0,1.0,0.01,-2.1316282072803005e-16,3.5044917e-18,0.009999998,-0.70624596,100.0,1.0,100.0,8.3553,70.51620463037779,0.01,100,1.0,1.0,70.51620463037779
-2.9802322e-08,-6.483702463810914e-16,-6.586146230331228,,200.0,1.0,0.01,-6.483702463810914e-16,3.5044917e-18,0.009999998,-0.52939874,100.0,1.0,100.0,6.263092,39.62255115533332,0.01,100,1.0,1.0,39.62255115533332
1.4901161e-08,-1.3145040611561853e-15,-7.962497321838992,,200.0,1.0,0.01,-1.3145040611561853e-15,3.5044917e-18,0.009999998,-0.6001279,100.0,1.0,100.0,7.099861,50.91720259838091,0.01,100,1.0,1.0,50.91720259838091
8.940697e-08,1.1368683772161603e-15,-9.273674252111464,,200.0,1.0,0.01,1.1368683772161603e-15,3.5044917e-18,0.009999998,-0.63638234,100.0,1.0,100.0,7.5287733,57.25497939832891,0.01,100,1.0,1.0,57.25497939832891
1.4901161e-08,2.042810365310288e-15,-8.198597312485255,,200.0,1.0,0.01,2.042810365310288e-15,3.5044917e-18,0.009999998,-0.6569649,100.0,1.0,100.0,7.772276,61.018464771605224,0.01,100,1.0,1.0,61.018464771605224
8.940697e-08,2.9309887850104134e-16,-7.950271807785239,,200.0,1.0,0.01,2.9309887850104134e-16,3.5044917e-18,0.009999998,-0.5500529,100.0,1.0,100.0,6.507445,42.77458233604872,0.01,100,1.0,1.0,42.77458233604872
-1.1175871e-07,9.059419880941278e-16,-7.496986719350627,,200.0,1.0,0.01,9.059419880941278e-16,3.5044917e-18,0.009999998,-0.5973259,100.0,1.0,100.0,7.0667114,50.442842258384324,0.01,100,1.0,1.0,50.442842258384324
2.9802322e-08,-4.263256414560601e-16,-8.212306994357691,,200.0,1.0,0.01,-4.263256414560601e-16,3.5044917e-18,0.009999998,-0.63208413,100.0,1.0,100.0,7.4779224,56.48416878777143,0.01,100,1.0,1.0,56.48416878777143
1.8626451e-08,3.907985046680551e-16,-6.926790719984653,,200.0,1.0,0.01,3.907985046680551e-16,3.5044917e-18,0.009999998,-0.557793,100.0,1.0,100.0,6.599015,43.986869207877795,0.01,100,1.0,1.0,43.986869207877795
6.7055225e-08,1.723066134218243e-15,-8.458217857535251,,200.0,1.0,0.01,1.723066134218243e-15,3.5044917e-18,0.009999998,-0.61085933,100.0,1.0,100.0,7.2268205,52.75448500932527,0.01,100,1.0,1.0,52.75448500932527
-9.685755e-08,-8.704148513061227e-16,-7.381486317132912,,200.0,1.0,0.01,-8.704148513061227e-16,3.5044917e-18,0.009999998,-0.57970005,100.0,1.0,100.0,6.858189,47.509862850321475,0.01,100,1.0,1.0,47.509862850321475
-7.4505806e-08,4.440892098500626e-16,-7.62683109592168,,200.0,1.0,0.01,4.440892098500626e-16,3.5044917e-18,0.009999998,-0.5795263,100.0,1.0,100.0,6.8561306,47.481343196314185,0.01,100,1.0,1.0,47.481343196314185
2.2351742e-08,1.1546319456101628e-15,-7.820822199167284,,200.0,1.0,0.01,1.1546319456101628e-15,3.5044917e-18,0.009999998,-0.6196563,100.0,1.0,100.0,7.3308935,54.28484921520784,0.01,100,1.0,1.0,54.28484921520784
-2.2351742e-08,-3.4638958368304885e-16,-7.83591735242043,,200.0,1.0,0.01,-3.4638958368304885e-16,3.5044917e-18,0.009999998,-0.61879843,100.0,1.0,100.0,7.3207455,54.134664600532176,0.01,100,1.0,1.0,54.134664600532176
-4.4703484e-08,-4.440892098500626e-16,-7.938650840489506,,200.0,1.0,0.01,-4.440892098500626e-16,3.5044917e-18,0.009999998,-0.6263673,100.0,1.0,100.0,7.410287,55.467020271343905,0.01,100,1.0,1.0,55.467020271343905
4.4703484e-08,5.861977570020827e-16,-7.685125389490667,,200.0,1.0,0.01,5.861977570020827e-16,3.5044917e-18,0.009999998,-0.612303,100.0,1.0,100.0,7.2439,53.004125473139815,0.01,100,1.0,1.0,53.004125473139815
,1.0125233984581427e-15,-7.58380685974011,,200.0,1.0,0.01,1.0125233984581427e-15,3.5044917e-18,0.009999998,-0.59843284,100.0,1.0,100.0,7.0798087,50.629992411732616,0.01,100,1.0,1.0,50.629992411732616
-2.2351742e-08,-5.151434834260726e-16,-7.803517010406198,,200.0,1.0,0.01,-5.151434834260726e-16,3.5044917e-18,0.009999998,-0.59202915,100.0,1.0,100.0,7.0040483,49.55221471246235,0.01,100,1.0,1.0,49.55221471246235
-7.450581e-09,-1.5454304502782179e-15,-8.966429465116025,,200.0,1.0,0.01,-1.5454304502782179e-15,3.5044917e-18,0.009999998,-0.66534895,100.0,1.0,100.0,7.8714633,62.5857949157392,0.01,100,1.0,1.0,62.5857949157392
4.4703484e-08,-7.460698725481052e-16,-7.389694083164286,,200.0,1.0,0.01,-7.460698725481052e-16,3.5044917e-18,0.009999998,-0.5830285,100.0,1.0,100.0,6.8975663,48.056991415554364,0.01,100,1.0,1.0,48.056991415554364
-2.9802322e-08,4.796163466380677e-16,-7.312876315413678,,200.0,1.0,0.01,4.796163466380677e-16,3.5044917e-18,0.009999998,-0.590499,100.0,1.0,100.0,6.9859457,49.296406308265496,0.01,100,1.0,1.0,49.296406308265496
-1.1175871e-08,7.283063041541026e-16,-8.386784372239015,,200.0,1.0,0.01,7.283063041541026e-16,3.5044917e-18,0.009999998,-0.59463954,100.0,1.0,100.0,7.03493,49.990149735676574,0.01,100,1.0,1.0,49.990149735676574
