J,MinNormIw,VarDiscRet,MaxNormIw,VarJ,AvgEpLen,BatchSize,ESSRenyi,MaxVanillaIw,delta,Bound,ESSClassic,EpsThisIter,MinVanillaIw,AvgNormIw,AvgRet,IterType,AvgDiscRet,VanillaAvgRet,VarNormIw,VarVanillaIw,VarRet,AvgVanillaIw,renyi2,SamplesThisIter
-10582.2,1.73761e-43,325.913687534,4.71068e-05,176.232,90.5797101449,100,,4.8759,0.7,-69.0231,22.8137927575,552,1.80487e-38,1.00644e-05,-61.8949329146,1,-61.8949329146,-61.8949329146,2.7946e-11,0.299407,325.913687534,1.04174,inf,50000
-10450.5,9.42447e-09,211.585946772,8.18935e-05,176.388,90.4159132007,100,,8.66059,0.7,-65.9369,4.81606429231,553,0.000996678,1.00462e-05,-61.3462760619,1,-61.3462760619,-61.3462760619,4.0299e-11,0.450703,211.585946772,1.06243,inf,50000
-10241.0,8.87303e-08,291.787912152,4.64139e-05,182.667,87.1080139373,100,,4.95662,0.7,-67.3792,4.18915078286,574,0.00947564,9.67867e-06,-59.555433773,1,-59.555433773,-59.555433773,2.26743e-11,0.258587,291.787912152,1.0336,inf,50000
-6074.22,,97.9263205498,0.0239156,361.354,86.5051903114,100,nan,4.89188e+12,0.7,-24.676,3.53133248183,578,,9.61169e-06,-58.7126485807,1,-58.7126485807,-58.7126485807,1.55586e-07,6.50967e+21,97.9263205498,1.96605e+09,nan,50000
-10306.9,4.46006e-30,215.507090306,0.000333032,155.172,91.7431192661,100,nan,48.9497,0.7,-59.2662,6.65494312284,545,6.55548e-25,1.01937e-05,-62.4909760406,1,-62.4909760406,-62.4909760406,2.36905e-10,5.11801,215.507090306,1.49828,nan,50000
-9894.77,,135.615765809,0.000553336,203.782,91.7431192661,100,nan,123.889,0.7,-55.4933,4.29613340408,545,,1.01937e-05,-62.4228359524,1,-62.4228359524,-62.4228359524,8.74087e-10,43.8167,135.615765809,2.28231,nan,50000
-10523.7,7.62031e-17,1468.94268452,9.16743e-05,317.944,96.7117988395,100,nan,9.6259,0.7,-65.608,5.32914229948,517,8.00141e-12,1.07458e-05,-65.7413055985,1,-65.7413055985,-65.7413055985,7.81281e-11,0.861381,1468.94268452,1.12832,nan,50000
-10926.3,5.16951e-17,2312.75747803,5.04177e-05,340.813,96.8992248062,100,nan,4.80443,0.7,-69.5714,5.72560084274,516,4.92616e-12,1.07666e-05,-67.3900346373,1,-67.3900346373,-67.3900346373,3.71194e-11,0.33707,2312.75747803,1.02598,nan,50000
-10099.9,1.81381e-09,206.305527344,0.000112582,233.519,87.1080139373,100,nan,12.3706,0.7,-64.893,4.42089372817,574,0.000199302,9.67867e-06,-59.2146463643,1,-59.2146463643,-59.2146463643,4.03082e-11,0.486673,206.305527344,1.0635,nan,50000
-9699.65,7.3972e-24,48.1730737833,0.000439228,152.71,85.3242320819,100,nan,95.646,0.7,-54.4952,6.52436902485,586,1.61081e-18,9.48047e-06,-58.2692262584,1,-58.2692262584,-58.2692262584,5.62464e-10,26.6715,48.1730737833,2.06446,nan,50000
-6753.15,,94.856484285,0.0997852,263.386,86.5051903114,100,nan,1.35043e+15,0.7,-28.6607,9.99998771309,578,,9.61169e-06,-59.0489757468,1,-59.0489757468,-59.0489757468,9.56962e-07,1.75271e+26,94.856484285,1.30079e+11,nan,50000
-11002.4,2.69703e-13,1401.15353247,6.09405e-05,312.582,98.4251968504,100,nan,5.80276,0.7,-70.0518,4.96713159968,508,2.56812e-08,1.09361e-05,-67.029667892,1,-67.029667892,-67.029667892,3.90816e-11,0.354347,1401.15353247,1.04134,nan,50000
-7416.69,,186.249617617,0.099923,285.562,89.928057554,100,nan,7.8261e+22,0.7,-41.6647,9.99999531375,556,,9.99201e-06,-61.3638574463,1,-61.3638574463,-61.3638574463,9.97574e-07,inf,186.249617617,7.82587e+18,nan,50000
-13550.1,,11028.204865,0.000649688,902.387,144.927536232,100,nan,47.4058,0.7,-73.9007,21.4957784935,345,,1.61031e-05,-104.812317428,1,-104.812317428,-104.812317428,4.69595e-10,2.50022,11028.204865,1.17499,nan,50000
-10556.6,,1975.96431584,0.000495409,432.122,97.2762645914,100,nan,67.9039,0.7,-65.9898,468.770562648,514,,1.08085e-05,-67.0137268805,1,-67.0137268805,-67.0137268805,1.31295e-09,24.6666,1975.96431584,1.48148,nan,50000
-11676.3,6.65769e-25,4302.60961824,0.000121887,528.118,112.107623318,100,nan,10.6624,0.7,-70.2588,5.18913919017,446,5.824e-20,1.24564e-05,-77.9010168013,1,-77.9010168013,-77.9010168013,1.05746e-10,0.809209,4302.60961824,1.08966,nan,50000
-10918.0,2.14053e-38,2414.64233053,7.34243e-05,383.339,97.65625,100,nan,7.01661,0.7,-68.7699,11.1390633814,512,2.04554e-33,1.08507e-05,-67.6909507036,1,-67.6909507036,-67.6909507036,4.16798e-11,0.380628,2414.64233053,1.03692,nan,50000
-11064.7,1.52518e-16,2536.19002255,6.06825e-05,375.301,98.814229249,100,nan,5.66307,0.7,-70.2919,5.10236462961,506,1.42335e-11,1.09794e-05,-68.6818472986,1,-68.6818472986,-68.6818472986,3.95818e-11,0.344725,2536.19002255,1.02463,nan,50000
-10029.5,,70.7726939369,0.00129483,401.881,89.7666068223,100,nan,243.283,0.7,-54.5624,4.04193281857,557,,9.97407e-06,-60.8751671566,1,-60.8751671566,-60.8751671566,5.98693e-10,21.135,70.7726939369,1.87401,nan,50000
