SampleRenyi2,entropy,ev_tdlam_before,EpisodesSoFar,Step_size,entloss,TimeElapsed,EpRewMean,DiscEpRewMean,EpLenMean,Var_J,optimgain,meankl,J_hat,surrgain,TimestepsSoFar,EpThisIter
inf,8.39964,0.00337952375412,100,1.0,,66.79925155639648,-322.471536711,-115.345596028,500.0,466.3772888183594,0.00999733,0.00796053,-61.82559585571289,0.00999733,50000,100
inf,8.27343,0.306547343731,200,1.0,,125.30108857154846,-294.698504583,-109.087673651,500.0,9.01185131072998,0.0101027,0.00809401,-93.03746032714844,0.0101027,100000,100
inf,8.16531,0.345637619495,300,1.0,,184.9447112083435,-259.985268378,-92.0696956893,500.0,29.256139755249023,0.0107282,0.00795168,-76.0395278930664,0.0107282,150000,100
inf,8.04789,0.379594683647,400,1.0,,253.47963333129883,-251.355686818,-87.9389358635,500.0,16.955591201782227,0.00963962,0.00783581,-56.63291931152344,0.00963962,200000,100
inf,7.90649,0.435614526272,500,1.0,,321.4891173839569,-231.602403397,-78.5807328181,500.0,38.53040313720703,0.00952657,0.00758283,-58.28048324584961,0.00952657,250000,100
inf,7.77238,0.465285480022,600,1.0,,390.4304485321045,-220.390798754,-76.5370879164,500.0,41.49156951904297,0.00842785,0.0071147,-74.10527038574219,0.00842785,300000,100
inf,7.65523,0.49187541008,700,1.0,,459.5601770877838,-208.183413892,-72.2687591945,500.0,8.580880165100098,0.00962867,0.00730807,-69.38400268554688,0.00962867,350000,100
inf,7.5394,0.511825561523,800,1.0,,528.8607285022736,-186.486513747,-63.6903952725,500.0,0.23499108850955963,0.00898679,0.00700497,-53.32557678222656,0.00898679,400000,100
inf,7.43722,0.523920893669,900,1.0,,598.6800487041473,-171.653215012,-55.9931556466,500.0,26.086828231811523,0.010367,0.00738293,-44.547401428222656,0.010367,450000,100
inf,7.33559,0.563389539719,1000,1.0,,668.9225738048553,-155.212052504,-53.4512439247,500.0,25.420978546142578,0.00987477,0.00704059,-38.714927673339844,0.00987477,500000,100
inf,7.23045,0.528592854738,1100,1.0,,738.9689545631409,-146.542726727,-47.8561541527,500.0,47.10849380493164,0.0101931,0.00711529,-17.14812469482422,0.0101931,550000,100
inf,7.12856,0.58486738801,1200,1.0,,810.1927742958069,-127.107686486,-43.1380600524,500.0,11.72925853729248,0.0102256,0.00724204,-22.272489547729492,0.0102256,600000,100
inf,7.03788,0.477249503136,1300,1.0,,880.4162921905518,-102.962507411,-36.1674273774,500.0,10.91431713104248,0.0104594,0.00654654,-28.934736251831055,0.0104594,650000,100
inf,6.95067,0.543172389269,1400,1.0,,951.4686825275421,-89.1397126828,-30.6534515152,500.0,11.094474792480469,0.0110287,0.00706657,-16.24614715576172,0.0110287,700000,100
inf,6.86337,0.509070843458,1500,1.0,,1020.8239727020264,-68.2450313154,-24.9542417994,500.0,34.14254379272461,0.0115162,0.00705711,-11.659232139587402,0.0115162,750000,100
inf,6.79963,0.550658136606,1600,1.0,,1091.8172771930695,-53.1320036018,-18.9724879184,500.0,68.85423278808594,0.0114589,0.00684024,2.5951128005981445,0.0114589,800000,100
inf,6.72666,0.523390680552,1700,1.0,,1162.5851821899414,-28.1846002356,-11.8857264121,500.0,47.376953125,0.0111377,0.00659412,10.638654708862305,0.0111377,850000,100
inf,6.65117,0.644843369722,1800,1.0,,1233.8343439102173,-29.0314424861,-9.78194336581,500.0,25.027128219604492,0.0118023,0.0065428,18.233360290527344,0.0118023,900000,100
inf,6.57546,0.503222465515,1900,1.0,,1304.7129011154175,5.79193545366,1.58015492245,500.0,29.849321365356445,0.0120344,0.00625437,13.046199798583984,0.0120344,950000,100
inf,6.51201,0.545922577381,2000,1.0,,1375.7096242904663,24.2030856827,7.44124583877,500.0,25.21270751953125,0.0127675,0.00627093,24.557443618774414,0.0127675,1000000,100
