MaxNormIw,ESSClassic,AvgEpLen,AvgNormIw,VarJ,Delta,EpsThisIter,AvgDiscRet,ESSRenyi,VanillaAvgRet,AvgVanillaIw,VarNormIw,BatchSize,J,eRenyi2,MinVanillaIw,AvgRet,MaxVanillaIw,IterType,VarDiscRet,Bound,VarRet,VarVanillaIw,MinNormIw
0.488037,4.1108569105,15.35,0.01,330.576,0.1,100,140.448354163,47.7853429256,140.448354163,1.66732,0.00235614,100,246.458,2.09269,0.0155354,140.448354163,81.3716,1,7980.66058128,57.1974,7980.66058128,65.5001,9.31755e-05
0.549653,3.26311881745,20.94,0.01,1325.59,0.1,100,192.738571,28.1682445068,192.738571,1.4381,0.0029945,100,503.013,3.5501,0.00171426,192.738571,79.0455,1,18061.4514513,83.9852,18061.4514513,61.9301,1.19203e-05
0.620176,2.58474243616,26.99,0.01,1193.25,0.1,100,249.199214486,48.8085366157,249.199214486,2.59243,0.00380693,100,580.462,2.04882,0.119712,249.199214486,160.776,1,30375.5945319,31.7318,30375.5945319,255.853,0.000461773
0.153373,23.596414374,29.41,0.01,525.375,0.1,100,271.703045169,49.2963033743,271.703045169,1.24296,0.000327064,100,459.18,2.02855,0.00178008,271.703045169,19.0637,1,33777.4018001,74.8742,33777.4018001,5.05301,1.43213e-05
0.0502636,68.4406052798,33.33,0.01,411.179,0.1,100,308.31758505,76.9259366416,308.31758505,0.935667,4.65779e-05,100,375.286,1.29995,0.160752,308.31758505,4.703,1,24329.8476287,-3.56354,24329.8476287,0.407776,0.00171805
0.0375577,78.8535552028,37.68,0.01,283.022,0.1,100,348.555927017,85.386882541,348.555927017,0.95098,2.70883e-05,100,406.851,1.17114,0.105522,348.555927017,3.57167,1,42708.768411,-12.8811,42708.768411,0.244976,0.00110961
0.0939723,41.9597141445,42.13,0.01,483.296,0.1,100,390.307008717,62.5401182406,390.307008717,1.03442,0.000139721,100,497.337,1.59897,0.0539817,390.307008717,9.72068,1,24428.652482,141.43,24428.652482,1.49505,0.000521854
0.0749904,41.1612536782,44.64,0.01,618.82,0.1,100,413.121945933,56.8409971416,413.121945933,0.97421,0.000144391,100,573.215,1.75929,0.0152598,413.121945933,7.30564,1,36192.2648091,99.4587,36192.2648091,1.37039,0.000156638
0.0170927,90.3553663612,48.98,0.01,222.134,0.1,100,453.551291673,91.0531166554,453.551291673,0.990078,1.07819e-05,100,487.223,1.09826,0.368517,453.551291673,1.69231,1,39468.5821843,89.0153,39468.5821843,0.10569,0.0037221
0.0377372,75.3641514964,55.25,0.01,308.376,0.1,100,511.986817082,83.28682298,511.986817082,1.00107,3.30193e-05,100,576.853,1.20067,0.128662,511.986817082,3.77777,1,46548.5326345,173.694,46548.5326345,0.330903,0.00128524
0.42338,5.35331634039,62.74,0.01,2409.18,0.1,100,581.515191523,36.9154411626,581.515191523,1.34798,0.00178586,100,1086.24,2.70889,0.000755065,581.515191523,57.0709,1,79550.4966341,272.801,79550.4966341,32.45,5.60145e-06
0.242664,14.8112067234,61.17,0.01,963.983,0.1,100,566.277641762,65.1008617711,566.277641762,1.21949,0.000580974,100,734.371,1.53608,0.124521,566.277641762,29.5927,1,55291.5308445,101.943,55291.5308445,8.64004,0.00102108
0.0470753,69.2293329279,65.13,0.01,336.824,0.1,100,603.359376476,79.5339504195,603.359376476,1.03187,4.48964e-05,100,687.421,1.25732,0.248283,603.359376476,4.85756,1,61519.3521315,230.444,61519.3521315,0.478038,0.00240614
0.290313,10.6534022422,69.38,0.01,2104.78,0.1,100,642.498292642,44.4205001106,642.498292642,1.20437,0.000847139,100,1004.71,2.25121,0.0281382,642.498292642,34.9645,1,84423.5806492,230.839,84423.5806492,12.2879,0.000233633
0.162015,27.2960029304,73.58,0.01,965.105,0.1,100,681.382133431,66.6122087009,681.382133431,1.15223,0.000269044,100,853.764,1.50123,0.226099,681.382133431,18.6678,1,99819.0275613,187.492,99819.0275613,3.5719,0.00196228
0.207763,18.8397758251,74.89,0.01,934.321,0.1,100,694.006268479,59.9016592871,694.006268479,1.06231,0.000435143,100,888.358,1.6694,0.024318,694.006268479,22.071,1,78954.9499937,280.334,78954.9499937,4.91064,0.000228915
0.0269889,79.5712596066,80.28,0.01,377.45,0.1,100,742.923555455,82.8453109279,742.923555455,0.923772,2.59329e-05,100,813.099,1.20707,0.0912457,742.923555455,2.49316,1,81726.3923623,321.633,81726.3923623,0.2213,0.000987751
