BatchSize,EpsThisIter,MinNormIw,VarJ,J,VanillaAvgRet,ESSClassic,AvgDiscRet,AvgVanillaIw,AvgRet,AvgEpLen,VarDiscRet,VarVanillaIw,MaxVanillaIw,eRenyi2,Bound,IterType,MaxNormIw,MinVanillaIw,Delta,AvgNormIw,VarRet,VarNormIw,ESSRenyi
100,100,5.9319e-08,281.345,-1171.01,-1485.85436731,46.1497567592,-1485.85436731,0.948471,-1485.85436731,500.0,153715.045746,1.06031,3.5766,1.95092,-1729.01,1,0.0377091,5.62624e-06,0.2,0.01,153715.045746,0.000117865,51.2578841169
100,100,0.000746663,145.208,-1138.68,-1187.64623765,90.0158594725,-1187.64623765,1.01836,-1187.64623765,500.0,54903.6357642,0.116187,1.65037,1.10187,-1550.09,1,0.0162062,0.076037,0.2,0.01,54903.6357642,1.12036e-05,90.7544984214
100,100,0.00327038,88.1999,-1143.93,-1158.66633635,97.2526382642,-1158.66633635,1.02314,-1158.66633635,500.0,24970.5460353,0.0298707,1.34109,1.02656,-1541.18,1,0.0131076,0.334606,0.2,0.01,24970.5460353,2.85348e-06,97.4125194349
100,100,0.0054414,100.231,-1145.65,-1156.32307194,97.6266441732,-1156.32307194,0.981432,-1156.32307194,500.0,23344.5199269,0.0236528,1.24852,1.02394,-1543.2,1,0.0127215,0.534037,0.2,0.01,23344.5199269,2.45563e-06,97.6616230446
100,100,0.0034212,83.845,-1150.43,-1169.89733769,94.8800135001,-1169.89733769,0.973046,-1169.89733769,500.0,28353.0156493,0.0516092,1.33513,1.03957,-1550.28,1,0.0137211,0.332899,0.2,0.01,28353.0156493,5.4508e-06,96.1936981411
100,100,0.00556031,93.2992,-1144.15,-1150.40658982,98.5151364299,-1150.40658982,0.999138,-1150.40658982,500.0,17700.4197292,0.0151984,1.20176,1.01338,-1545.39,1,0.012028,0.555552,0.2,0.01,17700.4197292,1.52247e-06,98.6796147021
100,100,0.0062362,71.296,-1138.0,-1140.93813079,99.3401983898,-1140.93813079,0.999329,-1140.93813079,500.0,9359.66998807,0.00669984,1.11404,1.00637,-1532.32,1,0.0111479,0.623202,0.2,0.01,9359.66998807,6.70885e-07,99.3672960539
100,100,0.00188218,559.399,-1057.84,-1129.44134528,18.0481605314,-1129.44134528,1.14831,-1129.44134528,500.0,1479.5654942,6.04791,25.0841,1.49512,-1350.3,1,0.218444,0.216132,0.2,0.01,1479.5654942,0.00045866,66.8843252939
100,100,0.00561006,111.744,-1138.58,-1145.58884231,98.2114320862,-1145.58884231,1.01079,-1145.58884231,500.0,20064.4447244,0.0187946,1.28439,1.01572,-1533.87,1,0.0127068,0.567061,0.2,0.01,20064.4447244,1.83954e-06,98.4526404122
100,100,0.00441556,289.624,-1086.74,-1120.26110092,74.9182082405,-1120.26110092,1.0641,-1120.26110092,500.0,6413.45735093,0.382912,6.18685,1.18448,-1351.43,1,0.0581418,0.469859,0.2,0.01,6413.45735093,3.38171e-05,84.4252279482
100,100,0.00487648,148.788,-1111.5,-1119.76958434,97.2903607441,-1119.76958434,1.00079,-1119.76958434,500.0,16821.2589745,0.0281769,1.65355,1.0228,-1508.05,1,0.0165224,0.488035,0.2,0.01,16821.2589745,2.81321e-06,97.770372363
100,100,0.00471871,108.677,-1120.58,-1127.66964799,97.4258987067,-1127.66964799,0.991883,-1127.66964799,500.0,13087.0329748,0.0262564,1.50962,1.0182,-1485.65,1,0.0152198,0.468041,0.2,0.01,13087.0329748,2.66879e-06,98.2128730323
100,100,0.00391337,100.662,-1138.23,-1151.70375218,96.7471115119,-1151.70375218,0.987213,-1151.70375218,500.0,27207.9950431,0.0330992,1.24264,1.02481,-1536.57,1,0.0125873,0.386333,0.2,0.01,27207.9950431,3.39622e-06,97.5791470284
100,100,0.00464879,123.202,-1106.38,-1118.22280704,95.1258491047,-1118.22280704,0.991637,-1118.22280704,500.0,6209.0162512,0.0508944,1.9425,1.05249,-1369.61,1,0.0195888,0.460991,0.2,0.01,6209.0162512,5.17565e-06,95.0129840534
100,100,0.00522684,162.53,-1082.61,-1095.36804335,95.6504526669,-1095.36804335,1.00447,-1095.36804335,500.0,13770.8754469,0.046344,1.62769,1.0475,-1386.01,1,0.0162045,0.525019,0.2,0.01,13770.8754469,4.59326e-06,95.4655119986
100,100,0.00268328,274.956,-1086.99,-1120.99899972,80.8313450236,-1120.99899972,1.01046,-1120.99899972,500.0,41152.9576784,0.244578,4.64258,1.11287,-1500.49,1,0.0459451,0.271136,0.2,0.01,41152.9576784,2.39539e-05,89.8580072164
100,100,0.00287098,236.855,-1054.25,-1092.19951258,82.8272059383,-1092.19951258,0.912112,-1092.19951258,500.0,21553.0358298,0.174233,2.12123,1.15123,-1409.02,1,0.0232562,0.261865,0.2,0.01,21553.0358298,2.09427e-05,86.8638240052
100,100,0.00402213,318.297,-1013.22,-1053.11150536,78.9792131633,-1053.11150536,1.06932,-1053.11150536,500.0,57869.877675,0.307406,5.26021,1.1173,-1427.96,1,0.0491923,0.430092,0.2,0.01,57869.877675,2.68845e-05,89.5013785926
100,100,0.00257313,303.832,-1045.51,-1087.4826426,86.9781521643,-1087.4826426,0.952886,-1087.4826426,500.0,93770.5538536,0.137312,2.01291,1.13533,-1463.36,1,0.0211244,0.24519,0.2,0.01,93770.5538536,1.51227e-05,88.080157634
100,100,0.0019008,280.7,-935.351,-1009.93311203,80.0647547156,-1009.93311203,1.00132,-1009.93311203,500.0,55315.103491,0.25217,2.2666,1.2194,-1367.46,1,0.022636,0.190331,0.2,0.01,55315.103491,2.51504e-05,82.0076697227
100,100,0.0015478,302.364,-911.475,-974.802474165,83.248446919,-974.802474165,1.04463,-974.802474165,500.0,77788.9435386,0.221803,2.56218,1.17759,-1336.99,1,0.0245272,0.161688,0.2,0.01,77788.9435386,2.03256e-05,84.9191383013
100,100,0.000341235,307.256,-852.224,-976.671062816,65.7806522074,-976.671062816,0.931334,-976.671062816,500.0,97630.4277847,0.455774,3.85543,1.36937,-1311.1,1,0.0413968,0.0317803,0.2,0.01,97630.4277847,5.25459e-05,73.0264356037
100,100,1.54436e-06,157.88,-706.62,-838.554966523,49.2108878402,-838.554966523,1.01073,-838.554966523,500.0,43317.2274911,1.06499,6.49948,1.49054,-1026.88,1,0.0643047,0.000156093,0.2,0.01,43317.2274911,0.00010425,67.0895583087
100,100,0.00204161,161.712,-739.71,-794.275738665,88.9637801348,-794.275738665,0.995843,-794.275738665,500.0,63551.4236643,0.124266,1.60437,1.12732,-1155.9,1,0.0161107,0.203313,0.2,0.01,63551.4236643,1.25306e-05,88.7056157752
100,100,0.00335736,182.655,-699.971,-722.553478826,95.4648536139,-722.553478826,0.999656,-722.553478826,500.0,51818.1619726,0.0479524,1.48611,1.05533,-1102.69,1,0.0148662,0.335621,0.2,0.01,51818.1619726,4.79854e-06,94.7573757814
100,100,0.000324109,164.91,-680.349,-748.541640178,81.0502081886,-748.541640178,0.947508,-748.541640178,500.0,83671.0434967,0.212022,2.12105,1.15084,-1101.18,1,0.0223856,0.0307095,0.2,0.01,83671.0434967,2.36165e-05,86.8933547354
100,100,0.00327591,123.536,-658.632,-681.1601911,95.029638554,-681.1601911,1.01595,-681.1601911,500.0,32787.2598499,0.0545302,1.46538,1.05286,-1060.93,1,0.0144238,0.332814,0.2,0.01,32787.2598499,5.28318e-06,94.9789681217
100,100,0.00221626,112.814,-655.095,-686.992372631,91.4663299084,-686.992372631,0.966794,-686.992372631,500.0,36739.1383822,0.0880859,1.52412,1.07054,-1060.62,1,0.0157647,0.214267,0.2,0.01,36739.1383822,9.42406e-06,93.4105982388
100,100,0.00206563,99.5159,-625.081,-651.922026789,93.9807161275,-651.922026789,1.00071,-651.922026789,500.0,41113.9057131,0.0647872,1.62028,1.0514,-1026.9,1,0.0161912,0.206711,0.2,0.01,41113.9057131,6.46948e-06,95.1108860624
100,100,0.00381215,69.3168,-620.679,-631.59944047,95.2190072317,-631.59944047,1.01278,-631.59944047,500.0,6301.72833236,0.0520221,1.59363,1.05383,-825.615,1,0.0157352,0.386087,0.2,0.01,6301.72833236,5.07176e-06,94.8916731918
100,100,0.0030249,150.47,-636.167,-653.917251748,95.1964996692,-653.917251748,1.01354,-653.917251748,500.0,42580.4317431,0.0523579,1.65486,1.04245,-1036.92,1,0.0163276,0.306585,0.2,0.01,42580.4317431,5.09686e-06,95.9280203186
100,100,0.00469953,106.385,-606.98,-623.83494571,97.19964775,-623.83494571,1.0219,-623.83494571,500.0,29464.2394348,0.0303903,1.45153,1.03888,-1006.46,1,0.0142042,0.480247,0.2,0.01,29464.2394348,2.91015e-06,96.2575531401
100,100,0.00231609,74.6883,-594.096,-608.835537371,92.3208634739,-608.835537371,1.00574,-608.835537371,500.0,7782.5369141,0.0849863,2.06953,1.06184,-823.387,1,0.0205772,0.232938,0.2,0.01,7782.5369141,8.4019e-06,94.1759305205
100,100,0.00460649,98.4795,-600.295,-610.756084638,97.1394309987,-610.756084638,0.973072,-610.756084638,500.0,22862.9740727,0.0281653,1.24325,1.02465,-997.357,1,0.0127765,0.448245,0.2,0.01,22862.9740727,2.97457e-06,97.5940641794
100,100,0.00383901,76.2681,-572.363,-590.38408855,82.0608589589,-590.38408855,1.0453,-590.38408855,500.0,5410.42039988,0.241277,4.30326,1.08989,-791.361,1,0.0411675,0.401294,0.2,0.01,5410.42039988,2.20816e-05,91.7525590524
100,100,0.00684649,113.13,-591.607,-597.214048511,98.4171795983,-597.214048511,1.0033,-597.214048511,500.0,21066.0717727,0.0163523,1.23628,1.01382,-986.235,1,0.0123222,0.686907,0.2,0.01,21066.0717727,1.6245e-06,98.636462674
100,100,0.00443712,54.7628,-580.55,-586.459029392,95.9322068957,-586.459029392,0.987264,-586.459029392,500.0,3210.92144977,0.0417469,1.42626,1.03919,-736.455,1,0.0144466,0.438061,0.2,0.01,3210.92144977,4.28309e-06,96.2291418263
100,100,0.00377099,106.031,-586.52,-597.826274771,96.6902568517,-597.826274771,0.989739,-597.826274771,500.0,23053.5229722,0.0338703,1.41883,1.02642,-983.443,1,0.0143354,0.37323,0.2,0.01,23053.5229722,3.45762e-06,97.425959953
100,100,0.00291062,74.2912,-575.264,-593.486608544,94.6599050198,-593.486608544,0.979547,-593.486608544,500.0,23178.5396153,0.0546762,1.26651,1.03797,-974.813,1,0.0129296,0.285109,0.2,0.01,23178.5396153,5.69834e-06,96.3415489905
100,100,0.00216457,54.8873,-571.52,-580.743692966,90.6138087919,-580.743692966,0.97736,-580.743692966,500.0,3282.40515651,0.0999467,1.55015,1.05678,-720.713,1,0.0158606,0.211556,0.2,0.01,3282.40515651,1.04631e-05,94.6269696872
100,100,0.00340323,54.9472,-559.349,-569.415112613,90.4971241814,-569.415112613,1.00191,-569.415112613,500.0,3108.03273736,0.106474,1.75598,1.079,-704.152,1,0.0175262,0.340974,0.2,0.01,3108.03273736,1.06068e-05,92.678570087
100,100,0.00234005,51.6254,-551.411,-562.208068961,90.7884499384,-562.208068961,0.944381,-562.208068961,500.0,3989.46675514,0.0914029,1.62026,1.05876,-737.566,1,0.0171568,0.22099,0.2,0.01,3989.46675514,1.02486e-05,94.4504050275
100,100,0.00400469,52.3209,-554.539,-560.855218592,95.2575744654,-560.855218592,1.01323,-560.855218592,500.0,3386.77142946,0.0516279,1.40802,1.03687,-731.687,1,0.0138962,0.405769,0.2,0.01,3386.77142946,5.02879e-06,96.4438283585
100,100,0.00369201,47.1166,-560.109,-564.958464516,96.2714889498,-564.958464516,0.969974,-564.958464516,500.0,2591.12643387,0.0368065,1.43111,1.02926,-718.617,1,0.0147541,0.358115,0.2,0.01,2591.12643387,3.91205e-06,97.1571209108
100,100,0.00346615,44.1699,-547.203,-552.849381323,95.2612538736,-552.849381323,0.999306,-552.849381323,500.0,2253.14207544,0.0501772,1.45104,1.0393,-691.283,1,0.0145205,0.346374,0.2,0.01,2253.14207544,5.02469e-06,96.2190644234
100,100,0.00363583,45.5971,-544.06,-548.679909711,96.9232387592,-548.679909711,1.02771,-548.679909711,500.0,2289.38251429,0.0338665,1.53648,1.03199,-686.197,1,0.0149506,0.373656,0.2,0.01,2289.38251429,3.2065e-06,96.9000694007
