AvgDiscRet,AvgRet,VarJ,MinNormIw,Delta,MaxNormIw,BatchSize,AvgNormIw,AvgVanillaIw,VarDiscRet,IterType,VarVanillaIw,AvgEpLen,Bound,VarNormIw,eRenyi2,MaxVanillaIw,VarRet,J,ESSRenyi,EpsThisIter,ESSClassic,MinVanillaIw,VanillaAvgRet
12.782170309,12.782170309,106.919,6.96243e-06,0.4,0.0454156,100,0.01,217.817,1143.02971371,1,169538.0,41.84,41.5541,0.000357341,1.02775,989.23,1143.02971371,53.9465,97.2996095771,100,22.0376953465,0.151654,12.782170309
-7.56398522236,12.782170309,24.3616,2.72726e-06,0.4,0.0177898,200,0.01,3.70661,493.575612482,,5.83242,41.84,-13.2997,4.24516e-05,1.02728,6.59398,1143.02971371,-7.60128,194.689818563,100,70.4090917012,0.00101089,12.782170309
-16.9606832004,-16.9606832004,151.246,2.27747e-06,0.4,0.0454275,200,0.005,732.368,265.304484999,1,4.35564e+06,49.52,45.1346,0.000203017,1.04069,6653.93,265.304484999,53.9523,192.180374372,100,22.0262051999,0.333589,-16.9606832004
7.04421786365,7.04421786365,57.0794,0.01,0.4,0.01,200,0.01,1.0,3290.9712673,2,,38.52,-11.9234,3.50449e-18,1.0,1.0,3290.9712673,7.04422,200.0,100,100.0,1.0,7.04421786365
-27.1294876767,-16.9606832004,46.9502,3.96761e-07,0.4,0.00791399,300,0.005,1.89392,1456.54156914,,0.611853,49.52,-29.1239,4.26444e-06,1.03965,2.9977,265.304484999,-15.4485,288.557435497,100,170.980403397,0.000150287,-16.9606832004
-6.55562130445,-6.55562130445,185.245,1.3578e-06,0.4,0.0454291,300,0.00333333,1066.02,300.374270811,1,1.43905e+07,34.18,46.7328,0.000140704,1.04714,14528.5,300.374270811,53.9548,286.495685629,100,22.0246171393,0.434231,-6.55562130445
-0.473730404388,-0.473730404388,30.4395,0.01,0.4,0.01,300,0.01,1.0,935.921004269,2,,53.36,-6.74082,3.50449e-18,1.0,1.0,935.921004269,-0.47373,300.0,100,100.0,1.0,-0.473730404388
-5.5756533103,-5.5756533103,26.441,0.005,0.4,0.005,300,0.005,1.0,463.312138029,2,,43.72,-7.45619,2.1793e-19,1.0,1.0,463.312138029,-3.02469,300.0,100,200.000000102,1.0,-5.5756533103
5.28278974992,-6.55562130445,28.9179,1.53341e-07,0.4,0.00513046,400,0.00333333,1.49624,656.494594184,,0.265623,34.18,-5.80822,1.31832e-06,1.04582,2.30292,300.374270811,-1.25388,382.476566003,100,268.275519886,6.88304e-05,-6.55562130445
-16.6417250383,-16.6417250383,213.903,7.99599e-07,0.4,0.0454293,400,0.0025,1218.71,1266.78243998,1,2.55533e+07,58.32,47.5884,0.000107529,1.05118,22146.1,1266.78243998,53.955,380.523533491,100,22.0244583848,0.389792,-16.6417250383
1.55322861998,1.55322861998,33.1311,0.01,0.4,0.01,400,0.01,1.0,1108.75717467,2,,39.94,-10.0787,3.50449e-18,1.0,1.0,1108.75717467,1.55323,400.0,100,100.0,1.0,1.55322861998
2.35929671737,2.35929671737,26.4192,0.005,0.4,0.005,400,0.005,1.0,300.960791195,2,,42.12,-6.26872,2.1793e-19,1.0,1.0,300.960791195,1.95626,400.0,100,200.000000102,1.0,2.35929671737
