BatchSize,MinVanillaIw,VarDiscRet,ESSRenyi,MaxNormIw,AvgVanillaIw,VarVanillaIw,ESSClassic,eRenyi2,EpsThisIter,AvgRet,VarJ,VarNormIw,Bound,Delta,AvgNormIw,VarRet,VanillaAvgRet,MinNormIw,AvgEpLen,MaxVanillaIw,IterType,AvgDiscRet,J
100,0.0199707,2587.39028609,80.8373479254,0.0191258,1.01794,0.265394,79.7727911251,1.23705,100,-122.552400807,11.2125,2.56122e-05,-138.919,0.8,0.01,2587.39028609,-122.552400807,0.000196187,41.05,1.9469,1,-122.552400807,-111.138
100,,3020.93316038,99.9999880791,0.617827,0.712236,22.3827,2.23805402036,1.0,100,-122.215105898,7.28182,0.00441229,-128.921,0.8,0.01,3020.93316038,-122.215105898,,40.9,44.0039,1,-122.215105898,-106.423
100,0.692186,7.1289626561,99.3919497171,0.0112281,1.00351,0.00790407,99.2289474496,1.00612,100,-107.576702986,2.6119,7.84887e-07,-113.317,0.8,0.01,7.1289626561,-107.576702986,0.00689764,16.06,1.12675,1,-107.576702986,-107.541
100,0.90184,5.43703884867,99.6228548287,0.0117464,0.998167,0.00347297,99.6560804919,1.00379,100,-107.216459021,2.30938,3.48573e-07,-112.934,0.8,0.01,5.43703884867,-107.216459021,0.00903496,16.48,1.17249,1,-107.216459021,-107.194
100,0.0148297,9.65808080624,99.9998450282,0.208558,1.04881,5.10318,17.8799147811,1.0,100,-107.816277299,3.01638,0.000463926,-112.864,0.8,0.01,9.65808080624,-107.816277299,0.000141396,16.35,21.8737,1,-107.816277299,-107.092
100,0.500342,12.5634737638,96.5919047158,0.015923,1.01218,0.0362681,96.6139911914,1.03528,100,-107.522726148,3.79177,3.54008e-06,-113.233,0.8,0.01,12.5634737638,-107.522726148,0.00494323,17.03,1.61168,1,-107.522726148,-107.329
100,0.209439,205.892082829,91.7463172889,0.0158105,0.966882,0.0950259,90.8569918224,1.08996,100,-109.011320514,4.39253,1.01647e-05,-118.781,0.8,0.01,205.892082829,-109.011320514,0.00216613,21.53,1.52869,1,-109.011320514,-107.43
100,0.878755,21.8286708234,99.4993840452,0.0159456,1.00101,0.00658665,99.3534572079,1.00503,100,-107.264108697,4.52791,6.57334e-07,-113.601,0.8,0.01,21.8286708234,-107.264108697,0.00877866,17.33,1.59617,1,-107.264108697,-107.226
100,0.479338,8.8343791044,96.0028821666,0.0173627,1.00935,0.0368032,96.5471408612,1.04164,100,-107.719276298,2.64306,3.61246e-06,-113.657,0.8,0.01,8.8343791044,-107.719276298,0.00474899,16.24,1.7525,1,-107.719276298,-107.444
100,0.552212,14.3267894216,96.7562142734,0.0134436,1.01976,0.0352849,96.7500534756,1.03353,100,-107.681268243,3.09154,3.39308e-06,-114.231,0.8,0.01,14.3267894216,-107.681268243,0.00541512,17.34,1.37092,1,-107.681268243,-107.44
100,0.432918,12.865928535,96.0955588924,0.0153206,0.981106,0.0358539,96.4436056728,1.04063,100,-107.201484487,4.28423,3.72482e-06,-112.858,0.8,0.01,12.865928535,-107.201484487,0.00441255,18.11,1.50311,1,-107.201484487,-106.991
100,0.364986,13.9685825555,83.1026711194,0.0445481,0.984003,0.318542,75.4321910783,1.20333,100,-107.368709802,8.89217,3.28984e-05,-112.766,0.8,0.01,13.9685825555,-107.368709802,0.0037092,16.28,4.38355,1,-107.368709802,-106.47
100,0.480835,10.7358293221,96.8487081829,0.016639,1.01592,0.0452629,95.8389469457,1.03254,100,-107.785546819,2.92958,4.38558e-06,-114.046,0.8,0.01,10.7358293221,-107.785546819,0.00473302,18.12,1.69038,1,-107.785546819,-107.591
100,0.287841,18.4761992069,93.3625569158,0.016384,1.02504,0.0615131,94.5216386489,1.07109,100,-106.548325025,5.96789,5.85445e-06,-112.065,0.8,0.01,18.4761992069,-106.548325025,0.00280809,19.45,1.67943,1,-106.548325025,-106.167
100,0.414297,22.5614807664,95.677946828,0.0135243,0.973851,0.0390276,96.0855071076,1.04517,100,-107.85746925,3.52225,4.11516e-06,-114.513,0.8,0.01,22.5614807664,-107.85746925,0.00425421,18.95,1.31707,1,-107.85746925,-107.524
100,0.131146,13.9620647174,88.3892283383,0.0201734,0.980837,0.147319,86.8356574034,1.13136,100,-106.515149557,5.13431,1.53132e-05,-111.924,0.8,0.01,13.9620647174,-106.515149557,0.00133708,17.53,1.97868,1,-106.515149557,-105.85
100,2.95433e-05,36.1818934706,29.7582294271,0.102273,0.937674,2.56577,25.7134971076,3.36041,100,-106.872580109,34.0901,0.000291819,-111.536,0.8,0.01,36.1818934706,-106.872580109,3.1507e-07,19.29,9.58985,1,-106.872580109,-100.386
100,0.269864,17.3465378029,95.3822010019,0.0185736,0.996698,0.0579705,94.5383644627,1.04841,100,-106.24877527,4.59018,5.83552e-06,-112.232,0.8,0.01,17.3465378029,-106.24877527,0.00270758,21.9,1.85122,1,-106.24877527,-105.971
100,0.16148,24.4479586075,84.6765781957,0.0195918,0.942422,0.181196,83.1965934235,1.18096,100,-106.383162044,7.09478,2.04013e-05,-111.686,0.8,0.01,24.4479586075,-106.383162044,0.00171346,22.02,1.84637,1,-106.383162044,-105.442
100,0.000204326,79.0887418882,39.9782604179,0.0517836,0.981553,1.74969,35.7408336329,2.50136,100,-104.009320034,21.7074,0.000181608,-108.881,0.8,0.01,79.0887418882,-104.009320034,2.08166e-06,28.82,5.08284,1,-104.009320034,-97.0916
100,,46.4873448284,100.0,0.240412,0.108664,0.116757,9.26860242386,1.0,100,-103.447214646,37.9542,0.000988799,-101.133,0.8,0.01,46.4873448284,-103.447214646,,35.36,2.61242,1,-103.447214646,-95.1792
200,0.382787,28.1771420389,nan,nan,inf,nan,nan,nan,100,-103.447214646,nan,nan,nan,0.8,nan,46.4873448284,-103.447214646,nan,35.36,inf,,-107.173783215,nan
200,0.00494601,71.4343228708,112.270911434,0.0216355,0.948678,0.803168,105.934602863,1.78141,100,-101.459730244,12.8549,2.23105e-05,-105.603,0.8,0.005,71.4343228708,-101.459730244,2.60679e-05,37.54,4.10502,1,-101.459730244,-99.8633
