AvgVanillaIw,AvgEpLen,VarVanillaIw,eRenyi2,Delta,MinVanillaIw,VarDiscRet,AvgDiscRet,J,VarJ,VanillaAvgRet,AvgRet,Bound,MinNormIw,MaxVanillaIw,EpsThisIter,IterType,VarNormIw,VarRet,ESSClassic,MaxNormIw,ESSRenyi,AvgNormIw,BatchSize
1.07709,500.0,0.273448,1.26703,0.1,0.066659,133464.220469,-1425.44948405,-1282.58,260.27,-1425.44948405,-1425.44948405,-1957.84,0.000618878,2.12318,100,1,2.35705e-05,133464.220469,81.0801203223,0.0197122,78.9244918216,0.01,100
0.901687,500.0,0.259083,1.21675,0.1,0.0872951,117887.729856,-1348.0147913,-1215.0,192.894,-1348.0147913,-1348.0147913,-1871.26,0.000968131,1.81148,100,1,3.1866e-05,117887.729856,76.0182671139,0.0200899,82.1861659983,0.01,100
0.962232,500.0,0.0901269,1.07748,0.1,0.162592,70841.9599915,-1232.95267028,-1177.41,143.688,-1232.95267028,-1232.95267028,-1788.51,0.00168974,1.55716,100,1,9.73409e-06,70841.9599915,91.2102793109,0.0161828,92.8087606536,0.01,100
0.99171,500.0,0.0307184,1.02418,0.1,0.248873,26855.0374691,-1173.50021436,-1154.46,92.3777,-1173.50021436,-1173.50021436,-1754.51,0.00250954,1.2538,100,1,3.12341e-06,26855.0374691,97.0006293932,0.0126428,97.6391157619,0.01,100
1.00326,500.0,0.00257364,1.00312,0.1,0.816932,8274.82716831,-1135.83992107,-1134.18,81.6419,-1135.83992107,-1135.83992107,-1632.68,0.0081428,1.13988,100,1,2.55696e-07,8274.82716831,99.7474847649,0.0113618,99.6891416826,0.01,100
0.98603,500.0,0.0180026,1.01255,0.1,0.400603,20298.5263986,-1150.23150012,-1140.86,91.8571,-1150.23150012,-1150.23150012,-1734.85,0.00406278,1.16164,100,1,1.85163e-06,20298.5263986,98.1998719972,0.011781,98.7604274882,0.01,100
1.00186,500.0,0.0095717,1.0087,0.1,0.673826,17373.7349253,-1154.22337348,-1148.55,98.2124,-1154.22337348,-1154.22337348,-1739.74,0.00672573,1.1723,100,1,9.53611e-07,17373.7349253,99.0647524604,0.0117012,99.1372212367,0.01,100
0.993205,500.0,0.00300234,1.00251,0.1,0.784962,2480.55638636,-1136.32545881,-1135.22,50.0008,-1136.32545881,-1136.32545881,-1573.55,0.00790332,1.11871,100,1,3.04356e-07,2480.55638636,99.6996139454,0.0112636,99.7497518625,0.01,100
0.993951,500.0,0.00480137,1.00389,0.1,0.661216,3911.77858522,-1142.77752812,-1140.59,45.5436,-1142.77752812,-1142.77752812,-1646.13,0.0066524,1.07861,100,1,4.85998e-07,3911.77858522,99.5211624809,0.0108517,99.6127401968,0.01,100
1.00428,500.0,0.00230548,1.002,0.1,0.91583,2183.12173861,-1130.93948438,-1130.2,53.3803,-1130.93948438,-1130.93948438,-1524.29,0.00911923,1.18004,100,1,2.28585e-07,2183.12173861,99.7742248799,0.0117501,99.8005442471,0.01,100
1.00483,500.0,0.00362086,1.00412,0.1,0.774658,4652.73386342,-1144.07092839,-1141.87,52.8296,-1144.07092839,-1144.07092839,-1644.43,0.00770938,1.10103,100,1,3.58617e-07,4652.73386342,99.6462305255,0.0109574,99.5892774293,0.01,100
0.999207,500.0,0.00262061,1.0027,0.1,0.802492,7027.4944887,-1142.88572764,-1141.19,67.3794,-1142.88572764,-1142.88572764,-1730.01,0.00803128,1.07998,100,1,2.62477e-07,7027.4944887,99.7408156636,0.0108084,99.7311211781,0.01,100
0.996056,500.0,0.00226265,1.0028,0.1,0.890262,3125.42964798,-1132.74259997,-1131.53,58.527,-1132.74259997,-1132.74259997,-1571.45,0.00893787,1.17565,100,1,2.2806e-07,3125.42964798,99.7747600352,0.0118031,99.7204866644,0.01,100
0.998705,500.0,0.00109779,1.00109,0.1,0.887114,1065.52201865,-1139.59649528,-1139.13,29.7137,-1139.59649528,-1139.59649528,-1558.64,0.00888264,1.06012,100,1,1.10064e-07,1065.52201865,99.8911488854,0.0106149,99.8908163434,0.01,100
0.981281,500.0,0.0228085,1.01246,0.1,0.293764,11515.456405,-1151.90428601,-1142.57,54.7031,-1151.90428601,-1151.90428601,-1729.16,0.00299368,1.11686,100,1,2.3687e-06,11515.456405,97.7086856309,0.0113816,98.7689160909,0.01,100
0.993962,500.0,0.0150304,1.0096,0.1,0.46986,11104.0020468,-1146.53026129,-1139.46,61.8818,-1146.53026129,-1146.53026129,-1729.92,0.00472714,1.21607,100,1,1.52136e-06,11104.0020468,98.5161396091,0.0122345,99.0488434335,0.01,100
0.999468,500.0,0.000175029,1.00014,0.1,0.918271,42.9048818574,-1134.65665871,-1134.6,6.00751,-1134.65665871,-1134.65665871,-1494.22,0.0091876,1.01697,100,1,1.75215e-08,42.9048818574,99.9826323399,0.0101751,99.9856135088,0.01,100
0.996878,500.0,0.00419251,1.00311,0.1,0.698234,7952.25566553,-1139.80355439,-1137.7,64.4395,-1139.80355439,-1139.80355439,-1726.34,0.00700421,1.085,100,1,4.21881e-07,7952.25566553,99.5841094929,0.010884,99.6898998919,0.01,100
0.996911,500.0,0.00260697,1.0027,0.1,0.908728,879.523266045,-1130.90294007,-1130.04,37.7385,-1130.90294007,-1130.90294007,-1474.72,0.00911544,1.28001,100,1,2.62315e-07,879.523266045,99.740966841,0.0128397,99.7304571956,0.01,100
1.09151,500.0,0.408456,1.12447,0.1,0.586633,3370.79587532,-1126.43110949,-1096.83,292.693,-1126.43110949,-1126.43110949,-1458.42,0.0053745,6.03464,100,1,3.42838e-05,3370.79587532,74.6597757959,0.055287,88.9310495075,0.01,100
0.999149,500.0,0.00152817,1.00188,0.1,0.86194,1848.79225745,-1133.54300886,-1132.77,46.0384,-1133.54300886,-1133.54300886,-1546.59,0.00862674,1.18031,100,1,1.53078e-07,1848.79225745,99.8486644465,0.0118131,99.8121578055,0.01,100
1.02557,500.0,0.104449,1.03101,0.1,0.771358,13006.0746924,-1129.47246175,-1117.79,226.374,-1129.47246175,-1129.47246175,-1715.15,0.00752125,3.7229,100,1,9.93054e-06,13006.0746924,91.0487753813,0.0363007,96.9925919588,0.01,100
1.00526,500.0,0.00371989,1.00357,0.1,0.757341,7511.93586196,-1145.78644656,-1143.52,66.6399,-1145.78644656,-1145.78644656,-1732.79,0.00753377,1.11504,100,1,3.68105e-07,7511.93586196,99.6369099354,0.011092,99.6440844889,0.01,100
0.998616,500.0,0.000110813,1.00007,0.1,0.931848,26.3202989404,-1134.80172514,-1134.77,4.92414,-1134.80172514,-1134.80172514,-1486.49,0.0093314,1.01386,100,1,1.1112e-08,26.3202989404,99.9890222648,0.0101527,99.9929671466,0.01,100
0.9842,500.0,0.0359769,1.02888,0.1,0.805095,3605.53648508,-1119.96262258,-1111.21,96.1465,-1119.96262258,-1119.96262258,-1457.52,0.0081802,2.20916,100,1,3.71413e-06,3605.53648508,96.4534189086,0.0224463,97.1927039384,0.01,100
0.98106,500.0,0.0117406,1.0086,0.1,0.515626,10770.3980997,-1146.54206354,-1140.76,76.214,-1146.54206354,-1146.54206354,-1731.64,0.00525581,1.28766,100,1,1.21983e-06,10770.3980997,98.8067872917,0.0131252,99.1472278078,0.01,100
0.999581,500.0,0.000605505,1.00072,0.1,0.921219,1347.22210701,-1132.57806274,-1132.31,38.5197,-1132.57806274,-1132.57806274,-1511.4,0.00921605,1.07283,100,1,6.06013e-08,1347.22210701,99.9400119406,0.0107327,99.9283350868,0.01,100
1.00136,500.0,0.0565677,1.02981,0.1,0.764071,3775.71150174,-1124.71219855,-1115.38,127.291,-1124.71219855,-1124.71219855,-1485.32,0.00763032,2.39573,100,1,5.6414e-06,3775.71150174,94.7104547934,0.0239247,97.1053632586,0.01,100
1.00708,500.0,0.0341295,1.02313,0.1,0.77541,3525.15720113,-1122.40297194,-1115.73,111.057,-1122.40297194,-1122.40297194,-1480.12,0.00769958,2.16979,100,1,3.36513e-06,3525.15720113,96.7759442039,0.0215453,97.7394553786,0.01,100
1.0075,500.0,0.00523826,1.00494,0.1,0.755486,20793.8277994,-1134.17035811,-1130.99,126.117,-1134.17035811,-1134.17035811,-1720.77,0.00749862,1.17593,100,1,5.16056e-07,20793.8277994,99.4917157683,0.0116718,99.5080473732,0.01,100
1.00307,500.0,0.00544588,1.00645,0.1,0.701507,8522.70825797,-1129.29140779,-1126.25,95.2282,-1129.29140779,-1129.29140779,-1613.68,0.00699361,1.18084,100,1,5.41261e-07,8522.70825797,99.4670197772,0.0117723,99.3595163243,0.01,100
1.01427,500.0,0.032684,1.01872,0.1,0.798605,3192.65678078,-1127.06505482,-1121.24,100.151,-1127.06505482,-1127.06505482,-1503.85,0.00787372,2.17786,100,1,3.1771e-06,3192.65678078,96.9505803629,0.0214722,98.1628563836,0.01,100
0.997893,500.0,0.0034318,1.00347,0.1,0.762539,10992.285602,-1133.63817058,-1131.44,90.0159,-1133.63817058,-1133.63817058,-1720.58,0.00764149,1.09194,100,1,3.44631e-07,10992.285602,99.6599908541,0.0109425,99.6538384915,0.01,100
1.04153,500.0,0.242818,1.09987,0.1,0.63767,14790.1678306,-1108.54883549,-1070.01,276.66,-1108.54883549,-1108.54883549,-1588.68,0.00612241,4.84003,100,1,2.23838e-05,14790.1678306,81.859885142,0.0464702,90.919464286,0.01,100
1.02873,500.0,0.0821893,1.05648,0.1,0.542177,12856.5876922,-1101.16496054,-1081.78,169.976,-1101.16496054,-1101.16496054,-1484.71,0.00527035,2.12717,100,1,7.76627e-06,12856.5876922,92.8603318015,0.0206776,94.6535775568,0.01,100
1.00836,500.0,0.0234992,1.02021,0.1,0.535122,36384.2549337,-1116.98769383,-1104.9,197.605,-1116.98769383,-1116.98769383,-1700.09,0.00530685,1.42319,100,1,2.31111e-06,36384.2549337,97.7632041047,0.0141139,98.0191586224,0.01,100
1.00642,500.0,0.0153154,1.01455,0.1,0.644521,45652.6746283,-1136.89609664,-1127.28,181.317,-1136.89609664,-1136.89609664,-1719.55,0.00640408,1.32057,100,1,1.51206e-06,45652.6746283,98.5251568012,0.0131214,98.5657073539,0.01,100
0.980344,500.0,0.0516304,1.03907,0.1,0.453319,33554.8948451,-1112.42280575,-1090.49,197.164,-1112.42280575,-1112.42280575,-1689.03,0.00462408,1.82584,100,1,5.37216e-06,33554.8948451,94.9501594433,0.0186245,96.2398396486,0.01,100
1.009,500.0,0.0160679,1.01189,0.1,0.662103,35480.9097368,-1105.63150537,-1098.47,185.292,-1105.63150537,-1105.63150537,-1689.66,0.00656198,1.306,100,1,1.57826e-06,35480.9097368,98.4615765447,0.0129436,98.8254082585,0.01,100
