Bound,VarJ,VarDiscRet,AvgNormIw,MaxNormIw,MinNormIw,Delta,BatchSize,VarVanillaIw,AvgRet,VarRet,ESSClassic,AvgDiscRet,EpsThisIter,VanillaAvgRet,ESSRenyi,J,AvgVanillaIw,eRenyi2,IterType,AvgEpLen,VarNormIw,MaxVanillaIw,MinVanillaIw
1071.4722,1817.5167,83958.67826312238,0.01,0.45891553,1.6581998e-14,0.85,100,203.89124,148.23435896617477,83958.67826312238,3.1216482901093245,148.23435896617477,100,148.23435896617477,3.7756676380069436,1456.2212,2.5503247,26.485382,1,15.83,0.0031347838,117.03836,4.228948e-12
-44689.543,784.48157,549383.1666434449,0.01,0.38613617,1.3952262e-14,0.85,200,1.0165415e+21,148.23435896617477,83958.67826312238,3.5925647250046495,542.6022365453176,100,148.23435896617477,0.004354265415439018,324.07336,6123887000.0,45931.973,,15.83,0.002710633,236465420000.0,0.008544208
1207.7454,2089.159,7721.132111545987,0.005000001,0.60207397,5.482172e-24,0.85,200,239.88582,95.64293128037274,7721.132111545987,2.293493012152132,95.64293128037274,100,95.64293128037274,4.46512223668994,1561.5453,1.663995,44.791607,1,10.57,0.0021659103,200.36961,1.8244613e-21
605.6754,1180.6711,1408065.0749821847,0.009999998,0.01,0.01,0.85,200,,815.7172424474347,1408065.0749821847,100.0,815.7172424474347,100,815.7172424474347,200.0,815.7172,1.0,1.0,2,82.54,3.5044917e-18,1.0,1.0
-inf,5487.833,1085581.5601328055,0.005,0.710182,6.4665472e-24,0.85,300,inf,95.64293128037274,7721.132111545987,,699.1193168745189,100,95.64293128037274,nan,840.3245,3.858919e+18,nan,,10.57,0.00267898,5.48107e+20,0.0049907765
3370.9014,6651.85,260921.63690539516,0.0033333334,0.9094264,4.5959e-40,0.85,300,417.06235,156.1382727323739,260921.63690539516,1.2080741020702543,156.1382727323739,100,156.1382727323739,2.9471064631866892,4594.331,1.2963964,101.79476,1,16.61,0.0027572925,353.6931,1.7874325e-37
445.17044,805.6274,655591.4790210137,0.009999998,0.01,0.01,0.85,300,,655.2107893687362,655591.4790210137,100.0,655.2107893687362,100,655.2107893687362,300.0,655.2107,1.0,1.0,2,66.52,3.5044917e-18,1.0,1.0
679.6311,1105.5541,1753177.967301296,0.0049999994,0.005,0.005,0.85,300,,1001.0953054901979,1753177.967301296,200.00000010221265,1001.0953054901979,100,1001.0953054901979,300.0,828.153,1.0,1.0,2,101.05,2.179301e-19,1.0,1.0
-inf,0.8112655,2048245.469075364,0.0033333336,0.9998816,5.05303e-40,0.85,400,inf,156.1382727323739,260921.63690539516,,1113.304111948572,100,156.1382727323739,122792092.08594769,80.00709,1.8650931e+34,3.2575388e-06,,16.61,0.0033325418,5.594617e+36,0.0028273095
3284.8018,5644.7715,23504.34910105297,0.0025,0.93600786,,0.85,400,1127.9153,117.9289031598275,23504.34910105297,1.1406485052790734,117.9289031598275,100,117.9289031598275,2.1492552780940906,4717.428,1.7937452,186.11098,1,12.8,0.0021909631,671.5838,
1258.5197,1587.6676,2546149.9904547343,0.009999998,0.01,0.01,0.85,400,,1468.5617130257801,2546149.9904547343,100.0,1468.5617130257801,100,1468.5617130257801,400.0,1468.5616,1.0,1.0,2,147.76,3.5044917e-18,1.0,1.0
1167.1334,1530.763,2140425.7384412424,0.0049999994,0.005,0.005,0.85,400,,1162.7492015065668,2140425.7384412424,200.00000010221265,1162.7492015065668,100,1162.7492015065668,400.0,1315.6555,1.0,1.0,2,117.23,2.179301e-19,1.0,1.0
1191.5409,1569.4288,2730101.696216663,0.0033333336,0.0033333334,0.0033333334,0.85,400,,1307.115382548642,2730101.696216663,299.999969473632,1307.115382548642,100,1307.115382548642,400.0,1312.8087,1.0,1.0,2,131.59,5.4391416e-20,1.0,1.0
nan,nan,2865788.238576932,nan,nan,nan,0.85,500,nan,117.9289031598275,23504.34910105297,nan,1661.2548941946195,100,117.9289031598275,1223421347.6016097,nan,inf,4.0868994e-07,,12.8,nan,inf,0.0014890174
2587.619,14998.57,20673.679829604327,0.002,0.82329154,,0.85,500,688.98364,111.23543512031594,20673.679829604327,1.4529354428486283,111.23543512031594,100,111.23543512031594,1.5263548681907235,4287.62,1.4155976,327.57782,1,12.13,0.0013752745,582.72473,
1576.4976,1829.842,3382143.830404524,0.009999998,0.01,0.01,0.85,500,,1786.5394365382901,3382143.830404524,100.0,1786.5394365382901,100,1786.5394365382901,500.0,1786.5396,1.0,1.0,2,179.47,3.5044917e-18,1.0,1.0
