BatchSize,VarDiscRet,J,VarVanillaIw,MaxVanillaIw,AvgDiscRet,AvgEpLen,IterType,eRenyi2,AvgVanillaIw,MinVanillaIw,MaxNormIw,VanillaAvgRet,VarRet,AvgRet,EpsThisIter,VarNormIw,MinNormIw,Delta,AvgNormIw,Bound,ESSRenyi,VarJ,ESSClassic
100,10506.6411826,337.398,62.3197,62.5807,144.054315723,15.74,1,6.76325,2.0923,1.79159e-09,0.2991,144.054315723,10506.6411826,144.054315723,100,0.00142357,8.56281e-12,0.6,0.01,242.949,14.7857921727,193.288,6.62544107938
200,11202.8652333,278.281,3.11544e+15,5.58162e+08,241.898202398,15.74,,0.24121,5.58239e+06,0.0159794,0.999861,144.054315723,10506.6411826,144.054315723,100,0.0099972,2.86246e-11,0.6,0.01,-inf,829.152307454,0.0535637,1.00027750145
200,14408.5192212,376.508,655.998,361.807,155.848643918,17.0,1,6.88513,2.9593,1.03957e-05,0.611306,155.848643918,14408.5192212,155.848643918,100,0.00187269,1.75644e-08,0.6,0.005,267.167,29.0481103371,613.847,2.64785207099
200,11869.0975801,211.651,,1.0,211.65065252,22.97,2,1.0,1.0,1.0,0.01,211.65065252,11869.0975801,211.65065252,100,3.50449e-18,0.01,0.6,0.01,157.69,200.0,108.399,100.0
300,16456.955873,203.116,5.10202e+07,96194.1,238.760786445,17.0,,nan,878.621,0.0027639,0.547415,155.848643918,14408.5192212,155.848643918,100,0.00165226,1.57286e-08,0.6,0.005,-inf,nan,366.455,2.99580289189
300,7098.29361413,351.745,1708.34,708.4,132.746314069,14.52,1,6.18529,3.64719,1.12353e-05,0.647439,132.746314069,7098.29361413,132.746314069,100,0.00142697,1.02685e-08,0.6,0.00333333,267.128,48.5021507537,366.207,2.32560308879
300,10550.0532576,244.509,,1.0,244.509448964,26.5,2,1.0,1.0,1.0,0.01,244.509448964,10550.0532576,244.509448964,100,3.50449e-18,0.01,0.6,0.01,192.841,300.0,102.199,100.0
300,18079.4234753,237.48,,1.0,230.449980246,24.98,2,1.0,1.0,1.0,0.005,230.449980246,18079.4234753,230.449980246,100,2.1793e-19,0.005,0.6,0.005,189.714,300.0,119.252,200.000000102
400,17685.2679535,122.591,3.313e+07,89005.0,233.810429059,14.52,,nan,621.757,0.00141163,0.47717,132.746314069,7098.29361413,132.746314069,100,0.000952223,7.56797e-09,0.6,0.00333333,-inf,nan,290.758,3.47164620388
400,8176.66450389,342.57,1716.87,827.257,144.716081887,15.8,1,7.15203,3.20745,1.20422e-05,0.644794,144.716081887,8176.66450389,144.716081887,100,0.00104304,9.38611e-09,0.6,0.0025,263.77,55.9281882907,500.428,2.38851013842
