MinNormIw,MaxVanillaIw,AvgVanillaIw,VarDiscRet,J,MaxNormIw,Bound,MinVanillaIw,AvgNormIw,AvgEpLen,BatchSize,EpsThisIter,VarRet,Delta,AvgDiscRet,ESSClassic,VarNormIw,ESSRenyi,VanillaAvgRet,IterType,eRenyi2,AvgRet,VarJ,VarVanillaIw
1.4250245e-12,3.385221,0.89790565,5241326.926508991,-149.87895,0.0377013,-1512.4723,1.2795376e-10,0.01,200.0,100,100,5241326.926508991,0.3,-2281.75755841767,38.625223481410735,0.00016050317,41.65510326419657,-2281.75755841767,1,2.4006662,-2281.75755841767,356.2749,1.2940322
0.0004611599,1.4478607,0.96751386,636917.6779819662,-32.43246,0.014964754,-618.63043,0.04461786,0.010000002,200.0,100,100,636917.6779819662,0.3,-256.9168834941124,82.63675257542381,2.122376e-05,85.24514331994996,-256.9168834941124,1,1.1730874,-256.9168834941124,77.76887,0.19867201
0.0011016158,1.4965626,1.0026326,95.73742117375421,-7.744499,0.014926331,-18.16407,0.110451594,0.01,200.0,100,100,95.73742117375421,0.3,-9.417818513914282,85.06821781699077,1.7730004e-05,83.48303226851085,-9.417818513914282,1,1.1978482,-9.417818513914282,7.9471064,0.1782348
0.007948292,3.8796625,0.9515835,72.4139050630722,-8.608016,0.040770594,-12.783806,0.75634634,0.01,200.0,100,100,72.4139050630722,0.3,-9.078359829191664,86.81200758562275,1.5344898e-05,87.7107970146195,-9.078359829191664,1,1.1401105,-9.078359829191664,8.689281,0.13894975
0.004870571,1.1488068,1.0053986,72.67886562722107,-9.291521,0.011426381,-14.367926,0.48968658,0.01,200.0,100,100,72.67886562722107,0.3,-9.477986498288624,97.51399010462501,2.5751292e-06,97.02068167240058,-9.477986498288624,1,1.0307081,-9.477986498288624,8.21229,0.02603009
0.0005064087,1.3839974,0.96165055,69.66722629022308,-7.0266275,0.014391895,-14.218012,0.04869882,0.010000002,200.0,100,100,69.66722629022308,0.3,-8.1072066979045,89.13463769504742,1.2312953e-05,87.90575526141421,-8.1072066979045,1,1.137582,-8.1072066979045,7.0895886,0.1138667
0.00050262467,1.367988,0.9948657,53.69864037547601,-7.612814,0.013750479,-11.8273325,0.050004408,0.009999999,200.0,100,100,53.69864037547601,0.3,-8.117907402269857,89.44526228217848,1.1919435e-05,90.70113665544878,-8.117907402269857,1,1.102522,-8.117907402269857,7.0719066,0.117973514
0.009754384,1.1127813,1.0020394,57.390085758842474,-7.856569,0.011105165,-11.47448,0.9774277,0.01,200.0,100,100,57.390085758842474,0.3,-7.86062006896051,99.91219004300739,8.8771735e-08,99.89075686889704,-7.86062006896051,1,1.0010936,-7.86062006896051,7.5092354,0.0008913423
0.0002625742,1.5088242,0.9553448,56.48774191111569,-6.2925487,0.015793504,-10.654575,0.025084889,0.01,200.0,100,100,56.48774191111569,0.3,-7.232400311568058,83.25837034210122,2.0311158e-05,84.27688878869091,-7.232400311568058,1,1.1865649,-7.232400311568058,7.635692,0.1853766
0.00023131413,1.8043551,0.9373979,51.626760243161044,-6.882943,0.01924855,-11.266472,0.021683339,0.01,200.0,100,100,51.626760243161044,0.3,-7.857120046181426,70.77241748569644,4.171513e-05,76.04124675762613,-7.857120046181426,1,1.3150758,-7.857120046181426,7.488112,0.36655712
