EpsThisIter,VarJ,IterType,MaxVanillaIw,AvgVanillaIw,Bound,VarNormIw,ESSRenyi,AvgDiscRet,Delta,BatchSize,J,VarRet,eRenyi2,VanillaAvgRet,MinVanillaIw,AvgEpLen,ESSClassic,AvgRet,VarVanillaIw,AvgNormIw,VarDiscRet,MinNormIw,MaxNormIw
100,280.82843,1,2.3403025,0.99351484,-247.55173,1.5166306e-05,88.35468908418386,108.8423725164873,0.05,100,151.17563,27085.56038992746,1.1318018,108.8423725164873,0.44187057,11.89,86.9454431777855,108.8423725164873,0.14970231,0.010000002,27085.56038992746,0.0044475487,0.023555787
100,475.32904,1,2.1373343,0.9959746,-763.6118,8.357019e-06,94.58666997417886,164.726095542175,0.05,100,213.42418,65802.45349598292,1.0572314,164.726095542175,0.5961007,17.48,92.3587313889357,164.726095542175,0.08289874,0.010000002,65802.45349598292,0.0059850994,0.021459728
100,356.09033,1,1.6372712,1.0029892,-807.8807,2.2936367e-06,97.5522872248444,199.51780697681272,0.05,100,224.78133,101396.4325527273,1.0250913,199.51780697681272,0.7809117,20.96,97.77969543034123,199.51780697681272,0.02307369,0.010000002,101396.4325527273,0.007785844,0.016323917
100,240.60617,1,1.2994769,1.0038589,-520.6754,2.1806238e-06,97.54957596686624,173.1128385134082,0.05,100,189.785,46447.717226403256,1.0251198,173.1128385134082,0.4867465,18.32,97.88681155622088,173.1128385134082,0.021974854,0.01,46447.717226403256,0.004848754,0.012944817
100,461.75958,1,1.7375991,0.99479884,-747.0667,4.852541e-06,95.62642280732354,173.81111856064183,0.05,100,211.05241,86713.5428857655,1.0457361,173.81111856064183,0.5292529,18.39,95.41619696702764,173.81111856064183,0.048021942,0.009999998,86713.5428857655,0.0053202,0.01746684
100,816.3211,1,1.8599194,0.9936459,-1431.2788,5.9217296e-06,95.15428896040697,314.3703640538057,0.05,100,395.33246,256371.5841857774,1.0509248,314.3703640538057,0.48858884,32.45,94.4621392179148,314.3703640538057,0.058467146,0.010000002,256371.5841857774,0.004917132,0.01871813
100,456.38245,1,1.7107005,0.9858992,-524.8572,8.744411e-06,92.41131998482396,292.18451729159966,0.05,100,354.76132,122114.68695535735,1.0821185,292.18451729159966,0.22831243,30.23,92.03275770811976,292.18451729159966,0.084995426,0.01,122114.68695535735,0.0023157788,0.017351678
100,882.75415,1,2.0732944,0.9577257,-1332.4326,9.149229e-06,92.34751324894812,359.0782363244523,0.05,100,472.8216,317379.7691870275,1.0828662,359.0782363244523,0.33976102,36.92,91.69455033554286,359.0782363244523,0.08392025,0.01,317379.7691870275,0.0035475818,0.021648103
100,1422.0364,1,1.8566427,0.9451694,-1656.867,1.4010774e-05,89.98976156372589,442.2391950015127,0.05,100,640.58246,681713.1340658276,1.1112375,442.2391950015127,0.22128978,45.22,87.81892800546521,442.2391950015127,0.12516458,0.01,681713.1340658276,0.0023412711,0.019643493
100,1047.7496,1,1.5970334,0.9777041,-1568.8345,7.993974e-06,93.23836336073485,556.4385036665963,0.05,100,688.23193,634094.0659233122,1.0725199,556.4385036665963,0.33083528,56.65,92.66635442615815,556.4385036665963,0.07641482,0.01,634094.0659233122,0.0033837976,0.016334526
