J,VarDiscRet,VarNormIw,ESSRenyi,AvgDiscRet,MaxVanillaIw,AvgNormIw,VarJ,MinNormIw,VarRet,BatchSize,AvgRet,VarVanillaIw,MinVanillaIw,VanillaAvgRet,MaxNormIw,EpsThisIter,Bound,IterType,eRenyi2,Delta,ESSClassic,AvgEpLen,AvgVanillaIw
-504.714,1581.81555061,0.000178939,55.2958677003,-531.505057219,87.865,0.00333333,187.395,4.38048e-08,1581.81555061,300,-531.505057219,30.7053,1.81458e-05,-531.505057219,0.21211,100,-533.455,1,5.42536,0.9,17.5944463805,500.0,1.38081
-530.534,1457.26832916,3.50449e-18,300.0,-530.534492653,1.0,0.01,37.9828,0.01,1457.26832916,300,-530.534492653,,1.0,-530.534492653,0.01,100,-551.168,2,1.0,0.9,100.0,500.0,1.0
-528.802,1199.63023896,2.1793e-19,300.0,-527.068645328,1.0,0.005,36.3066,0.005,1199.63023896,300,-527.068645328,,1.0,-527.068645328,0.005,100,-543.392,2,1.0,0.9,200.000000102,500.0,1.0
-468.035,1534.23617811,0.00103634,25.5191022859,-525.743965153,243.369,0.00333333,428.343,1.62442e-10,1534.23617811,300,-525.743965153,199.093,7.11993e-08,-525.743965153,0.55525,100,-509.143,1,11.7559,0.9,3.1928536972,500.0,1.46102
-512.411,1464.52027598,3.50449e-18,300.0,-512.411379614,1.0,0.01,38.0772,0.01,1464.52027598,300,-512.411379614,,1.0,-512.411379614,0.01,100,-532.329,2,1.0,0.9,100.0,500.0,1.0
-515.473,1853.67687554,2.1793e-19,300.0,-518.535386451,1.0,0.005,40.6434,0.005,1853.67687554,300,-518.535386451,,1.0,-518.535386451,0.005,100,-530.485,2,1.0,0.9,200.000000102,500.0,1.0
-510.961,1515.45504411,0.00107686,nan,-517.265115305,1.40451e+07,0.00333333,179.832,1.52236e-10,1534.23617811,400,-525.743965153,7.84504e+11,0.00410899,-525.743965153,0.520363,100,-inf,,nan,0.9,3.07394629959,500.0,89969.8
-522.956,1825.10862098,5.13866e-06,218.173429323,-539.729117106,5.50058,0.0025,50.9995,3.18492e-05,1825.10862098,400,-539.729117106,0.81762,0.0127043,-539.729117106,0.0137898,100,-537.96,1,1.8334,0.9,219.764682976,500.0,0.99722
-528.654,1478.19764255,3.50449e-18,400.0,-528.653656275,1.0,0.01,38.2546,0.01,1478.19764255,400,-528.653656275,,1.0,-528.653656275,0.01,100,-549.048,2,1.0,0.9,100.0,500.0,1.0
-525.802,1294.37191276,2.1793e-19,400.0,-522.951444888,1.0,0.005,37.1558,0.005,1294.37191276,400,-522.951444888,,1.0,-522.951444888,0.005,100,-540.635,2,1.0,0.9,200.000000102,500.0,1.0
-523.226,1643.89711708,5.43914e-20,400.0,-518.071971282,1.0,0.00333333,38.4205,0.00333333,1643.89711708,400,-518.071971282,,1.0,-518.071971282,0.00333333,100,-535.529,2,1.0,0.9,299.999969474,500.0,1.0
-510.634,1661.90206547,8.7615e-06,170.526053448,-517.746774456,8.64248,0.0025,60.2583,1.51896e-06,1661.90206547,400,-517.746774456,1.4768,0.000623617,-517.746774456,0.0210507,100,-526.953,1,2.34568,0.9,166.782471846,500.0,1.02639
-519.745,1785.40831286,3.50449e-18,400.0,-519.74461298,1.0,0.01,42.0423,0.01,1785.40831286,400,-519.74461298,,1.0,-519.74461298,0.01,100,-540.679,2,1.0,0.9,100.0,500.0,1.0
-518.483,1726.89036393,2.1793e-19,400.0,-517.221610977,1.0,0.005,41.7155,0.005,1726.89036393,400,-517.221610977,,1.0,-517.221610977,0.005,100,-533.286,2,1.0,0.9,200.000000102,500.0,1.0
-516.562,1611.89193538,5.43914e-20,400.0,-512.718651119,1.0,0.00333333,41.2241,0.00333333,1611.89193538,400,-512.718651119,,1.0,-512.718651119,0.00333333,100,-528.652,2,1.0,0.9,299.999969474,500.0,1.0
-503.144,1617.31571719,9.56536e-06,158.6793268,-512.707766419,6.40725,0.0025,62.0072,4.96252e-07,1617.31571719,400,-512.707766419,1.68237,0.00020812,-512.707766419,0.0152778,100,-519.768,1,2.52081,0.9,158.313610667,500.0,1.04846
-508.705,1525.57755772,3.50449e-18,400.0,-508.704528788,1.0,0.01,38.8629,0.01,1525.57755772,400,-508.704528788,,1.0,-508.704528788,0.01,100,-528.687,2,1.0,0.9,100.0,500.0,1.0
-507.861,1693.42300322,2.1793e-19,400.0,-507.017774992,1.0,0.005,39.9264,0.005,1693.42300322,400,-507.017774992,,1.0,-507.017774992,0.005,100,-522.18,2,1.0,0.9,200.000000102,500.0,1.0
-506.448,1085.82091066,5.43914e-20,400.0,-503.622156322,1.0,0.00333333,37.7499,0.00333333,1085.82091066,400,-503.622156322,,1.0,-503.622156322,0.00333333,100,-518.139,2,1.0,0.9,299.999969474,500.0,1.0
-493.812,1411.44955035,2.02149e-05,137.234347555,-509.952809025,29.6322,0.0025,63.7589,2.58893e-08,1411.44955035,400,-509.952809025,4.65627,1.24252e-05,-509.952809025,0.061742,100,-511.098,1,2.91472,0.9,94.6455785528,500.0,1.19984
-506.788,1566.99482981,3.50449e-18,400.0,-506.7884301,1.0,0.01,39.3869,0.01,1566.99482981,400,-506.7884301,,1.0,-506.7884301,0.01,100,-527.244,2,1.0,0.9,100.0,500.0,1.0
-498.458,1299.58263799,2.1793e-19,400.0,-490.127801156,1.0,0.005,38.5791,0.005,1299.58263799,400,-490.127801156,,1.0,-490.127801156,0.005,100,-512.923,2,1.0,0.9,200.000000102,500.0,1.0
-500.61,1343.41360776,5.43914e-20,400.0,-504.914022358,1.0,0.00333333,38.0108,0.00333333,1343.41360776,400,-504.914022358,,1.0,-504.914022358,0.00333333,100,-512.42,2,1.0,0.9,299.999969474,500.0,1.0
-492.019,1252.98174955,8.21984e-06,189.612270108,-503.507557578,7.05973,0.0025,51.8162,3.43086e-07,1252.98174955,400,-503.507557578,1.33284,0.000138153,-503.507557578,0.017532,100,-506.875,1,2.10957,0.9,173.018788102,500.0,1.00669
-494.949,1529.43921656,3.50449e-18,400.0,-494.949200722,1.0,0.01,38.912,0.01,1529.43921656,400,-494.949200722,,1.0,-494.949200722,0.01,100,-514.785,2,1.0,0.9,100.0,500.0,1.0
-498.389,1944.03639948,2.1793e-19,400.0,-501.82802984,1.0,0.005,41.6077,0.005,1944.03639948,400,-501.82802984,,1.0,-501.82802984,0.005,100,-512.724,2,1.0,0.9,200.000000102,500.0,1.0
-498.079,1494.38297993,5.43914e-20,400.0,-497.460553906,1.0,0.00333333,40.5891,0.00333333,1494.38297993,400,-497.460553906,,1.0,-497.460553906,0.00333333,100,-509.784,2,1.0,0.9,299.999969474,500.0,1.0
-487.675,1260.04883996,1.08211e-05,148.138530921,-503.03559146,6.75248,0.0025,68.4115,9.26128e-09,1260.04883996,400,-503.03559146,1.74747,3.72169e-06,-503.03559146,0.0168033,100,-504.332,1,2.70018,0.9,146.679098983,500.0,1.00464
-493.82,1321.19242212,3.50449e-18,400.0,-493.819755658,1.0,0.01,36.166,0.01,1321.19242212,400,-493.819755658,,1.0,-493.819755658,0.01,100,-514.941,2,1.0,0.9,100.0,500.0,1.0
-493.401,1865.34871974,2.1793e-19,400.0,-492.983126572,1.0,0.005,39.7179,0.005,1865.34871974,400,-492.983126572,,1.0,-492.983126572,0.005,100,-508.336,2,1.0,0.9,200.000000102,500.0,1.0
-495.266,1427.21419667,5.43914e-20,400.0,-498.995519344,1.0,0.00333333,39.1102,0.00333333,1427.21419667,400,-498.995519344,,1.0,-498.995519344,0.00333333,100,-507.461,2,1.0,0.9,299.999969474,500.0,1.0
-479.963,1639.38179096,1.38994e-05,133.969306036,-488.978359031,13.4906,0.0025,69.3831,2.09419e-07,1639.38179096,400,-488.978359031,2.10174,8.14344e-05,-488.978359031,0.0346929,100,-498.211,1,2.98576,0.9,124.2875995,500.0,0.972145
-489.119,1311.88237631,3.50449e-18,400.0,-489.119373296,1.0,0.01,36.0384,0.01,1311.88237631,400,-489.119373296,,1.0,-489.119373296,0.01,100,-508.79,2,1.0,0.9,100.0,500.0,1.0
-490.222,1392.99969267,2.1793e-19,400.0,-491.325333322,1.0,0.005,36.6078,0.005,1392.99969267,400,-491.325333322,,1.0,-491.325333322,0.005,100,-504.131,2,1.0,0.9,200.000000102,500.0,1.0
-488.686,1324.86533851,5.43914e-20,400.0,-485.614606015,1.0,0.00333333,36.5424,0.00333333,1324.86533851,400,-485.614606015,,1.0,-485.614606015,0.00333333,100,-500.043,2,1.0,0.9,299.999969474,500.0,1.0
-482.182,1268.78751346,5.59423e-06,216.375717919,-486.138748593,7.96048,0.0025,51.5584,2.01557e-06,1268.78751346,400,-486.138748593,0.849436,0.000785406,-486.138748593,0.0204289,100,-495.555,1,1.84864,0.9,211.322790395,500.0,0.974171
-486.597,1493.47929561,3.50449e-18,400.0,-486.596967879,1.0,0.01,38.4518,0.01,1493.47929561,400,-486.596967879,,1.0,-486.596967879,0.01,100,-506.031,2,1.0,0.9,100.0,500.0,1.0
-484.501,1557.11064119,2.1793e-19,400.0,-482.40559065,1.0,0.005,38.9157,0.005,1557.11064119,400,-482.40559065,,1.0,-482.40559065,0.005,100,-498.243,2,1.0,0.9,200.000000102,500.0,1.0
-485.188,1276.72063822,5.43914e-20,400.0,-486.5603048,1.0,0.00333333,37.8402,0.00333333,1276.72063822,400,-486.5603048,,1.0,-486.5603048,0.00333333,100,-496.408,2,1.0,0.9,299.999969474,500.0,1.0
-478.079,1351.47599833,9.71702e-06,183.811193921,-487.564260005,13.9145,0.0025,63.4487,1.68618e-06,1351.47599833,400,-487.564260005,1.83996,0.000733737,-487.564260005,0.0319765,100,-492.589,1,2.17615,0.9,156.811301388,500.0,1.08787
-482.467,1897.31072054,3.50449e-18,400.0,-482.467288509,1.0,0.01,43.3398,0.01,1897.31072054,400,-482.467288509,,1.0,-482.467288509,0.01,100,-503.415,2,1.0,0.9,100.0,500.0,1.0
-484.573,1521.99988606,2.1793e-19,400.0,-486.679527765,1.0,0.005,41.1946,0.005,1521.99988606,400,-486.679527765,,1.0,-486.679527765,0.005,100,-499.386,2,1.0,0.9,200.000000102,500.0,1.0
-484.81,1499.09886715,5.43914e-20,400.0,-485.283449392,1.0,0.00333333,40.3255,0.00333333,1499.09886715,400,-485.283449392,,1.0,-485.283449392,0.00333333,100,-496.904,2,1.0,0.9,299.999969474,500.0,1.0
-480.189,1550.83121095,5.89829e-06,225.15174431,-492.748992933,9.51186,0.0025,52.7021,2.94601e-05,1550.83121095,400,-492.748992933,1.0494,0.0124263,-492.748992933,0.0225506,100,-494.149,1,1.77658,0.9,206.040397079,500.0,1.0545
-484.039,1499.53756097,3.50449e-18,400.0,-484.038894822,1.0,0.01,38.5298,0.01,1499.53756097,400,-484.038894822,,1.0,-484.038894822,0.01,100,-504.072,2,1.0,0.9,100.0,500.0,1.0
-483.908,2793.77936862,2.1793e-19,400.0,-483.777086011,1.0,0.005,46.1,0.005,2793.77936862,400,-483.777086011,,1.0,-483.777086011,0.005,100,-504.244,2,1.0,0.9,200.000000102,500.0,1.0
-482.039,1282.3959288,5.43914e-20,400.0,-478.299732271,1.0,0.00333333,42.9766,0.00333333,1282.3959288,400,-478.299732271,,1.0,-478.299732271,0.00333333,100,-498.643,2,1.0,0.9,299.999969474,500.0,1.0
-478.661,1436.09501975,2.59109e-06,293.680566411,-483.326885633,7.58692,0.0025,50.104,0.000277287,1436.09501975,400,-483.326885633,0.408617,0.110115,-483.326885633,0.019105,100,-495.443,1,1.36202,0.9,282.978138177,500.0,0.99279
-481.424,1473.33666559,3.50449e-18,400.0,-481.424198701,1.0,0.01,38.1917,0.01,1473.33666559,400,-481.424198701,,1.0,-481.424198701,0.01,100,-500.933,2,1.0,0.9,100.0,500.0,1.0
-481.407,1454.67159719,2.1793e-19,400.0,-481.390700812,1.0,0.005,38.0705,0.005,1454.67159719,400,-481.390700812,,1.0,-481.390700812,0.005,100,-495.636,2,1.0,0.9,200.000000102,500.0,1.0
-481.948,1736.69361941,5.43914e-20,400.0,-483.029642672,1.0,0.00333333,39.242,0.00333333,1736.69361941,400,-483.029642672,,1.0,-483.029642672,0.00333333,100,-493.566,2,1.0,0.9,299.999969474,500.0,1.0
-468.634,1647.75180523,1.87754e-05,128.618728384,-479.975394039,24.3569,0.0025,74.6576,5.79626e-07,1647.75180523,400,-479.975394039,3.38968,0.000246282,-479.975394039,0.057324,100,-486.377,1,3.10997,0.9,100.086365853,500.0,1.06225
-482.219,1495.38620684,3.50449e-18,400.0,-482.218746558,1.0,0.01,38.4764,0.01,1495.38620684,400,-482.218746558,,1.0,-482.218746558,0.01,100,-501.507,2,1.0,0.9,100.0,500.0,1.0
-484.423,1559.90323132,2.1793e-19,400.0,-486.628176514,1.0,0.005,38.9516,0.005,1559.90323132,400,-486.628176514,,1.0,-486.628176514,0.005,100,-498.546,2,1.0,0.9,200.000000102,500.0,1.0
-483.26,1104.74188671,5.43914e-20,400.0,-480.932126401,1.0,0.00333333,37.1317,0.00333333,1104.74188671,400,-480.932126401,,1.0,-480.932126401,0.00333333,100,-494.791,2,1.0,0.9,299.999969474,500.0,1.0
-467.44,1263.97133591,2.19e-05,96.126501925,-481.677089582,14.4407,0.0025,71.1209,4.03936e-14,1263.97133591,400,-481.677089582,4.14817,1.758e-11,-481.677089582,0.0331805,100,-487.811,1,4.16118,0.9,88.9829732329,500.0,1.08804
-492.292,1847.26672951,3.50449e-18,400.0,-492.29193689,1.0,0.01,42.7644,0.01,1847.26672951,400,-492.29193689,,1.0,-492.29193689,0.01,100,-514.555,2,1.0,0.9,100.0,500.0,1.0
-487.423,1825.9538016,2.1793e-19,400.0,-482.554061891,1.0,0.005,42.9179,0.005,1825.9538016,400,-482.554061891,,1.0,-482.554061891,0.005,100,-503.165,2,1.0,0.9,200.000000102,500.0,1.0
-486.103,1517.6828729,5.43914e-20,400.0,-483.464048816,1.0,0.00333333,41.6207,0.00333333,1517.6828729,400,-483.464048816,,1.0,-483.464048816,0.00333333,100,-498.957,2,1.0,0.9,299.999969474,500.0,1.0
-475.826,1550.54785661,6.84917e-06,194.865091606,-477.989121956,9.58154,0.0025,66.234,2.7383e-06,1550.54785661,400,-477.989121956,1.07798,0.00108634,-477.989121956,0.0241518,100,-491.774,1,2.0527,0.9,191.101575583,500.0,0.991806
-486.536,1641.55326338,3.50449e-18,400.0,-486.535639353,1.0,0.01,40.313,0.01,1641.55326338,400,-486.535639353,,1.0,-486.535639353,0.01,100,-506.33,2,1.0,0.9,100.0,500.0,1.0
-485.552,1769.43554519,2.1793e-19,400.0,-484.568305055,1.0,0.005,41.1024,0.005,1769.43554519,400,-484.568305055,,1.0,-484.568305055,0.005,100,-499.825,2,1.0,0.9,200.000000102,500.0,1.0
-486.571,1643.79226417,5.43914e-20,400.0,-488.60917967,1.0,0.00333333,40.8754,0.00333333,1643.79226417,400,-488.60917967,,1.0,-488.60917967,0.00333333,100,-498.225,2,1.0,0.9,299.999969474,500.0,1.0
-478.667,1529.48253001,3.46962e-06,249.982190656,-474.627330024,6.35235,0.0025,58.2958,0.000175163,1529.48253001,400,-474.627330024,0.585985,0.0719857,-474.627330024,0.0154572,100,-491.442,1,1.60011,0.9,257.441560725,500.0,1.02741
-486.799,4207.75374261,3.50449e-18,400.0,-486.798911554,1.0,0.01,64.5421,0.01,4207.75374261,400,-486.798911554,,1.0,-486.798911554,0.01,100,-519.191,2,1.0,0.9,100.0,500.0,1.0
-483.354,1424.35501523,2.1793e-19,400.0,-479.908538636,1.0,0.005,52.9128,0.005,1424.35501523,400,-479.908538636,,1.0,-479.908538636,0.005,100,-506.259,2,1.0,0.9,200.000000102,500.0,1.0
-484.939,1520.72164812,5.43914e-20,400.0,-488.108080384,1.0,0.00333333,48.7172,0.00333333,1520.72164812,400,-488.108080384,,1.0,-488.108080384,0.00333333,100,-503.64,2,1.0,0.9,299.999969474,500.0,1.0
-466.629,1566.03239374,1.65307e-05,149.770789457,-477.493316679,17.5965,0.0025,76.7062,1.43926e-07,1566.03239374,400,-477.493316679,2.81985,5.94437e-05,-477.493316679,0.0426048,100,-493.097,1,2.67075,0.9,109.941396736,500.0,1.03254
-481.085,1533.21437956,3.50449e-18,400.0,-481.084720565,1.0,0.01,38.96,0.01,1533.21437956,400,-481.084720565,,1.0,-481.084720565,0.01,100,-500.779,2,1.0,0.9,100.0,500.0,1.0
-483.131,2008.77029358,2.1793e-19,400.0,-485.176459573,1.0,0.005,41.9222,0.005,2008.77029358,400,-485.176459573,,1.0,-485.176459573,0.005,100,-497.268,2,1.0,0.9,200.000000102,500.0,1.0
-481.316,1545.70335784,5.43914e-20,400.0,-477.687700294,1.0,0.00333333,41.0891,0.00333333,1545.70335784,400,-477.687700294,,1.0,-477.687700294,0.00333333,100,-492.859,2,1.0,0.9,299.999969474,500.0,1.0
-476.459,1657.12598644,3.62522e-06,258.822877846,-482.860690374,8.86119,0.0025,46.9474,1.59903e-05,1657.12598644,400,-482.860690374,0.664626,0.00684664,-482.860690374,0.0206953,100,-488.887,1,1.54546,0.9,253.391470944,500.0,1.07044
-482.443,1531.06325677,3.50449e-18,400.0,-482.443215507,1.0,0.01,38.9327,0.01,1531.06325677,400,-482.443215507,,1.0,-482.443215507,0.01,100,-501.699,2,1.0,0.9,100.0,500.0,1.0
-482.353,1446.8894893,2.1793e-19,400.0,-482.26370763,1.0,0.005,38.3939,0.005,1446.8894893,400,-482.26370763,,1.0,-482.26370763,0.005,100,-496.423,2,1.0,0.9,200.000000102,500.0,1.0
-479.72,1225.40639193,5.43914e-20,400.0,-474.454029396,1.0,0.00333333,37.4297,0.00333333,1225.40639193,400,-474.454029396,,1.0,-474.454029396,0.00333333,100,-491.208,2,1.0,0.9,299.999969474,500.0,1.0
-449.515,1134.59249999,0.000297146,73.8548160758,-483.514045774,203.723,0.0025,386.098,6.72355e-06,1134.59249999,400,-483.514045774,104.773,0.00399244,-483.514045774,0.343083,100,-472.667,1,5.41603,0.9,8.26029091538,500.0,1.4845
-482.154,1343.04946096,3.50449e-18,400.0,-482.154348619,1.0,0.01,36.4639,0.01,1343.04946096,400,-482.154348619,,1.0,-482.154348619,0.01,100,-500.661,2,1.0,0.9,100.0,500.0,1.0
-480.434,1483.39226607,2.1793e-19,400.0,-478.713252608,1.0,0.005,37.4439,0.005,1483.39226607,400,-478.713252608,,1.0,-478.713252608,0.005,100,-493.52,2,1.0,0.9,200.000000102,500.0,1.0
-480.519,1577.26510012,5.43914e-20,400.0,-480.688800909,1.0,0.00333333,38.1472,0.00333333,1577.26510012,400,-480.688800909,,1.0,-480.688800909,0.00333333,100,-491.965,2,1.0,0.9,299.999969474,500.0,1.0
-466.887,1364.19394956,7.87825e-05,96.6515365974,-477.787193664,250.473,0.0025,107.135,2.58548e-06,1134.59249999,500,-483.514045774,283.967,0.00490863,-483.514045774,0.13193,100,-489.433,,5.17322,0.9,29.4687854905,500.0,4.74634
-474.251,1563.02443485,4.70702e-06,244.256913559,-480.77054324,7.46453,0.002,53.551,1.49362e-07,1563.02443485,500,-480.77054324,1.19358,7.52127e-05,-480.77054324,0.0148235,100,-486.983,1,2.04702,0.9,229.948370575,500.0,1.00712
-472.594,1654.57296647,3.50449e-18,500.0,-472.593795781,1.0,0.01,40.4725,0.01,1654.57296647,500,-472.593795781,,1.0,-472.593795781,0.01,100,-492.475,2,1.0,0.9,100.0,500.0,1.0
-476.085,1656.49328388,2.1793e-19,500.0,-479.576978731,1.0,0.005,40.6346,0.005,1656.49328388,500,-479.576978731,,1.0,-479.576978731,0.005,100,-490.143,2,1.0,0.9,200.000000102,500.0,1.0
-479.323,3437.7529031,5.43914e-20,500.0,-485.797930731,1.0,0.00333333,47.4995,0.00333333,3437.7529031,500,-485.797930731,,1.0,-485.797930731,0.00333333,100,-496.982,2,1.0,0.9,299.999969474,500.0,1.0
-479.749,1092.06085448,5.4346e-20,500.0,-481.02565099,1.0,0.0025,44.3055,0.0025,1092.06085448,500,-481.02565099,,1.0,-481.02565099,0.0025,100,-495.041,2,1.0,0.9,400.0,500.0,1.0
-473.296,1770.80369,0.000101085,499.999105932,-484.901879453,78.6364,0.002,232.044,4.10283e-07,1770.80369,500,-484.901879453,25.1853,0.000204792,-484.901879453,0.157541,100,-486.975,1,1.0,0.9,19.0688032696,500.0,0.998295
-480.692,1544.8725155,3.50449e-18,500.0,-480.691541539,1.0,0.01,39.1078,0.01,1544.8725155,500,-480.691541539,,1.0,-480.691541539,0.01,100,-500.004,2,1.0,0.9,100.0,500.0,1.0
-482.585,1687.0877691,2.1793e-19,500.0,-484.478954386,1.0,0.005,40.0426,0.005,1687.0877691,500,-484.478954386,,1.0,-484.478954386,0.005,100,-496.35,2,1.0,0.9,200.000000102,500.0,1.0
-481.069,1134.72557601,5.43914e-20,500.0,-478.036676562,1.0,0.00333333,38.0525,0.00333333,1134.72557601,500,-478.036676562,,1.0,-478.036676562,0.00333333,100,-492.308,2,1.0,0.9,299.999969474,500.0,1.0
-481.459,1471.67178941,5.4346e-20,500.0,-482.628857832,1.0,0.0025,38.0879,0.0025,1471.67178941,500,-482.628857832,,1.0,-482.628857832,0.0025,100,-491.203,2,1.0,0.9,400.0,500.0,1.0
-461.428,1652.96627477,0.000154103,104.87638336,-476.851841971,199.881,0.002,220.835,1.21007e-06,1652.96627477,500,-476.851841971,83.147,0.000888847,-476.851841971,0.272115,100,-480.831,1,4.76752,0.9,12.6746940334,500.0,1.46909
