MinVanillaIw,VanillaAvgRet,ESSClassic,J,MaxVanillaIw,AvgVanillaIw,AvgDiscRet,eRenyi2,VarJ,VarNormIw,VarVanillaIw,Bound,AvgNormIw,AvgEpLen,VarRet,MaxNormIw,VarDiscRet,ESSRenyi,AvgRet,MinNormIw,BatchSize
1.5635136e-34,97.9433770264687,1.5209152235931251,1186.927,136.3983,1.690265,97.9433770264687,45.249096,2031.7863,0.006540393,186.85875,383.27094,0.010000002,10.8,22659.929080025202,0.806964,22659.929080025202,2.209988906385796,97.9433770264687,9.250109e-37,100
,403.9300785838563,1.6944530105850215,2342.5708,99.20108,1.305101,403.9300785838563,17.339884,2375.529,0.005860212,99.816315,1421.0588,0.01,41.41,188178.2355667377,0.7601027,188178.2355667377,5.767051332551542,403.9300785838563,,100
5.4404754e-08,933.0086416394475,8.65594687004084,1896.8793,42.65858,1.5196145,933.0086416394475,8.178826,2521.5862,0.0010659345,24.614857,1133.9163,0.01,94.33,516949.03260546585,0.28071976,516949.03260546585,12.226693163494312,933.0086416394475,3.5801684e-10,100
,1714.9600522056458,1.8909801255864283,4208.77,91.28888,1.2695782,1714.9600522056458,14.769828,3517.1162,0.0052406704,84.47061,2591.5325,0.01,172.51,1046580.3551984414,0.7190489,1046580.3551984414,6.770559620932962,1714.9600522056458,,100
3.1857985e-11,2546.1294873059387,11.112884822658092,4328.1436,32.553772,1.4728389,2546.1294873059387,6.5016694,2318.4617,0.00080793566,17.526184,3255.1453,0.010000003,255.49,2751104.281660602,0.22102737,2751104.281660602,15.38066514025057,2546.1294873059387,2.1630325e-13,100
7.857627e-05,3562.422339785774,19.879583060213502,4500.908,10.322678,0.8430687,3562.422339785774,3.8352902,1321.4524,0.0004070997,2.893521,3676.7979,0.01,357.05,1838514.6803691287,0.12244172,1838514.6803691287,26.07364630920842,3562.422339785774,9.3202686e-07,100
0.0007781645,4108.980691709177,41.467925554118075,4568.8677,7.043829,0.9832341,4108.980691709177,2.1733203,861.75507,0.000142576,1.3783523,3948.501,0.01,411.53,1513008.9732303342,0.07163939,1513008.9732303342,46.01254601195362,4108.980691709177,7.914336e-06,100
0.008379323,4478.228331541131,47.64734967394216,4724.6733,3.528288,0.8105644,4478.228331541131,1.8330306,612.7822,0.000110985035,0.72918814,4154.9404,0.010000002,448.32,793026.1781233818,0.043528777,793026.1781233818,54.554463526500534,4478.228331541131,0.000103376406,100
0.0002908655,4580.030790520914,56.556144163303316,4783.962,2.8364983,0.94309556,4580.030790520914,1.5629864,453.5209,7.7591365e-05,0.6901202,4257.867,0.01,458.48,603211.4075628043,0.030076467,603211.4075628043,63.98008432433752,4580.030790520914,3.084157e-06,100
0.0009662434,4642.0320401211775,64.66746562277628,4807.681,2.6108885,0.95168763,4642.0320401211775,1.4498875,395.79572,5.5189146e-05,0.4998533,4300.9775,0.01,464.66,453091.96416626644,0.0274343,453091.96416626644,68.97086775802879,4642.0320401211775,1.0152947e-05,100
0.35385436,4748.425094984086,90.93961220662862,4807.639,1.7944725,1.0349365,4748.425094984086,1.1291345,372.78827,1.0063706e-05,0.107791714,4360.483,0.01,475.28,299683.81641991367,0.01733896,299683.81641991367,88.56340571505069,4748.425094984086,0.0034190922,100
0.2225405,4842.628264322612,92.19041177773686,4879.787,1.8875179,1.0246613,4842.628264322612,1.0762073,250.64595,8.556727e-06,0.08983971,4443.237,0.01,484.66,109104.68225866724,0.018420896,109104.68225866724,92.9189031180185,4842.628264322612,0.0021718445,100
0.35507393,4821.4422417363685,92.85340223975119,4852.314,1.8771354,0.97127813,4821.4422417363685,1.0707881,348.96405,7.774384e-06,0.07334209,4416.8643,0.01,482.49,163395.03308858362,0.019326445,163395.03308858362,93.38915495174909,4821.4422417363685,0.003655739,100
0.2274298,4867.466627161816,91.92614415279964,4908.293,2.0878947,1.0177376,4867.466627161816,1.0877184,205.53554,8.871686e-06,0.09189202,4469.414,0.010000002,487.12,85886.11585650989,0.020515058,85886.11585650989,91.93556253241978,4867.466627161816,0.0022346603,100
0.18439627,4841.773165023909,88.54081821994649,4903.2437,1.7029805,1.029219,4841.773165023909,1.1520491,301.8039,1.3072971e-05,0.13848092,4451.573,0.01,484.46,333128.4522891407,0.016546337,333128.4522891407,86.80185859234726,4841.773165023909,0.0017916134,100
0.56378865,4933.230415757906,96.84060459154901,4944.6934,1.5605316,1.0146717,4933.230415757906,1.0257912,176.72006,3.2954129e-06,0.033928208,4518.4907,0.01,493.58,45103.9513873352,0.01537967,45103.9513873352,97.48572916085607,4933.230415757906,0.005556365,100
0.18680099,4871.278562793897,90.03505237600965,4920.076,2.1251335,1.0235848,4871.278562793897,1.1132141,319.37332,1.1179652e-05,0.11713213,4476.0835,0.010000002,487.39,314862.7153094271,0.020761672,314862.7153094271,89.8299768577143,4871.278562793897,0.0018249681,100
0.1362114,4899.021642666282,91.77550587939452,4938.245,1.4287652,0.99110186,4899.021642666282,1.060638,212.59889,9.052053e-06,0.08891677,4504.864,0.01,490.18,154249.9669599337,0.014415927,154249.9669599337,94.28287938915237,4899.021642666282,0.0013743431,100
0.40062428,4932.607430301995,94.07412349703024,4954.2944,1.3872151,0.9716857,4932.607430301995,1.0470145,174.19966,6.3627813e-06,0.060075674,4523.7056,0.010000002,493.51,69648.11943721925,0.014276377,69648.11943721925,95.50966333348286,4932.607430301995,0.0041229823,100
