MinVanillaIw,MaxVanillaIw,J,ESSRenyi,BatchSize,AvgVanillaIw,AvgEpLen,Delta,MinNormIw,VarJ,Bound,VarVanillaIw,ESSClassic,VanillaAvgRet,AvgRet,VarRet,IterType,eRenyi2,EpsThisIter,AvgDiscRet,MaxNormIw,AvgNormIw,VarDiscRet,VarNormIw
0.00552228,101.333,282.702,29.0971148146,100,2.35765,16.78,0.4,2.34228e-05,285.505,167.286,103.392,5.15074991334,153.812071012,153.812071012,10464.2007747,1,3.43677,100,153.812071012,0.429804,0.01,10464.2007747,0.00186007
1.73297e-11,147.315,511.242,12.3834478429,100,2.17351,21.17,0.4,7.97313e-14,730.538,297.288,218.028,2.14176744697,194.890911243,194.890911243,15864.1983725,1,8.0753,100,194.890911243,0.677773,0.01,15864.1983725,0.00461519
1.54118e-06,72.1752,634.08,13.4076906489,100,1.22684,35.5,0.4,1.25622e-08,659.031,358.471,52.9396,2.79165660664,328.557535933,328.557535933,18090.2603521,1,7.45841,100,328.557535933,0.588303,0.01,18090.2603521,0.00351728
6.35437e-06,48.1277,573.507,22.6508739126,100,1.05877,41.7,0.4,6.00166e-08,577.684,366.352,23.9422,4.51579754397,386.152464124,386.152464124,19741.4213324,1,4.41484,100,386.152464124,0.454563,0.01,19741.4213324,0.00213581
5.1385e-05,96.0065,809.839,15.3454746241,100,1.75278,45.32,0.4,2.93162e-07,1352.01,481.354,94.2567,3.18743491914,419.917125957,419.917125957,24891.8103981,1,6.51658,100,419.917125957,0.547737,0.01,24891.8103981,0.003068
0.010416,19460.9,436.742,nan,200,563.533,45.32,0.4,1.84833e-07,373.093,-inf,5.00452e+06,6.02365982045,419.917125957,419.917125957,24891.8103981,,nan,100,476.955021996,0.345338,0.01,27058.2044141,0.00157588
1.55021e-05,362.31,924.013,18.2016952301,200,2.60034,45.7,0.4,2.98078e-08,1613.92,612.583,658.293,2.04355380871,423.728267318,423.728267318,22232.3672994,1,10.988,100,423.728267318,0.69666,0.005,22232.3672994,0.00243389
1.0,1.0,564.396,200.0,200,1.0,60.9,0.4,0.01,250.891,392.69,,100.0,564.396446248,564.396446248,63582.2778926,2,1.0,100,564.396446248,0.01,0.01,63582.2778926,3.50449e-18
0.00276007,64507.5,406.219,108259881.796,300,739.142,45.7,0.4,1.86708e-08,907.242,-inf,3.03684e+07,3.5518820271,423.728267318,423.728267318,22232.3672994,,2.77111e-06,100,538.330534865,0.436368,0.005,82447.7566781,0.00138965
2.05704e-09,208.055,832.197,21.295741993,300,1.53782,45.82,0.4,4.4588e-12,1833.12,544.278,158.582,4.42258706365,424.645958067,424.645958067,28583.3212006,1,14.0873,100,424.645958067,0.450976,0.00333333,28583.3212006,0.00074508
1.0,1.0,525.033,300.0,300,1.0,56.63,0.4,0.01,181.051,385.23,,100.0,525.033460315,525.033460315,33110.4829723,2,1.0,100,525.033460315,0.01,0.01,33110.4829723,3.50449e-18
1.0,1.0,523.952,300.0,300,1.0,56.41,0.4,0.005,193.135,425.096,,200.000000102,522.870277347,522.870277347,42242.6011552,2,1.0,100,522.870277347,0.005,0.005,42242.6011552,2.1793e-19
0.00480641,4.86135e+08,729.879,nan,400,1.65216e+06,45.82,0.4,9.69721e-12,89.73,-inf,7.87724e+14,1.03943262798,424.645958067,424.645958067,28583.3212006,,nan,100,505.84245053,0.980805,0.00333333,30402.334421,0.00320645
2.47839e-07,424.492,876.716,27.3907505645,400,2.0277,47.66,0.4,3.05567e-10,2254.04,598.602,464.238,3.5202719721,441.438963433,441.438963433,34290.9942477,1,14.6035,100,441.438963433,0.523365,0.0025,34290.9942477,0.000705687
1.0,1.0,579.939,400.0,400,1.0,62.6,0.4,0.01,209.274,436.574,,100.0,579.939263227,579.939263227,44238.059526,2,1.0,100,579.939263227,0.01,0.01,44238.059526,3.50449e-18
1.0,1.0,566.095,400.0,400,1.0,59.55,0.4,0.005,230.832,429.432,,200.000000102,552.250935769,552.250935769,63017.5613846,2,1.0,100,552.250935769,0.005,0.005,63017.5613846,2.1793e-19
1.0,1.0,569.164,400.0,400,1.0,62.11,0.4,0.00333333,232.174,457.58,,299.999969474,575.303056647,575.303056647,55647.4617715,2,1.0,100,575.303056647,0.00333333,0.00333333,55647.4617715,5.43914e-20
0.00235576,4.03487e+06,562.013,34.7900129475,500,36227.5,47.66,0.4,1.62567e-10,1649.09,195.665,1.13877e+11,4.56876304332,441.438963433,441.438963433,34290.9942477,,14.3719,100,524.61483857,0.27844,0.0025,37135.6532351,0.0005423
6.48979e-08,747.334,898.02,25.9617583411,500,2.40296,45.54,0.4,5.40149e-11,2637.28,612.354,1124.2,2.56011340546,422.32427263,422.32427263,23105.3040168,1,19.2591,100,422.32427263,0.622011,0.002,23105.3040168,0.000778773
1.0,1.0,598.046,500.0,500,1.0,64.51,0.4,0.01,253.23,395.117,,100.0,598.046010569,598.046010569,64773.3605684,2,1.0,100,598.046010569,0.01,0.01,64773.3605684,3.50449e-18
1.0,1.0,575.026,500.0,500,1.0,59.56,0.4,0.005,239.448,431.534,,200.000000102,552.005735202,552.005735202,49984.6487459,2,1.0,100,552.005735202,0.005,0.005,49984.6487459,2.1793e-19
1.0,1.0,559.904,500.0,500,1.0,57.24,0.4,0.00333333,247.563,432.964,,299.999969474,529.659474406,529.659474406,68504.8768213,2,1.0,100,529.659474406,0.00333333,0.00333333,68504.8768213,5.43914e-20
1.0,1.0,550.931,500.0,500,1.0,56.52,0.4,0.0025,241.344,440.998,,400.0,524.014166524,524.014166524,48646.5167601,2,1.0,100,524.014166524,0.0025,0.0025,48646.5167601,5.4346e-20
6.39215e-09,1236.67,1303.09,28.9856931349,500,3.37259,61.61,0.4,3.79065e-12,3098.41,894.71,3061.83,1.85426303738,571.103570295,571.103570295,60615.426844,1,17.2499,100,571.103570295,0.733365,0.002,60615.426844,0.00107675
1.0,1.0,725.177,500.0,500,1.0,78.4,0.4,0.01,284.569,522.395,,100.0,725.177477537,725.177477537,81797.6879553,2,1.0,100,725.177477537,0.01,0.01,81797.6879553,3.50449e-18
1.0,1.0,729.119,500.0,500,1.0,79.19,0.4,0.005,314.678,553.722,,200.000000102,733.060596817,733.060596817,118216.346508,2,1.0,100,733.060596817,0.005,0.005,118216.346508,2.1793e-19
1.0,1.0,727.733,500.0,500,1.0,78.37,0.4,0.00333333,318.33,584.522,,299.999969474,724.961034375,724.961034375,107016.228952,2,1.0,100,724.961034375,0.00333333,0.00333333,107016.228952,5.43914e-20
1.0,1.0,739.055,500.0,500,1.0,83.48,0.4,0.0025,331.486,601.23,,400.0,773.020960329,773.020960329,135344.113837,2,1.0,100,773.020960329,0.0025,0.0025,135344.113837,5.4346e-20
5.34418e-11,872.638,1642.3,32.113854827,500,2.73825,70.98,0.4,3.90335e-14,6031.45,1155.88,1527.11,2.44784296399,657.619953527,657.619953527,66833.0621272,1,15.5696,100,657.619953527,0.637369,0.002,66833.0621272,0.000814676
