EpsThisIter,eRenyi2,J,AvgVanillaIw,MaxNormIw,IterType,ESSClassic,MinVanillaIw,VarJ,ESSRenyi,VanillaAvgRet,BatchSize,VarVanillaIw,AvgRet,AvgDiscRet,VarNormIw,AvgNormIw,MaxVanillaIw,VarRet,VarDiscRet,Delta,MinNormIw,AvgEpLen,Bound
100,2.86676,-70.5157,0.89226,0.0284384,1,65.0633791428,2.77416e-07,53.1899,69.765054017,-110.646275286,200,1.65941,-110.646275286,-110.646275286,5.21087e-05,0.005,5.07489,14262.9531109,14262.9531109,0.8,1.55457e-09,146.69,-95.4867
100,1.0,-67.5192,1.0,0.01,2,100.0,1.0,50.5317,200.0,-67.5192080301,200,,-67.5192080301,-67.5192080301,3.50449e-18,0.01,1.0,2579.24226784,2579.24226784,0.8,0.01,95.85,-88.3744
100,1.74726,-67.6819,1.00524,0.0133679,1,110.6905504,4.93773e-06,35.5361,114.464794768,-85.1819665685,200,0.819413,-85.1819665685,-85.1819665685,2.02723e-05,0.005,2.6876,7196.19146367,7196.19146367,0.8,2.456e-08,116.84,-87.1766
100,1.0,-70.6772,1.0,0.01,2,100.0,1.0,50.661,200.0,-70.6772235695,200,,-70.6772235695,-70.6772235695,3.50449e-18,0.01,1.0,2592.46513153,2592.46513153,0.8,0.01,100.28,-91.5331
100,1.04868,-68.4258,0.998122,0.00682953,1,190.270467707,0.180277,39.4221,190.715675315,-67.8129966888,200,0.0511993,-67.8129966888,-67.8129966888,1.2848e-06,0.005,1.36334,1393.48106785,1393.48106785,0.8,0.000903081,97.58,-83.5285
100,1.0,-66.6621,1.0,0.01,2,100.0,1.0,36.6529,200.0,-66.6621002498,200,,-66.6621002498,-66.6621002498,3.50449e-18,0.01,1.0,1357.00272975,1357.00272975,0.8,0.01,95.77,-87.4885
100,1.24975,-67.4694,1.01409,0.0130338,1,158.74623166,0.0642526,47.4195,160.031500341,-76.0900158601,200,0.268589,-76.0900158601,-76.0900158601,6.52946e-06,0.005,2.64348,4974.36407984,4974.36407984,0.8,0.0003168,106.7,-83.9567
100,1.0,-88.3211,1.0,0.01,2,100.0,1.0,90.8123,200.0,-88.3211481401,200,,-88.3211481401,-88.3211481401,3.50449e-18,0.01,1.0,8330.18380369,8330.18380369,0.8,0.01,120.63,-109.178
100,1.40229,-86.7481,1.53953,0.0505465,,85.9438090344,0.37829,103.878,213.936415062,-76.0900158601,300,3.16125,-76.0900158601,-87.3060319614,3.33443e-05,0.005,15.5636,4974.36407984,8347.78365262,0.8,0.00122859,106.7,-104.213
100,1.54109,-66.752,0.997588,0.0104526,1,189.838501997,0.00218831,45.4819,194.667665255,-76.4706137028,300,0.579426,-76.4706137028,-76.4706137028,6.46924e-06,0.00333333,3.12822,4977.19409986,4977.19409986,0.8,7.312e-06,106.85,-81.7008
100,1.0,-74.638,1.0,0.01,2,100.0,1.0,61.2529,300.0,-74.6380044618,300,,-74.6380044618,-74.6380044618,3.50449e-18,0.01,1.0,3789.81553632,3789.81553632,0.8,0.01,105.34,-95.495
100,1.0,-71.7565,1.0,0.005,2,200.000000102,1.0,50.5901,300.0,-68.8749730931,300,,-68.8749730931,-68.8749730931,2.1793e-19,0.005,1.0,1363.82413841,1363.82413841,0.8,0.005,98.97,-86.5046
100,1.11318,-72.2982,1.00376,0.0248674,1,242.534443005,0.762106,51.7441,269.497260835,-77.4774597095,300,0.239521,-77.4774597095,-77.4774597095,2.64145e-06,0.00333333,7.48826,4977.0261696,4977.0261696,0.8,0.00253084,108.25,-85.0033
100,1.0,-83.0943,1.0,0.01,2,100.0,1.0,84.9561,300.0,-83.0943060087,300,,-83.0943060087,-83.0943060087,3.50449e-18,0.01,1.0,7290.44310306,7290.44310306,0.8,0.01,114.03,-103.951
100,1.0,-78.7608,1.0,0.005,2,200.000000102,1.0,74.0725,300.0,-74.4273754735,300,,-74.4273754735,-74.4273754735,2.1793e-19,0.005,1.0,3755.94006791,3755.94006791,0.8,0.005,104.34,-93.5091
100,1.77488,-71.6642,1.06717,0.0176348,1,165.869426304,0.000118056,59.9613,169.025268266,-78.7655512841,300,0.924017,-78.7655512841,-78.7655512841,9.01506e-06,0.00333333,5.64581,4971.41745655,4971.41745655,0.8,3.68752e-07,110.21,-87.7069
100,1.0,-87.1218,1.0,0.01,2,100.0,1.0,91.1145,300.0,-87.1218125853,300,,-87.1218125853,-87.1218125853,3.50449e-18,0.01,1.0,8385.71701601,8385.71701601,0.8,0.01,118.91,-107.979
100,1.0,-82.1846,1.0,0.005,2,200.000000102,1.0,81.4511,300.0,-77.2474230257,300,,-77.2474230257,-77.2474230257,2.1793e-19,0.005,1.0,4967.62530836,4967.62530836,0.8,0.005,107.42,-96.9328
100,1.26407,-80.5782,0.989673,0.0147407,1,234.326351166,0.186892,77.291,237.328107791,-85.9175306933,300,0.275425,-85.9175306933,-85.9175306933,3.12447e-06,0.00333333,4.37653,7175.46795588,7175.46795588,0.8,0.000629473,118.58,-94.1169
100,1.0,-74.0445,1.0,0.01,2,100.0,1.0,61.0064,300.0,-74.0444857779,300,,-74.0444857779,-74.0444857779,3.50449e-18,0.01,1.0,3759.37697364,3759.37697364,0.8,0.01,104.16,-94.9016
100,1.0,-77.4345,1.0,0.005,2,200.000000102,1.0,69.9902,300.0,-80.8244470723,300,,-80.8244470723,-80.8244470723,2.1793e-19,0.005,1.0,6113.63385428,6113.63385428,0.8,0.005,112.05,-92.1826
100,1.96504,-65.5633,0.997356,0.011505,1,155.118418695,3.26314e-06,30.3954,152.668585583,-68.0063690603,300,0.932182,-68.0063690603,-68.0063690603,1.04126e-05,0.00333333,3.44238,2612.11676974,2612.11676974,0.8,1.0906e-08,96.64,-82.4436
100,1.0,-102.994,1.0,0.01,2,100.0,1.0,110.87,300.0,-102.994355586,300,,-102.994355586,-102.994355586,3.50449e-18,0.01,1.0,12416.3296143,12416.3296143,0.8,0.01,137.87,-123.852
100,1.0,-91.7607,1.0,0.005,2,200.000000102,1.0,96.5549,300.0,-80.5269579254,300,,-80.5269579254,-80.5269579254,2.1793e-19,0.005,1.0,6162.77029186,6162.77029186,0.8,0.005,111.14,-106.509
100,nan,-71.9688,1248.83,0.817974,,1.47906297937,0.290496,193.753,nan,-68.0063690603,400,3.15823e+08,-68.0063690603,-71.1325851698,0.00225007,0.00333333,306453.0,2612.11676974,2568.10037907,0.8,7.75383e-07,96.64,-inf
100,1.83331,-68.4214,0.999802,0.00812211,1,222.208932903,8.71821e-09,54.7695,218.184877864,-75.6762627186,400,0.801797,-75.6762627186,-75.6762627186,5.01321e-06,0.0025,3.2482,5005.8554482,5005.8554482,0.8,2.17998e-11,105.32,-82.5416
100,1.0,-82.4404,1.0,0.01,2,100.0,1.0,77.5633,400.0,-82.4403660014,400,,-82.4403660014,-82.4403660014,3.50449e-18,0.01,1.0,6076.83589123,6076.83589123,0.8,0.01,114.6,-103.298
100,1.0,-76.0396,1.0,0.005,2,200.000000102,1.0,60.898,400.0,-69.6389354934,400,,-69.6389354934,-69.6389354934,2.1793e-19,0.005,1.0,1332.44144493,1332.44144493,0.8,0.005,99.92,-90.7879
100,1.0,-76.3703,1.0,0.00333333,2,299.999969474,1.0,64.099,400.0,-77.0315048295,400,,-77.0315048295,-77.0315048295,5.43914e-20,0.00333333,1.0,4957.86447434,4957.86447434,0.8,0.00333333,107.32,-88.4122
100,1.82253,-70.595,1.01523,0.0104108,1,220.381802679,1.18727e-07,62.3636,219.474604681,-77.9025349982,400,0.842149,-77.9025349982,-77.9025349982,5.10671e-06,0.0025,4.22776,5003.6869725,5003.6869725,0.8,2.92365e-10,108.34,-84.6737
100,1.0,-66.3534,1.0,0.01,2,100.0,1.0,36.7544,400.0,-66.3533546974,400,,-66.3533546974,-66.3533546974,3.50449e-18,0.01,1.0,1364.52840772,1364.52840772,0.8,0.01,95.26,-87.2103
100,1.0,-78.5495,1.0,0.005,2,200.000000102,1.0,69.9473,400.0,-90.7455497764,400,,-90.7455497764,-90.7455497764,2.1793e-19,0.005,1.0,8219.05884669,8219.05884669,0.8,0.005,124.26,-93.2991
100,1.0,-77.9979,1.0,0.00333333,2,299.999969474,1.0,70.0926,400.0,-76.894848967,400,,-76.894848967,-76.894848967,5.43914e-20,0.00333333,1.0,5001.86662397,5001.86662397,0.8,0.00333333,107.23,-90.041
100,1.51879,-73.8658,0.97333,0.00652789,1,256.030784676,0.00251062,67.7042,263.367299957,-80.6506951569,400,0.534054,-80.6506951569,-80.6506951569,3.52326e-06,0.0025,2.54151,6136.27064232,6136.27064232,0.8,6.44855e-06,111.63,-86.7192
100,1.0,-87.3871,1.0,0.01,2,100.0,1.0,90.9508,400.0,-87.3870836337,400,,-87.3870836337,-87.3870836337,3.50449e-18,0.01,1.0,8355.61226629,8355.61226629,0.8,0.01,119.7,-108.244
100,1.0,-78.9158,1.0,0.005,2,200.000000102,1.0,74.0935,400.0,-70.444530234,400,,-70.444530234,-70.444530234,2.1793e-19,0.005,1.0,2590.00980873,2590.00980873,0.8,0.005,100.09,-93.6639
100,1.0,-79.8217,1.0,0.00333333,2,299.999969474,1.0,75.3288,400.0,-81.6335508603,400,,-81.6335508603,-81.6335508603,5.43914e-20,0.00333333,1.0,6099.6863261,6099.6863261,0.8,0.00333333,113.11,-91.8635
100,2.42873,-68.6669,1.02469,0.0114463,1,162.866905508,1.11655e-06,49.435,164.695451335,-76.9265229291,400,1.53261,-76.9265229291,-76.9265229291,9.12277e-06,0.0025,4.69158,4967.71930724,4967.71930724,0.8,2.72412e-09,107.38,-84.919
100,1.0,-85.015,1.0,0.01,2,100.0,1.0,84.5137,400.0,-85.0150176114,400,,-85.0150176114,-85.0150176114,3.50449e-18,0.01,1.0,7214.71874586,7214.71874586,0.8,0.01,117.13,-105.872
100,1.0,-83.2927,1.0,0.005,2,200.000000102,1.0,81.1225,400.0,-81.5703892337,400,,-81.5703892337,-81.5703892337,2.1793e-19,0.005,1.0,6073.96328432,6073.96328432,0.8,0.005,112.97,-98.0409
100,1.0,-83.4261,1.0,0.00333333,2,299.999969474,1.0,82.3456,400.0,-83.6929195303,400,,-83.6929195303,-83.6929195303,5.43914e-20,0.00333333,1.0,7253.11116756,7253.11116756,0.8,0.00333333,114.52,-95.468
100,2.90701,-67.892,0.961856,0.0132104,1,134.358464093,7.43826e-17,43.4073,137.598523728,-82.1791806822,400,1.83374,-82.1791806822,-82.1791806822,1.23879e-05,0.0025,5.08261,6063.25475317,6063.25475317,0.8,1.93331e-19,114.1,-85.6726
100,1.0,-70.9383,1.0,0.01,2,100.0,1.0,50.6575,400.0,-70.9382734647,400,,-70.9382734647,-70.9382734647,3.50449e-18,0.01,1.0,2592.10299388,2592.10299388,0.8,0.01,100.82,-91.7948
100,1.0,-79.3965,1.0,0.005,2,200.000000102,1.0,74.0153,400.0,-87.8546742916,400,,-87.8546742916,-87.8546742916,2.1793e-19,0.005,1.0,8330.56280224,8330.56280224,0.8,0.005,120.18,-94.1445
100,1.0,-85.9036,1.0,0.00333333,2,299.999969474,1.0,86.7735,400.0,-98.9178038195,400,,-98.9178038195,-98.9178038195,5.43914e-20,0.00333333,1.0,11493.2793925,11493.2793925,0.8,0.00333333,133.03,-97.9453
100,1.42823,-79.4457,1.06361,0.00533623,1,290.761830123,0.000592967,84.3018,280.066295581,-80.6118142273,400,0.426079,-80.6118142273,-80.6118142273,2.35399e-06,0.0025,2.27027,6113.28849638,6113.28849638,0.8,1.39376e-06,111.66,-91.9086
100,1.0,-76.3249,1.0,0.01,2,100.0,1.0,70.3119,400.0,-76.3249170844,400,,-76.3249170844,-76.3249170844,3.50449e-18,0.01,1.0,4993.70499263,4993.70499263,0.8,0.01,106.24,-97.1819
100,1.0,-74.2691,1.0,0.005,2,200.000000102,1.0,66.045,400.0,-72.2132390901,400,,-72.2132390901,-72.2132390901,2.1793e-19,0.005,1.0,3809.75551627,3809.75551627,0.8,0.005,101.46,-89.0173
100,1.0,-80.2846,1.0,0.00333333,2,299.999969474,1.0,77.9633,400.0,-92.3155282307,400,,-92.3155282307,-92.3155282307,5.43914e-20,0.00333333,1.0,9387.68817039,9387.68817039,0.8,0.00333333,124.82,-92.3264
100,2.49033,-67.3496,0.958889,0.0108883,1,148.024393185,2.73444e-18,46.8552,160.621161338,-77.6715589698,400,1.56909,-77.6715589698,-77.6715589698,1.06658e-05,0.0025,4.17626,4995.32173672,4995.32173672,0.8,7.12919e-21,108.28,-83.8067
100,1.0,-78.2087,1.0,0.01,2,100.0,1.0,69.9822,400.0,-78.2086539517,400,,-78.2086539517,-78.2086539517,3.50449e-18,0.01,1.0,4946.98060758,4946.98060758,0.8,0.01,109.37,-99.0655
100,1.0,-81.1359,1.0,0.005,2,200.000000102,1.0,77.7539,400.0,-84.0630782285,400,,-84.0630782285,-84.0630782285,2.1793e-19,0.005,1.0,7249.19006522,7249.19006522,0.8,0.005,115.38,-95.8841
100,1.0,-79.3982,1.0,0.00333333,2,299.999969474,1.0,72.728,400.0,-75.9227187307,400,,-75.9227187307,-75.9227187307,5.43914e-20,0.00333333,1.0,3796.57350429,3796.57350429,0.8,0.00333333,106.12,-91.44
100,1.60908,-71.539,1.01922,0.00785073,1,254.345749851,4.48408e-06,60.5577,248.589870371,-66.7276859021,400,0.596376,-66.7276859021,-66.7276859021,3.58811e-06,0.0025,3.20064,1360.94793192,1360.94793192,0.8,1.09988e-08,95.73,-84.7675
100,1.0,-74.2286,1.0,0.01,2,100.0,1.0,61.1944,400.0,-74.2286137182,400,,-74.2286137182,-74.2286137182,3.50449e-18,0.01,1.0,3782.58590334,3782.58590334,0.8,0.01,104.07,-95.0855
100,1.0,-78.2957,1.0,0.005,2,200.000000102,1.0,69.9696,400.0,-82.3627946445,400,,-82.3627946445,-82.3627946445,2.1793e-19,0.005,1.0,6074.38217647,6074.38217647,0.8,0.005,114.06,-93.0438
100,1.0,-76.6132,1.0,0.00333333,2,299.999969474,1.0,67.2543,400.0,-73.248128473,400,,-73.248128473,-73.248128473,5.43914e-20,0.00333333,1.0,3798.95260939,3798.95260939,0.8,0.00333333,102.87,-88.6549
100,1.29872,-74.5011,1.02728,0.0122219,1,310.711567904,0.00238463,59.4411,307.995196827,-83.2615894817,400,0.304019,-83.2615894817,-83.2615894817,1.80054e-06,0.0025,5.02212,6069.99047828,6069.99047828,0.8,5.80327e-06,114.82,-86.3857
100,1.0,-74.1935,1.0,0.01,2,100.0,1.0,61.2875,400.0,-74.1934552978,400,,-74.1934552978,-74.1934552978,3.50449e-18,0.01,1.0,3794.10147553,3794.10147553,0.8,0.01,103.98,-95.0506
100,1.0,-72.9771,1.0,0.005,2,200.000000102,1.0,56.3121,400.0,-71.7607043752,400,,-71.7607043752,-71.7607043752,2.1793e-19,0.005,1.0,2609.08701551,2609.08701551,0.8,0.005,101.34,-87.7253
