MaxNormIw,Delta,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,Bound,EpsThisIter,AvgNormIw,BatchSize,ESSRenyi,VarDiscRet,MinNormIw,VarJ,eRenyi2,J,VarNormIw,MaxVanillaIw,IterType,AvgDiscRet,VarRet,MinVanillaIw,AvgRet,ESSClassic,AvgEpLen
0.026956204,0.1,0.9633178,-2380.1889555037224,0.93375343,-2676.2212,100,0.009999999,100,53.04494689597943,5627599.829885766,2.7565003e-08,686.67926,1.8851937,-303.87976,0.00010062203,2.596739,1,-2380.1889555037224,5627599.829885766,2.6553857e-06,-2380.1889555037224,50.09623694000032,200.0
0.015185764,0.1,0.98680747,-294.89682268973115,0.19984172,-1053.4004,100,0.010000002,100,83.48762695161074,716313.3489265766,0.0013558061,196.06671,1.1977823,-70.216736,2.0522079e-05,1.4985425,1,-294.89682268973115,716313.3489265766,0.13379197,-294.89682268973115,83.11386999267647,200.0
0.010841633,0.1,1.0069145,-39.04093932090324,0.00918016,-903.73553,100,0.01,100,98.72053897413399,83985.21402196547,0.0056348117,163.40569,1.0129604,-26.150234,9.0545126e-07,1.0916597,1,-39.04093932090324,83985.21402196547,0.5673773,-39.04093932090324,99.1115781348995,200.0
0.011098774,0.1,0.9850216,-38.38554569465353,0.016077226,-875.33636,100,0.01,100,98.67122268520833,78767.9777580682,0.005273143,148.1766,1.0134667,-25.040594,1.656989e-06,1.0932533,1,-38.38554569465353,78767.9777580682,0.519416,-38.38554569465353,98.38606344805436,200.0
0.014927107,0.1,1.0269494,-8.285634812495033,0.047115505,-16.126236,100,0.01,100,95.60128083667168,58.1288253635409,0.004842475,7.2840075,1.0460111,-7.922888,4.4675107e-06,1.5329385,1,-8.285634812495033,58.1288253635409,0.4972977,-8.285634812495033,95.76448201877182,200.0
0.019710002,0.1,1.0202271,-8.285634812495033,0.053557694,-935.0486,100,0.01,200,191.06185498094246,82543.71967515367,0.006394085,409.42126,1.0467814,-50.65903,5.1455063e-06,2.0108678,,-38.17806240388876,58.1288253635409,0.6523419,-8.285634812495033,95.1528745268588,200.0
0.005437287,0.1,0.98801744,-37.84107597523709,0.009984183,-632.64923,100,0.005,200,198.21726090121825,83208.56210114788,0.002662199,108.84078,1.0089939,-16.344809,2.5569565e-07,1.0744269,1,-37.84107597523709,83208.56210114788,0.5260598,-37.84107597523709,197.9851634612028,200.0
0.01,0.1,1.0,-10.118232672381916,,-19.169619,100,0.009999998,200,200.0,73.68855714768692,0.01,8.541175,1.0,-10.118233,3.5044917e-18,1.0,2,-10.118232672381916,73.68855714768692,1.0,-10.118232672381916,100.0,200.0
0.0054438827,0.1,0.99540764,-37.58957895081189,0.013259299,-536.9486,100,0.005,200,197.79421673048495,59817.52702144497,0.0022144136,77.238144,1.0111519,-16.303663,3.3454816e-07,1.0837765,1,-37.58957895081189,59817.52702144497,0.44084886,-37.58957895081189,197.37198707490904,200.0
0.01,0.1,1.0,-9.123257078594579,,-17.83777,100,0.009999998,200,200.0,69.7435606884564,0.01,8.3094,1.0,-9.123258,3.5044917e-18,1.0,2,-9.123257078594579,69.7435606884564,1.0,-9.123257078594579,100.0,200.0
0.00763481,0.1,0.9893791,-9.048080242637965,0.20615834,-15.027065,100,0.0049999994,200,166.74648569186078,72.5500197479304,0.00014304859,7.9773135,1.1994256,-8.064936,5.2652063e-06,1.5107443,1,-9.048080242637965,72.5500197479304,0.028305857,-9.048080242637965,165.35003634408017,200.0
0.01,0.1,1.0,-7.1208485541654625,,-15.158073,100,0.009999998,200,200.0,53.652826214736606,0.01,7.288093,1.0,-7.120848,3.5044917e-18,1.0,2,-7.1208485541654625,53.652826214736606,1.0,-7.1208485541654625,100.0,200.0
0.0053598606,0.1,1.0002761,-9.390604899562591,0.00878618,-15.029251,100,0.005,200,198.31419149856907,70.30301953138081,0.0021526841,7.698975,1.0085007,-8.202982,2.1953326e-07,1.0722681,1,-9.390604899562591,70.30301953138081,0.43065572,-9.390604899562591,198.26769062668862,200.0
0.01,0.1,1.0,-10.015796537035367,,-18.614437,100,0.009999998,200,200.0,60.26490660824581,0.01,7.7241344,1.0,-10.015797,3.5044917e-18,1.0,2,-10.015796537035367,60.26490660824581,1.0,-10.015796537035367,100.0,200.0
0.006630233,0.1,1.0149192,-8.289872456875692,0.10288549,-14.942135,100,0.005,200,180.0037766295298,61.07791484988675,0.0006557828,7.5218763,1.1110878,-8.533155,2.497073e-06,1.3458301,1,-8.289872456875692,61.07791484988675,0.13311331,-8.289872456875692,181.92012010980648,200.0
