Bound,EpsThisIter,MaxNormIw,VarDiscRet,VarNormIw,BatchSize,AvgEpLen,VarJ,ESSRenyi,AvgRet,IterType,MinVanillaIw,MinNormIw,AvgNormIw,eRenyi2,J,MaxVanillaIw,Delta,VarVanillaIw,AvgDiscRet,ESSClassic,AvgVanillaIw,VanillaAvgRet,VarRet
198.105,100,0.198675,71076.3028308,0.000400098,100,65.96,1169.4,59.2893357962,610.511916328,1,0.076475,0.0005862,0.01,1.68664,797.794,25.9189,0.1,6.80949,610.511916328,20.1573333156,1.30459,610.511916328,71076.3028308
239.685,100,0.254841,103834.248942,0.000909902,100,70.22,663.375,99.9999523163,650.384199065,1,1.8199e-05,1.21574e-07,0.01,1.0,774.625,38.1484,0.1,20.3896,650.384199065,9.99198313556,1.49695,650.384199065,103834.248942
254.094,100,0.0495711,111299.888279,5.77948e-05,100,80.46,621.88,71.5436060276,744.704413435,1,0.182707,0.00188374,0.01,1.39775,893.197,4.80799,0.1,0.5437,744.704413435,63.6064245269,0.969918,744.704413435,111299.888279
458.997,100,0.508698,125667.509885,0.00256482,100,91.26,2877.27,40.7123109124,843.57687378,1,0.0157326,8.54562e-05,0.01,2.45626,1500.86,93.6518,0.1,86.9301,843.57687378,3.78906034324,1.84101,843.57687378,125667.509885
306.256,100,0.0354254,144182.928676,4.02719e-05,100,103.37,628.793,80.96165593,955.966147385,1,0.218814,0.00215048,0.01,1.23515,1088.55,3.60457,0.1,0.416945,955.966147385,71.4954020614,1.01751,955.966147385,144182.928676
376.131,100,0.150316,114754.687105,0.000286246,100,99.07,1151.59,61.6287606486,915.457075122,1,0.0664109,0.000608544,0.01,1.62262,1141.45,16.4041,0.1,3.40906,915.457075122,26.0835238229,1.09131,915.457075122,114754.687105
426.994,100,0.115233,118793.66502,0.000137204,100,107.81,873.353,71.7529441551,995.634119908,1,0.130978,0.00126437,0.01,1.39367,1156.46,11.9371,0.1,1.47237,995.634119908,42.4030700644,1.03592,995.634119908,118793.66502
351.646,100,0.196313,166930.942914,0.000378731,100,116.04,1145.43,69.6871665115,1071.82863368,1,0.119864,0.00104938,0.01,1.43498,1299.86,22.4234,0.1,4.94124,1071.82863368,21.0551317377,1.14223,1071.82863368,166930.942914
395.806,100,0.031845,189707.022659,2.0006e-05,100,128.07,521.156,87.5574514988,1183.07696982,1,0.201972,0.00195973,0.01,1.14211,1285.84,3.28198,0.1,0.212495,1183.07696982,83.4683402685,1.03061,1183.07696982,189707.022659
263.29,100,0.0239077,162661.076201,8.08729e-06,100,133.15,587.128,93.6338194059,1228.48177768,1,0.386663,0.00374581,0.01,1.06799,1284.66,2.46788,0.1,0.0861744,1228.48177768,92.5870798212,1.03226,1228.48177768,162661.076201
469.117,100,0.283747,168238.027779,0.000826035,100,137.11,3702.37,48.711158309,1264.94992917,1,0.0492391,0.000395458,0.01,2.05292,1792.52,35.3299,0.1,12.8062,1264.94992917,10.8959195105,1.24512,1264.94992917,168238.027779
497.104,100,0.0298529,210491.620774,2.64608e-05,100,134.38,561.262,84.8082081278,1240.0568953,1,0.192841,0.00190922,0.01,1.17913,1356.81,3.0153,0.1,0.269955,1240.0568953,79.2416910376,1.01005,1240.0568953,210491.620774
1141.64,100,0.637519,328016.019942,0.00403182,100,139.79,4774.64,39.3194017997,1290.7720656,1,0.0104813,4.48605e-05,0.01,2.54327,2869.4,148.951,0.1,220.092,1290.7720656,2.44409090953,2.33642,1290.7720656,328016.019942
299.293,100,0.0835728,238403.903127,0.000104633,100,150.96,1419.85,73.0332003601,1391.6426251,1,0.123024,0.00127424,0.01,1.36924,1668.13,8.06872,0.1,0.975324,1391.6426251,49.1190367104,0.965472,1391.6426251,238403.903127
599.506,100,0.038817,409912.732783,3.66506e-05,100,181.04,809.141,80.7492463276,1669.62245465,1,0.171723,0.00149467,0.01,1.2384,1924.64,4.45968,0.1,0.483777,1669.62245465,73.3760989398,1.1489,1669.62245465,409912.732783
416.589,100,0.0195614,469031.535189,1.12525e-05,100,186.99,884.858,89.7916210409,1725.64298314,1,0.27901,0.00280465,0.01,1.11369,1857.61,1.94599,0.1,0.11136,1725.64298314,89.976607959,0.994811,1725.64298314,469031.535189
918.861,100,0.426479,801679.280545,0.00181805,100,200.24,3611.52,47.4905325869,1849.17692112,1,0.0814108,0.000448294,0.01,2.10568,2950.88,77.4491,0.1,59.9573,1849.17692112,5.26353030706,1.81601,1849.17692112,801679.280545
1324.04,100,0.409279,1034272.30077,0.00167373,100,228.99,4637.6,38.8699398023,2114.5245762,1,0.00742306,4.09167e-05,0.01,2.57268,3575.8,74.2511,0.1,55.0873,2114.5245762,5.69153834121,1.81419,2114.5245762,1034272.30077
1601.32,100,0.380125,1235992.78093,0.00145481,100,258.56,3876.66,44.9048757979,2393.83186006,1,0.0684137,0.000448199,0.01,2.22693,3695.56,58.0228,0.1,33.8962,2393.83186006,6.49241082068,1.52641,2393.83186006,1235992.78093
2041.62,100,0.0364984,1638079.52878,5.48957e-05,100,331.91,1137.46,67.0977472452,3081.27421122,1,0.118835,0.00109284,0.01,1.49036,3755.18,3.9688,0.1,0.649097,3081.27421122,64.7892177859,1.08739,3081.27421122,1638079.52878
2332.72,100,0.345492,1475860.45371,0.00117817,100,357.1,1940.3,59.6107984084,3311.76957373,1,0.023073,0.000153954,0.01,1.67755,4150.92,51.7787,0.1,26.4625,3311.76957373,7.89649497538,1.49869,3311.76957373,1475860.45371
