MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
0.034135,75.6702711177,277.944,-770.561,0.000343636,0.01,2.59797,73.2906543502,0.0261537,1.32152,100,100,0.993347,1,-879.944613117,121345.216882,121345.216882,3.68112e-05,0.2,0.36323,500.0,-879.944613117,-879.944613117,-1221.3
0.048391,81.6767882201,184.74,-701.961,0.000526455,0.01,2.20087,75.3024882154,0.0239438,1.22434,100,100,0.919185,1,-790.392388274,71763.6079113,71763.6079113,3.3129e-05,0.2,0.279907,500.0,-790.392388274,-790.392388274,-1135.86
0.168181,93.4758830089,107.798,-664.702,0.00168174,0.01,1.85499,91.6547347098,0.0185492,1.06979,100,100,1.00004,1,-698.048569965,31540.0307112,31540.0307112,9.19709e-06,0.2,0.0919781,500.0,-698.048569965,-698.048569965,-1069.76
0.413661,96.023893885,176.771,-668.518,0.00417811,0.01,1.37501,95.7412553399,0.0138881,1.04141,100,100,0.990067,1,-687.480701245,43687.9049529,43687.9049529,4.4931e-06,0.2,0.0440429,500.0,-687.480701245,-687.480701245,-1068.85
0.360491,96.8869190541,98.2087,-640.109,0.00365081,0.01,1.31029,97.0954670457,0.0132697,1.03213,100,100,0.987428,1,-654.703897955,24914.1019434,24914.1019434,3.02159e-06,0.2,0.0294609,500.0,-654.703897955,-654.703897955,-1038.3
0.573938,97.6658187308,154.938,-650.272,0.00576884,0.01,1.25089,97.529213778,0.0125731,1.0239,100,100,0.994894,1,-659.666176251,26971.1698058,26971.1698058,2.55899e-06,0.2,0.0253292,500.0,-659.666176251,-659.666176251,-1047.24
0.191475,92.7252744167,75.4194,-605.124,0.00185928,0.01,1.61455,91.9339843233,0.0156778,1.07845,100,100,1.02983,1,-620.999818799,7725.69984424,7725.69984424,8.86232e-06,0.2,0.0939897,500.0,-620.999818799,-620.999818799,-817.365
0.195194,82.408876172,208.818,-598.012,0.00159145,0.01,25.6867,19.5175426997,0.209428,1.21346,100,100,1.22652,1,-636.267361304,12577.1937535,12577.1937535,0.000416525,0.2,6.26596,500.0,-636.267361304,-636.267361304,-873.736
0.476942,98.0913448614,107.714,-601.127,0.0047692,0.01,1.35781,98.0749575368,0.0135775,1.01946,100,100,1.00005,1,-609.456375732,22703.8473969,22703.8473969,1.98266e-06,0.2,0.0198285,500.0,-609.456375732,-609.456375732,-996.626
0.320664,94.7694511554,77.9692,-597.243,0.00318923,0.01,1.52757,93.0510230636,0.0151928,1.05519,100,100,1.00546,1,-611.658459287,10899.1255573,10899.1255573,7.54336e-06,0.2,0.0762593,500.0,-611.658459287,-611.658459287,-848.296
0.460951,95.679485549,64.0353,-587.393,0.00466992,0.01,1.41614,95.9064768577,0.014347,1.04516,100,100,0.987063,1,-594.385932834,4415.62406732,4415.62406732,4.31139e-06,0.2,0.0420056,500.0,-594.385932834,-594.385932834,-746.699
0.378364,97.1777403573,83.3905,-592.004,0.00400108,0.01,1.24088,96.4053083276,0.0131219,1.02904,100,100,0.945654,1,-605.528691335,23071.1368661,23071.1368661,3.76639e-06,0.2,0.0336814,500.0,-605.528691335,-605.528691335,-989.651
,99.9999642372,174.663,-526.036,,0.01,71.7783,1.72301843203,0.745673,1.0,100,100,0.962597,1,-571.294388995,3947.43975132,3947.43975132,0.00576138,0.2,53.3846,500.0,-571.294388995,-571.294388995,-678.751
0.0139318,nan,nan,nan,nan,nan,inf,nan,nan,nan,100,200,inf,,-571.294388995,74446.7519058,3947.43975132,nan,0.2,nan,500.0,-730.01612024,-571.294388995,nan
0.238372,194.746339107,94.9599,-575.106,0.00117175,0.005,1.5155,194.013010353,0.00744965,1.02698,100,200,1.01716,1,-594.559465836,22782.4052693,22782.4052693,7.75343e-07,0.2,0.0320873,500.0,-594.559465836,-594.559465836,-856.389
1.0,200.0,82.8396,-574.862,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-574.862530101,6931.71508981,6931.71508981,3.50449e-18,0.2,,500.0,-574.862530101,-574.862530101,-789.559
0.38871,186.986249995,66.1537,-565.516,0.00194224,0.005,1.83913,186.442074566,0.00918945,1.0696,100,200,1.00068,1,-577.067285414,3530.83696273,3530.83696273,1.82712e-06,0.2,0.0731835,500.0,-577.067285414,-577.067285414,-722.524
1.0,200.0,152.788,-585.614,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-585.614017132,23579.8853792,23579.8853792,3.50449e-18,0.2,,500.0,-585.614017132,-585.614017132,-977.704
0.409754,194.895945701,90.9461,-571.716,0.00204538,0.005,1.46479,194.730292818,0.00731182,1.02619,100,200,1.00166,1,-572.260619597,3330.55589136,3330.55589136,6.79937e-07,0.2,0.0272878,500.0,-572.260619597,-572.260619597,-852.573
1.0,200.0,49.4548,-570.183,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-570.183440311,2470.47729137,2470.47729137,3.50449e-18,0.2,,500.0,-570.183440311,-570.183440311,-722.344
0.55365,194.672627097,62.4255,-568.07,0.00275567,0.005,1.42394,195.076730226,0.00708738,1.02737,100,200,1.00456,1,-575.195688198,7512.22750317,7512.22750317,6.34111e-07,0.2,0.0255964,500.0,-575.195688198,-575.195688198,-735.956
1.0,200.0,51.318,-570.799,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-570.798979374,2660.14332667,2660.14332667,3.50449e-18,0.2,,500.0,-570.798979374,-570.798979374,-710.556
0.0978028,182.53895944,53.4041,-558.609,0.000497614,0.005,1.69785,182.512771968,0.00863857,1.09566,100,200,0.982717,1,-564.912856465,3115.46968825,3115.46968825,2.40738e-06,0.2,0.0929952,500.0,-564.912856465,-564.912856465,-665.567
1.0,200.0,53.8768,-547.423,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-547.423175514,2932.02829,2932.02829,3.50449e-18,0.2,,500.0,-547.423175514,-547.423175514,-683.78
0.315313,185.755276967,50.0885,-546.0,0.00158545,0.005,1.62954,185.51313452,0.00819363,1.07669,100,200,0.994395,1,-560.099411424,2627.19771011,2627.19771011,1.96208e-06,0.2,0.0776058,500.0,-560.099411424,-560.099411424,-654.514
1.0,200.0,48.7685,-557.142,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-557.14215811,2402.38824353,2402.38824353,3.50449e-18,0.2,,500.0,-557.14215811,-557.14215811,-702.834
0.457823,188.048951952,51.7693,-546.023,0.00228113,0.005,1.66036,187.142471994,0.00827287,1.06355,100,200,1.0035,1,-547.128164155,3012.85042858,3012.85042858,1.72625e-06,0.2,0.0695341,500.0,-547.128164155,-547.128164155,-652.265
1.0,200.0,52.4133,-543.914,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-543.913550893,2774.9040872,2774.9040872,3.50449e-18,0.2,,500.0,-543.913550893,-543.913550893,-684.841
0.258072,186.798419632,52.5894,-533.364,0.00130562,0.005,1.59424,186.359543821,0.00806545,1.07067,100,200,0.988312,1,-536.509656655,2865.08953022,2865.08953022,1.83906e-06,0.2,0.0718528,500.0,-536.509656655,-536.509656655,-636.476
1.0,200.0,61.1103,-545.136,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-545.135820522,3772.18873425,3772.18873425,3.50449e-18,0.2,,500.0,-545.135820522,-545.135820522,-698.384
0.28642,185.807016364,56.3755,-537.981,0.00142119,0.005,1.69069,183.288661975,0.00838909,1.07639,100,200,1.00767,1,-546.391414389,2265.17439011,2265.17439011,2.29083e-06,0.2,0.0930447,500.0,-546.391414389,-546.391414389,-650.406
1.0,200.0,84.8319,-537.454,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-537.454253356,7269.14115819,7269.14115819,3.50449e-18,0.2,,500.0,-537.454253356,-537.454253356,-782.927
0.417063,194.283661611,55.311,-526.338,0.0021168,0.005,1.41734,193.964544496,0.00719369,1.02942,100,200,0.985125,1,-525.918929441,2266.77919814,2266.77919814,7.8181e-07,0.2,0.030349,500.0,-525.918929441,-525.918929441,-702.449
1.0,200.0,49.1547,-525.527,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-525.52708458,2440.59349685,2440.59349685,3.50449e-18,0.2,,500.0,-525.52708458,-525.52708458,-655.739
0.124543,173.754294478,53.2367,-515.658,0.000636707,0.005,1.81778,171.254321342,0.00929317,1.15105,100,200,0.978021,1,-531.60004313,3016.25627665,3016.25627665,4.21743e-06,0.2,0.161363,500.0,-531.60004313,-531.60004313,-614.44
1.0,200.0,58.7065,-523.249,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-523.248730733,3481.26799544,3481.26799544,3.50449e-18,0.2,,500.0,-523.248730733,-523.248730733,-672.761
0.309935,187.120326959,52.1541,-513.495,0.00153229,0.005,1.97144,184.672825591,0.00974664,1.06883,100,200,1.01134,1,-518.707052128,2184.95925328,2184.95925328,2.08533e-06,0.2,0.0853166,500.0,-518.707052128,-518.707052128,-622.794
1.0,200.0,49.513,-524.138,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-524.137983003,2476.29524022,2476.29524022,3.50449e-18,0.2,,500.0,-524.137983003,-524.137983003,-652.424
0.409111,189.144036453,51.7715,-521.037,0.00210812,0.005,1.5647,190.185422873,0.00806277,1.0574,100,200,0.970323,1,-528.85409885,2794.95309826,2794.95309826,1.29662e-06,0.2,0.0488321,500.0,-528.85409885,-528.85409885,-624.374
1.0,200.0,41.7172,-520.538,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-520.538149222,1757.903269,1757.903269,3.50449e-18,0.2,,500.0,-520.538149222,-520.538149222,-643.195
0.349856,191.007300354,41.3374,-515.839,0.0017933,0.005,1.53704,190.410624725,0.00787861,1.04708,100,200,0.975451,1,-519.80484715,1685.65079343,1685.65079343,1.26538e-06,0.2,0.0481604,500.0,-519.80484715,-519.80484715,-608.852
1.0,200.0,45.3455,-511.507,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-511.506817571,2076.98284432,2076.98284432,3.50449e-18,0.2,,500.0,-511.506817571,-511.506817571,-635.946
0.256702,190.538781587,48.4509,-507.295,0.00131038,0.005,1.49387,189.064416737,0.00762575,1.04966,100,200,0.979493,1,-512.088263237,2710.50210881,2710.50210881,1.45328e-06,0.2,0.0557715,500.0,-512.088263237,-512.088263237,-597.445
1.0,200.0,41.8149,-499.945,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-499.944828948,1766.14583091,1766.14583091,3.50449e-18,0.2,,500.0,-499.944828948,-499.944828948,-621.214
0.46511,190.368825347,47.8258,-499.376,0.00229607,0.005,2.05552,190.377349179,0.0101473,1.05059,100,200,1.01284,1,-508.263823498,2546.51801798,2546.51801798,1.26998e-06,0.2,0.0521123,500.0,-508.263823498,-508.263823498,-601.854
1.0,200.0,48.1232,-499.772,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-499.772503119,2339.23385112,2339.23385112,3.50449e-18,0.2,,500.0,-499.772503119,-499.772503119,-626.267
