MinVanillaIw,AvgNormIw,MinNormIw,MaxNormIw,EpsThisIter,VarRet,ESSRenyi,VarNormIw,VarDiscRet,AvgVanillaIw,AvgRet,IterType,AvgDiscRet,J,VarVanillaIw,MaxVanillaIw,eRenyi2,ESSClassic,VarJ,Delta,BatchSize,Bound,VanillaAvgRet,AvgEpLen
,0.01,,0.250163,100,6483.89931716,99.9999284745,0.00104608,6483.89931716,1.22264,-134.004554211,1,-134.004554211,-109.265,15.6374,30.586,1.0,8.80573350184,6.53451,0.8,100,-134.25,-134.004554211,63.58
0.297913,0.01,0.00289924,0.0129417,100,12.4595574925,96.4604523562,4.29114e-06,12.4595574925,1.02755,-107.716863523,1,-107.716863523,-107.433,0.0453088,1.32983,1.03669,95.9248662233,2.7008,0.8,100,-113.853,-107.716863523,15.94
0.843974,0.01,0.00840992,0.014709,100,8.15129727661,98.311538498,1.79429e-06,8.15129727661,1.00355,-108.095931088,1,-108.095931088,-107.997,0.0180704,1.47611,1.01717,98.254658896,2.84678,0.8,100,-113.776,-108.095931088,16.58
0.408618,0.01,0.00406925,0.0145644,100,13.6277820339,95.6968405106,4.65091e-06,13.6277820339,1.00416,-107.701717708,1,-107.701717708,-107.415,0.0468969,1.4625,1.04497,95.5982946101,3.19161,0.8,100,-113.972,-107.701717708,16.93
0.190201,0.01,0.0019352,0.015414,100,28.3215868367,92.8212072012,1.06747e-05,28.3215868367,0.982854,-108.09624233,1,-108.09624233,-107.356,0.103118,1.51497,1.07734,90.4420760128,2.98936,0.8,100,-114.35,-108.09624233,16.53
0.463244,0.01,0.00469385,0.0188315,100,7.82468669038,97.0743373751,4.09172e-06,7.82468669038,0.986918,-107.984984696,1,-107.984984696,-107.814,0.0398536,1.85851,1.03014,96.1069247144,2.84449,0.8,100,-113.622,-107.984984696,18.43
,0.01,,0.870083,100,8.61456907674,99.9999523163,0.00760523,8.61456907674,8.05113e-12,-107.579815245,1,-107.579815245,-104.676,4.92977e-21,7.00516e-10,1.0,1.31075661599,4.04543,0.8,100,-110.509,-107.579815245,17.32
0.780468,0.01,0.00772764,0.0136348,100,10.5074427142,99.0378628262,1.198e-06,10.5074427142,1.00997,-107.63839974,1,-107.63839974,-107.579,0.01222,1.37708,1.00971,98.8279152348,3.30973,0.8,100,-113.458,-107.63839974,18.43
0.229239,0.01,0.00229997,0.0215988,100,13.7969345216,90.0971814772,9.54114e-06,13.7969345216,0.996705,-106.777255235,1,-106.777255235,-106.15,0.0947837,2.15276,1.10991,91.3695020371,4.82118,0.8,100,-112.217,-106.777255235,19.23
0.559626,0.01,0.00566973,0.0152048,100,13.3224979949,98.4900577219,1.94222e-06,13.3224979949,0.987042,-107.709722379,1,-107.709722379,-107.614,0.0189221,1.50077,1.01533,98.1134556042,3.37223,0.8,100,-113.589,-107.709722379,22.58
0.00037659,0.01,3.55137e-06,0.115827,100,23.2526983357,62.8860930378,0.000162613,23.2526983357,1.06041,-107.653070554,1,-107.653070554,-105.04,1.82853,12.2824,1.59018,38.3161534121,20.1275,0.8,100,-112.503,-107.653070554,23.86
0.231516,0.01,0.00228251,0.0155442,100,59.4740420423,95.0613604484,6.36234e-06,59.4740420423,1.0143,-108.075305677,1,-108.075305677,-107.47,0.0654566,1.57665,1.05195,94.0745057233,4.5779,0.8,100,-115.913,-108.075305677,24.83
0.554346,0.01,0.00549107,0.0135895,100,18.3186094493,97.6061692681,2.56928e-06,18.3186094493,1.00954,-107.678548456,1,-107.678548456,-107.525,0.0261854,1.37192,1.02453,97.51948468,3.89516,0.8,100,-113.817,-107.678548456,20.74
9.18368e-05,0.01,9.16688e-07,0.0287486,100,32.2948375528,69.0410865101,4.90445e-05,32.2948375528,1.00183,-106.265149585,1,-106.265149585,-104.576,0.492244,2.88013,1.44841,67.3155659598,12.0599,0.8,100,-111.617,-106.265149585,20.6
0.119917,0.01,0.00126373,0.0215239,100,30.0281298075,82.6561075263,1.86687e-05,30.0281298075,0.948909,-105.762375524,1,-105.762375524,-104.708,0.168098,2.04242,1.20983,84.4010116669,9.03214,0.8,100,-110.979,-105.762375524,20.85
