ESSRenyi,eRenyi2,AvgEpLen,VarDiscRet,BatchSize,MinVanillaIw,VanillaAvgRet,J,VarNormIw,MinNormIw,MaxNormIw,AvgRet,Bound,VarRet,AvgDiscRet,AvgVanillaIw,VarJ,VarVanillaIw,AvgNormIw,MaxVanillaIw,ESSClassic
4.6986747406688644e-07,212825970.0,8.23,3264.825733248062,100,,72.25414295235169,77.664955,0.010000002,,1.0,-6.963318810448982e-15,2856035.2,3264.825733248062,-6.963318810448982e-15,37676.465,,141951610000.0,0.01,3767646.5,1.0
3.5244598571423636e-06,28373142.0,13.39,4285.958432166386,100,,123.81138505759247,156.09138,0.010000002,,1.0,-9.237055564881303e-15,2143910.2,4285.958432166386,-9.237055564881303e-15,13922.861,,19384607000.0,0.01,1392286.1,1.0
1.1164110866765938e-05,8957274.0,13.06,2975.376405383864,100,,120.50790173670475,79.400734,0.010000003,,1.0,-1.2363443602225743e-14,962617.94,2975.376405383864,-1.2363443602225743e-14,12296.46,,15120297000.0,0.01,1229646.0,1.0
0.00011350550178902406,881014.56,12.72,2460.5918484431445,100,,117.10982486164532,72.80365,0.010000003,,1.0,-2.415845301584341e-15,1274154.9,2460.5918484431445,-2.415845301584341e-15,17555.037,,30817940000.0,0.01,1755503.6,1.0
0.00019191986194244732,521050.8,14.64,4939.992755171753,100,,136.30715891315592,63.604324,0.010000003,,1.0,7.958078640513123e-15,15146.859,4939.992755171753,7.958078640513123e-15,305.2274,4.063356e-12,9316377.0,0.01,30522.738,1.0
4.1409738880464495,24.148909,13.21,2287.4244234951834,100,2.7930934e-29,122.00830725777801,84.56943,0.005117541,2.2769194e-31,0.7071476,2.2737367544323206e-15,83.9745,2287.4244234951834,2.2737367544323206e-15,1.2266984,109.34524,77.00822,0.01,86.74569,1.9355964109840957
99.99281219652241,1.0000719,12.17,2945.212832457453,100,0.9896267,111.61015416269,0.16347516,1.2651624e-08,0.009882156,0.010541941,-2.5153212845907547e-14,-4.400712,2945.212832457453,-2.5153212845907547e-14,1.001428,54.35386,0.00012687773,0.010000002,1.0556995,99.98746110305513
99.97886865924205,1.0002114,13.66,2678.857344643923,100,0.98012674,126.50974252137036,0.20503724,3.0111778e-08,0.00978374,0.010909217,-1.6626700016786343e-14,-4.148032,2678.857344643923,-1.6626700016786343e-14,1.0017915,51.838608,0.00030219767,0.010000002,1.0928761,99.97018719373409
95.55523787121368,1.0465151,13.26,2275.7907655589715,100,0.53765243,122.50963640035927,2.6049862,3.9878278e-06,0.0052804025,0.016378732,-2.0037305148434824e-14,-1.4520013,2275.7907655589715,-2.0037305148434824e-14,1.0182035,49.690937,0.041343346,0.010000002,1.6676883,96.20198836222313
99.97782007179813,1.0002218,13.64,4293.666213728465,100,0.942411,126.309384505074,0.24943604,2.780236e-08,0.009446788,0.010335423,1.1226575225009583e-14,-5.2627134,4293.666213728465,1.1226575225009583e-14,0.9975995,65.454315,0.00027669038,0.01,1.0310613,99.97246995069055
100.0,1.0,13.23,3159.2732101962497,100,1.0,122.20958696391857,2.3841858e-07,3.5044917e-18,0.01,0.01,2.1316282072803006e-14,-4.7272124,3159.2732101962497,2.1316282072803006e-14,1.0,55.92567,,0.009999998,1.0,100.0
100.0,1.0,13.3,2952.2136757471612,100,1.0,122.91023062383613,,3.5044917e-18,0.01,0.01,-1.6342482922482303e-14,-4.569676,2952.2136757471612,-1.6342482922482303e-14,1.0,54.061924,,0.009999998,1.0,100.0
100.0,1.0,13.9,3584.6627126307976,100,1.0,128.90833855092885,-7.1525574e-07,3.5044917e-18,0.01,0.01,2.6147972675971688e-14,-5.03542,3584.6627126307976,2.6147972675971688e-14,1.0,59.571938,,0.009999998,1.0,100.0
100.0,1.0,13.72,5922.569297356611,100,1.0,127.10863947288345,1.7881393e-07,3.5044917e-18,0.01,0.01,-3.694822225952521e-15,-6.4724174,5922.569297356611,-3.694822225952521e-15,1.0,76.57247,,0.009999998,1.0,100.0
100.0,1.0,12.82,3093.1052316856217,100,1.0,118.1121728918032,-2.3841858e-07,3.5044917e-18,0.01,0.01,-1.6484591469634323e-14,-4.6774473,3093.1052316856217,-1.6484591469634323e-14,1.0,55.336918,,0.009999998,1.0,100.0
100.0,1.0,13.4,2828.2161932047693,100,1.0,123.91020205778231,4.4703484e-07,3.5044917e-18,0.01,0.01,-8.668621376273222e-15,-4.47268,2828.2161932047693,-8.668621376273222e-15,1.0,52.914402,,0.009999998,1.0,100.0
100.0,1.0,12.68,3724.389958703222,100,1.0,116.7115557209502,,3.5044917e-18,0.01,0.01,-1.2931877790833824e-14,-5.13262,3724.389958703222,-1.2931877790833824e-14,1.0,60.721874,,0.009999998,1.0,100.0
100.0,1.0,13.16,3855.2973833444967,100,1.0,121.51179036640761,3.5762787e-07,3.5044917e-18,0.01,0.01,-2.5437429940211587e-14,-5.222043,3855.2973833444967,-2.5437429940211587e-14,1.0,61.779804,,0.009999998,1.0,100.0
100.0,1.0,13.85,4345.920789573672,100,1.0,128.40897702139625,-1.7881393e-07,3.5044917e-18,0.01,0.01,-2.5153212845907547e-14,-5.5443726,4345.920789573672,-2.5153212845907547e-14,1.0,65.59315,,0.009999998,1.0,100.0
