AvgNormIw,VarVanillaIw,MaxVanillaIw,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,VanillaAvgRet,AvgVanillaIw,EpsThisIter,BatchSize,MinVanillaIw,ESSClassic,AvgEpLen,AvgDiscRet,VarDiscRet,AvgRet,VarJ,IterType,eRenyi2,Bound,Delta,J,VarRet
0.01,1.89891,4.51895,1.21333e-09,0.0380739,0.000134798,40.1551596263,-1425.44948405,1.18689,100,100,1.44009e-07,42.8357872562,500.0,-1425.44948405,133464.220469,-1425.44948405,80.5885,1,2.49034,-1309.39,0.8,-1151.6,133464.220469
0.01,0.113099,1.55857,0.00140076,0.0170794,1.35815e-05,90.005287481,-1152.68370279,0.912547,100,100,0.127826,88.1479637414,500.0,-1152.68370279,17170.7217642,-1152.68370279,63.518,1,1.11105,-1232.4,0.8,-1135.76,17170.7217642
0.01,1.06598,8.90858,0.000855153,0.0837968,9.43168e-05,66.7424001685,-1129.13250489,1.06312,100,100,0.0909128,51.7133335393,500.0,-1129.13250489,1566.81059992,-1129.13250489,187.896,1,1.4983,-1186.55,0.8,-1108.05,1566.81059992
0.01,1.69498,11.3289,1.45844e-06,0.115847,0.00017724,54.1405796249,-1161.70054267,0.977916,100,100,0.000142623,36.3018499685,500.0,-1161.70054267,30819.3099245,-1161.70054267,237.538,1,1.84704,-1225.22,0.8,-1092.18,30819.3099245
0.01,6.26312,20.0014,1.17972e-07,0.160757,0.000404582,25.6891358449,-1120.6435342,1.24421,100,100,1.46781e-05,19.9785933989,500.0,-1120.6435342,17843.3005209,-1120.6435342,657.026,1,3.8927,-1161.02,0.8,-967.474,17843.3005209
0.01,7.82685,17.6413,7.61365e-12,0.160955,0.000651534,16.192398386,-1101.47034607,1.09604,100,100,8.34484e-10,13.4224847502,500.0,-1101.47034607,77329.4751364,-1101.47034607,455.553,1,6.17574,-1053.86,0.8,-810.105,77329.4751364
0.01,641.047,253.995,7.67153e-06,0.726325,0.00524208,29.0257768832,-929.211945636,3.49698,100,100,0.00268272,1.89048220775,500.0,-929.211945636,73454.6893037,-929.211945636,505.005,1,3.44521,-852.556,0.8,-670.425,73454.6893037
0.01,1599.94,372.756,4.53758e-06,0.429609,0.00212521,nan,-929.211945636,8.67664,100,200,0.00393709,4.53729086602,500.0,-874.350911304,97801.3296477,-929.211945636,564.672,,nan,-inf,0.8,-811.191,73454.6893037
0.005,1474.83,543.687,5.01674e-07,0.761789,0.00289544,35.3572918244,-947.226052386,3.56849,100,200,0.000358044,1.72060114031,500.0,-947.226052386,119354.897569,-947.226052386,694.004,1,5.65654,-830.287,0.8,-665.267,119354.897569
0.01,,1.0,0.01,0.01,3.50449e-18,200.0,-866.222411943,1.0,100,200,1.0,100.0,500.0,-866.222411943,101090.880276,-866.222411943,316.354,2,1.0,-964.232,0.8,-866.222,101090.880276
0.005,42813.6,2792.96,2.66282e-07,0.404348,0.000897353,19.9671383322,-947.226052386,34.5366,100,300,0.00183929,5.44741596005,500.0,-848.628691361,111245.943703,-947.226052386,516.744,,15.0247,-1104.73,0.8,-835.96,119354.897569
0.00333333,3.97136,15.4948,2.10652e-11,0.0555518,5.10461e-05,57.1868612279,-907.047102996,0.929752,100,300,5.87562e-09,53.7746672948,500.0,-907.047102996,94217.9808751,-907.047102996,385.505,1,5.24596,-866.698,0.8,-736.73,94217.9808751
0.01,,1.0,0.01,0.01,3.50449e-18,300.0,-774.968903469,1.0,100,300,1.0,100.0,500.0,-774.968903469,44984.2963438,-774.968903469,211.032,2,1.0,-872.967,0.8,-774.969,44984.2963438
0.005,,1.0,0.005,0.005,2.1793e-19,300.0,-751.499734123,1.0,100,300,1.0,200.000000102,500.0,-751.499734123,30206.1328596,-751.499734123,193.279,2,1.0,-832.604,0.8,-763.234,30206.1328596
0.00333333,1.19137,6.66752,6.541e-09,0.0224059,1.34537e-05,141.371360095,-757.503851294,0.991931,100,300,1.94646e-06,135.94376383,500.0,-757.503851294,21705.8507965,-757.503851294,119.308,1,2.12207,-774.25,0.8,-691.74,21705.8507965
0.01,,1.0,0.01,0.01,3.50449e-18,300.0,-708.284956209,1.0,100,300,1.0,100.0,500.0,-708.284956209,27177.8990306,-708.284956209,164.031,2,1.0,-806.223,0.8,-708.285,27177.8990306
0.005,,1.0,0.005,0.005,2.1793e-19,300.0,-694.542147895,1.0,100,300,1.0,200.000000102,500.0,-694.542147895,12821.3503538,-694.542147895,140.879,2,1.0,-770.666,0.8,-701.414,12821.3503538
0.00333333,0.543983,3.70676,1.80672e-05,0.0129745,6.66466e-06,190.063992787,-713.63986206,0.952319,100,300,0.00516171,187.755722327,500.0,-713.63986206,27470.5640646,-713.63986206,92.6568,1,1.57842,-738.493,0.8,-667.413,27470.5640646
0.01,,1.0,0.01,0.01,3.50449e-18,300.0,-681.098685423,1.0,100,300,1.0,100.0,500.0,-681.098685423,37789.6366749,-681.098685423,193.421,2,1.0,-779.12,0.8,-681.099,37789.6366749
0.005,,1.0,0.005,0.005,2.1793e-19,300.0,-680.836488982,1.0,100,300,1.0,200.000000102,500.0,-680.836488982,25151.210027,-680.836488982,176.51,2,1.0,-750.31,0.8,-680.968,25151.210027
0.00333333,0.606551,3.50545,2.15492e-05,0.0120421,7.15788e-06,182.251032529,-692.546331245,0.970332,100,300,0.00627296,182.697156878,500.0,-692.546331245,23177.2523194,-692.546331245,99.1512,1,1.64608,-721.465,0.8,-648.823,23177.2523194
0.01,,1.0,0.01,0.01,3.50449e-18,300.0,-646.252329461,1.0,100,300,1.0,100.0,500.0,-646.252329461,7784.91975883,-646.252329461,87.7899,2,1.0,-697.558,0.8,-646.252,7784.91975883
0.005,,1.0,0.005,0.005,2.1793e-19,300.0,-676.73827512,1.0,100,300,1.0,200.000000102,500.0,-676.73827512,27374.4685032,-676.73827512,132.802,2,1.0,-730.794,0.8,-661.495,27374.4685032
0.00333333,0.468722,3.8285,0.000118219,0.0125607,5.04528e-06,214.488078084,-658.977533491,1.016,100,300,0.0360331,206.531744765,500.0,-658.977533491,13280.5833044,-658.977533491,106.269,1,1.39868,-704.191,0.8,-637.274,13280.5833044
0.01,,1.0,0.01,0.01,3.50449e-18,300.0,-641.095930592,1.0,100,300,1.0,100.0,500.0,-641.095930592,8834.88726872,-641.095930592,93.5229,2,1.0,-692.336,0.8,-641.096,8834.88726872
0.005,,1.0,0.005,0.005,2.1793e-19,300.0,-674.398756669,1.0,100,300,1.0,200.000000102,500.0,-674.398756669,39079.9455341,-674.398756669,154.904,2,1.0,-727.1,0.8,-657.747,39079.9455341
0.00333333,0.372532,4.16435,3.16016e-05,0.0140702,4.25274e-06,221.093986247,-633.737255116,0.986565,100,300,0.00935311,217.159731912,500.0,-633.737255116,5701.2278007,-633.737255116,86.6788,1,1.35689,-693.487,0.8,-627.525,5701.2278007
